date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,ABT,2020-04-29,2020-04-29 16:16:47,Q1,3377000000,291000000,3668000000,5292000000,4568000000,1970000000,15498000000,7907000000,22900000000,16265000000,39165000000,790000000,3390000000,27000000,51279000000,0.0,66777000000,3181000000,1264000000,165000000,3390000000,6198000000,10808000000,16804000000,0.0,8738000000,8738000000,16804000000,8947000000,36559000000,23731000000,25786000000,-9386000000,39604000000,30218000000,66777000000,1081000000,18068000000,14691000000,https://www.sec.gov/Archives/edgar/data/1800/000110465920053384/0001104659-20-053384-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465920053384/abt-20200331x10q.htm
2019-12-31,ABT,2020-02-21,2020-02-21 16:28:23,FY,3860000000,280000000,4140000000,5425000000,4316000000,1786000000,15667000000,8038000000,23200000000,17025000000,40225000000,883000000,3079000000,-5000000.0,52220000000,0.0,67887000000,3252000000,1277000000,226000000,3079000000,6108000000,10863000000,16661000000,0.0,0.0,9062000000,16661000000,9275000000,36799000000,23853000000,25847000000,-8465000000,39553000000,31088000000,67887000000,1163000000,17938000000,14078000000,https://www.sec.gov/Archives/edgar/data/1800/000110465920023904/0001104659-20-023904-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465920023904/abt-20191231x10k59d41b.htm
2019-09-30,ABT,2019-10-31,2019-10-31 16:02:42,Q3,4091000000,244000000,4335000000,5450000000,4392000000,1942000000,16119000000,7825000000,23000000000,17465000000,40465000000,874000000,3210000000,46000000,52420000000,0.0,68539000000,3029000000,1254000000,67000000,3210000000,6141000000,10491000000,17639000000,0.0,8390000000,8390000000,17639000000,8592000000,36722000000,23771000000,25440000000,-7763000000,39580000000,31817000000,68539000000,1118000000,18893000000,14802000000,https://www.sec.gov/Archives/edgar/data/1800/000110465919058323/0001104659-19-058323-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465919058323/abt-20190930x10q93748c.htm
2019-06-30,ABT,2019-07-31,2019-07-31 16:15:28,Q2,3137000000,239000000,3137000000,5548000000,4352000000,2158000000,15195000000,7825000000,23300000000,18091000000,41391000000,0.0,3136000000,880000000,53232000000,0.0,68427000000,3222000000,8000000.0,83000000,3136000000,5749000000,9062000000,18982000000,0.0,8489000000,8489000000,18982000000,8697000000,36741000000,23665000000,25045000000,-7365000000,39051000000,31686000000,68427000000,239000000,18990000000,15853000000,https://www.sec.gov/Archives/edgar/data/1800/000141057819000606/0001410578-19-000606-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000141057819000606/abt-20190630x10q.htm
2019-03-31,ABT,2019-05-01,2019-05-01 16:09:25,Q1,3022000000,239000000,3022000000,5345000000,4085000000,1957000000,14409000000,7626000000,23209000000,18472000000,41681000000,0.0,3027000000,867000000,53201000000,0.0,67610000000,3045000000,8000000.0,277000000,3027000000,5783000000,9113000000,18845000000,0.0,8523000000,8523000000,18845000000,8727000000,36685000000,23461000000,24613000000,-7470000000,38395000000,30925000000,67610000000,239000000,18853000000,15831000000,https://www.sec.gov/Archives/edgar/data/1800/000110465919026018/0001104659-19-026018-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465919026018/a19-7736_110q.htm
2018-12-31,ABT,2019-02-22,2019-02-22 16:13:21,FY,3844000000,242000000,3844000000,5182000000,3796000000,1810000000,14632000000,7563000000,23254000000,18942000000,42196000000,0.0,1868000000,914000000,52541000000,0.0,67173000000,2975000000,7000000.0,305000000,1868000000,5725000000,9012000000,19359000000,0.0,0.0,8080000000,19359000000,8278000000,36649000000,23512000000,24560000000,-7586000000,38110000000,30524000000,67173000000,242000000,19366000000,15522000000,https://www.sec.gov/Archives/edgar/data/1800/000104746919000624/0001047469-19-000624-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000104746919000624/a2237733z10-k.htm
2018-09-30,ABT,2018-10-31,2018-10-31 16:02:08,Q3,7369000000,181000000,7369000000,5271000000,3781000000,1775000000,18196000000,7448000000,23416000000,19477000000,42893000000,0.0,2110000000,990000000,53441000000,0.0,71637000000,2730000000,4063000000,231000000,2110000000,5752000000,12776000000,19284000000,0.0,8679000000,8679000000,19284000000,8872000000,40932000000,23428000000,24144000000,-7009000000,37714000000,30705000000,71637000000,181000000,23347000000,15978000000,https://www.sec.gov/Archives/edgar/data/1800/000110465918065076/0001104659-18-065076-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465918065076/a18-19028_110q.htm
2018-06-30,ABT,2018-08-01,2018-08-01 16:02:04,Q2,3065000000,199000000,3065000000,5192000000,3714000000,2151000000,14122000000,7432000000,23844000000,19951000000,43795000000,0.0,2005000000,1061000000,54293000000,0.0,68415000000,2503000000,506000000,188000000,8867000000,5754000000,8951000000,19823000000,0.0,8867000000,8867000000,19823000000,9064000000,37838000000,23317000000,24080000000,-6913000000,37490000000,30577000000,68415000000,199000000,20329000000,17264000000,https://www.sec.gov/Archives/edgar/data/1800/000110465918048736/0001104659-18-048736-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465918048736/a18-14086_110q.htm
2018-03-31,ABT,2018-05-02,2018-05-02 16:17:34,Q1,3857000000,185000000,3857000000,5356000000,3826000000,1925000000,14964000000,7659000000,24227000000,20943000000,45170000000,0.0,2082000000,1033000000,55944000000,0.0,70908000000,2476000000,507000000,212000000,2082000000,5815000000,9010000000,21154000000,0.0,9143000000,9143000000,21154000000,9345000000,39509000000,23223000000,23856000000,-5733000000,37132000000,31399000000,70908000000,185000000,21661000000,17804000000,https://www.sec.gov/Archives/edgar/data/1800/000110465918029831/0001104659-18-029831-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000110465918029831/a18-8658_110q.htm
2017-12-31,ABT,2018-02-16,2018-02-16 16:04:37,FY,9407000000,203000000,9610000000,5249000000,3601000000,1687000000,20147000000,7607000000,24020000000,21473000000,45493000000,883000000,1944000000,176000000,56103000000,12000000,76250000000,2402000000,508000000,309000000,0.0,5693000000,8912000000,27210000000,0.0,0.0,9030000000,36240000000,201000000,45353000000,23206000000,23978000000,-6062000000,36959000000,30897000000,76250000000,1086000000,27718000000,18311000000,https://www.sec.gov/Archives/edgar/data/1800/000104746918000856/0001047469-18-000856-index.htm,https://www.sec.gov/Archives/edgar/data/1800/000104746918000856/a2234264z10-k.htm
