date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-02-29,ACN,2020-03-19,2020-03-19 06:58:06,Q2,5436456000,3643000.0,5440099000,7785957000,0.0,2179237000,15405293000,1425432000,6698690000,0.0,6698690000,284261000,4254782000,12133662000,18098137000,9974015000,33503430000,1526135000,737781000,371462000,3594142000,4948055000,11177575000,13183000,629505000,167467000,5594894000,6405049000,446217000,18028841000,0.0,11867507000,-1802257000,5409339000,15474589000,33503430000,287904000,750964000,-4685492000,https://www.sec.gov/Archives/edgar/data/1467373/000146737320000158/0001467373-20-000158-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737320000158/acn229202010-q.htm
2019-11-30,ACN,2019-12-19,2019-12-19 06:54:55,Q1,5810537000,3303000.0,5813840000,7908781000,0.0,1883483000,15606104000,1386440000,6300004000,0.0,6300004000,278765000,4300909000,11598494000,17564608000,9878164000,33170712000,1581112000,710787000,448010000,2986524000,5472975000,11199408000,15935000,585301000,144659000,5624201000,6370096000,434070000,18003574000,0.0,11236275000,-1779968000,5710831000,15167138000,33170712000,282068000,726722000,-5083815000,https://www.sec.gov/Archives/edgar/data/1467373/000146737319000395/0001467373-19-000395-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737319000395/acn1130201910-q.htm
2019-08-31,ACN,2019-10-29,2019-10-29 06:53:24,FY,6126853000,3313000.0,6130166000,7467338000,0.0,1853097000,15450601000,1391166000,6205550000,0.0,6205550000,240313000,4349464000,8358336000,14339279000,6742563000,29789880000,1646641000,6411000.0,378017000,3188835000,5841992000,11061896000,16247000,565224000,133232000,3185590000,3900293000,418683000,15380872000,0.0,10421538000,-1840577000,5828047000,14409008000,29789880000,243626000,22658000,-6104195000,https://www.sec.gov/Archives/edgar/data/1467373/000146737319000339/0001467373-19-000339-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737319000339/acn831201910k.htm
2019-05-31,ACN,2019-06-27,2019-06-27 16:18:02,Q3,4769158000,3338000.0,4769158000,7544573000,0.0,1827929000,14141660000,1341548000,6078816000,0.0,6078816000,0.0,4222011000,8451141000,14014700000,6594336000,28156360000,1562995000,4137000.0,512820000,3255784000,5216251000,10551987000,19855000,571769000,149196000,2720595000,3461415000,405634000,14419036000,0.0,11709317000,-1466509000,3494516000,13737324000,28156360000,3338000.0,23992000,-4745166000,https://www.sec.gov/Archives/edgar/data/1467373/000146737319000217/0001467373-19-000217-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737319000217/acn531201910-q.htm
2019-02-28,ACN,2019-03-28,2019-03-28 16:27:34,Q2,4464889000,3111000.0,4468000000,7579589000,0.0,1785711000,13833300000,1282765000,5782856000,0.0,5782856000,229085000,4258979000,7786079000,13556908000,6491287000,27390208000,1472130000,4365000.0,554745000,3335751000,4852058000,10219049000,19753000,607038000,139792000,2676031000,3442614000,391512000,14053175000,0.0,11421964000,-1465013000,3380082000,13337033000,27390208000,232196000,24118000,-4440771000,https://www.sec.gov/Archives/edgar/data/1467373/000146737319000130/0001467373-19-000130-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737319000130/acn228201910-q.htm
2018-11-30,ACN,2018-12-20,2018-12-20 16:24:56,Q1,4363790000,3116000.0,4366906000,7450798000,0.0,1722704000,13540408000,1243268000,5522687000,0.0,5522687000,231980000,4219300000,7471456000,13166004000,6400049000,26706412000,1355538000,4727000.0,513475000,2850452000,5452143000,10176335000,19896000,601393000,136139000,2717081000,3474509000,376712000,14027556000,0.0,10384064000,-1476546000,3771338000,12678856000,26706412000,235096000,24623000,-4339167000,https://www.sec.gov/Archives/edgar/data/1467373/000146737318000424/0001467373-18-000424-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737318000424/acn1130201810-q.htm
2018-08-31,ACN,2018-10-24,2018-10-24 17:05:52,FY,5061360000,3192000.0,5064552000,4996454000,0.0,3524553000,13585559000,1264020000,5383012000,0.0,5383012000,215532000,2086807000,7297165000,10863524000,4216492000,24449083000,1348802000,5337000.0,497885000,2837682000,5462045000,10151751000,19676000,618124000,125729000,2809215000,3572744000,359835000,14084330000,0.0,7952413000,-1576171000,3988511000,10364753000,24449083000,218724000,25013000,-5036347000,https://www.sec.gov/Archives/edgar/data/1467373/000146737318000318/0001467373-18-000318-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737318000318/acn831201810k.htm
2018-05-31,ACN,2018-06-28,2018-06-28 16:19:09,Q3,3928845000,3261000.0,3932106000,4986652000,0.0,3418114000,12336872000,1228946000,5275293000,0.0,5275293000,208557000,2269992000,7206426000,10913921000,4409682000,23250793000,1388989000,2840000.0,483723000,2744402000,4933642000,9553596000,25958000,635737000,132324000,2750442000,3544461000,355411000,13453468000,0.0,8296830000,-1343701000,2844196000,9797325000,23250793000,211818000,28798000,-3900047000,https://www.sec.gov/Archives/edgar/data/1467373/000146737318000228/0001467373-18-000228-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737318000228/acn2018053110-q.htm
2018-02-28,ACN,2018-03-22,2018-03-22 16:32:16,Q2,3595079000,3418000.0,3598497000,5030698000,0.0,3655753000,12284948000,1196195000,5286197000,0.0,5286197000,218509000,2125608000,7307719000,10848031000,4365639000,23132979000,1367464000,2914000.0,602950000,2930645000,4463939000,9367912000,25923000,656638000,126056000,2518024000,3326641000,755739000,13450292000,0.0,8149090000,-1066266000,2599863000,9682687000,23132979000,221927000,28837000,-3566242000,https://www.sec.gov/Archives/edgar/data/1467373/000146737318000142/0001467373-18-000142-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737318000142/acn-20180228x10q.htm
2017-11-30,ACN,2017-12-21,2017-12-21 06:41:51,Q1,3681711000,682000.0,3682393000,4981084000,0.0,3640364000,12303841000,1158960000,5078504000,0.0,5078504000,227189000,2235695000,7048468000,10670312000,4432848000,22974153000,1316930000,2979000.0,718246000,2494949000,5329922000,9863026000,22226000,687950000,121397000,2386117000,3217690000,791307000,13872023000,0.0,7339188000,-1133153000,2896095000,9102130000,22974153000,227871000,25205000,-3656506000,https://www.sec.gov/Archives/edgar/data/1467373/000146737317000506/0001467373-17-000506-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737317000506/acn-20171130x10q.htm
2017-08-31,ACN,2017-10-26,2017-10-26 16:27:21,FY,4126860000,3011000.0,4129871000,4569214000,0.0,3398204000,12097289000,1140598000,5002352000,0.0,5002352000,211610000,2214901000,7025492000,10592601000,4449651000,22689890000,1525065000,2907000.0,708485000,2669520000,4918302000,9824279000,22163000,663248000,137098000,2332902000,3155411000,760723000,13740413000,0.0,7081855000,-1094784000,2962406000,8949477000,22689890000,214621000,25070000,-4101790000,https://www.sec.gov/Archives/edgar/data/1467373/000146737317000430/0001467373-17-000430-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737317000430/acn831201710k.htm
2017-05-31,ACN,2017-06-22,2017-06-22 16:22:07,Q3,3382208000,2639000.0,3384847000,4474415000,0.0,3346473000,11205735000,1041006000,4610996000,0.0,4610996000,199465000,2103664000,6585722000,9929857000,4277855000,21135592000,1291138000,2942000.0,914058000,2550233000,4395954000,9154325000,24732000,692621000,64976000,2322278000,3104607000,709304000,12968236000,0.0,8844773000,-1335523000,658106000,8167356000,21135592000,202104000,27674000,-3354534000,https://www.sec.gov/Archives/edgar/data/1467373/000146737317000277/0001467373-17-000277-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737317000277/acn-20170531x10q.htm
2017-02-28,ACN,2017-03-23,2017-03-23 16:20:20,Q2,3238862000,2502000.0,3241364000,4452252000,0.0,3070386000,10764002000,968433000,4224007000,0.0,4224007000,190358000,2030673000,6125307000,9314771000,0.0,20078773000,1212800000,2944000.0,665125000,2458524000,4013380000,8352773000,24546000,740919000,53452000,2291934000,3110851000,650904000,12114528000,0.0,8953190000,-1739351000,750406000,7964245000,20078773000,192860000,27490000,-3211372000,https://www.sec.gov/Archives/edgar/data/1467373/000146737317000154/0001467373-17-000154-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737317000154/acn-20170228x10q.htm
2016-11-30,ACN,2016-12-21,2016-12-21 16:17:46,Q1,4077058000,2511000.0,4079569000,4298605000,0.0,2990232000,11368406000,928900000,4008760000,0.0,4008760000,239470000,2079881000,5827084000,9075335000,4137675000,20443741000,1163348000,2773000.0,606771000,2079897000,5317293000,9170082000,24562000,734465000,48606000,2431875000,3239508000,617058000,13026648000,0.0,8113539000,-1855218000,1158772000,7417093000,20443741000,241981000,27335000,-4049723000,https://www.sec.gov/Archives/edgar/data/1467373/000146737316001180/0001467373-16-001180-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737316001180/acn-20161130x10q.htm
2016-08-31,ACN,2016-10-28,2016-10-28 17:05:52,FY,4905609000,2875000.0,4908484000,4072180000,0.0,2995558000,11976222000,956542000,3609437000,0.0,3609437000,198633000,2077312000,5400295000,8632782000,4066803000,20609004000,1280821000,2773000.0,362963000,2364728000,4867639000,8878924000,24457000,754812000,111020000,2650415000,3540704000,634114000,13053742000,0.0,7879960000,-1661720000,1337022000,7555262000,20609004000,201508000,27230000,-4878379000,https://www.sec.gov/Archives/edgar/data/1467373/000146737316001080/0001467373-16-001080-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737316001080/acn831201610k.htm
2016-05-31,ACN,2016-06-23,2016-06-23 16:18:49,Q3,3497878000,2869000.0,3500747000,4303642000,0.0,3771622000,11576011000,883609000,3538147000,0.0,3538147000,132427000,1229695000,5369305000,7615036000,3193280000,19191047000,1133430000,2072000.0,378584000,2349050000,4297997000,8161133000,26801000,771973000,152882000,2371700000,3323356000,579233000,12063722000,1000.0,15090815000,-1392606000,0.0,7127325000,19191047000,135296000,28873000,-3469005000,https://www.sec.gov/Archives/edgar/data/1467373/000146737316000915/0001467373-16-000915-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737316000915/acn-20160531x10q.htm
2016-02-29,ACN,2016-03-24,2016-03-24 16:18:21,Q2,3034659000,2820000.0,3037479000,3986141000,0.0,3655180000,10678800000,856403000,3501419000,0.0,3501419000,61037000,1255400000,5296138000,7468978000,3111156000,18147778000,1103343000,1784000.0,304883000,2328485000,3834684000,7573179000,26866000,730127000,121879000,2322211000,3201083000,561855000,11336117000,1000.0,14915912000,-1521633000,0.0,6811661000,18147778000,63857000,28650000,-3006009000,https://www.sec.gov/Archives/edgar/data/1467373/000146737316000774/0001467373-16-000774-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737316000774/acn-20160229x10q.htm
