date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020/3/31,AGN,2020/5/7,2020/5/7 08:03,Q1,999500000,1618800000,2618300000,2800600000,1199900000,855300000,7474100000,1915400000,41229200000,36266200000,77495400000,1618000,597900000,943400000,80952100000,0,88426200000,5289500000,1950700000,73400000,0,119800000,7433400000,17599000000,0,2456200000,787400000,20842600000,2152500000,30428500000,0,882500000,1079000000,56036200000,57997700000,88426200000,1618800000,19549700000,18550200000,https://www.sec.gov/Archives/edgar/data/1578845/000156459020022386/0001564590-20-022386-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000156459020022386/agn-10q_20200331.htm
2019/12/31,AGN,2020/2/18,2020/2/18 16:27,FY,2503000000,3411000000,5914000000,3192000000,1133000000,887000000,11126000000,1926000000,42248000000,37890000000,80138000000,3411000000,0,0,85475000000,0,94699000000,6348000000,4532000000,65000000,0,190000000,11070000000,6348000000,0,0,800000000,7148000000,0,36502000000,0,991000000,1207000000,55975000000,58173000000,94699000000,6822000000,22648000000,20145000000,https://www.sec.gov/Archives/edgar/data/1578845/000156459020005038/0001564590-20-005038-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000156459020005038/agn-10k_20191231.htm
2019/9/30,AGN,2019/11/5,2019/11/5 17:00,Q3,1237500000,3318400000,4555900000,3012300000,1083100000,942300000,9593600000,1857000000,42065500000,39526800000,81592300000,3318000,487400000,878600000,84815300000,0,94408900000,5692200000,3739200000,88900000,0,118400000,9638700000,18786000000,0,4519300000,810900000,24116200000,2178800000,35933700000,0.0001,1551700000,1041100000,55882400000,58475200000,94408900000,3318400000,22525200000,21287700000,https://www.sec.gov/Archives/edgar/data/1578845/000156459019040462/0001564590-19-040462-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000156459019040462/agn-10q_20190930.htm
2019/6/30,AGN,2019/8/8,2019/8/8 17:29,Q2,1651400000,322300000,1973700000,3086300000,1004500000,2508300000,8572800000,1821000000,42340700000,41231500000,83572200000,322000,689100000,825600000,86907900000,1194000,95480700000,4995300000,3094200000,91000000,0,123200000,8303700000,19609300000,0,4968400000,821400000,25399100000,2103200000,35806000000,0,2581100000,1281700000,55811900000,59674700000,95480700000,322300000,22703500000,21052100000,https://www.sec.gov/Archives/edgar/data/1578845/000156459019030919/0001564590-19-030919-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000156459019030919/agn-10q_20190630.htm
2019/3/31,AGN,2019/5/7,2019/5/7 17:25,Q1,788500000,995200000,1783700000,2731200000,943200000,831200000,6289300000,1781100000,43336600000,42264600000,85601200000,995000000,1032600000,3332100000,91747000000,3371000000,98036300000,4634400000,3971800000,126900000,0,116100000,8849200000,19554100000,0,5235600000,804400000,25594100000,2051000000,36494300000,0,4582800000,1216400000,55742800000,61542000000,98036300000,995200000,23525900000,22737400000,https://www.sec.gov/Archives/edgar/data/1578845/000156459019016635/0001564590-19-016635-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000156459019016635/agn-10q_20190331.htm
2018/12/31,AGN,2019/2/15,2019/2/15 16:44,FY,880400000,1026900000,1907300000,2868100000,846900000,853100000,6475400000,1787000000,45913300000,43695400000,89608700000,1026000000,1063700000,2852800000,95312200000,2891000000,1.01788E+11,4787200000,868300000,72400000,0,72000000,5727900000,22929400000,0,5501800000,882000000,29313200000,1632400000,36673500000,0,7258900000,1345200000,56510000000,65114100000,1.01788E+11,1026900000,23797700000,22917300000,https://www.sec.gov/Archives/edgar/data/1578845/000156459019003111/0001564590-19-003111-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000156459019003111/agn-10k_20181231.htm
2018/9/30,AGN,2018/10/31,2018/10/31 07:03,Q3,1187900000,22000000,1209900000,2826900000,894600000,808800000,5740200000,1756600000,49456400000,48127400000,97583800000,22000000,989400000,472500000,1.00802E+11,1441000000,1.06543E+11,4695600000,1351600000,184700000,0,185000000,6231900000,22231800000,0,5225300000,752100000,28209200000,1593600000,36034700000,0,11800600000,1504200000,57203000000,70507800000,1.06543E+11,22000000,23583400000,22395500000,https://www.sec.gov/Archives/edgar/data/1578845/000156459018025723/0001564590-18-025723-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000156459018025723/agn-10q_20180930.htm
2018/6/30,AGN,2018/8/3,2018/8/2 19:24,Q2,1674700000,21500000,1696200000,2760800000,922500000,724200000,6103700000,1761400000,49687200000,49928300000,99615500000,21000000,899900000,478300000,1.02755E+11,1358000000,1.08859E+11,4683800000,1348500000,93000000,0,94000000,6125300000,24002000000,0,5137500000,753400000,29892900000,1597100000,37615300000,0,12082900000,1592900000,57567700000,71243500000,1.08859E+11,21500000,25350500000,23675800000,https://www.sec.gov/Archives/edgar/data/1578845/000156459018018996/0001564590-18-018996-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000156459018018996/agn-10q_20180630.htm
2018/3/31,AGN,2018/5/3,2018/5/3 16:24,Q1,994800000,1037400000,2032200000,2639200000,948400000,773500000,6393300000,1769500000,50059500000,52566500000,1.02626E+11,1037000000,893600000,338900000,1.05628E+11,197000000,1.12021E+11,5072300000,626200000,117500000,0,118000000,5816000000,25936400000,0,5540400000,826800000,32303600000,1573800000,39693400000,0,12799500000,2041500000,57486900000,72327900000,1.12021E+11,1037400000,26562600000,25567800000,https://www.sec.gov/Archives/edgar/data/1578845/000156459018010702/0001564590-18-010702-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000156459018010702/agn-10q_20180331.htm
2017/12/31,AGN,2018/2/16,2018/2/16 16:51,FY,1817200000,4632100000,6449300000,2899000000,904500000,1123900000,11376700000,1785400000,49862900000,54648300000,1.04511E+11,4632000000,319100000,349500000,1.06965E+11,0,1.18342E+11,5541400000,4231800000,74900000,0,76000000,9848100000,25843500000,0,6352400000,886900000,33082800000,1589900000,44520800000,0,12957200000,1920700000,58943200000,73821100000,1.18342E+11,4632100000,30075300000,28258100000,https://www.sec.gov/Archives/edgar/data/1578845/000156459018002345/0001564590-18-002345-index.htm,https://www.sec.gov/Archives/edgar/data/1578845/000156459018002345/agn-10k_20171231.htm
