date,Cash and cash equivalents,Short-term investments,Cash and short-term investments,Receivables,Inventories,Total current assets,"Property, Plant & Equipment Net",Goodwill and Intangible Assets,Long-term investments,Tax assets,Total non-current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Deferred revenue,Tax Liabilities,Deposit Liabilities,Total non-current liabilities,Total liabilities,Other comprehensive income,Retained earnings (deficit),Total shareholders equity,Investments,Net Debt,Other Assets,Other Liabilities
2020-03-31,999500000.0,1618800000.0,2618300000.0,2800600000.0,1199900000.0,7474100000.0,1915400000.0,77495400000.0,0.0,597900000.0,80952100000.0,88426200000.0,5289500000.0,1950700000.0,7433400000.0,17599000000.0,19549700000.0,0.0,73400000.0,0.0,20842600000.0,30428500000.0,56036200000,882500000.0,57997700000.0,1618800000.0,18550200000.0,0.0,2152500000.0
2019-09-30,1237500000.0,3318400000.0,4555900000.0,3012300000.0,1083100000.0,9593600000.0,1857000000.0,81592300000.0,0.0,487400000.0,84815300000.0,94408900000.0,5692200000.0,3739200000.0,9638700000.0,18786000000.0,22525200000.0,0.0,88900000.0,0.0,24116200000.0,35933700000.0,55882399999.9999,1551700000.0,58475200000.0,3318400000.0,21287700000.0,0.0,2178800000.0
2019-06-30,1651400000.0,322300000.0,1973700000.0,3086300000.0,1004500000.0,8572800000.0,1821000000.0,83572200000.0,0.0,689100000.0,86907900000.0,95480700000.0,4995300000.0,3094200000.0,8303700000.0,19609300000.0,22703500000.0,0.0,91000000.0,0.0,25399100000.0,35806000000.0,55811900000,2581100000.0,59674700000.0,322300000.0,21052100000.0,0.0,2103200000.0
2019-03-31,788500000.0,995200000.0,1783700000.0,2731200000.0,943200000.0,6289300000.0,1781100000.0,85601200000.0,0.0,1032600000.0,91747000000.0,98036300000.0,4634400000.0,3971800000.0,8849200000.0,19554100000.0,23525900000.0,0.0,126900000.0,0.0,25594100000.0,36494300000.0,55742800000,4582800000.0,61542000000.0,995200000.0,22737400000.0,0.0,2051000000.0
2018-12-31,880400000.0,1026900000.0,1907300000.0,2868100000.0,846900000.0,6475400000.0,1787000000.0,89608700000.0,0.0,1063700000.0,95312200000.0,1.017876e+11,4787200000.0,868300000.0,5727900000.0,22929400000.0,23797700000.0,0.0,72400000.0,0.0,29313200000.0,36673500000.0,56510000000,7258900000.0,65114100000.0,1026900000.0,22917300000.0,0.0,1632400000.0
2018-09-30,1187900000.0,22000000.0,1209900000.0,2826900000.0,894600000.0,5740200000.0,1756600000.0,97583800000.0,0.0,989400000.0,1.008023e+11,1.065425e+11,4695600000.0,1351600000.0,6231900000.0,22231800000.0,23583400000.0,0.0,184700000.0,0.0,28209200000.0,36034700000.0,57203000000,11800600000.0,70507800000.0,22000000.0,22395500000.0,0.0,1593600000.0
2018-06-30,1674700000.0,21500000.0,1696200000.0,2760800000.0,922500000.0,6103700000.0,1761400000.0,99615500000.0,0.0,899900000.0,1.027551e+11,1.088588e+11,4683800000.0,1348500000.0,6125300000.0,24002000000.0,25350500000.0,0.0,93000000.0,0.0,29892900000.0,37615300000.0,57567700000,12082900000.0,71243500000.0,21500000.0,23675800000.0,0.0,1597100000.0
2018-03-31,994800000.0,1037400000.0,2032200000.0,2639200000.0,948400000.0,6393300000.0,1769500000.0,1.02626e+11,0.0,893600000.0,1.05628e+11,1.120213e+11,5072300000.0,626200000.0,5816000000.0,25936400000.0,26562600000.0,0.0,117500000.0,0.0,32303600000.0,39693400000.0,57486900000,12799500000.0,72327900000.0,1037400000.0,25567800000.0,0.0,1573800000.0
2017-12-31,1817200000.0,4632100000.0,6449300000.0,2899000000.0,904500000.0,11376700000.0,1785400000.0,1.045112e+11,0.0,319100000.0,1.069652e+11,1.183419e+11,5541400000.0,4231800000.0,9848100000.0,25843500000.0,30075300000.0,0.0,74900000.0,0.0,33082800000.0,44520800000.0,58943200000,12957200000.0,73821100000.0,4632100000.0,28258100000.0,0.0,1589900000.0
2017-09-30,1612700000.0,3829100000.0,5441800000.0,2808600000.0,899800000.0,10112800000.0,1802200000.0,1.064698e+11,0.0,327000000.0,1.0888e+11,1.189928e+11,4541700000.0,3797000000.0,8559800000.0,26539100000.0,30336100000.0,0.0,221100000.0,0.0,38348100000.0,47833400000.0,59311000000,10137200000.0,71159400000.0,3829100000.0,28723400000.0,0.0,925500000.0
