date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,AIG,2020-05-05,2020-05-05 10:16:32,Q1,2738000000,0.0,2738000000,0.0,0.0,0.0,2738000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507739000000,510477000000,0.0,0.0,0.0,13975000000,0.0,13975000000,25268000000,0.0,0.0,0.0,25268000000,0.0,448634000000,-49334000000,24062000000,-994000000,86439000000,60173000000,510477000000,0.0,35410000000,32672000000,https://www.sec.gov/Archives/edgar/data/5272/000110465920056631/0001104659-20-056631-index.htm,https://www.sec.gov/Archives/edgar/data/5272/000110465920056631/aig-20200331.htm
2019-12-31,AIG,2020-02-21,2020-02-21 16:26:31,FY,2856000000,0.0,2856000000,0.0,0.0,0.0,2856000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522208000000,525064000000,0.0,0.0,0.0,13146000000,0.0,13146000000,35350000000,0.0,0.0,0.0,35350000000,0.0,457637000000,-48987000000,23084000000,4982000000,86596000000,65675000000,525064000000,0.0,70700000000,67844000000,https://www.sec.gov/Archives/edgar/data/5272/000110465920023889/0001104659-20-023889-index.htm,https://www.sec.gov/Archives/edgar/data/5272/000110465920023889/aig-20191231.htm
2019-09-30,AIG,2019-11-01,2019-11-01 10:14:51,Q3,3361000000,14113000000,17474000000,2391000000,0.0,0.0,19865000000,0.0,0.0,0.0,0.0,0.0,13054000000,492203000000,505257000000,521761000000,525122000000,0.0,0.0,4800000000,19959000000,0.0,24759000000,35262000000,0.0,0.0,0.0,35262000000,399498000000,459519000000,4766000000,22439000000,5615000000,32783000000,65603000000,525122000000,14113000000,35262000000,31901000000,https://www.sec.gov/Archives/edgar/data/5272/000000527219000054/0000005272-19-000054-index.htm,https://www.sec.gov/Archives/edgar/data/5272/000000527219000054/aig-20190930.htm
2019-06-30,AIG,2019-08-08,2019-08-08 15:24:38,Q2,2935000000,245561000000,248496000000,0.0,0.0,0.0,248496000000,0.0,0.0,0.0,0.0,0.0,13337000000,260436000000,273773000000,519334000000,522269000000,0.0,0.0,4700000000,20621000000,0.0,25321000000,36291000000,0.0,0.0,0.0,36291000000,396118000000,457730000000,4766000000,22077000000,4991000000,32705000000,64539000000,522269000000,245561000000,36291000000,33356000000,https://www.sec.gov/Archives/edgar/data/5272/000000527219000047/0000005272-19-000047-index.htm,https://www.sec.gov/Archives/edgar/data/5272/000000527219000047/aig-20190630.htm
2019-03-31,AIG,2019-05-07,2019-05-07 14:29:31,Q1,2565000000,238201000000,240766000000,0.0,0.0,0.0,240766000000,0.0,0.0,0.0,0.0,0.0,14545000000,257611000000,272156000000,510357000000,512922000000,0.0,0.0,4700000000,20812000000,0.0,25512000000,35776000000,0.0,0.0,0.0,35776000000,390847000000,452135000000,4766000000,21259000000,2128000000,32634000000,60787000000,512922000000,238201000000,35776000000,33211000000,https://www.sec.gov/Archives/edgar/data/5272/000000527219000031/0000005272-19-000031-index.htm,https://www.sec.gov/Archives/edgar/data/5272/000000527219000031/maindocument001.htm
2018-12-31,AIG,2019-02-15,2019-02-15 13:22:56,FY,2873000000,1253000000,4126000000,0.0,0.0,0.0,4126000000,2172000000,0.0,0.0,0.0,0.0,15221000000,470465000000,487858000000,489111000000,491984000000,0.0,2329000000,4709000000,19248000000,0.0,26286000000,34540000000,0.0,2852000000,0.0,37392000000,371945000000,435623000000,4766000000,20884000000,-1413000000,32124000000,56361000000,491984000000,1253000000,36869000000,33996000000,https://www.sec.gov/Archives/edgar/data/5272/000000527219000023/0000005272-19-000023-index.htm,https://www.sec.gov/Archives/edgar/data/5272/000000527219000023/maindocument001.htm
2018-09-30,AIG,2018-11-02,2018-11-02 12:06:36,Q3,2741000000,1443000000,4184000000,0.0,0.0,0.0,4184000000,0.0,0.0,0.0,0.0,0.0,15088000000,485588000000,500676000000,502119000000,504860000000,0.0,0.0,4700000000,20829000000,0.0,25529000000,34594000000,0.0,0.0,0.0,34594000000,386151000000,446274000000,4766000000,21749000000,-536000000,32607000000,58586000000,504860000000,1443000000,34594000000,31853000000,https://www.sec.gov/Archives/edgar/data/5272/000000527218000043/0000005272-18-000043-index.htm,https://www.sec.gov/Archives/edgar/data/5272/000000527218000043/maindocument001.htm
2018-06-30,AIG,2018-08-03,2018-08-03 15:07:05,Q2,2135000000,1675000000,3810000000,0.0,0.0,0.0,3810000000,0.0,0.0,0.0,0.0,0.0,14753000000,478266000000,493019000000,494694000000,496829000000,0.0,0.0,4700000000,19676000000,0.0,24376000000,33784000000,0.0,0.0,0.0,33784000000,377483000000,435643000000,4766000000,23318000000,230000000,32872000000,61186000000,496829000000,1675000000,33784000000,31649000000,https://www.sec.gov/Archives/edgar/data/5272/000000527218000037/0000005272-18-000037-index.htm,https://www.sec.gov/Archives/edgar/data/5272/000000527218000037/maindocument001.htm
2018-03-31,AIG,2018-05-03,2018-05-03 16:08:51,Q1,2103000000,1725000000,3828000000,0.0,0.0,0.0,3828000000,0.0,0.0,0.0,0.0,0.0,14558000000,480757000000,495315000000,497040000000,499143000000,0.0,0.0,4700000000,20038000000,0.0,24738000000,33619000000,0.0,0.0,0.0,33619000000,377994000000,436351000000,4766000000,22671000000,2220000000,33135000000,62792000000,499143000000,1725000000,33619000000,31516000000,https://www.sec.gov/Archives/edgar/data/5272/000000527218000031/0000005272-18-000031-index.htm,https://www.sec.gov/Archives/edgar/data/5272/000000527218000031/maindocument001.htm
2017-12-31,AIG,2018-02-16,2018-02-16 16:45:19,FY,2362000000,589000000,2951000000,0.0,0.0,0.0,2951000000,2522000000,0.0,0.0,0.0,0.0,14033000000,478795000000,495350000000,495939000000,498301000000,0.0,4340000000,4707000000,19030000000,0.0,28077000000,31640000000,0.0,4464000000,0.0,36104000000,368949000000,433130000000,4766000000,21457000000,5465000000,33483000000,65171000000,498301000000,589000000,35980000000,33618000000,https://www.sec.gov/Archives/edgar/data/5272/000000527218000022/0000005272-18-000022-index.htm,https://www.sec.gov/Archives/edgar/data/5272/000000527218000022/maindocument001.htm
