date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,ALL,2020-05-05,2020-05-05 16:21:21,Q1,338000000,84842000000,85180000000,6401000000,0.0,0.0,91581000000,1123000000,2544000000,0.0,2544000000,7087000000,0.0,16316000000,24526000000,112102000000,116107000000,0.0,0.0,0.0,14999000000,0.0,14999000000,6633000000,0.0,331000000,0.0,6964000000,69971000000,91934000000,0.01,48326000000,558000000,23606000000,24173000000,116107000000,91929000000,6633000000,6295000000,https://www.sec.gov/Archives/edgar/data/899051/000089905120000029/0000899051-20-000029-index.htm,https://www.sec.gov/Archives/edgar/data/899051/000089905120000029/allcorp-3312010xq.htm
2019-12-31,ALL,2020-02-21,2020-02-21 11:07:49,FY,338000000,88362000000,88700000000,6472000000,0.0,0.0,95172000000,1145000000,2545000000,0.0,2545000000,8078000000,0.0,15555000000,24778000000,116258000000,119950000000,0.0,0.0,0.0,15343000000,0.0,15343000000,6631000000,0.0,1154000000,0.0,7785000000,70824000000,93952000000,0.01,48074000000,1950000000,24039000000,25998000000,119950000000,96440000000,6631000000,6293000000,https://www.sec.gov/Archives/edgar/data/899051/000089905120000013/0000899051-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/899051/000089905120000013/allcorp-12311910xk.htm
2019-09-30,ALL,2019-10-29,2019-10-29 19:21:51,Q3,587000000,5250000000,5837000000,6558000000,0.0,0.0,12395000000,1092000000,2545000000,0.0,2545000000,7990000000,0.0,99596000000,108678000000,116849000000,121073000000,0.0,0.0,0.0,15343000000,0.0,15343000000,6630000000,0.0,1079000000,0.0,7709000000,71881000000,94933000000,0.01,46527000000,2107000000,24024000000,26140000000,121073000000,13240000000,6630000000,6043000000,https://www.sec.gov/Archives/edgar/data/899051/000089905119000072/0000899051-19-000072-index.htm,https://www.sec.gov/Archives/edgar/data/899051/000089905119000072/allcorp-9301910xq.htm
2019-06-30,ALL,2019-07-30,2019-07-30 16:23:48,Q2,599000000,58484000000,59083000000,6380000000,0.0,0.0,65463000000,1058000000,2547000000,0.0,2547000000,0.0,0.0,51853000000,52911000000,114170000000,118374000000,0.0,0.0,0.0,14752000000,0.0,14752000000,6628000000,0.0,997000000,0.0,7625000000,71521000000,93898000000,9000000.0,45803000000,1760000000,22707000000,24476000000,118374000000,58484000000,6628000000,6029000000,https://www.sec.gov/Archives/edgar/data/899051/000089905119000060/0000899051-19-000060-index.htm,https://www.sec.gov/Archives/edgar/data/899051/000089905119000060/allcorp-6301910xq.htm
2019-03-31,ALL,2019-05-01,2019-05-01 16:21:09,Q1,551000000,58202000000,58753000000,6201000000,0.0,0.0,64954000000,1047000000,2547000000,0.0,2547000000,0.0,0.0,49833000000,50880000000,111689000000,115834000000,0.0,0.0,0.0,14323000000,0.0,14323000000,6453000000,0.0,817000000,0.0,7270000000,70823000000,92416000000,9000000.0,45148000000,1085000000,22324000000,23418000000,115834000000,58202000000,6453000000,5902000000,https://www.sec.gov/Archives/edgar/data/899051/000089905119000022/0000899051-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/899051/000089905119000022/allcorp-3311910xq.htm
2018-12-31,ALL,2019-02-15,2019-02-15 13:43:51,FY,499000000,3027000000,3526000000,6154000000,0.0,0.0,9680000000,1045000000,2530000000,0.0,2530000000,7505000000,0.0,94019000000,102569000000,108673000000,112249000000,0.0,0.0,0.0,14510000000,0.0,14510000000,6451000000,0.0,425000000,0.0,6876000000,69551000000,90937000000,0.01,45708000000,-1557000000,22860000000,21312000000,112249000000,10532000000,6451000000,5952000000,https://www.sec.gov/Archives/edgar/data/899051/000089905119000007/0000899051-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/899051/000089905119000007/allcorp-12311810xk.htm
2018-09-30,ALL,2018-10-31,2018-10-31 16:22:27,Q3,460000000,3071000000,3531000000,6196000000,0.0,0.0,9727000000,1032000000,2189000000,0.0,2189000000,7602000000,0.0,96129000000,104763000000,110809000000,114490000000,0.0,0.0,0.0,14408000000,0.0,14408000000,6450000000,0.0,660000000,0.0,7110000000,69339000000,90857000000,0.01,46178000000,-1284000000,24908000000,23633000000,114490000000,10673000000,6450000000,5990000000,https://www.sec.gov/Archives/edgar/data/899051/000089905118000056/0000899051-18-000056-index.htm,https://www.sec.gov/Archives/edgar/data/899051/000089905118000056/allcorp-9301810xq.htm
2018-06-30,ALL,2018-08-01,2018-08-01 16:20:43,Q2,489000000,3123000000,3612000000,5953000000,0.0,0.0,9565000000,1040000000,2189000000,0.0,2189000000,7679000000,0.0,95085000000,103804000000,109651000000,113369000000,0.0,0.0,0.0,13824000000,0.0,13824000000,6448000000,0.0,723000000,0.0,7171000000,69252000000,90247000000,0.01,45508000000,-1268000000,24381000000,23122000000,113369000000,10802000000,6448000000,5959000000,https://www.sec.gov/Archives/edgar/data/899051/000089905118000044/0000899051-18-000044-index.htm,https://www.sec.gov/Archives/edgar/data/899051/000089905118000044/allcorp-6301810xq.htm
2018-03-31,ALL,2018-05-01,2018-05-01 17:03:50,Q1,450000000,3424000000,3874000000,5856000000,0.0,0.0,9730000000,1060000000,2189000000,0.0,2189000000,7434000000,0.0,95065000000,103559000000,109590000000,113289000000,0.0,0.0,0.0,13448000000,0.0,13448000000,6847000000,0.0,725000000,0.0,7572000000,68992000000,90012000000,0.01,45031000000,-1150000000,24418000000,23277000000,113289000000,10858000000,6847000000,6397000000,https://www.sec.gov/Archives/edgar/data/899051/000089905118000017/0000899051-18-000017-index.htm,https://www.sec.gov/Archives/edgar/data/899051/000089905118000017/allcorp-3311810xq.htm
2017-12-31,ALL,2018-02-26,2018-02-26 17:10:16,FY,617000000,1944000000,2561000000,5786000000,0.0,0.0,8347000000,1072000000,2181000000,0.0,2181000000,6740000000,0.0,96263000000,104075000000,109168000000,112422000000,0.0,0.0,0.0,13473000000,0.0,13473000000,6350000000,0.0,782000000,0.0,7132000000,69266000000,89871000000,0.01,43162000000,306000000,22236000000,22551000000,112422000000,8684000000,6350000000,5733000000,https://www.sec.gov/Archives/edgar/data/899051/000089905118000007/0000899051-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/899051/000089905118000007/allcorp-12311710xk.htm
