date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,AXP,2020-04-24,2020-04-24 15:51:23,Q1,36095000000,0.0,36095000000,44269000000,0.0,0.0,80364000000,4798000000,0.0,0.0,0.0,33662000000,0.0,67236000000,105696000000,183774000000,186060000000,7977000000,3497000000,0.0,0.0,0.0,11474000000,16275000000,0.0,0.0,0.0,16275000000,137305000000,165054000000,161000000,12161000000,-2996000000,11680000000,21006000000,186060000000,33662000000,19772000000,-16323000000,https://www.sec.gov/Archives/edgar/data/4962/000000496220000054/0000004962-20-000054-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496220000054/axp-20200331.htm
2019-12-31,AXP,2020-02-13,2020-02-13 16:04:42,FY,23932000000,138000000,24070000000,56794000000,0.0,0.0,80864000000,4834000000,0.0,0.0,0.0,20392000000,0.0,92231000000,117457000000,174389000000,198321000000,12738000000,6442000000,0.0,0.0,0.0,19180000000,19668000000,0.0,0.0,0.0,19668000000,136402000000,175250000000,163000000,13871000000,-2737000000,11774000000,23071000000,198321000000,20530000000,26110000000,2178000000,https://www.sec.gov/Archives/edgar/data/4962/000000496220000030/0000004962-20-000030-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496220000030/axp-20191231.htm
2019-09-30,AXP,2019-10-21,2019-10-21 13:56:06,Q3,24266000000,0.0,24266000000,4340000000,0.0,0.0,28606000000,4715000000,0.0,0.0,0.0,21081000000,0.0,139782000000,165578000000,191015000000,194184000000,12866000000,2818000000,0.0,0.0,0.0,15684000000,20235000000,0.0,0.0,0.0,20235000000,135240000000,171159000000,165000000,13652000000,-2661000000,11869000000,23025000000,194184000000,21081000000,23053000000,-1213000000,https://www.sec.gov/Archives/edgar/data/4962/000000496219000086/0000004962-19-000086-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496219000086/axp-20190930.htm
2019-06-30,AXP,2019-07-23,2019-07-23 15:55:11,Q2,26869000000,0.0,26869000000,4059000000,0.0,0.0,30928000000,4658000000,0.0,0.0,0.0,22100000000,0.0,139917000000,166675000000,192903000000,197603000000,16518000000,2827000000,0.0,0.0,0.0,19345000000,57736000000,0.0,0.0,0.0,57736000000,97430000000,174511000000,167000000,13551000000,-2606000000,11980000000,23092000000,197603000000,22100000000,60563000000,33694000000,https://www.sec.gov/Archives/edgar/data/4962/000000496219000051/0000004962-19-000051-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496219000051/axpq21910q.htm
2019-03-31,AXP,2019-04-23,2019-04-23 12:49:32,Q1,33177000000,6457000000,39634000000,56227000000,0.0,0.0,95861000000,4479000000,0.0,0.0,0.0,29110000000,0.0,67743000000,101332000000,193167000000,197193000000,16162000000,2028000000,0.0,0.0,0.0,18190000000,58418000000,0.0,0.0,0.0,58418000000,98367000000,174975000000,168000000,12686000000,-2599000000,11963000000,22218000000,197193000000,35567000000,60446000000,27269000000,https://www.sec.gov/Archives/edgar/data/4962/000000496219000031/0000004962-19-000031-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496219000031/axpq11910q.htm
2018-12-31,AXP,2019-02-13,2019-02-13 17:21:47,FY,27445000000,166000000,27611000000,55320000000,0.0,0.0,82931000000,4416000000,0.0,0.0,0.0,24026000000,0.0,77229000000,105671000000,102930000000,188602000000,12255000000,3100000000,0.0,0.0,0.0,15355000000,58423000000,0.0,0.0,0.0,58423000000,92534000000,166312000000,170000000,12499000000,-2597000000,12218000000,22290000000,188602000000,24192000000,61523000000,34078000000,https://www.sec.gov/Archives/edgar/data/4962/000000496219000018/0000004962-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496219000018/axp201810k.htm
2018-09-30,AXP,2018-10-23,2018-10-23 15:10:07,Q3,30231000000,6071000000,36302000000,54972000000,0.0,0.0,91274000000,4295000000,0.0,0.0,0.0,25856000000,0.0,67667000000,97818000000,184769000000,189092000000,15605000000,2292000000,0.0,0.0,0.0,17897000000,55300000000,0.0,0.0,0.0,55300000000,94435000000,167632000000,171000000,11521000000,-2504000000,12272000000,21460000000,189092000000,31927000000,57592000000,27361000000,https://www.sec.gov/Archives/edgar/data/4962/000000496218000121/0000004962-18-000121-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496218000121/axpq31810q.htm
2018-06-30,AXP,2018-07-24,2018-07-24 16:07:50,Q2,29743000000,4753000000,34496000000,54424000000,0.0,0.0,88920000000,4251000000,0.0,0.0,0.0,26207000000,0.0,65483000000,95941000000,181438000000,184861000000,13800000000,1972000000,0.0,0.0,0.0,15772000000,55883000000,0.0,0.0,0.0,55883000000,92314000000,163969000000,173000000,10896000000,-2483000000,12306000000,20892000000,184861000000,30960000000,57855000000,28112000000,https://www.sec.gov/Archives/edgar/data/4962/000000496218000095/0000004962-18-000095-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496218000095/axpq21810q.htm
2018-03-31,AXP,2018-04-25,2018-04-25 15:54:04,Q1,31092000000,3388000000,34480000000,53676000000,0.0,0.0,88156000000,4271000000,0.0,0.0,0.0,27315000000,0.0,60214000000,91800000000,176329000000,179956000000,14038000000,1852000000,0.0,0.0,0.0,15890000000,52461000000,0.0,0.0,0.0,52461000000,91992000000,160343000000,172000000,9597000000,-2381000000,12225000000,19613000000,179956000000,30703000000,54313000000,23221000000,https://www.sec.gov/Archives/edgar/data/4962/000000496218000060/0000004962-18-000060-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496218000060/axpq11810q.htm
2017-12-31,AXP,2018-02-16,2018-02-16 16:54:58,FY,32927000000,3159000000,36086000000,53526000000,0.0,0.0,89612000000,4329000000,0.0,0.0,0.0,27709000000,0.0,59509000000,91547000000,91543000000,181159000000,14657000000,3278000000,0.0,0.0,0.0,17935000000,55804000000,0.0,0.0,0.0,55804000000,89193000000,162932000000,172000000,8273000000,-2428000000,12210000000,18227000000,181159000000,30868000000,59082000000,26155000000,https://www.sec.gov/Archives/edgar/data/4962/000000496218000032/0000004962-18-000032-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496218000032/axp201710k.htm
2017-09-30,AXP,2017-10-24,2017-10-24 13:20:11,Q3,26168000000,3250000000,29418000000,51002000000,0.0,0.0,80420000000,4367000000,0.0,0.0,0.0,22059000000,0.0,61731000000,88157000000,165757000000,168577000000,12240000000,2352000000,0.0,0.0,0.0,14592000000,48762000000,0.0,0.0,0.0,48762000000,84138000000,147492000000,175000000,10908000000,-2316000000,12318000000,21085000000,168577000000,25309000000,51114000000,24946000000,https://www.sec.gov/Archives/edgar/data/4962/000000496217000105/0000004962-17-000105-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496217000105/axpq31710q.htm
2017-06-30,AXP,2017-07-25,2017-07-25 12:56:32,Q2,30442000000,3360000000,33802000000,48930000000,0.0,0.0,82732000000,4445000000,0.0,0.0,0.0,26363000000,0.0,53457000000,84265000000,164288000000,166997000000,12106000000,3426000000,0.0,0.0,0.0,15532000000,51945000000,0.0,0.0,0.0,51945000000,78345000000,145822000000,177000000,10970000000,-2428000000,12456000000,21175000000,166997000000,29723000000,55371000000,24929000000,https://www.sec.gov/Archives/edgar/data/4962/000000496217000071/0000004962-17-000071-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496217000071/axpq21710q.htm
2017-03-31,AXP,2017-04-27,2017-04-27 15:12:48,Q1,29366000000,3561000000,32927000000,47154000000,0.0,0.0,80081000000,4433000000,0.0,0.0,0.0,25497000000,0.0,51374000000,81304000000,158926000000,161385000000,11700000000,3600000000,0.0,0.0,0.0,15300000000,51647000000,0.0,0.0,0.0,51647000000,73503000000,140450000000,179000000,10633000000,-2470000000,12593000000,20935000000,161385000000,29058000000,55247000000,25881000000,https://www.sec.gov/Archives/edgar/data/4962/000000496217000040/0000004962-17-000040-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496217000040/axpq11710q.htm
2016-12-31,AXP,2017-02-17,2017-02-17 11:45:00,FY,25208000000,3157000000,28365000000,46841000000,0.0,0.0,75206000000,4433000000,0.0,0.0,0.0,20779000000,0.0,58475000000,83687000000,83612000000,158893000000,11190000000,5581000000,0.0,0.0,0.0,16771000000,46990000000,0.0,0.0,0.0,46990000000,74631000000,138392000000,181000000,10371000000,-2784000000,12733000000,20501000000,158893000000,23936000000,52571000000,27363000000,https://www.sec.gov/Archives/edgar/data/4962/000119312517047588/0001193125-17-047588-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312517047588/d321397d10k.htm
2016-09-30,AXP,2016-10-25,2016-10-25 15:42:00,Q3,26520000000,3728000000,30248000000,44821000000,0.0,0.0,75069000000,4301000000,0.0,0.0,0.0,22988000000,0.0,51019000000,78308000000,150853000000,153377000000,11372000000,2861000000,0.0,0.0,0.0,14233000000,44894000000,0.0,0.0,0.0,44894000000,73250000000,132377000000,184000000,10661000000,-2618000000,12773000000,21000000000,153377000000,26716000000,47755000000,21235000000,https://www.sec.gov/Archives/edgar/data/4962/000119312516746492/0001193125-16-746492-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312516746492/d258419d10q.htm
2016-06-30,AXP,2016-07-26,2016-07-26 13:36:31,Q2,33767000000,3892000000,37659000000,44800000000,0.0,0.0,82459000000,4210000000,0.0,0.0,0.0,30379000000,0.0,42594000000,77183000000,156831000000,159642000000,11729000000,2343000000,0.0,0.0,0.0,14072000000,50649000000,0.0,0.0,0.0,50649000000,74209000000,138930000000,185000000,10280000000,-2621000000,12868000000,20712000000,159642000000,34271000000,52992000000,19225000000,https://www.sec.gov/Archives/edgar/data/4962/000119312516657869/0001193125-16-657869-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312516657869/d218447d10q.htm
2016-03-31,AXP,2016-04-27,2016-04-27 14:28:56,Q1,25045000000,3839000000,28884000000,44027000000,0.0,0.0,72911000000,4137000000,0.0,0.0,0.0,21899000000,0.0,59869000000,85905000000,156055000000,158816000000,12027000000,2596000000,0.0,0.0,0.0,14623000000,47311000000,0.0,0.0,0.0,47311000000,76155000000,138089000000,191000000,9949000000,-2502000000,13089000000,20727000000,158816000000,25738000000,49907000000,24862000000,https://www.sec.gov/Archives/edgar/data/4962/000119312516558855/0001193125-16-558855-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312516558855/d172171d10q.htm
2015-12-31,AXP,2016-02-19,2016-02-19 14:36:25,FY,22762000000,3759000000,26521000000,43671000000,0.0,0.0,70192000000,4108000000,0.0,0.0,0.0,19569000000,0.0,67315000000,90992000000,91727000000,161184000000,11822000000,4812000000,0.0,0.0,0.0,16634000000,48061000000,0.0,0.0,0.0,48061000000,75816000000,140511000000,194000000,9665000000,-2534000000,13348000000,20673000000,161184000000,23328000000,52873000000,30111000000,https://www.sec.gov/Archives/edgar/data/4962/000119312516469798/0001193125-16-469798-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312516469798/d131774d10k.htm
2015-09-30,AXP,2015-10-28,2015-10-28 14:30:03,Q3,19938000000,3947000000,23885000000,43890000000,0.0,0.0,67775000000,4032000000,0.0,0.0,0.0,16716000000,0.0,65693000000,86441000000,151603000000,154216000000,11340000000,3160000000,0.0,0.0,0.0,14500000000,48653000000,0.0,0.0,0.0,48653000000,69728000000,132881000000,197000000,10025000000,-2374000000,13487000000,21335000000,154216000000,20663000000,51813000000,31875000000,https://www.sec.gov/Archives/edgar/data/4962/000119312515356064/0001193125-15-356064-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312515356064/d20866d10q.htm
2015-06-30,AXP,2015-07-29,2015-07-29 13:06:38,Q2,21071000000,4584000000,25655000000,44459000000,0.0,0.0,70114000000,4016000000,0.0,0.0,0.0,18490000000,0.0,64532000000,87038000000,154710000000,157152000000,11056000000,4486000000,0.0,0.0,0.0,15542000000,52740000000,0.0,0.0,0.0,52740000000,66985000000,135267000000,201000000,10199000000,-2154000000,13639000000,21885000000,157152000000,23074000000,57226000000,36155000000,https://www.sec.gov/Archives/edgar/data/4962/000119312515267714/0001193125-15-267714-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312515267714/d80442d10q.htm
2015-03-31,AXP,2015-04-29,2015-04-29 12:02:17,Q1,23572000000,4417000000,27989000000,43274000000,0.0,0.0,71263000000,3940000000,0.0,0.0,0.0,20933000000,0.0,58548000000,83421000000,152398000000,154684000000,10643000000,2361000000,0.0,0.0,0.0,13004000000,54712000000,0.0,0.0,0.0,54712000000,65138000000,132854000000,204000000,10107000000,-2151000000,13670000000,21830000000,154684000000,25350000000,57073000000,33501000000,https://www.sec.gov/Archives/edgar/data/4962/000119312515155393/0001193125-15-155393-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312515155393/d914131d10q.htm
2014-12-31,AXP,2015-02-24,2015-02-24 15:38:15,FY,22288000000,4431000000,26719000000,44386000000,0.0,0.0,71105000000,3938000000,0.0,0.0,0.0,19190000000,0.0,64870000000,87998000000,63331000000,159103000000,11300000000,3480000000,0.0,0.0,0.0,14780000000,57955000000,0.0,0.0,0.0,57955000000,65695000000,138430000000,205000000,9513000000,-1919000000,12874000000,20673000000,159103000000,23621000000,61435000000,39147000000,https://www.sec.gov/Archives/edgar/data/4962/000119312515059931/0001193125-15-059931-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312515059931/d862737d10k.htm
2014-09-30,AXP,2014-10-28,2014-10-28 15:58:38,Q3,21264000000,4750000000,26014000000,44685000000,0.0,0.0,70699000000,3921000000,0.0,0.0,0.0,18772000000,0.0,60470000000,83163000000,151562000000,153862000000,11510000000,3382000000,0.0,0.0,0.0,14892000000,55712000000,0.0,0.0,0.0,55712000000,63042000000,133646000000,207000000,9335000000,-1542000000,12216000000,20216000000,153862000000,23522000000,59094000000,37830000000,https://www.sec.gov/Archives/edgar/data/4962/000119312514384990/0001193125-14-384990-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312514384990/d808273d10q.htm
2014-06-30,AXP,2014-07-30,2014-07-30 16:22:40,Q2,18430000000,4855000000,23285000000,44893000000,0.0,0.0,68178000000,3870000000,0.0,0.0,0.0,15399000000,0.0,64937000000,84206000000,149741000000,152384000000,11645000000,3436000000,0.0,0.0,0.0,15081000000,54836000000,0.0,0.0,0.0,54836000000,62254000000,132171000000,210000000,9127000000,-1371000000,12247000000,20213000000,152384000000,20254000000,58272000000,39842000000,https://www.sec.gov/Archives/edgar/data/4962/000119312514286961/0001193125-14-286961-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312514286961/d762725d10q.htm
2014-03-31,AXP,2014-04-29,2014-04-29 16:03:15,Q1,20740000000,4761000000,25501000000,44240000000,0.0,0.0,69741000000,3893000000,0.0,0.0,0.0,17909000000,0.0,59954000000,81756000000,149004000000,151497000000,11844000000,2821000000,0.0,0.0,0.0,14665000000,54095000000,0.0,0.0,0.0,54095000000,62760000000,131520000000,212000000,8822000000,-1394000000,12337000000,19977000000,151497000000,22670000000,56916000000,36176000000,https://www.sec.gov/Archives/edgar/data/4962/000119312514167067/0001193125-14-167067-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312514167067/d714342d10q.htm
2013-12-31,AXP,2014-02-25,2014-02-25 12:48:41,FY,19486000000,5016000000,24502000000,43777000000,0.0,0.0,68279000000,3875000000,0.0,0.0,0.0,16776000000,0.0,64445000000,85096000000,60904000000,153375000000,10615000000,5021000000,0.0,0.0,0.0,15636000000,55330000000,0.0,0.0,0.0,55330000000,62913000000,133879000000,213000000,8507000000,-1426000000,12202000000,19496000000,153375000000,21792000000,60351000000,40865000000,https://www.sec.gov/Archives/edgar/data/4962/000119312514066777/0001193125-14-066777-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312514066777/d656045d10k.htm
