date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,BA,2020-04-29,2020-04-29 12:54:55,Q1,0.0,1124000000,1124000000,3211000000,80020000000,26656000000,111011000000,12405000000,8057000000,3256000000,11313000000,0.0,0.0,0.0,23718000000,0.0,134729000000,0.0,5173000000,0.0,678000000,88651000000,94502000000,33754000000,0.0,0.0,3398000000,8571000000,0.0,152435000000,5061000000,49854000000,-16333000000,0.0,-9665000000,134729000000,1124000000,38927000000,38927000000,https://www.sec.gov/Archives/edgar/data/12927/000001292720000045/0000012927-20-000045-index.htm,https://www.sec.gov/Archives/edgar/data/12927/000001292720000045/a202003mar3110-q.htm
2019-12-31,BA,2020-01-31,2020-01-31 13:23:40,FY,0.0,1092000000,1092000000,3266000000,76622000000,21249000000,102229000000,12502000000,8060000000,3338000000,11398000000,0.0,0.0,0.0,23900000000,0.0,126129000000,0.0,7340000000,0.0,683000000,89289000000,97312000000,19962000000,0.0,0.0,3422000000,10762000000,0.0,0.0,5061000000,50644000000,-16153000000,0.0,-8617000000,126129000000,1092000000,27302000000,27302000000,https://www.sec.gov/Archives/edgar/data/12927/000001292720000014/0000012927-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/12927/000001292720000014/a201912dec3110k.htm
2019-09-30,BA,2019-10-23,2019-10-23 12:44:54,Q3,0.0,1117000000,1117000000,3564000000,73279000000,23696000000,101656000000,12527000000,8063000000,3587000000,11650000000,0.0,0.0,0.0,24177000000,0.0,125833000000,0.0,4354000000,0.0,296000000,87196000000,91846000000,20298000000,0.0,0.0,3621000000,7975000000,0.0,0.0,5061000000,53986000000,-14927000000,0.0,-4116000000,125833000000,1117000000,24652000000,24652000000,https://www.sec.gov/Archives/edgar/data/12927/000001292719000077/0000012927-19-000077-index.htm,https://www.sec.gov/Archives/edgar/data/12927/000001292719000077/a201909sep3010-q.htm
2019-06-30,BA,2019-07-24,2019-07-24 12:42:25,Q2,0.0,1142000000,1142000000,3291000000,68492000000,22186000000,95111000000,12601000000,8051000000,3761000000,11812000000,0.0,0.0,0.0,24413000000,0.0,119524000000,0.0,4357000000,0.0,357000000,87475000000,92189000000,14859000000,0.0,0.0,4839000000,9196000000,0.0,0.0,5061000000,52819000000,-14908000000,0.0,-5322000000,119524000000,1142000000,19216000000,19216000000,https://www.sec.gov/Archives/edgar/data/12927/000001292719000063/0000012927-19-000063-index.htm,https://www.sec.gov/Archives/edgar/data/12927/000001292719000063/a201906jun3010-q.htm
2019-03-31,BA,2019-04-24,2019-04-24 12:56:09,Q1,0.0,1183000000,1183000000,3669000000,65369000000,19288000000,89509000000,12594000000,7967000000,3498000000,11465000000,0.0,0.0,0.0,24059000000,0.0,113568000000,0.0,3381000000,0.0,281000000,79953000000,83615000000,11363000000,0.0,0.0,3731000000,7112000000,0.0,0.0,5061000000,58090000000,-14969000000,0.0,125000000,113568000000,1183000000,14744000000,14744000000,https://www.sec.gov/Archives/edgar/data/12927/000001292719000030/0000012927-19-000030-index.htm,https://www.sec.gov/Archives/edgar/data/12927/000001292719000030/a201903mar3110-q.htm
2018-12-31,BA,2019-02-08,2019-02-08 13:10:39,FY,0.0,1087000000,1087000000,3879000000,62567000000,20297000000,87830000000,12645000000,7840000000,3429000000,11269000000,0.0,0.0,0.0,23914000000,0.0,111744000000,0.0,3190000000,0.0,284000000,78116000000,81590000000,10657000000,0.0,0.0,3059000000,6249000000,0.0,0.0,5061000000,55941000000,-15083000000,0.0,339000000,111744000000,1087000000,13847000000,13847000000,https://www.sec.gov/Archives/edgar/data/12927/000001292719000010/0000012927-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/12927/000001292719000010/a201812dec3110k.htm
2018-09-30,BA,2018-10-24,2018-10-24 13:38:46,Q3,0.0,1190000000,1190000000,2893000000,62038000000,21565000000,87686000000,12571000000,5722000000,2530000000,8252000000,0.0,0.0,0.0,20823000000,0.0,108509000000,0.0,1389000000,0.0,323000000,77705000000,79417000000,10487000000,0.0,0.0,2905000000,4294000000,0.0,0.0,5061000000,54666000000,-15949000000,0.0,-1289000000,108509000000,1190000000,11876000000,11876000000,https://www.sec.gov/Archives/edgar/data/12927/000001292718000065/0000012927-18-000065-index.htm,https://www.sec.gov/Archives/edgar/data/12927/000001292718000065/a201809sep3010-q.htm
2018-06-30,BA,2018-07-25,2018-07-25 12:55:19,Q2,0.0,1203000000,1203000000,2823000000,61250000000,21125000000,86401000000,12605000000,5550000000,2494000000,8044000000,0.0,0.0,0.0,20649000000,0.0,107050000000,0.0,1611000000,0.0,325000000,75789000000,77725000000,10507000000,0.0,0.0,2875000000,4486000000,0.0,0.0,5061000000,52303000000,-16139000000,0.0,-1441000000,107050000000,1203000000,12118000000,12118000000,https://www.sec.gov/Archives/edgar/data/12927/000001292718000048/0000012927-18-000048-index.htm,https://www.sec.gov/Archives/edgar/data/12927/000001292718000048/a201806jun3010-q.htm
2018-03-31,BA,2018-04-25,2018-04-25 12:42:54,Q1,0.0,1248000000,1248000000,2802000000,61303000000,21190000000,86543000000,12628000000,5558000000,2525000000,8083000000,0.0,0.0,0.0,20711000000,0.0,107254000000,0.0,1981000000,0.0,325000000,73226000000,75532000000,10471000000,0.0,0.0,2474000000,4455000000,0.0,0.0,5061000000,52095000000,-16162000000,0.0,1222000000,107254000000,1248000000,12452000000,12452000000,https://www.sec.gov/Archives/edgar/data/12927/000001292718000018/0000012927-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/12927/000001292718000018/a201803mar3110-q.htm
2017-12-31,BA,2018-02-12,2018-02-12 14:31:00,FY,0.0,1260000000,1260000000,10516000000,44344000000,9041000000,65161000000,12672000000,5559000000,2573000000,8132000000,0.0,0.0,0.0,20804000000,0.0,85965000000,0.0,1335000000,0.0,341000000,54593000000,56269000000,9782000000,0.0,0.0,0.0,1335000000,0.0,0.0,5061000000,45320000000,-13376000000,0.0,355000000,85965000000,1260000000,11117000000,11117000000,https://www.sec.gov/Archives/edgar/data/12927/000001292718000007/0000012927-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/12927/000001292718000007/a201712dec3110k.htm
