date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,BAC,2020-05-01,2020-05-01 16:56:46,Q1,30052000000,0.0,30052000000,0.0,0.0,0.0,30052000000,0.0,68951000000,0.0,68951000000,0.0,0.0,0.0,68951000000,2520951000000,2619954000000,0.0,30118000000,0.0,0.0,0.0,30118000000,256712000000,0.0,0.0,0.0,256712000000,0.0,2355036000000,85745000000,155866000000,-120000000,23427000000,264918000000,2619954000000,0.0,739351000000,709299000000,https://www.sec.gov/Archives/edgar/data/70858/000007085820000023/0000070858-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085820000023/bac-0331202010xq.htm
2019-12-31,BAC,2020-02-19,2020-02-19 16:18:13,FY,161560000000,472197000000,633757000000,55937000000,0.0,0.0,689694000000,10561000000,68951000000,0.0,68951000000,472197000000,0.0,1261627000000,1744385000000,2203568000000,2434079000000,0.0,3941000000,0.0,0.0,0.0,3941000000,240856000000,0.0,0.0,0.0,240856000000,1924472000000,2169269000000,0.01,156319000000,-6633000000,115123999999.99,264810000000,2434079000000,944394000000,244797000000,83237000000,https://www.sec.gov/Archives/edgar/data/70858/000007085820000011/0000070858-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085820000011/bac-1231201910xk.htm
2019-09-30,BAC,2019-10-28,2019-10-28 16:37:44,Q3,157094000000,444594000000,601688000000,52560000000,0.0,0.0,654248000000,10493000000,68951000000,0.0,68951000000,444594000000,0.0,1316995000000,1772082000000,2330440000000,2426330000000,0.0,3458000000,0.0,0.0,0.0,3458000000,243405000000,0.0,0.0,0.0,243405000000,1911080000000,2157943000000,0.01,151183000000,-5617000000,122820999999.99,268387000000,2426330000000,889188000000,246863000000,89769000000,https://www.sec.gov/Archives/edgar/data/70858/000007085819000057/0000070858-19-000057-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085819000057/bac-930201910xq.htm
2019-06-30,BAC,2019-07-29,2019-07-29 17:06:39,Q2,171394000000,446075000000,617469000000,53329000000,0.0,0.0,670798000000,10426000000,68951000000,0.0,68951000000,446075000000,0.0,1268593000000,1725094000000,2297532000000,2395892000000,0.0,2403000000,0.0,0.0,0.0,2403000000,238011000000,0.0,0.0,0.0,238011000000,1884070000000,2124484000000,0.01,147577000000,-7477000000,131307999999.99,271408000000,2395892000000,892150000000,240414000000,69020000000,https://www.sec.gov/Archives/edgar/data/70858/000007085819000042/0000070858-19-000042-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085819000042/bac-630201910xq.htm
2019-03-31,BAC,2019-04-26,2019-04-26 16:06:36,Q1,171623000000,440674000000,612297000000,53496000000,0.0,0.0,665793000000,10251000000,68951000000,0.0,68951000000,440674000000,0.0,1260446000000,1711371000000,2280130000000,2377164000000,0.0,1895000000,0.0,0.0,0.0,1895000000,233929000000,0.0,0.0,0.0,233929000000,1874330000000,2110154000000,0.01,141888000000,-10042000000,135163999999.99,267010000000,2377164000000,881348000000,235824000000,64201000000,https://www.sec.gov/Archives/edgar/data/70858/000007085819000026/0000070858-19-000026-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085819000026/bac-331201910xq.htm
2018-12-31,BAC,2019-02-26,2019-02-26 16:38:01,FY,177404000000,441753000000,619157000000,65814000000,0.0,0.0,684971000000,9906000000,68951000000,0.0,68951000000,441753000000,0.0,1217877000000,1669536000000,2108152000000,2354507000000,0.0,1648000000,0.0,0.0,0.0,1648000000,229340000000,0.0,0.0,0.0,229340000000,1858194000000,2089182000000,0.01,136314000000,-12211000000,141221999999.99,265325000000,2354507000000,883506000000,230988000000,53584000000,https://www.sec.gov/Archives/edgar/data/70858/000007085819000012/0000070858-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085819000012/bac-1231201810xk.htm
2018-09-30,BAC,2018-10-29,2018-10-29 16:14:17,Q3,184858000000,446107000000,630965000000,56962000000,0.0,0.0,687927000000,9680000000,68951000000,0.0,68951000000,446107000000,0.0,1195119000000,1650906000000,2242442000000,2338833000000,0.0,1789000000,0.0,0.0,0.0,1789000000,234100000000,0.0,0.0,0.0,234100000000,1840786000000,2076675000000,0.01,130747000000,-14836000000,146246999999.99,262158000000,2338833000000,892214000000,235889000000,51031000000,https://www.sec.gov/Archives/edgar/data/70858/000007085818000042/0000070858-18-000042-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085818000042/bac-930201810xq.htm
2018-06-30,BAC,2018-07-30,2018-07-30 16:31:01,Q2,171199000000,438269000000,609468000000,57813000000,0.0,0.0,667281000000,9537000000,68951000000,0.0,68951000000,438269000000,0.0,1176583000000,1624389000000,2193354000000,2291670000000,0.0,3396000000,0.0,0.0,0.0,3396000000,226595000000,0.0,0.0,0.0,226595000000,1797463000000,2027454000000,0.01,125546000000,-13333000000,152002999999.99,264216000000,2291670000000,876538000000,229991000000,58792000000,https://www.sec.gov/Archives/edgar/data/70858/000007085818000030/0000070858-18-000030-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085818000030/bac-630201810xq.htm
2018-03-31,BAC,2018-04-30,2018-04-30 16:44:02,Q1,204241000000,426837000000,631078000000,58127000000,0.0,0.0,689205000000,9399000000,68951000000,0.0,68951000000,426837000000,0.0,1203037000000,1639273000000,2233280000000,2328478000000,0.0,2284000000,0.0,0.0,0.0,2284000000,232256000000,0.0,0.0,0.0,232256000000,1827714000000,2062254000000,0.01,120298000000,-12278000000,158203999999.99,266224000000,2328478000000,853674000000,234540000000,30299000000,https://www.sec.gov/Archives/edgar/data/70858/000007085818000020/0000070858-18-000020-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085818000020/bac-331201810xq.htm
2017-12-31,BAC,2018-02-22,2018-02-22 16:10:05,FY,157434000000,440130000000,597564000000,61623000000,0.0,0.0,659187000000,9247000000,68951000000,0.0,0.0,440130000000,0.0,1172670000000,1622047000000,2123800000000,2281234000000,0.0,1494000000,0.0,0.0,0.0,1494000000,227402000000,0.0,0.0,0.0,227402000000,1785192000000,2014088000000,0.01,113816000000,-7082000000,160411999999.99,267146000000,2281234000000,880260000000,228896000000,71462000000,https://www.sec.gov/Archives/edgar/data/70858/000007085818000009/0000070858-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085818000009/bac-1231201710xk.htm
2017-09-30,BAC,2017-10-30,2017-10-30 16:05:41,Q3,172381000000,439209000000,611590000000,55855000000,0.0,0.0,667445000000,8971000000,68968000000,2459000000,71427000000,439209000000,0.0,1096844000000,1616451000000,2181650000000,2283896000000,0.0,1904000000,0.0,0.0,0.0,1904000000,228666000000,0.0,0.0,0.0,228666000000,1780867000000,2011437000000,0.01,113486000000,-6168000000,165140999999.99,272459000000,2283896000000,878418000000,230570000000,58189000000,https://www.sec.gov/Archives/edgar/data/70858/000007085817000046/0000070858-17-000046-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085817000046/bac-930201710xq.htm
2017-06-30,BAC,2017-07-31,2017-07-31 16:04:22,Q2,158704000000,434517000000,593221000000,59342000000,0.0,0.0,652563000000,8904000000,68969000000,2610000000,71579000000,434517000000,0.0,1086966000000,1601966000000,2152976000000,2254529000000,0.0,1572000000,0.0,0.0,0.0,1572000000,223923000000,0.0,0.0,0.0,223923000000,1758047000000,1983542000000,0.01,109628000000,-6605000000,167963999999.99,270987000000,2254529000000,869034000000,225495000000,66791000000,https://www.sec.gov/Archives/edgar/data/70858/000007085817000037/0000070858-17-000037-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085817000037/bac-630201710xq.htm
2017-03-31,BAC,2017-05-02,2017-05-02 16:06:33,Q1,168025000000,428045000000,596070000000,59534000000,0.0,0.0,655604000000,9319000000,68969000000,2766000000,71735000000,428045000000,0.0,1082998000000,1592097000000,2147011000000,2247701000000,0.0,1041000000,0.0,0.0,0.0,1041000000,221385000000,0.0,0.0,0.0,221385000000,1757122000000,1979548000000,0.01,105467000000,-7316000000,170001999999.99,268153000000,2247701000000,856090000000,222426000000,54401000000,https://www.sec.gov/Archives/edgar/data/70858/000007085817000025/0000070858-17-000025-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085817000025/bac-331201710xq.htm
2016-12-31,BAC,2017-02-23,2017-02-23 16:11:19,FY,147738000000,430731000000,578469000000,58759000000,0.0,0.0,637228000000,9139000000,68969000000,2922000000,71891000000,430731000000,0.0,1038713000000,1550474000000,2039964000000,2187702000000,0.0,2024000000,0.0,0.0,0.0,2024000000,216823000000,0.0,0.0,0.0,216823000000,1702015000000,1920862000000,0.01,101870000000,-7288000000,172257999999.99,266840000000,2187702000000,861462000000,218847000000,71109000000,https://www.sec.gov/Archives/edgar/data/70858/000007085817000013/0000070858-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085817000013/bac-1231201610xk.htm
2016-09-30,BAC,2016-11-01,2016-11-01 16:08:05,Q3,143434000000,434914000000,578348000000,54116000000,0.0,0.0,632464000000,9133000000,69744000000,3168000000,72912000000,434914000000,0.0,1045891000000,1562850000000,2095701000000,2195314000000,0.0,1055000000,0.0,0.0,0.0,1055000000,225136000000,0.0,0.0,0.0,225136000000,1699040000000,1925231000000,0.01,98303000000,-1701000000,173480999999.99,270083000000,2195314000000,869828000000,226191000000,82757000000,https://www.sec.gov/Archives/edgar/data/70858/000007085816000222/0000070858-16-000222-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085816000222/bac-930201610xq.htm
2016-06-30,BAC,2016-08-01,2016-08-01 16:49:01,Q2,171207000000,411949000000,583156000000,58150000000,0.0,0.0,641306000000,9150000000,69744000000,3352000000,73096000000,411949000000,0.0,1051108000000,1545303000000,2015402000000,2186609000000,0.0,1860000000,0.0,0.0,0.0,1860000000,229617000000,0.0,0.0,0.0,229617000000,1688063000000,1919540000000,0.01,93623000000,-1328000000,174773999999.99,267069000000,2186609000000,823898000000,231477000000,60270000000,https://www.sec.gov/Archives/edgar/data/70858/000007085816000200/0000070858-16-000200-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085816000200/bac-630201610xq.htm
2016-03-31,BAC,2016-05-02,2016-05-02 16:10:57,Q1,179610000000,400311000000,579921000000,56838000000,0.0,0.0,636759000000,9358000000,69761000000,3578000000,73339000000,400311000000,0.0,1065731000000,1548739000000,2005888000000,2185498000000,0.0,1482000000,0.0,0.0,0.0,1482000000,232849000000,0.0,0.0,0.0,232849000000,1688391000000,1922722000000,0.01,90270000000,-2610000000,175115999999.99,262776000000,2185498000000,800622000000,234331000000,54721000000,https://www.sec.gov/Archives/edgar/data/70858/000007085816000166/0000070858-16-000166-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085816000166/bac-331201610xq.htm
2015-12-31,BAC,2016-02-24,2016-02-24 16:47:44,FY,159353000000,407005000000,566358000000,58312000000,0.0,0.0,624670000000,9485000000,69761000000,3768000000,73529000000,407005000000,0.0,1029627000000,1519646000000,1984963000000,2144316000000,0.0,1325000000,0.0,0.0,0.0,1325000000,236764000000,0.0,0.0,0.0,236764000000,1650022000000,1888111000000,0.01,88564000000,-5674000000,173314999999.99,256205000000,2144316000000,814010000000,238089000000,78736000000,https://www.sec.gov/Archives/edgar/data/70858/000007085816000137/0000070858-16-000137-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085816000137/bac-1231201510xk.htm
2015-09-30,BAC,2015-10-30,2015-10-30 16:57:30,Q3,170426000000,391651000000,562077000000,63443000000,0.0,0.0,625520000000,9554000000,69761000000,3973000000,73734000000,391651000000,0.0,1052547000000,1527486000000,1982580000000,2153006000000,0.0,1869000000,0.0,0.0,0.0,1869000000,237288000000,0.0,0.0,0.0,237288000000,1657944000000,1897101000000,0.01,85485000000,-3694000000,174113999999.99,255905000000,2153006000000,783302000000,239157000000,68731000000,https://www.sec.gov/Archives/edgar/data/70858/000007085815000103/0000070858-15-000103-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085815000103/bac-930201510xq.htm
2015-06-30,BAC,2015-07-29,2015-07-29 16:09:58,Q2,163514000000,392379000000,555893000000,64505000000,0.0,0.0,620398000000,9700000000,69775000000,4188000000,73963000000,392379000000,0.0,1052594000000,1528636000000,1985520000000,2149034000000,0.0,1841000000,0.0,0.0,0.0,1841000000,243414000000,0.0,0.0,0.0,243414000000,1652120000000,1897375000000,0.01,81938000000,-5190000000,174910999999.99,251659000000,2149034000000,784758000000,245255000000,81741000000,https://www.sec.gov/Archives/edgar/data/70858/000007085815000078/0000070858-15-000078-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085815000078/bac-630201510xq.htm
2015-03-31,BAC,2015-04-29,2015-04-29 16:14:38,Q1,162543000000,383989000000,546532000000,63716000000,0.0,0.0,610248000000,9833000000,69776000000,4391000000,74167000000,383989000000,0.0,1065308000000,1533297000000,1981002000000,2143545000000,0.0,2893000000,0.0,0.0,0.0,2893000000,237858000000,0.0,0.0,0.0,237858000000,1652606000000,1893357000000,0.01,77472000000,-2967000000,175682999999.99,250188000000,2143545000000,767978000000,240751000000,78208000000,https://www.sec.gov/Archives/edgar/data/70858/000007085815000048/0000070858-15-000048-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085815000048/bac-331201510xq.htm
2014-12-31,BAC,2015-02-25,2015-02-25 16:06:24,FY,138589000000,380461000000,519050000000,61845000000,0.0,0.0,580895000000,10049000000,69777000000,4612000000,74389000000,380461000000,0.0,1058740000000,1523639000000,1965945000000,2104534000000,0.0,2697000000,0.0,0.0,0.0,2697000000,243139000000,0.0,0.0,0.0,243139000000,1615227000000,1861063000000,0.01,75024000000,-4320000000,172766999999.99,243471000000,2104534000000,760922000000,245836000000,107247000000,https://www.sec.gov/Archives/edgar/data/70858/000007085815000008/0000070858-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085815000008/bac-12312014x10k.htm
