date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,BIIB,2020-04-23,2020-04-23 16:15:49,Q1,2591000000,1269000000,3860000000,2092000000,858000000,1197000000,8007000000,3281000000,5752000000,3446000000,9198000000,1269000000,0,0,13748000000,4364000000,26119000000,389000000,1501000000,310000000,0,2748000000,4638000000,2437000000,0,0,1357000000,3794000000,0,13582000000,0,15673000000,-149000000,0,12546000000,26119000000,2538000000,3938000000,1347000000,https://www.sec.gov/Archives/edgar/data/875045/000087504520000011/0000875045-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504520000011/biib-2020331x10q.htm
2019-12-31,BIIB,2020-02-06,2020-02-06 16:32:39,FY,2913700000,1562200000,4475900000,1880500000,804200000,1221200000,8381800000,3247300000,5757800000,3527400000,9285200000,1408100000,3232100000,1679800000,18852500000,4760000000,27234300000,530800000,1495800000,71400000,500000000,2265800000,4863800000,412700000,0,2810800000,1348900000,4572400000,4454900000,13891100000,100000,16455400000,-135200000,0,13343200000,27234300000,2970300000,1908500000,-1005200000,https://www.sec.gov/Archives/edgar/data/875045/000087504520000005/0000875045-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504520000005/biib-20191231x10k.htm
2019-09-30,BIIB,2019-10-22,2019-10-22 16:12:44,Q3,2343900000,2093500000,4437400000,1933500000,751800000,1325500000,8448200000,3138100000,5746100000,3392400000,9138500000,1813900000,3284500000,1660800000,19035800000,4667000000,27484000000,382200000,1495300000,125600000,500000000,1929100000,4432200000,410500000,0,2820400000,1370900000,4601800000,4454100000,13488100000,100000,17065200000,-92300000,0,13995900000,27484000000,3907400000,1905800000,-438100000,https://www.sec.gov/Archives/edgar/data/875045/000087504519000041/0000875045-19-000041-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504519000041/biib-2019930x10q.htm
2019-06-30,BIIB,2019-07-24,2019-07-23 17:47:07,Q2,1723400000,1228800000,2952200000,1959600000,776700000,2221300000,7909800000,3077500000,5749200000,3681300000,9430500000,1309300000,2820100000,1740400000,18377800000,4643000000,26287600000,377100000,2318000000,427200000,0,88600000,3210900000,423000000,0,2400600000,1355800000,4179400000,5944400000,13334700000,100000,16182800000,-252900000,0,12952900000,26287600000,2538100000,2741000000,1017600000,https://www.sec.gov/Archives/edgar/data/875045/000087504519000029/0000875045-19-000029-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504519000029/biib-2019630x10q.htm
2019-03-31,BIIB,2019-04-24,2019-04-24 16:46:37,Q1,2243200000,1665800000,3909000000,2088900000,770200000,2174500000,8942600000,3013800000,5639700000,3056200000,8695900000,1372700000,2074400000,2346100000,17502900000,4130000000,26445500000,378000000,2435000000,238500000,0,97200000,3148700000,436100000,0,1741700000,1353800000,3531600000,5935300000,12615600000,100000,17026700000,-219800000,0,13829900000,26445500000,3038500000,2871100000,627900000,https://www.sec.gov/Archives/edgar/data/875045/000087504519000017/0000875045-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504519000017/biib-2019331x10q.htm
2018-12-31,BIIB,2019-02-06,2019-02-06 17:21:15,FY,1224600000,2313400000,3538000000,1958500000,929900000,1214500000,7640900000,3601200000,5706400000,3120000000,8826400000,1375900000,2153900000,1690600000,17648000000,2908000000,25288900000,370500000,5936000000,63500000,0,2861200000,3295200000,5936500000,0,1636200000,1389400000,8962100000,-8000000,12249300000,100000,16257000000,-240400000,0,13039600000,25288900000,3689300000,5936500000,4711900000,https://www.sec.gov/Archives/edgar/data/875045/000087504519000006/0000875045-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504519000006/biib-20181231x10k.htm
2018-09-30,BIIB,2018-10-23,2018-10-23 16:25:54,Q3,2386700000,2041700000,4428400000,2017300000,916600000,1356700000,8719000000,3538900000,5440100000,3379000000,8819100000,1244500000,2160900000,1009800000,16773200000,2375000000,25492200000,342300000,5931000000,254100000,0,2578500000,3174900000,5931100000,0,1114600000,1511800000,8557500000,-6800000,11725600000,100000,16944100000,-248300000,0,13766600000,25492200000,3286200000,5931100000,3544400000,https://www.sec.gov/Archives/edgar/data/875045/000087504518000032/0000875045-18-000032-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504518000032/biib-2018930x10q.htm
2018-06-30,BIIB,2018-07-24,2018-07-24 16:53:51,Q2,1250200000,1974000000,3224200000,1951000000,931700000,1325200000,7432100000,3409000000,5170300000,3661300000,8831600000,1160200000,2217900000,902100000,16520800000,2306000000,23952900000,295700000,5928000000,223000000,0,2633700000,3152400000,5928400000,0,1160800000,1457600000,8546800000,-7200000,11692000000,100000,15499500000,-261600000,0,12260900000,23952900000,3134200000,5928400000,4678200000,https://www.sec.gov/Archives/edgar/data/875045/000087504518000019/0000875045-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504518000019/biib-2018630x10q.htm
2018-03-31,BIIB,2018-04-24,2018-04-24 16:53:10,Q1,4108000000,1808000000,5916000000,1939200000,890800000,1449400000,10195400000,3334700000,4907800000,3794500000,8702300000,1200200000,2277400000,380100000,15894700000,2052000000,26090100000,345800000,3300000,231900000,0,2571100000,3152100000,5929400000,0,1331100000,1640000000,8900500000,-16200000,12036400000,100000,17334600000,-303900000,0,14053700000,26090100000,3008200000,5932700000,1824700000,https://www.sec.gov/Archives/edgar/data/875045/000087504518000010/0000875045-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504518000010/biib-2018331x10q.htm
2017-12-31,BIIB,2018-02-01,2018-02-01 16:35:03,FY,1573800000,2115200000,3689000000,1787000000,902700000,1494600000,7873300000,3182400000,4632500000,3879600000,8512100000,3057300000,831800000,195700000,15779300000,1971000000,23652600000,395500000,3200000,68200000,0,2901300000,3368200000,5935000000,0,122600000,1628700000,7686300000,-14700000,11039800000,100000,15810400000,-318400000,0,12612800000,23652600000,5172500000,5938200000,4364400000,https://www.sec.gov/Archives/edgar/data/875045/000087504518000005/0000875045-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504518000005/biib-20171231x10k.htm
