date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2019-12-31,BK,2020-02-27,2020-02-27 06:53:38,FY,345000000,88550000000,88895000000,624000000,0.0,0.0,89519000000,3625000000,17386000000,3107000000,20493000000,14811000000,0.0,253060000000,291989000000,356185000000,381508000000,0.0,3959000000,0.0,0.0,0.0,3959000000,27501000000,0.0,0.0,0.0,27501000000,308565000000,340025000000,14000000,31894000000,-2638000000,12213000000,41483000000,381508000000,103361000000,31460000000,31115000000,https://www.sec.gov/Archives/edgar/data/1390777/000139077720000044/0001390777-20-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1390777/000139077720000044/form10-k4q19.htm
2019-09-30,BK,2019-11-07,2019-11-07 06:53:39,Q3,6718000000,88562000000,95280000000,596000000,0.0,0.0,95876000000,3149000000,17248000000,3124000000,20372000000,15417000000,0.0,238354000000,277292000000,323589000000,373168000000,0.0,3538000000,0.0,0.0,0.0,3538000000,27872000000,0.0,0.0,0.0,27872000000,300638000000,332048000000,14000000,30789000000,-2893000000,13210000000,41120000000,373168000000,103979000000,31410000000,24692000000,https://www.sec.gov/Archives/edgar/data/1390777/000139077719000104/0001390777-19-000104-index.htm,https://www.sec.gov/Archives/edgar/data/1390777/000139077719000104/form10-q3q19.htm
2019-06-30,BK,2019-08-07,2019-08-07 06:40:18,Q2,5556000000,85593000000,91149000000,0.0,0.0,0.0,91149000000,2970000000,17337000000,3160000000,20497000000,15491000000,0.0,251061000000,290019000000,316331000000,381168000000,0.0,8894000000,0.0,0.0,0.0,8894000000,28203000000,0.0,0.0,0.0,28203000000,302538000000,339635000000,14000000,30081000000,-2688000000,14126000000,41533000000,381168000000,101084000000,37097000000,31541000000,https://www.sec.gov/Archives/edgar/data/1390777/000139077719000080/0001390777-19-000080-index.htm,https://www.sec.gov/Archives/edgar/data/1390777/000139077719000080/form10-q2q19.htm
2019-03-31,BK,2019-05-08,2019-05-08 06:39:09,Q1,0.0,83523000000,83523000000,0.0,0.0,0.0,83523000000,3010000000,17367000000,3193000000,20560000000,13681000000,0.0,225358000000,262609000000,315605000000,346132000000,0.0,2773000000,0.0,0.0,0.0,2773000000,27874000000,0.0,0.0,0.0,27874000000,274260000000,304907000000,14000000,29382000000,-2990000000,14819000000,41225000000,346132000000,97204000000,30647000000,30647000000,https://www.sec.gov/Archives/edgar/data/1390777/000139077719000063/0001390777-19-000063-index.htm,https://www.sec.gov/Archives/edgar/data/1390777/000139077719000063/form10-q1q19.htm
2018-12-31,BK,2019-02-27,2019-02-27 06:54:13,FY,0.0,85809000000,85809000000,671000000,0.0,0.0,86480000000,1832000000,17350000000,3220000000,20570000000,14148000000,0.0,239843000000,276393000000,342303000000,362873000000,0.0,1939000000,0.0,0.0,0.0,1939000000,29163000000,0.0,0.0,0.0,29163000000,291133000000,322235000000,14000000,28652000000,-3171000000,15143000000,40638000000,362873000000,99957000000,31102000000,31102000000,https://www.sec.gov/Archives/edgar/data/1390777/000139077719000050/0001390777-19-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1390777/000139077719000050/form10-k_4q18.htm
2018-09-30,BK,2018-11-06,2018-11-06 07:05:59,Q3,0.0,84155000000,84155000000,640000000,0.0,0.0,84795000000,1832000000,17390000000,3258000000,20648000000,14519000000,0.0,227976000000,264975000000,311693000000,349770000000,0.0,735000000,0.0,0.0,0.0,735000000,28113000000,0.0,0.0,0.0,28113000000,279362000000,308210000000,14000000,28098000000,-2983000000,16431000000,41560000000,349770000000,98674000000,28848000000,28848000000,https://www.sec.gov/Archives/edgar/data/1390777/000139077718000129/0001390777-18-000129-index.htm,https://www.sec.gov/Archives/edgar/data/1390777/000139077718000129/form10-q_3q18.htm
2018-06-30,BK,2018-08-03,2018-08-03 06:46:41,Q2,0.0,83940000000,83940000000,663000000,0.0,0.0,84603000000,1752000000,17418000000,3308000000,20726000000,16134000000,0.0,229713000000,268325000000,325602000000,352928000000,0.0,2508000000,0.0,0.0,0.0,2508000000,28260000000,0.0,0.0,0.0,28260000000,280655000000,311423000000,14000000,27306000000,-2795000000,16980000000,41505000000,352928000000,100074000000,30768000000,30768000000,https://www.sec.gov/Archives/edgar/data/1390777/000139077718000113/0001390777-18-000113-index.htm,https://www.sec.gov/Archives/edgar/data/1390777/000139077718000113/form10-q_2q18.htm
2018-03-31,BK,2018-05-08,2018-05-08 07:17:25,Q1,0.0,81830000000,81830000000,610000000,0.0,0.0,82440000000,1702000000,17596000000,3370000000,20966000000,15186000000,0.0,253303000000,291157000000,337209000000,373597000000,0.0,3936000000,0.0,0.0,0.0,3936000000,27939000000,0.0,0.0,0.0,27939000000,299994000000,331869000000,14000000,26496000000,-2343000000,17561000000,41728000000,373597000000,97016000000,31875000000,31875000000,https://www.sec.gov/Archives/edgar/data/1390777/000139077718000083/0001390777-18-000083-index.htm,https://www.sec.gov/Archives/edgar/data/1390777/000139077718000083/form10-q_1q18.htm
2017-12-31,BK,2018-02-28,2018-02-28 06:30:17,FY,0.0,79543000000,79543000000,610000000,0.0,0.0,80153000000,1634000000,17564000000,3411000000,20975000000,11979000000,0.0,257017000000,291605000000,350783000000,371758000000,0.0,3075000000,0.0,0.0,0.0,3075000000,27979000000,0.0,0.0,0.0,27979000000,299453000000,330507000000,14000000,25635000000,-2357000000,17959000000,41251000000,371758000000,91522000000,31054000000,31054000000,https://www.sec.gov/Archives/edgar/data/1390777/000139077718000069/0001390777-18-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1390777/000139077718000069/form10-k_4q17.htm
2017-09-30,BK,2017-11-07,2017-11-07 06:50:39,Q3,0.0,80054000000,80054000000,547000000,0.0,0.0,80601000000,1631000000,17543000000,3461000000,21004000000,15256000000,0.0,235905000000,273796000000,324705000000,354397000000,0.0,2501000000,0.0,0.0,0.0,2501000000,28408000000,0.0,0.0,0.0,28408000000,282965000000,313874000000,14000000,24757000000,-2781000000,18533000000,40523000000,354397000000,95310000000,30909000000,30909000000,https://www.sec.gov/Archives/edgar/data/1390777/000139077717000106/0001390777-17-000106-index.htm,https://www.sec.gov/Archives/edgar/data/1390777/000139077717000106/bk3q201710-q.htm
