date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,BKNG,2020-05-07,2020-05-07 17:24:09,Q1,6363000000,826000000,7189000000,667000000,0.0,1404000000,9260000000,720000000,2391000000,1897000000,4288000000,0.0,0.0,0.0,5008000000,3594000000,17862000000,926000000,826000000,0.0,786000000,1598000000,4136000000,2056000000,0.0,0.0,93000000,2149000000,0.0,14027000000,0.0,22530000000,-342000000,0.0,3831000000,17862000000,826000000,11434000000,5071000000,https://www.sec.gov/Archives/edgar/data/1075531/000107553120000027/0001075531-20-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1075531/000107553120000027/bkng3312010q.htm
2019-12-31,BKNG,2020-02-26,2020-02-26 17:08:40,FY,6312000000,998000000,7310000000,1680000000,0.0,843000000,9833000000,738000000,2913000000,1954000000,4867000000,4477000000,400000000,1087000000,11569000000,4966000000,21402000000,1239000000,988000000,56000000,1561000000,1522000000,5366000000,7640000000,0.0,876000000,104000000,8620000000,1483000000,15469000000,0.0,23232000000,-191000000,0.0,5933000000,21402000000,5475000000,8628000000,2316000000,https://www.sec.gov/Archives/edgar/data/1075531/000107553120000011/0001075531-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1075531/000107553120000011/bkng1231201910k.htm
2019-09-30,BKNG,2019-11-07,2019-11-07 17:17:37,Q3,6466000000,973000000,7439000000,1788000000,0.0,829000000,10056000000,706000000,2885000000,1985000000,4870000000,4319000000,0.0,1495000000,11390000000,4841000000,21446000000,1275000000,982000000,0.0,1567000000,1704000000,5528000000,7512000000,0.0,868000000,94000000,8474000000,1493000000,15495000000,0.0,22061000000,-265000000,0.0,5951000000,21446000000,5292000000,8494000000,2028000000,https://www.sec.gov/Archives/edgar/data/1075531/000107553119000064/0001075531-19-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1075531/000107553119000064/bkng9301910q.htm
2019-06-30,BKNG,2019-08-07,2019-08-07 17:14:11,Q2,5256000000,1553000000,6809000000,1973000000,0.0,1238000000,10020000000,716000000,2915000000,2041000000,4956000000,3867000000,0.0,1935000000,11474000000,4249000000,21494000000,1291000000,975000000,0.0,2343000000,1740000000,6349000000,7686000000,0.0,504000000,90000000,8280000000,1558000000,16187000000,0.0,20111000000,-230000000,5537000000,5307000000,21494000000,5420000000,8661000000,3405000000,https://www.sec.gov/Archives/edgar/data/1075531/000107553119000043/0001075531-19-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1075531/000107553119000043/bkng6301910q.htm
2019-03-31,BKNG,2019-05-09,2019-05-09 17:05:25,Q1,2334000000,1981000000,4315000000,1491000000,0.0,1271000000,7077000000,695000000,2907000000,2078000000,4985000000,7744000000,0.0,1865000000,15289000000,7628000000,22366000000,934000000,968000000,0.0,1797000000,1877000000,5576000000,7619000000,0.0,513000000,89000000,8221000000,1654000000,15451000000,0.0,19132000000,-169000000,0.0,6915000000,22366000000,9725000000,8587000000,6253000000,https://www.sec.gov/Archives/edgar/data/1075531/000107553119000021/0001075531-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1075531/000107553119000021/bkng3311910q.htm
2018-12-31,BKNG,2019-02-27,2019-02-27 17:10:04,FY,2624000000,3660000000,6284000000,1523000000,0.0,600000000,8407000000,656000000,2910000000,2125000000,5035000000,8408000000,51000000,130000000,14280000000,4929000000,22687000000,1134000000,0.0,45000000,1022000000,1354000000,3555000000,8649000000,0.0,370000000,162000000,9181000000,1166000000,13902000000,0.0,18367000000,-316000000,0.0,8785000000,22687000000,12068000000,8649000000,6025000000,https://www.sec.gov/Archives/edgar/data/1075531/000107553119000009/0001075531-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1075531/000107553119000009/bkng1231201810k.htm
2018-09-30,BKNG,2018-11-05,2018-11-05 17:01:56,Q3,2973096000,4158076000,7131172000,1719059000,0.0,617616000,9467847000,642861000,2845129000,2117275000,4962404000,8613463000,0.0,683901000,14902629000,5139288000,24370476000,1174599000,0.0,0.0,1101255000,1654370000,3930224000,8703901000,0.0,491160000,148699000,9343760000,1144682000,14418666000,489000.0,17720656000,-233806000,0.0,9951810000,24370476000,12771539000,8703901000,5730805000,https://www.sec.gov/Archives/edgar/data/1075531/000107553118000050/0001075531-18-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1075531/000107553118000050/bkng9301810q.htm
2018-06-30,BKNG,2018-08-09,2018-08-09 09:03:52,Q2,3186665000,4145753000,7332418000,1715055000,0.0,985901000,10033374000,613462000,2850396000,2162766000,5013162000,8993999000,0.0,642256000,15262879000,5490502000,25296253000,1053509000,948190000,0.0,1802182000,1418603000,5222484000,7764580000,0.0,502581000,143651000,8410812000,1190325000,14823621000,489000.0,15953078000,-76283000,0.0,10472632000,25296253000,13139752000,8712770000,5526105000,https://www.sec.gov/Archives/edgar/data/1075531/000107553118000044/0001075531-18-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1075531/000107553118000044/bkng6301810q.htm
2018-03-31,BKNG,2018-05-09,2018-05-09 17:14:18,Q1,2622086000,4240704000,6862790000,1530321000,0.0,1111753000,9504864000,573040000,2754747000,2140098000,4894845000,9432763000,0.0,613448000,15514096000,5805507000,25018960000,841274000,941657000,0.0,1425649000,1238815000,4447395000,7990418000,0.0,481220000,161340000,8632978000,1302244000,14382617000,488000.0,14975706000,56406000,0.0,10636343000,25018960000,13673467000,8932075000,6309989000,https://www.sec.gov/Archives/edgar/data/1075531/000107553118000029/0001075531-18-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1075531/000107553118000029/bkng3311810q.htm
2017-12-31,BKNG,2018-02-27,2018-02-27 17:17:39,FY,2541604000,4859873000,7401477000,1217801000,0.0,415527000,9034805000,480081000,2737671000,2176823000,4914494000,10421600000,41300000,558983000,16416458000,11021883000,25451263000,667523000,710910000,32395000,980455000,1106585000,3497868000,8809788000,0.0,481139000,148061000,9438988000,1253809000,14190665000,487000.0,13938869000,236982000,0.0,11260598000,25451263000,15281473000,9520698000,6979094000,https://www.sec.gov/Archives/edgar/data/1075531/000107553118000015/0001075531-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1075531/000107553118000015/pcln-20171231_10k.htm
