date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,BLK,2020-05-08,2020-05-08 12:02:08,Q1,4406000000,5240000000,9646000000,3095000000,0.0,0.0,12741000000,714000000,14559000000,18344000000,32903000000,0.0,0.0,102662000000,136279000000,107902000000,149020000000,982000000,0.0,0.0,3610000000,0.0,982000000,5933000000,0.0,3610000000,0.0,9543000000,105482000000,116007000000,2000000.0,-810000000,-810000000,34631000000,33013000000,149020000000,5240000000,5933000000,1527000000,https://www.sec.gov/Archives/edgar/data/1364742/000156459020023352/0001564590-20-023352-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459020023352/blk-10q_20200331.htm
2019-12-31,BLK,2020-02-28,2020-02-28 16:30:05,FY,4829000000,5489000000,10318000000,3179000000,0.0,0.0,13497000000,715000000,14562000000,18369000000,32931000000,0.0,0.0,121479000000,155125000000,126968000000,168622000000,1167000000,0.0,0.0,3734000000,0.0,1167000000,4955000000,0.0,3734000000,0.0,8689000000,125219000000,135075000000,2000000.0,-571000000,-571000000,34687000000,33547000000,168622000000,5489000000,4955000000,126000000,https://www.sec.gov/Archives/edgar/data/1364742/000156459020007807/0001564590-20-007807-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459020007807/blk-10k_20191231.htm
2019-09-30,BLK,2019-11-08,2019-11-08 14:07:20,Q3,4476000000,2117000000,6593000000,3026000000,0.0,0.0,9619000000,669000000,14552000000,18407000000,32959000000,0.0,0.0,120625000000,154253000000,122742000000,163872000000,1252000000,0.0,0.0,3792000000,0.0,1252000000,5932000000,0.0,3792000000,0.0,9724000000,120489000000,131465000000,2000000.0,-784000000,-784000000,33973000000,32407000000,163872000000,2117000000,5932000000,1456000000,https://www.sec.gov/Archives/edgar/data/1364742/000156459019042157/0001564590-19-042157-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459019042157/blk-10q_20190930.htm
2019-06-30,BLK,2019-08-08,2019-08-08 14:46:55,Q2,3920000000,1989000000,5909000000,2863000000,0.0,0.0,8772000000,659000000,14511000000,18477000000,32988000000,0.0,0.0,120928000000,154575000000,122917000000,163347000000,1277000000,0.0,0.0,3825000000,0.0,1277000000,5964000000,0.0,3825000000,0.0,9789000000,120388000000,131454000000,2000000.0,-664000000,-664000000,33219000000,31893000000,163347000000,1989000000,5964000000,2044000000,https://www.sec.gov/Archives/edgar/data/1364742/000156459019030654/0001564590-19-030654-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459019030654/blk-10q_20190630.htm
2019-03-31,BLK,2019-05-09,2019-05-09 13:35:40,Q1,3891000000,0.0,3891000000,2771000000,0.0,0.0,6662000000,656000000,13524000000,17824000000,31348000000,0.0,0.0,126342000000,158346000000,126342000000,165008000000,1225000000,0.0,0.0,3654000000,0.0,1225000000,4966000000,0.0,3654000000,0.0,8620000000,123854000000,133699000000,2000000.0,-623000000,-623000000,32553000000,31309000000,165008000000,0.0,4966000000,1075000000,https://www.sec.gov/Archives/edgar/data/1364742/000156459019017793/0001564590-19-017793-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459019017793/blk-10q_20190331.htm
2018-12-31,BLK,2019-02-28,2019-02-28 16:25:04,FY,6302000000,0.0,6302000000,2657000000,0.0,0.0,8959000000,643000000,13526000000,17839000000,31365000000,0.0,0.0,118606000000,150614000000,118606000000,159573000000,1292000000,0.0,0.0,3571000000,0.0,1292000000,4979000000,0.0,3571000000,0.0,8550000000,117357000000,127199000000,2000000.0,-691000000,-691000000,33754000000,32374000000,159573000000,0.0,4979000000,-1323000000,https://www.sec.gov/Archives/edgar/data/1364742/000156459019005479/0001564590-19-005479-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459019005479/blk-10k_20181231.htm
2018-09-30,BLK,2018-11-09,2018-11-09 14:42:13,Q3,6358000000,0.0,6358000000,2682000000,0.0,0.0,9040000000,588000000,13526000000,17854000000,31380000000,0.0,0.0,133854000000,165822000000,133854000000,174862000000,1403000000,0.0,0.0,3555000000,0.0,1403000000,4991000000,0.0,3555000000,0.0,8546000000,132498000000,142447000000,2000000.0,-616000000,-616000000,33645000000,32415000000,174862000000,0.0,4991000000,-1367000000,https://www.sec.gov/Archives/edgar/data/1364742/000156459018028881/0001564590-18-028881-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459018028881/blk-10q_20180930.htm
2018-06-30,BLK,2018-08-08,2018-08-08 13:07:19,Q2,6599000000,0.0,6599000000,2567000000,0.0,0.0,9166000000,581000000,13215000000,17367000000,30582000000,0.0,0.0,155220000000,186383000000,155220000000,195549000000,1216000000,0.0,0.0,3511000000,0.0,1216000000,4994000000,0.0,3511000000,0.0,8505000000,153698000000,163419000000,2000000.0,-575000000,-575000000,33278000000,32130000000,195549000000,0.0,4994000000,-1605000000,https://www.sec.gov/Archives/edgar/data/1364742/000156459018020313/0001564590-18-020313-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459018020313/blk-10q_20180630.htm
2018-03-31,BLK,2018-05-09,2018-05-09 15:09:58,Q1,5978000000,0.0,5978000000,2677000000,0.0,0.0,8655000000,589000000,13217000000,17378000000,30595000000,0.0,0.0,176178000000,207362000000,176178000000,216017000000,1421000000,0.0,0.0,3516000000,0.0,1421000000,5036000000,0.0,3516000000,0.0,8552000000,174066000000,184039000000,2000000.0,-301000000,-301000000,32578000000,31978000000,216017000000,0.0,5036000000,-942000000,https://www.sec.gov/Archives/edgar/data/1364742/000156459018012320/0001564590-18-012320-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459018012320/blk-10q_20180331.htm
2017-12-31,BLK,2018-02-28,2018-02-28 14:38:00,FY,6894000000,0.0,6894000000,2699000000,0.0,0.0,9593000000,592000000,13220000000,17389000000,30609000000,0.0,0.0,179423000000,210624000000,179423000000,220217000000,1161000000,0.0,0.0,3538000000,0.0,1161000000,5014000000,0.0,3538000000,0.0,8552000000,178679000000,188392000000,2000000.0,-432000000,-432000000,32687000000,31825000000,220217000000,0.0,5014000000,-1880000000,https://www.sec.gov/Archives/edgar/data/1364742/000156459018003744/0001564590-18-003744-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459018003744/blk-10k_20171231.htm
2017-09-30,BLK,2017-11-08,2017-11-08 11:58:31,Q3,6165000000,0.0,6165000000,3183000000,0.0,0.0,9348000000,571000000,13226000000,17400000000,30626000000,0.0,0.0,180022000000,211219000000,180022000000,220567000000,1652000000,0.0,0.0,4966000000,0.0,1652000000,5000000000,0.0,4966000000,0.0,9966000000,178907000000,190525000000,2000000.0,-473000000,-473000000,30986000000,30042000000,220567000000,0.0,5000000000,-1165000000,https://www.sec.gov/Archives/edgar/data/1364742/000156459017022570/0001564590-17-022570-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459017022570/blk-10q_20170930.htm
2017-06-30,BLK,2017-08-08,2017-08-08 13:38:45,Q2,5508000000,0.0,5508000000,2984000000,0.0,0.0,8492000000,549000000,13199000000,17423000000,30622000000,0.0,0.0,177825000000,208996000000,177825000000,217488000000,1520000000,0.0,0.0,4981000000,0.0,1520000000,4970000000,0.0,4981000000,0.0,9951000000,176462000000,187933000000,2000000.0,-575000000,-575000000,30703000000,29555000000,217488000000,0.0,4970000000,-538000000,https://www.sec.gov/Archives/edgar/data/1364742/000156459017016394/0001564590-17-016394-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459017016394/blk-10q_20170630.htm
2017-03-31,BLK,2017-05-09,2017-05-09 11:54:54,Q1,5703000000,0.0,5703000000,3227000000,0.0,0.0,8930000000,546000000,13113000000,17338000000,30451000000,0.0,0.0,190659000000,221656000000,190659000000,230586000000,2000000000,0.0,0.0,5030000000,0.0,2000000000,5619000000,0.0,5030000000,0.0,10649000000,188781000000,201430000000,2000000.0,-677000000,-677000000,30508000000,29156000000,230586000000,0.0,5619000000,-84000000,https://www.sec.gov/Archives/edgar/data/1364742/000156459017009686/0001564590-17-009686-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459017009686/blk-10q_20170331.htm
2016-12-31,BLK,2017-02-28,2017-02-28 15:14:26,FY,6091000000,0.0,6091000000,2350000000,0.0,0.0,8441000000,559000000,13118000000,17363000000,30481000000,0.0,0.0,180696000000,211736000000,3440000000,220177000000,1094000000,0.0,0.0,4840000000,0.0,1094000000,4915000000,0.0,4840000000,0.0,9755000000,180230000000,191079000000,2000000.0,-716000000,-716000000,30528000000,29098000000,220177000000,0.0,4915000000,-1176000000,https://www.sec.gov/Archives/edgar/data/1364742/000156459017002816/0001564590-17-002816-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459017002816/blk-10k_20161231.htm
2016-09-30,BLK,2016-11-08,2016-11-08 12:43:31,Q3,5454000000,0.0,5454000000,2601000000,0.0,0.0,8055000000,564000000,13124000000,17387000000,30511000000,0.0,0.0,187609000000,218684000000,187609000000,226739000000,1354000000,0.0,0.0,4832000000,0.0,1354000000,4961000000,0.0,4832000000,0.0,9793000000,186688000000,197835000000,2000000.0,-598000000,-598000000,30098000000,28904000000,226739000000,0.0,4961000000,-493000000,https://www.sec.gov/Archives/edgar/data/1364742/000156459016028171/0001564590-16-028171-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459016028171/blk-10q_20160930.htm
2016-06-30,BLK,2016-08-08,2016-08-08 13:33:41,Q2,5065000000,0.0,5065000000,2885000000,0.0,0.0,7950000000,576000000,13128000000,17412000000,30540000000,0.0,0.0,182989000000,214105000000,182989000000,222055000000,1615000000,0.0,0.0,4899000000,0.0,1615000000,4950000000,0.0,4899000000,0.0,9849000000,182023000000,193487000000,2000000.0,-560000000,-560000000,29686000000,28568000000,222055000000,0.0,4950000000,-115000000,https://www.sec.gov/Archives/edgar/data/1364742/000156459016023209/0001564590-16-023209-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459016023209/blk-10q_20160630.htm
