date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,BMY,2020-05-07,2020-05-07 09:54:07,Q1,15817000000,2505000000,18322000000,0.0,2836000000,10695000000,31853000000,6112000000,22452000000,61666000000,84118000000,651000000,605000000,5946000000,97432000000,4697000000,129285000000,3069000000,3862000000,0.0,605000000,12301000000,19232000000,42844000000,0.0,6531000000,10701000000,60076000000,66000000,79374000000,292000000,32671000000,-1549000000,18497000000,49911000000,129285000000,3156000000,46706000000,30889000000,https://www.sec.gov/Archives/edgar/data/14272/000001427220000168/0000014272-20-000168-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427220000168/bmy-20200331x10q.htm
2019-12-31,BMY,2020-02-24,2020-02-24 16:10:27,FY,12346000000,3047000000,15393000000,6476000000,4293000000,3192000000,29354000000,6252000000,22488000000,63969000000,86457000000,767000000,510000000,6604000000,100590000000,4834000000,129944000000,2445000000,3346000000,1517000000,355000000,10641000000,18304000000,43387000000,0.0,6454000000,10101000000,59942000000,100000000,78346000000,292000000,34474000000,-1520000000,18352000000,51598000000,129944000000,3814000000,46733000000,34387000000,https://www.sec.gov/Archives/edgar/data/14272/000001427220000082/0000014272-20-000082-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427220000082/bmy-20191231x10xk.htm
2019-09-30,BMY,2019-10-31,2019-10-31 09:39:45,Q3,30489000000,2053000000,32542000000,4289000000,1192000000,2168000000,40191000000,4830000000,6513000000,1002000000,7515000000,925000000,1624000000,2348000000,17242000000,2844000000,57433000000,1888000000,569000000,546000000,86000000,7400000000,10489000000,24390000000,0.0,2919000000,1881000000,29190000000,106000000,39785000000,221000000,36555000000,-1463000000,0.0,17648000000,57433000000,2978000000,24959000000,-5530000000,https://www.sec.gov/Archives/edgar/data/14272/000001427219000194/0000014272-19-000194-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427219000194/bmy-20190930x10q.htm
2019-06-30,BMY,2019-07-25,2019-07-25 11:33:59,Q2,28404000000,953000000,29357000000,4503000000,1308000000,2548000000,37716000000,4849000000,6533000000,995000000,7528000000,994000000,1442000000,2634000000,17447000000,4117000000,55163000000,2005000000,545000000,360000000,92000000,6709000000,9711000000,24433000000,0.0,2971000000,1897000000,29301000000,102000000,39114000000,221000000,35870000000,-2621000000,0.0,16049000000,55163000000,1947000000,24978000000,-3426000000,https://www.sec.gov/Archives/edgar/data/14272/000001427219000160/0000014272-19-000160-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427219000160/bmy-20190630x10q.htm
2019-03-31,BMY,2019-04-25,2019-04-25 11:39:35,Q1,7335000000,1429000000,8764000000,4594000000,1283000000,2452000000,17093000000,4985000000,6536000000,1026000000,7562000000,1233000000,1380000000,2581000000,17741000000,3765000000,34834000000,1976000000,381000000,525000000,103000000,5856000000,8841000000,5635000000,0.0,3084000000,1509000000,10228000000,547000000,19616000000,221000000,35109000000,-2644000000,0.0,15218000000,34834000000,2662000000,6016000000,-1319000000,https://www.sec.gov/Archives/edgar/data/14272/000001427219000107/0000014272-19-000107-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427219000107/bmy-20190331x10q.htm
2018-12-31,BMY,2019-02-25,2019-02-25 16:52:22,FY,6911000000,1973000000,8884000000,4636000000,1195000000,2445000000,17160000000,5027000000,6538000000,1091000000,7629000000,1775000000,1371000000,2024000000,17826000000,3197000000,34986000000,1892000000,1703000000,398000000,172000000,6489000000,10654000000,5646000000,0.0,3043000000,1048000000,9737000000,564000000,20955000000,221000000,34065000000,-2762000000,0.0,14031000000,34986000000,3748000000,7349000000,438000000,https://www.sec.gov/Archives/edgar/data/14272/000001427219000047/0000014272-19-000047-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427219000047/bmy-20181231x10xk.htm
2018-09-30,BMY,2018-10-25,2018-10-25 11:36:04,Q3,5408000000,1422000000,6830000000,4622000000,1282000000,2135000000,14869000000,5092000000,6686000000,1107000000,7793000000,2017000000,1627000000,2336000000,18865000000,4558000000,33734000000,1773000000,1620000000,355000000,93000000,5853000000,9694000000,5687000000,0.0,3112000000,1005000000,9804000000,596000000,20094000000,221000000,33292000000,-2326000000,0.0,13640000000,33734000000,3439000000,7307000000,1899000000,https://www.sec.gov/Archives/edgar/data/14272/000001427218000197/0000014272-18-000197-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427218000197/bmy-20180930x10q.htm
2018-06-30,BMY,2018-07-26,2018-07-26 11:32:21,Q2,4999000000,1076000000,6075000000,4323000000,1242000000,2234000000,13874000000,5080000000,6683000000,1090000000,7773000000,2117000000,1517000000,2280000000,18767000000,4838000000,32641000000,1873000000,1716000000,373000000,88000000,5828000000,9878000000,5671000000,0.0,3107000000,1066000000,9844000000,602000000,20324000000,221000000,32044000000,-2334000000,0.0,12317000000,32641000000,3193000000,7387000000,2388000000,https://www.sec.gov/Archives/edgar/data/14272/000001427218000160/0000014272-18-000160-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427218000160/bmy-20180630x10q.htm
2018-03-31,BMY,2018-04-26,2018-04-26 12:08:19,Q1,5342000000,1428000000,6770000000,4374000000,1231000000,2274000000,14649000000,5060000000,6863000000,1116000000,7979000000,2252000000,1367000000,1776000000,18434000000,3967000000,33083000000,1725000000,1925000000,296000000,117000000,5561000000,9624000000,5775000000,0.0,3233000000,1098000000,10106000000,560000000,20290000000,221000000,32323000000,-2234000000,0.0,12793000000,33083000000,3680000000,7700000000,2358000000,https://www.sec.gov/Archives/edgar/data/14272/000001427218000117/0000014272-18-000117-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427218000117/bmy-20180331x10q.htm
2017-12-31,BMY,2018-02-13,2018-02-13 09:26:31,FY,5421000000,1391000000,6812000000,4347000000,1166000000,2529000000,14854000000,5001000000,6863000000,1210000000,8073000000,2480000000,1610000000,1533000000,18697000000,4232000000,33551000000,2248000000,987000000,231000000,83000000,6014000000,9563000000,6975000000,0.0,3548000000,1164000000,11687000000,560000000,21810000000,221000000,31160000000,-2289000000,0.0,11741000000,33551000000,3871000000,7962000000,2541000000,https://www.sec.gov/Archives/edgar/data/14272/000001427218000055/0000014272-18-000055-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427218000055/bmy-20171231x10xk.htm
2017-09-30,BMY,2017-10-26,2017-10-26 11:27:47,Q3,4644000000,2478000000,7122000000,4332000000,1250000000,2344000000,15048000000,5014000000,6865000000,1213000000,8078000000,2526000000,2346000000,965000000,18929000000,3359000000,33977000000,1699000000,1461000000,213000000,647000000,5418000000,9438000000,6982000000,0.0,996000000,1155000000,9133000000,623000000,19194000000,221000000,34141000000,-2421000000,0.0,14783000000,33977000000,5004000000,8443000000,3799000000,https://www.sec.gov/Archives/edgar/data/14272/000001427217000195/0000014272-17-000195-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427217000195/bmy-20170930x10q.htm
2017-06-30,BMY,2017-07-27,2017-07-27 11:23:30,Q2,3470000000,3035000000,6505000000,4219000000,1217000000,2383000000,14324000000,4944000000,6861000000,1245000000,8106000000,2580000000,2572000000,883000000,19085000000,3000000000,33409000000,1551000000,1306000000,291000000,737000000,5132000000,9017000000,6911000000,0.0,967000000,1181000000,9059000000,634000000,18710000000,221000000,33934000000,-2467000000,0.0,14699000000,33409000000,5615000000,8217000000,4747000000,https://www.sec.gov/Archives/edgar/data/14272/000001427217000165/0000014272-17-000165-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427217000165/bmy-20170630x10q.htm
