date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,BRKB,2020-05-04,2020-05-04 06:07:05,Q1,38717000000,0.0,38717000000,0.0,0.0,0.0,38717000000,21258000000,56990000000,30693000000,87683000000,0.0,0.0,0.0,108941000000,0.0,147658000000,25565000000,37486000000,0.0,5291000000,0.0,68342000000,0.0,0.0,0.0,0.0,0.0,0.0,385213000000,8000000.0,352359000000,-6721000000,29589000000,375235000000,147658000000,0.0,37486000000,-1231000000,https://www.sec.gov/Archives/edgar/data/1067983/000156459020020599/0001564590-20-020599-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000156459020020599/brka-10q_20200331.htm
2019-12-31,BRKB,2020-02-24,2020-02-24 06:23:37,FY,15004000000,18685000000,33689000000,0.0,19852000000,0.0,53541000000,64533000000,81882000000,31051000000,112933000000,0.0,0.0,586722000000,764188000000,0.0,817729000000,320000000,37590000000,0.0,19782000000,0.0,20102000000,0.0,0.0,0.0,0.0,0.0,372836000000,392938000000,8000000.0,402493000000,-5243000000,27533000000,424791000000,817729000000,18685000000,37590000000,-15004000000,https://www.sec.gov/Archives/edgar/data/1067983/000156459020005874/0001564590-20-005874-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000156459020005874/brka-10k_20191231.htm
2019-09-30,BRKB,2019-11-04,2019-11-04 06:33:56,Q3,71064000000,19172000000,90236000000,0.0,19951000000,0.0,110187000000,64002000000,81228000000,30788000000,112016000000,0.0,0.0,502277000000,678295000000,0.0,788482000000,25880000000,37176000000,0.0,20764000000,0.0,46644000000,0.0,0.0,0.0,0.0,0.0,344229000000,390873000000,8000000.0,373334000000,-5408000000,29675000000,397609000000,788482000000,19172000000,37176000000,-71064000000,https://www.sec.gov/Archives/edgar/data/1067983/000095012319009995/0000950123-19-009995-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000095012319009995/brka-10q_20190930.htm
2019-06-30,BRKB,2019-08-05,2019-08-05 06:07:15,Q2,41375000000,19962000000,61337000000,0.0,19834000000,0.0,81171000000,63576000000,81269000000,31032000000,112301000000,0.0,0.0,503060000000,678937000000,0.0,760108000000,25468000000,36025000000,0.0,20113000000,0.0,45581000000,0.0,0.0,0.0,0.0,0.0,331983000000,377564000000,8000000.0,356846000000,-4678000000,30368000000,382544000000,760108000000,19962000000,36025000000,-41375000000,https://www.sec.gov/Archives/edgar/data/1067983/000156459019028491/0001564590-19-028491-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000156459019028491/brka-10q_20190630.htm
2019-03-31,BRKB,2019-05-06,2019-05-06 06:08:27,Q1,3652000000,19415000000,23067000000,0.0,19454000000,0.0,42521000000,68948000000,81220000000,31266000000,112486000000,0.0,0.0,514769000000,696203000000,0.0,738724000000,14643000000,33847000000,0.0,20172000000,0.0,34815000000,0.0,0.0,0.0,0.0,0.0,335032000000,369847000000,8000000.0,342773000000,-4727000000,30823000000,368877000000,738724000000,19415000000,33847000000,-3652000000,https://www.sec.gov/Archives/edgar/data/1067983/000119312519137433/0001193125-19-137433-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000119312519137433/d728539d10q.htm
2018-12-31,BRKB,2019-02-25,2019-02-25 06:20:28,FY,3437000000,19898000000,23335000000,0.0,19069000000,0.0,42404000000,68595000000,81025000000,31499000000,112524000000,0.0,0.0,484271000000,665390000000,0.0,707794000000,1507000000,34975000000,0.0,18093000000,0.0,19600000000,0.0,0.0,0.0,0.0,0.0,339491000000,359091000000,8000000.0,321112000000,-5015000000,32598000000,348703000000,707794000000,19898000000,34975000000,-3437000000,https://www.sec.gov/Archives/edgar/data/1067983/000119312519048926/0001193125-19-048926-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000119312519048926/d678758d10k.htm
2018-09-30,BRKB,2018-11-05,2018-11-05 06:09:31,Q3,1635000000,18271000000,19906000000,0.0,16793000000,0.0,36699000000,67587000000,81327000000,31626000000,112953000000,0.0,0.0,519220000000,699760000000,0.0,736459000000,1752000000,24271000000,0.0,19011000000,0.0,20763000000,0.0,0.0,0.0,0.0,0.0,340090000000,360853000000,8000000.0,346503000000,-3927000000,33022000000,375606000000,736459000000,18271000000,24271000000,-1635000000,https://www.sec.gov/Archives/edgar/data/1067983/000119312518317734/0001193125-18-317734-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000119312518317734/d636103d10q.htm
2018-06-30,BRKB,2018-08-06,2018-08-06 06:08:28,Q2,3280000000,18524000000,21804000000,0.0,16194000000,0.0,37998000000,66709000000,81250000000,31925000000,113175000000,0.0,0.0,494050000000,673934000000,0.0,711932000000,1662000000,25158000000,0.0,18292000000,0.0,19954000000,0.0,0.0,0.0,0.0,0.0,333884000000,353838000000,8000000.0,327963000000,-3808000000,33931000000,358094000000,711932000000,18524000000,25158000000,-3280000000,https://www.sec.gov/Archives/edgar/data/1067983/000119312518238892/0001193125-18-238892-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000119312518238892/d370289d10q.htm
2018-03-31,BRKB,2018-05-07,2018-05-07 06:10:47,Q1,50559000000,19920000000,70479000000,0.0,16244000000,0.0,86723000000,66054000000,81337000000,32260000000,113597000000,0.0,0.0,436277000000,615928000000,0.0,702651000000,25782000000,25663000000,0.0,18448000000,0.0,44230000000,0.0,0.0,0.0,0.0,0.0,311020000000,355250000000,8000000.0,315952000000,-2477000000,33918000000,347401000000,702651000000,19920000000,25663000000,-50559000000,https://www.sec.gov/Archives/edgar/data/1067983/000119312518153460/0001193125-18-153460-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000119312518153460/d539101d10q.htm
2017-12-31,BRKB,2018-02-26,2018-02-26 06:12:56,FY,31583000000,21353000000,52936000000,0.0,16187000000,0.0,69123000000,65871000000,81258000000,32518000000,113776000000,0.0,0.0,453325000000,632972000000,0.0,702095000000,23099000000,27324000000,0.0,16040000000,0.0,39139000000,0.0,0.0,0.0,0.0,0.0,314660000000,353799000000,8000000.0,255786000000,58571000000,33931000000,348296000000,702095000000,21353000000,27324000000,-31583000000,https://www.sec.gov/Archives/edgar/data/1067983/000119312518057033/0001193125-18-057033-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000119312518057033/d437858d10k.htm
2017-09-30,BRKB,2017-11-03,2017-11-03 16:17:23,Q3,42706000000,22256000000,64962000000,0.0,16931000000,0.0,81893000000,64979000000,80882000000,32974000000,113856000000,0.0,0.0,420826000000,599661000000,0.0,681554000000,21763000000,27262000000,0.0,16552000000,0.0,38315000000,0.0,0.0,0.0,0.0,0.0,334961000000,373276000000,8000000.0,224166000000,50183000000,33921000000,308278000000,681554000000,22256000000,27262000000,-42706000000,https://www.sec.gov/Archives/edgar/data/1067983/000119312517332829/0001193125-17-332829-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000119312517332829/d473873d10q.htm
2017-06-30,BRKB,2017-08-04,2017-08-04 17:02:28,Q2,26418000000,23411000000,49829000000,0.0,16442000000,0.0,66271000000,63686000000,80175000000,33220000000,113395000000,0.0,0.0,422238000000,599319000000,0.0,665590000000,21024000000,27781000000,0.0,16129000000,0.0,37153000000,0.0,0.0,0.0,0.0,0.0,327778000000,364931000000,8000000.0,220099000000,46652000000,33900000000,300659000000,665590000000,23411000000,27781000000,-26418000000,https://www.sec.gov/Archives/edgar/data/1067983/000119312517248832/0001193125-17-248832-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000119312517248832/d415768d10q.htm
2017-03-31,BRKB,2017-05-05,2017-05-05 16:32:23,Q1,25963000000,22933000000,48896000000,0.0,16115000000,0.0,65011000000,19645000000,79951000000,33472000000,113423000000,0.0,0.0,456372000000,589440000000,0.0,654451000000,1465000000,27416000000,0.0,16106000000,0.0,17571000000,0.0,0.0,0.0,0.0,0.0,344029000000,361600000000,8000000.0,215837000000,43070000000,33936000000,292851000000,654451000000,22933000000,27416000000,-25963000000,https://www.sec.gov/Archives/edgar/data/1067983/000119312517160889/0001193125-17-160889-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000119312517160889/d364161d10q.htm
2016-12-31,BRKB,2017-02-27,2017-02-24 21:03:56,FY,28048000000,23465000000,51513000000,0.0,15727000000,0.0,67240000000,19325000000,79486000000,33481000000,112967000000,0.0,0.0,421322000000,553614000000,0.0,620854000000,1444000000,27175000000,0.0,14245000000,0.0,15689000000,0.0,0.0,0.0,0.0,0.0,322164000000,337853000000,8000000.0,211777000000,37298000000,33918000000,283001000000,620854000000,23465000000,27175000000,-28048000000,https://www.sec.gov/Archives/edgar/data/1067983/000119312517056969/0001193125-17-056969-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000119312517056969/d303001d10k.htm
2016-09-30,BRKB,2016-11-04,2016-11-04 16:17:28,Q3,84835000000,24647000000,109482000000,0.0,15763000000,0.0,125245000000,19326000000,79392000000,35034000000,114426000000,0.0,0.0,345041000000,478793000000,0.0,604038000000,1616000000,27514000000,0.0,15223000000,0.0,16839000000,0.0,0.0,0.0,0.0,0.0,317935000000,334774000000,8000000.0,205491000000,29798000000,33967000000,269264000000,604038000000,24647000000,27514000000,-84835000000,https://www.sec.gov/Archives/edgar/data/1067983/000119312516760194/0001193125-16-760194-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000119312516760194/d268144d10q.htm
2016-06-30,BRKB,2016-08-05,2016-08-05 16:17:28,Q2,72679000000,23780000000,96459000000,0.0,15720000000,0.0,112179000000,19072000000,79177000000,35179000000,114356000000,0.0,0.0,347209000000,480637000000,0.0,592816000000,1548000000,27567000000,0.0,14768000000,0.0,16316000000,0.0,0.0,0.0,0.0,0.0,313475000000,329791000000,8000000.0,198293000000,30777000000,33947000000,263025000000,592816000000,23780000000,27567000000,-72679000000,https://www.sec.gov/Archives/edgar/data/1067983/000119312516673492/0001193125-16-673492-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000119312516673492/d210900d10q.htm
2016-03-31,BRKB,2016-05-06,2016-05-06 16:12:04,Q1,58342000000,24557000000,82899000000,0.0,15837000000,0.0,98736000000,59900000000,79114000000,35267000000,114381000000,0.0,0.0,313298000000,487579000000,0.0,586315000000,11205000000,28073000000,0.0,14832000000,0.0,26037000000,0.0,0.0,0.0,0.0,0.0,301617000000,327654000000,8000000.0,193292000000,31454000000,33907000000,258661000000,586315000000,24557000000,28073000000,-58342000000,https://www.sec.gov/Archives/edgar/data/1067983/000119312516582004/0001193125-16-582004-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000119312516582004/d174504d10q.htm
2015-12-31,BRKB,2016-02-29,2016-02-26 21:02:20,FY,71730000000,26027000000,97757000000,0.0,11916000000,0.0,109673000000,59510000000,62708000000,9148000000,71856000000,0.0,0.0,311218000000,442584000000,0.0,552257000000,111000000,14599000000,0.0,13311000000,0.0,13422000000,0.0,0.0,0.0,0.0,0.0,283285000000,296707000000,8000000.0,187703000000,33982000000,33857000000,255550000000,552257000000,26027000000,14599000000,-71730000000,https://www.sec.gov/Archives/edgar/data/1067983/000119312516483023/0001193125-16-483023-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000119312516483023/d103603d10k.htm
2015-09-30,BRKB,2015-11-06,2015-11-06 16:17:04,Q3,66260000000,27160000000,93420000000,0.0,11995000000,0.0,105415000000,118577000000,62692000000,0.0,37133000000,0.0,0.0,321476000000,440053000000,0.0,545468000000,15204000000,14556000000,0.0,14254000000,0.0,29458000000,0.0,0.0,0.0,0.0,0.0,267727000000,297185000000,8000000.0,182225000000,32203000000,33847000000,248283000000,545468000000,27160000000,14556000000,-66260000000,https://www.sec.gov/Archives/edgar/data/1067983/000119312515370187/0001193125-15-370187-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000119312515370187/d52687d10q.htm
2015-06-30,BRKB,2015-08-07,2015-08-07 17:06:28,Q2,66587000000,27439000000,94026000000,0.0,12072000000,0.0,106098000000,117223000000,62799000000,0.0,37141000000,0.0,0.0,317453000000,434676000000,0.0,540774000000,15400000000,14746000000,0.0,13268000000,0.0,28668000000,0.0,0.0,0.0,0.0,0.0,266063000000,294731000000,8000000.0,172797000000,39417000000,33821000000,246043000000,540774000000,27439000000,14746000000,-66587000000,https://www.sec.gov/Archives/edgar/data/1067983/000119312515283231/0001193125-15-283231-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000119312515283231/d940652d10q.htm
2015-03-31,BRKB,2015-05-01,2015-05-01 17:06:18,Q1,63711000000,27607000000,91318000000,0.0,11681000000,0.0,102999000000,115500000000,62879000000,0.0,37284000000,0.0,0.0,312577000000,428077000000,0.0,531076000000,14996000000,14529000000,0.0,13531000000,0.0,28527000000,0.0,0.0,0.0,0.0,0.0,261091000000,289618000000,8000000.0,168784000000,38864000000,33802000000,241458000000,531076000000,27607000000,14529000000,-63711000000,https://www.sec.gov/Archives/edgar/data/1067983/000119312515166595/0001193125-15-166595-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000119312515166595/d906176d10q.htm
2014-12-31,BRKB,2015-03-02,2015-02-27 21:32:25,FY,63269000000,27636000000,90905000000,0.0,10236000000,0.0,101141000000,115054000000,60714000000,0.0,34959000000,0.0,0.0,309991000000,425045000000,0.0,526186000000,100000000,11894000000,0.0,11944000000,0.0,12044000000,0.0,0.0,0.0,0.0,0.0,273972000000,286016000000,8000000.0,163620000000,42732000000,33810000000,240170000000,526186000000,27636000000,11894000000,-63269000000,https://www.sec.gov/Archives/edgar/data/1067983/000119312515070966/0001193125-15-070966-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000119312515070966/d820461d10k.htm
2014-09-30,BRKB,2014-11-07,2014-11-07 17:01:47,Q3,62380000000,1215000000,63595000000,0.0,10182000000,0.0,73777000000,107719000000,58669000000,0.0,34546000000,0.0,0.0,335867000000,443586000000,0.0,517363000000,15268000000,12328000000,0.0,12703000000,0.0,27971000000,0.0,0.0,0.0,0.0,0.0,251936000000,279907000000,8000000.0,159465000000,44186000000,33797000000,237456000000,517363000000,1215000000,12328000000,-62380000000,https://www.sec.gov/Archives/edgar/data/1067983/000119312514403605/0001193125-14-403605-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000119312514403605/d796179d10q.htm
2014-06-30,BRKB,2014-08-01,2014-08-01 17:01:16,Q2,55455000000,1201000000,56656000000,0.0,10199000000,0.0,66855000000,105670000000,58792000000,0.0,34616000000,0.0,0.0,331854000000,437524000000,0.0,504379000000,14941000000,12410000000,0.0,12393000000,0.0,27334000000,0.0,0.0,0.0,0.0,0.0,243040000000,270374000000,8000000.0,154848000000,45421000000,33728000000,234005000000,504379000000,1201000000,12410000000,-55455000000,https://www.sec.gov/Archives/edgar/data/1067983/000119312514291724/0001193125-14-291724-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000119312514291724/d747143d10q.htm
