date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,C,2020-05-04,2020-05-04 17:27:21,Q1,28592000000,262536000000,291128000000,0.0,0.0,0.0,291128000000,0.0,0.0,0.0,0.0,0.0,0.0,207252000000,0.0,2219770000000,2219770000000,0.0,54951000000,0.0,0.0,0.0,54951000000,266098000000,0.0,0.0,0.0,266098000000,0.0,2026788000000,174351000000,163438000000,-32521000000,0.0,192331000000,2219770000000,0.0,532196000000,532196000000,https://www.sec.gov/Archives/edgar/data/831001/000083100120000044/0000831001-20-000044-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100120000044/c-3312020x10q.htm
2019-12-31,C,2020-02-21,2020-02-21 17:05:55,FY,193919000000,251322000000,445241000000,0.0,0.0,0.0,445241000000,0.0,0.0,0.0,0.0,368563000000,0.0,0.0,0.0,1951158000000,1951158000000,0.0,45049000000,0.0,0.0,0.0,45049000000,248760000000,0.0,0.0,0.0,248760000000,0.0,1757212000000,175262000000,165369000000,-36318000000,0.0,193242000000,1951158000000,0.0,497520000000,497520000000,https://www.sec.gov/Archives/edgar/data/831001/000083100120000031/0000831001-20-000031-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100120000031/c-12312019x10k.htm
2019-09-30,C,2019-11-01,2019-11-01 16:48:13,Q3,24086000000,275425000000,299511000000,117000000,0.0,0.0,299628000000,3000000000,21822000000,4844000000,26666000000,196357000000,0.0,1489151000000,1715174000000,9000000.0,2014802000000,0.0,35230000000,0.0,0.0,0.0,35230000000,242238000000,0.0,0.0,0.0,242238000000,1540961000000,1818429000000,31000000,161797000000,-36135000000,70680000000,196373000000,2014802000000,471782000000,277468000000,253382000000,https://www.sec.gov/Archives/edgar/data/831001/000083100119000105/0000831001-19-000105-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100119000105/c-9302019x10q.htm
2019-06-30,C,2019-08-01,2019-08-01 16:53:13,Q2,24997000000,273435000000,298432000000,123000000,0.0,0.0,298555000000,2900000000,22065000000,5026000000,27091000000,178246000000,0.0,1481434000000,1689671000000,1988226000000,1988226000000,0.0,42442000000,0.0,0.0,0.0,42442000000,252189000000,0.0,0.0,0.0,252189000000,1496236000000,1790867000000,31000000,158321000000,-35203000000,74210000000,197359000000,1988226000000,451681000000,294631000000,269634000000,https://www.sec.gov/Archives/edgar/data/831001/000083100119000073/0000831001-19-000073-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100119000073/c-6302019x10q.htm
2019-03-31,C,2019-04-30,2019-04-30 17:28:06,Q1,24448000000,275132000000,299580000000,125000000,0.0,0.0,299705000000,4100000000,22037000000,5196000000,27233000000,181445000000,0.0,1445930000000,1658708000000,1958413000000,1958413000000,0.0,39322000000,0.0,0.0,0.0,39322000000,243566000000,0.0,0.0,0.0,243566000000,1479273000000,1762161000000,31000000,154859000000,-36308000000,77670000000,196252000000,1958413000000,456577000000,282888000000,258440000000,https://www.sec.gov/Archives/edgar/data/831001/000083100119000033/0000831001-19-000033-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100119000033/c-3312019x10q.htm
2018-12-31,C,2019-02-22,2019-02-22 16:50:54,FY,188105000000,288038000000,476143000000,128000000,0.0,0.0,476271000000,0.0,22046000000,5220000000,27266000000,164460000000,27685000000,1221701000000,1441112000000,1917383000000,1917383000000,0.0,32346000000,607000000,0.0,0.0,32953000000,231999000000,0.0,4782000000,0.0,236781000000,1451429000000,1721163000000,31000000,151347000000,-37170000000,82012000000,196220000000,1917383000000,452498000000,264345000000,76240000000,https://www.sec.gov/Archives/edgar/data/831001/000083100119000027/0000831001-19-000027-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100119000027/c-12312018x10k.htm
2018-09-30,C,2018-10-30,2018-10-30 17:15:57,Q3,199286000000,284782000000,484068000000,131000000,0.0,0.0,484199000000,0.0,22187000000,4598000000,26785000000,173559000000,0.0,1240622000000,1440966000000,1925165000000,1925165000000,0.0,33770000000,0.0,0.0,0.0,33770000000,235270000000,0.0,0.0,0.0,235270000000,1459121000000,1728161000000,31000000,148436000000,-38645000000,87182000000,197004000000,1925165000000,458341000000,269040000000,69754000000,https://www.sec.gov/Archives/edgar/data/831001/000083100118000131/0000831001-18-000131-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100118000131/c-9302018x10q.htm
2018-06-30,C,2018-07-31,2018-07-31 16:50:11,Q2,200902000000,289031000000,489933000000,149000000,0.0,0.0,490082000000,0.0,22058000000,4729000000,26787000000,179825000000,0.0,1215640000000,1422252000000,1912334000000,1912334000000,0.0,37233000000,0.0,0.0,0.0,37233000000,236822000000,0.0,0.0,0.0,236822000000,1438185000000,1712240000000,31000000,145211000000,-37494000000,92346000000,200094000000,1912334000000,468856000000,274055000000,73153000000,https://www.sec.gov/Archives/edgar/data/831001/000083100118000091/0000831001-18-000091-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100118000091/c-6302018x10q.htm
2018-03-31,C,2018-05-01,2018-05-01 17:06:06,Q1,202704000000,291523000000,494227000000,126000000,0.0,0.0,494353000000,0.0,22659000000,4450000000,27109000000,180854000000,0.0,1219788000000,1427751000000,1922104000000,1922104000000,0.0,36094000000,0.0,0.0,0.0,36094000000,237938000000,0.0,0.0,0.0,237938000000,1446157000000,1720189000000,31000000,141863000000,-34619000000,94640000000,201915000000,1922104000000,472377000000,274032000000,71328000000,https://www.sec.gov/Archives/edgar/data/831001/000083100118000046/0000831001-18-000046-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100118000046/c-3312018x10q.htm
2017-12-31,C,2018-02-23,2018-02-23 08:44:36,FY,23775000000,290914000000,314689000000,167000000,0.0,0.0,314856000000,0.0,22256000000,4588000000,26844000000,156741000000,26797000000,1317227000000,1527609000000,1842465000000,1842465000000,0.0,44452000000,1013000000,0.0,0.0,45465000000,236709000000,0.0,4316000000,0.0,241025000000,1355235000000,1641725000000,31000000,138425000000,-34668000000,96952000000,200740000000,1842465000000,447655000000,281161000000,257386000000,https://www.sec.gov/Archives/edgar/data/831001/000083100118000040/0000831001-18-000040-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100118000040/c-12312017x10k.htm
2017-09-30,C,2017-10-31,2017-10-31 16:25:32,Q3,22604000000,295315000000,317919000000,177000000,0.0,0.0,318096000000,0.0,22345000000,4732000000,27077000000,163505000000,500000000,1379955000000,1571037000000,1889133000000,1889133000000,0.0,38149000000,0.0,0.0,0.0,38149000000,232673000000,0.0,0.0,0.0,232673000000,1390677000000,1661499000000,31000000,155174000000,-29891000000,102320000000,227634000000,1889133000000,458820000000,270822000000,248218000000,https://www.sec.gov/Archives/edgar/data/831001/000083100117000139/0000831001-17-000139-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100117000139/c-9302017x10q.htm
2017-06-30,C,2017-08-01,2017-08-01 16:44:04,Q2,20940000000,293629000000,314569000000,183000000,0.0,0.0,314752000000,0.0,22349000000,4887000000,27236000000,165142000000,500000000,1356433000000,1549311000000,1864063000000,1864063000000,0.0,36519000000,0.0,0.0,0.0,36519000000,225179000000,0.0,0.0,0.0,225179000000,1372346000000,1634044000000,31000000,152178000000,-29899000000,107709000000,230019000000,1864063000000,458771000000,261698000000,240758000000,https://www.sec.gov/Archives/edgar/data/831001/000083100117000098/0000831001-17-000098-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100117000098/c-6302017x10q.htm
2017-03-31,C,2017-05-01,2017-05-01 16:36:21,Q1,22272000000,290282000000,312554000000,194000000,0.0,0.0,312748000000,0.0,22265000000,5013000000,27278000000,157773000000,500000000,1323336000000,1508887000000,1821635000000,1821635000000,0.0,26127000000,0.0,0.0,0.0,26127000000,208530000000,0.0,0.0,0.0,208530000000,1358846000000,1593503000000,31000000,149731000000,-30917000000,109287000000,228132000000,1821635000000,448055000000,234657000000,212385000000,https://www.sec.gov/Archives/edgar/data/831001/000083100117000048/0000831001-17-000048-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100117000048/c-3312017x10q.htm
2016-12-31,C,2017-02-24,2017-02-24 16:46:05,FY,23043000000,299424000000,322467000000,187000000,0.0,0.0,322654000000,0.0,21659000000,5114000000,26773000000,137451000000,49690000000,1255509000000,1469423000000,1792077000000,1792077000000,0.0,30701000000,1092000000,0.0,0.0,31793000000,206178000000,0.0,3022000000,0.0,209200000000,1325964000000,1566957000000,31000000,146477000000,-32381000000,110993000000,225120000000,1792077000000,436875000000,236879000000,213836000000,https://www.sec.gov/Archives/edgar/data/831001/000083100117000038/0000831001-17-000038-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100117000038/c-12312016x10k.htm
2016-09-30,C,2016-10-31,2016-10-31 08:27:30,Q3,23419000000,308117000000,331536000000,194000000,0.0,0.0,331730000000,0.0,22539000000,5358000000,27897000000,132571000000,0.0,1325919000000,1486387000000,1818117000000,1818117000000,0.0,29527000000,0.0,0.0,0.0,29527000000,209051000000,0.0,0.0,0.0,209051000000,1347964000000,1586542000000,31000000,143678000000,-27193000000,115059000000,231575000000,1818117000000,440688000000,238578000000,215159000000,https://www.sec.gov/Archives/edgar/data/831001/000083100116000334/0000831001-16-000334-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100116000334/c-9302016x10q.htm
2016-06-30,C,2016-08-01,2016-08-01 08:25:56,Q2,22140000000,312765000000,334905000000,212000000,0.0,0.0,335117000000,0.0,22496000000,5521000000,28017000000,127993000000,0.0,1327644000000,1483654000000,1818771000000,1818771000000,0.0,18408000000,0.0,0.0,0.0,18408000000,207448000000,0.0,0.0,0.0,207448000000,1361027000000,1586883000000,31000000,140527000000,-26115000000,117445000000,231888000000,1818771000000,440758000000,225856000000,203716000000,https://www.sec.gov/Archives/edgar/data/831001/000083100116000292/0000831001-16-000292-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100116000292/c-6302016x10q.htm
2016-03-31,C,2016-05-02,2016-05-02 16:49:25,Q1,22240000000,308774000000,331014000000,236000000,0.0,0.0,331250000000,0.0,22575000000,3493000000,26068000000,136049000000,0.0,1307600000000,1469717000000,1800967000000,1800967000000,0.0,20893000000,0.0,0.0,0.0,20893000000,207835000000,0.0,0.0,0.0,207835000000,1344717000000,1573445000000,31000000,136998000000,-26626000000,117119000000,227522000000,1800967000000,444823000000,228728000000,206488000000,https://www.sec.gov/Archives/edgar/data/831001/000083100116000241/0000831001-16-000241-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100116000241/c-3312016x10q.htm
2015-12-31,C,2016-02-26,2016-02-26 16:45:11,FY,20900000000,299136000000,320036000000,250000000,0.0,0.0,320286000000,0.0,22349000000,3721000000,26070000000,112197000000,51192000000,1221465000000,1410924000000,1731210000000,1731210000000,0.0,21079000000,1235000000,0.0,0.0,22314000000,201275000000,0.0,3343000000,0.0,204618000000,1282421000000,1509353000000,31000000,133841000000,-29344000000,117329000000,221857000000,1731210000000,411333000000,222354000000,201454000000,https://www.sec.gov/Archives/edgar/data/831001/000083100116000235/0000831001-16-000235-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100116000235/c-12312015x10k.htm
2015-09-30,C,2015-10-30,2015-10-30 16:25:44,Q3,21726000000,300716000000,322442000000,320000000,0.0,0.0,322762000000,0.0,22444000000,3880000000,26324000000,137935000000,0.0,1321335000000,1485594000000,1808356000000,1808356000000,0.0,22579000000,0.0,0.0,0.0,22579000000,213533000000,0.0,0.0,0.0,213533000000,1351396000000,1587508000000,31000000,130921000000,-27257000000,117153000000,220848000000,1808356000000,438651000000,236112000000,214386000000,https://www.sec.gov/Archives/edgar/data/831001/000083100115000157/0000831001-15-000157-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100115000157/c-9302015x10q.htm
2015-06-30,C,2015-08-03,2015-08-03 08:11:03,Q2,23413000000,294126000000,317539000000,343000000,0.0,0.0,317882000000,0.0,23012000000,4071000000,27083000000,130685000000,0.0,1353720000000,1511488000000,1829370000000,1829370000000,0.0,25907000000,0.0,0.0,0.0,25907000000,211845000000,0.0,0.0,0.0,211845000000,1372178000000,1609930000000,31000000,126954000000,-25104000000,117559000000,219440000000,1829370000000,424811000000,237752000000,214339000000,https://www.sec.gov/Archives/edgar/data/831001/000083100115000111/0000831001-15-000111-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100115000111/c-6302015x10q.htm
2015-03-31,C,2015-05-11,2015-05-11 08:48:46,Q1,21880000000,295239000000,317119000000,398000000,0.0,0.0,317517000000,0.0,23150000000,4244000000,27394000000,133896000000,-171000000,1353165000000,1514284000000,1831801000000,1831801000000,0.0,39405000000,0.0,0.0,0.0,39405000000,210522000000,0.0,0.0,0.0,210522000000,1367254000000,1617181000000,31000000,122463000000,-24691000000,116817000000,214620000000,1831801000000,429135000000,249927000000,228047000000,https://www.sec.gov/Archives/edgar/data/831001/000083100115000056/0000831001-15-000056-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100115000056/c-3312015x10q.htm
2014-12-31,C,2015-02-25,2015-02-25 17:06:00,FY,32108000000,300143000000,332251000000,0.0,0.0,0.0,332251000000,0.0,23592000000,4566000000,28158000000,128089000000,52983000000,1301049000000,1510279000000,1842530000000,1842530000000,0.0,58335000000,1060000000,0.0,0.0,59395000000,223080000000,0.0,3476000000,0.0,226556000000,1346045000000,1631996000000,31000000,118201000000,-23216000000,115518000000,210534000000,1842530000000,428232000000,281415000000,249307000000,https://www.sec.gov/Archives/edgar/data/831001/000083100115000043/0000831001-15-000043-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100115000043/c-12312014x10k.htm
2014-09-30,C,2014-10-30,2014-10-30 16:44:08,Q3,35976000000,294692000000,330668000000,0.0,0.0,0.0,330668000000,0.0,24500000000,4525000000,29025000000,143068000000,-130000000,1380218000000,1552181000000,1882849000000,1882849000000,0.0,64838000000,0.0,0.0,0.0,64838000000,223842000000,0.0,0.0,0.0,223842000000,1381897000000,1670577000000,31000000,118041000000,-19976000000,114176000000,212272000000,1882849000000,437760000000,288680000000,252704000000,https://www.sec.gov/Archives/edgar/data/831001/000083100114000136/0000831001-14-000136-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100114000136/c-9302014x10q.htm
2014-06-30,C,2014-08-01,2014-08-01 07:49:15,Q2,35268000000,286465000000,321733000000,0.0,0.0,0.0,321733000000,0.0,25087000000,4702000000,29789000000,153817000000,-130000000,1404506000000,1587982000000,1909715000000,1909715000000,0.0,59534000000,0.0,0.0,0.0,59534000000,226984000000,0.0,0.0,0.0,226984000000,1411835000000,1698353000000,31000000,115361000000,-18147000000,114117000000,211362000000,1909715000000,440282000000,286518000000,251250000000,https://www.sec.gov/Archives/edgar/data/831001/000083100114000082/0000831001-14-000082-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000083100114000082/c-6302014x10q.htm
2014-03-31,C,2014-05-02,2014-05-02 07:53:33,Q1,33380000000,286041000000,319421000000,0.0,0.0,0.0,319421000000,0.0,25008000000,4891000000,29899000000,171020000000,-130000000,1374526000000,1575315000000,1894736000000,1894736000000,0.0,58903000000,0.0,0.0,0.0,58903000000,222747000000,0.0,0.0,0.0,222747000000,1404624000000,1686274000000,31000000,115091000000,-19146000000,112486000000,208462000000,1894736000000,457061000000,281650000000,248270000000,https://www.sec.gov/Archives/edgar/data/831001/000110465914033774/0001104659-14-033774-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000110465914033774/a14-8737_110q.htm
2013-12-31,C,2014-03-03,2014-03-03 07:57:17,FY,29885000000,282777000000,312662000000,0.0,0.0,0.0,312662000000,0.0,25009000000,5056000000,30065000000,169005000000,55781000000,1312869000000,1567720000000,1880382000000,1880382000000,0.0,58944000000,1574000000,0.0,0.0,60518000000,221116000000,0.0,2982000000,0.0,224098000000,1391427000000,1676043000000,31000000,111168000000,-19133000000,112273000000,204339000000,1880382000000,451782000000,280060000000,250175000000,https://www.sec.gov/Archives/edgar/data/831001/000110465914015152/0001104659-14-015152-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000110465914015152/a14-3681_610k.htm
2013-09-30,C,2013-11-01,2013-11-01 08:22:53,Q3,32810000000,275550000000,308360000000,0.0,0.0,0.0,308360000000,0.0,25098000000,4888000000,29986000000,172659000000,0.0,1388506000000,1591151000000,1899511000000,1899511000000,0.0,58904000000,0.0,0.0,0.0,58904000000,221593000000,0.0,0.0,0.0,221593000000,1418168000000,1698665000000,31000000,108812000000,-18798000000,110801000000,200846000000,1899511000000,448209000000,280497000000,247687000000,https://www.sec.gov/Archives/edgar/data/831001/000104746913010160/0001047469-13-010160-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000104746913010160/a2217172z10-q.htm
2013-06-30,C,2013-08-02,2013-08-02 08:06:57,Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1883988000000,1883988000000,0.0,58807000000,0.0,0.0,0.0,58807000000,220959000000,0.0,0.0,0.0,220959000000,0.0,1686162000000,191633000000,105725000000,-19924000000,0.0,195926000000,1883988000000,0.0,441918000000,441918000000,https://www.sec.gov/Archives/edgar/data/831001/000104746913008011/0001047469-13-008011-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000104746913008011/a2216163z10-q.htm
2013-03-31,C,2013-05-03,2013-05-03 08:10:21,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1881734000000,1881734000000,0.0,48193000000,0.0,0.0,0.0,48193000000,234326000000,0.0,0.0,0.0,234326000000,0.0,1686395000000,190222000000,101580000000,-17059000000,0.0,193359000000,1881734000000,0.0,468652000000,468652000000,https://www.sec.gov/Archives/edgar/data/831001/000104746913005492/0001047469-13-005492-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000104746913005492/a2214911z10-q.htm
2012-12-31,C,2013-03-01,2013-03-01 07:49:35,FY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1864660000000,1864660000000,0.0,52027000000,0.0,0.0,0.0,52027000000,239463000000,0.0,0.0,0.0,239463000000,0.0,1673663000000,186487000000,97809000000,-16896000000,0.0,189049000000,1864660000000,0.0,489036000000,489036000000,https://www.sec.gov/Archives/edgar/data/831001/000120677413000852/0001206774-13-000852-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000120677413000852/citigroup_10k.htm
2012-09-30,C,2012-11-06,2012-11-06 08:40:06,Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1931346000000,1931346000000,0.0,49164000000,0.0,0.0,0.0,49164000000,271862000000,0.0,0.0,0.0,271862000000,0.0,1742608000000,186465000000,96650000000,-15566000000,0.0,186777000000,1931346000000,0.0,554284000000,554284000000,https://www.sec.gov/Archives/edgar/data/831001/000104746912010096/0001047469-12-010096-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000104746912010096/a2211642z10-q.htm
2012-06-30,C,2012-08-03,2012-08-03 16:19:01,Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1916451000000,1916451000000,0.0,58698000000,0.0,0.0,0.0,58698000000,288334000000,0.0,0.0,0.0,288334000000,0.0,1730612000000,183599000000,96216000000,-17749000000,0.0,183911000000,1916451000000,0.0,592704000000,592704000000,https://www.sec.gov/Archives/edgar/data/831001/000104746912007741/0001047469-12-007741-index.htm,https://www.sec.gov/Archives/edgar/data/831001/000104746912007741/a2210461z10-q.htm
