date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,CAT,2020-05-06,2020-05-06 13:09:58,Q1,7100000000,7123000000,7100000000,7834000000,11748000000,10904000000,37586000000,12488000000,6140000000,1478000000,7618000000,12021000000,0.0,6181000000,38308000000,18202000000,75894000000,5769000000,2074000000,0.0,1295000000,17378000000,26516000000,3776000000,0.0,1426000000,4437000000,4437000000,30702000000,61655000000,1.0,35504000000,-2012000000,16251000000,14239000000,75894000000,12021000000,2074000000,-5026000000,https://www.sec.gov/Archives/edgar/data/18230/000001823020000155/0000018230-20-000155-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823020000155/cat10q3312020.htm
2019-12-31,CAT,2020-02-19,2020-02-19 14:12:34,FY,8284000000,8284000000,8284000000,8568000000,11266000000,11075000000,39193000000,12904000000,6196000000,1565000000,7761000000,12651000000,0.0,5944000000,39260000000,18595000000,78453000000,5957000000,2155000000,0.0,1411000000,18509000000,26621000000,3750000000,0.0,1411000000,4323000000,4323000000,32880000000,63824000000,1.0,34437000000,-1567000000,10261000000,14629000000,78453000000,12651000000,2155000000,-6129000000,https://www.sec.gov/Archives/edgar/data/18230/000001823020000056/0000018230-20-000056-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823020000056/cat10-k12312019.htm
2019-09-30,CAT,2019-10-31,2019-10-31 10:52:48,Q3,7906000000,7906000000,7906000000,8275000000,12180000000,10799000000,39160000000,12842000000,6142000000,1630000000,7772000000,12412000000,0.0,5807000000,38833000000,18219000000,77993000000,6141000000,2188000000,0.0,1372000000,18872000000,27201000000,3727000000,0.0,1372000000,4311000000,4311000000,31488000000,63000000000,1.0,34477000000,-1783000000,16776000000,14993000000,77993000000,12412000000,2188000000,-5718000000,https://www.sec.gov/Archives/edgar/data/18230/000001823019000281/0000018230-19-000281-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823019000281/cat10q9302019.htm
2019-06-30,CAT,2019-08-01,2019-08-01 11:04:05,Q2,7429000000,7429000000,7429000000,8996000000,12007000000,18786000000,39789000000,13172000000,6211000000,1733000000,7944000000,12461000000,0.0,5821000000,39398000000,18282000000,79187000000,7022000000,2157000000,0.0,1473000000,18556000000,27735000000,3789000000,0.0,1473000000,4362000000,4362000000,32212000000,64309000000,1.0,32981000000,-1499000000,16377000000,14878000000,79187000000,12461000000,2157000000,2157000000,https://www.sec.gov/Archives/edgar/data/18230/000001823019000224/0000018230-19-000224-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823019000224/cat10q6302019.htm
2019-03-31,CAT,2019-05-06,2019-05-06 12:20:29,Q1,7128000000,7128000000,7128000000,8961000000,12340000000,17825000000,39126000000,13259000000,6191000000,1807000000,7998000000,12674000000,0.0,5669000000,39600000000,18343000000,78726000000,7198000000,2348000000,0.0,1378000000,17842000000,27388000000,3746000000,0.0,1378000000,4179000000,4179000000,31681000000,63248000000,1.0,32435000000,-1588000000,17066000000,15478000000,78726000000,12674000000,2348000000,2348000000,https://www.sec.gov/Archives/edgar/data/18230/000001823019000153/0000018230-19-000153-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823019000153/cat_10qx3312019.htm
2018-12-31,CAT,2019-02-14,2019-02-14 13:25:13,FY,7857000000,7857000000,7857000000,8802000000,11529000000,18272000000,38603000000,13574000000,6217000000,1897000000,8114000000,13286000000,0.0,4932000000,39906000000,18218000000,78509000000,7051000000,1919000000,0.0,1439000000,19248000000,28218000000,3573000000,0.0,1439000000,3756000000,3756000000,32455000000,64429000000,1.0,30427000000,-1684000000,9937000000,14080000000,78509000000,13286000000,1919000000,1919000000,https://www.sec.gov/Archives/edgar/data/18230/000001823019000034/0000018230-19-000034-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823019000034/cat_10-kx12312018.htm
2018-09-30,CAT,2018-10-31,2018-10-31 12:14:01,Q3,8007000000,8007000000,8007000000,7974000000,11814000000,18666000000,38454000000,13607000000,6233000000,1976000000,8209000000,13244000000,0.0,4695000000,39755000000,17939000000,78209000000,6788000000,1867000000,0.0,1288000000,17378000000,26033000000,3423000000,0.0,1288000000,3799000000,3799000000,32487000000,62319000000,1.0,30384000000,-1568000000,17458000000,15890000000,78209000000,13244000000,1867000000,1867000000,https://www.sec.gov/Archives/edgar/data/18230/000001823018000293/0000018230-18-000293-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823018000293/cat_10qx9302018.htm
2018-06-30,CAT,2018-08-07,2018-08-07 12:17:48,Q2,8654000000,8654000000,8654000000,7991000000,11255000000,19395000000,38641000000,13752000000,6249000000,2039000000,8288000000,13318000000,0.0,4988000000,40346000000,18306000000,78987000000,6831000000,1871000000,0.0,1626000000,19598000000,28300000000,3450000000,0.0,1626000000,3954000000,3954000000,31791000000,64045000000,1.0,28657000000,-1496000000,16438000000,14942000000,78987000000,13318000000,1871000000,1871000000,https://www.sec.gov/Archives/edgar/data/18230/000001823018000229/0000018230-18-000229-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823018000229/cat_10qx6302018.htm
2018-03-31,CAT,2018-05-02,2018-05-02 11:32:39,Q1,7888000000,7888000000,7888000000,7894000000,10947000000,18516000000,37357000000,13912000000,6376000000,2163000000,8539000000,13359000000,0.0,4847000000,40657000000,18206000000,78014000000,6938000000,1890000000,0.0,1687000000,18574000000,27402000000,3551000000,0.0,1687000000,3942000000,3942000000,31398000000,62742000000,1.0,27929000000,-1016000000,16288000000,15272000000,78014000000,13359000000,1890000000,1890000000,https://www.sec.gov/Archives/edgar/data/18230/000001823018000136/0000018230-18-000136-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823018000136/cat_10qx3312018.htm
2017-12-31,CAT,2018-02-15,2018-02-15 12:14:45,FY,8261000000,8261000000,8261000000,7436000000,10018000000,10529000000,36244000000,14155000000,6200000000,2111000000,8311000000,13542000000,0.0,4710000000,40718000000,18252000000,76962000000,6487000000,1975000000,0.0,1693000000,18469000000,26931000000,3220000000,0.0,1693000000,4053000000,4053000000,32212000000,63196000000,1.0,26301000000,-1192000000,9365000000,13766000000,76962000000,13542000000,1975000000,-6286000000,https://www.sec.gov/Archives/edgar/data/18230/000001823018000042/0000018230-18-000042-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823018000042/cat_10-kx12312017.htm
2017-09-30,CAT,2017-11-01,2017-11-01 11:52:07,Q3,9591000000,9591000000,9591000000,6691000000,10212000000,10691000000,37185000000,14187000000,6196000000,2175000000,8371000000,13192000000,0.0,5625000000,41375000000,18817000000,78560000000,6113000000,1744000000,0.0,2845000000,18046000000,25903000000,3114000000,0.0,2845000000,3152000000,3152000000,33808000000,62863000000,1.0,28530000000,-1233000000,16930000000,15697000000,78560000000,13192000000,1744000000,-7847000000,https://www.sec.gov/Archives/edgar/data/18230/000001823017000305/0000018230-17-000305-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823017000305/cat_10qx9302017.htm
2017-06-30,CAT,2017-08-02,2017-08-02 11:47:06,Q2,10232000000,10232000000,10232000000,6675000000,9388000000,10696000000,36991000000,14420000000,6142000000,2232000000,8374000000,13197000000,0.0,5528000000,41519000000,18725000000,78510000000,5778000000,1787000000,0.0,2866000000,20568000000,28133000000,3211000000,0.0,2866000000,3235000000,3235000000,33063000000,64431000000,1.0,27471000000,-1471000000,15550000000,14079000000,78510000000,13197000000,1787000000,-8445000000,https://www.sec.gov/Archives/edgar/data/18230/000001823017000245/0000018230-17-000245-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823017000245/cat_10qx6302017.htm
