date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,CL,2020-05-01,2020-05-01 07:40:17,Q1,854000000,0.0,854000000,1551000000,1301000000,542000000,4248000000,3487000000,3559000000,2822000000,6381000000,0.0,179000000,775000000,10822000000,4441000000,15070000000,1216000000,255000000,485000000,-99000000,2487000000,4443000000,7336000000,0.0,415000000,2535000000,10286000000,454000000,15183000000,1466000000,22481000000,-4578000000,0.0,-113000000,15070000000,0.0,7591000000,6737000000,https://www.sec.gov/Archives/edgar/data/21665/000002166520000007/0000021665-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/21665/000002166520000007/cl-3312020x10q.htm
2019-12-31,CL,2020-02-21,2020-02-21 16:53:42,FY,883000000,23000000,906000000,1440000000,1400000000,433000000,4179000000,3750000000,3508000000,2667000000,6175000000,23000000,177000000,730000000,10855000000,930000000,15034000000,1237000000,254000000,370000000,177000000,2177000000,4038000000,7333000000,0.0,507000000,2598000000,10438000000,441000000,14917000000,1466000000,22501000000,-4273000000,0.0,117000000,15034000000,46000000,7587000000,6704000000,https://www.sec.gov/Archives/edgar/data/21665/000002166520000004/0000021665-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/21665/000002166520000004/cl-12312019x10k.htm
2019-09-30,CL,2019-11-01,2019-11-01 09:24:29,Q3,948000000,109000000,1057000000,1495000000,1371000000,426000000,4349000000,3689000000,3532000000,2535000000,6067000000,109000000,165000000,647000000,10677000000,4610000000,15026000000,1188000000,2000000.0,246000000,79000000,2795000000,4231000000,7646000000,0.0,587000000,2388000000,10621000000,498000000,15350000000,1466000000,21860000000,-4215000000,0.0,-324000000,15026000000,218000000,7648000000,6700000000,https://www.sec.gov/Archives/edgar/data/21665/000002166519000022/0000021665-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/21665/000002166519000022/cl-9302019x10q.htm
2019-06-30,CL,2019-07-26,2019-07-26 09:20:56,Q2,863000000,66000000,929000000,1590000000,1322000000,414000000,4255000000,3793000000,2536000000,1609000000,4145000000,66000000,167000000,725000000,8896000000,4751000000,13151000000,1209000000,1000000.0,293000000,53000000,2279000000,3782000000,6640000000,0.0,303000000,2436000000,9379000000,337000000,13498000000,1466000000,21653000000,-4119000000,0.0,-347000000,13151000000,132000000,6641000000,5778000000,https://www.sec.gov/Archives/edgar/data/21665/000002166519000020/0000021665-19-000020-index.htm,https://www.sec.gov/Archives/edgar/data/21665/000002166519000020/cl-6302019x10q.htm
2019-03-31,CL,2019-04-26,2019-04-26 10:00:14,Q1,843000000,37000000,880000000,1547000000,1278000000,428000000,4133000000,3821000000,2517000000,1612000000,4129000000,37000000,164000000,599000000,8750000000,4621000000,12883000000,1215000000,1000000.0,400000000,53000000,2249000000,3865000000,6655000000,0.0,306000000,2267000000,9228000000,342000000,13435000000,1466000000,21436000000,-4160000000,0.0,-552000000,12883000000,74000000,6656000000,5813000000,https://www.sec.gov/Archives/edgar/data/21665/000002166519000007/0000021665-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/21665/000002166519000007/cl-3312019x10q.htm
2018-12-31,CL,2019-02-21,2019-02-21 16:13:44,FY,726000000,10000000,736000000,1400000000,1250000000,407000000,3793000000,3881000000,2530000000,1637000000,4167000000,10000000,152000000,158000000,8368000000,320000000,12161000000,1222000000,12000000,411000000,152000000,1708000000,3341000000,6354000000,0.0,235000000,2034000000,8623000000,299000000,12263000000,1466000000,21615000000,-4188000000,0.0,-102000000,12161000000,20000000,6354000000,5628000000,https://www.sec.gov/Archives/edgar/data/21665/000002166519000003/0000021665-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/21665/000002166519000003/cl-12312018x10k.htm
2018-09-30,CL,2018-10-26,2018-10-26 09:02:55,Q3,841000000,120000000,961000000,1532000000,1245000000,403000000,4141000000,3871000000,2539000000,1660000000,4199000000,120000000,165000000,75000000,8430000000,4231000000,12571000000,1158000000,85000000,360000000,78000000,2229000000,3747000000,6519000000,0.0,325000000,2048000000,8892000000,362000000,13001000000,1466000000,21008000000,-4172000000,0.0,-430000000,12571000000,240000000,6519000000,5678000000,https://www.sec.gov/Archives/edgar/data/21665/000002166518000018/0000021665-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/21665/000002166518000018/cl-9302018x10q.htm
2018-06-30,CL,2018-07-27,2018-07-27 09:04:45,Q2,833000000,83000000,916000000,1545000000,1254000000,457000000,4172000000,3908000000,2483000000,1735000000,4218000000,83000000,156000000,113000000,8478000000,4260000000,12650000000,1121000000,346000000,382000000,2000000.0,2439000000,3942000000,6519000000,0.0,206000000,2172000000,8897000000,334000000,13173000000,1466000000,20851000000,-4164000000,0.0,-523000000,12650000000,166000000,6519000000,5686000000,https://www.sec.gov/Archives/edgar/data/21665/000002166518000015/0000021665-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/21665/000002166518000015/cl-6302018x10q.htm
2018-03-31,CL,2018-04-27,2018-04-27 09:03:09,Q1,851000000,51000000,902000000,1644000000,1312000000,434000000,4292000000,4087000000,2572000000,1782000000,4354000000,51000000,187000000,173000000,8852000000,4498000000,13144000000,1209000000,159000000,432000000,13000000,2339000000,3980000000,6550000000,0.0,249000000,2264000000,9063000000,350000000,13393000000,1466000000,20581000000,-3900000000,0.0,-249000000,13144000000,102000000,6550000000,5699000000,https://www.sec.gov/Archives/edgar/data/21665/000002166518000008/0000021665-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/21665/000002166518000008/cl-3312018x10q.htm
2017-12-31,CL,2018-02-15,2018-02-15 14:33:07,FY,1535000000,14000000,1549000000,1480000000,1221000000,389000000,4639000000,4072000000,2218000000,1341000000,3559000000,14000000,188000000,204000000,8037000000,406000000,12676000000,1212000000,11000000,354000000,188000000,1842000000,3408000000,6566000000,0.0,204000000,2255000000,9025000000,303000000,12736000000,1466000000,20531000000,-3855000000,0.0,-60000000,12676000000,28000000,6566000000,5031000000,https://www.sec.gov/Archives/edgar/data/21665/000002166518000003/0000021665-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/21665/000002166518000003/cl-12312017x10k.htm
