date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,COP,None,None,Q1,3908000000,420000000,4328000000,0.0,726000000,8090000000,13144000000,40645000000,0.0,0.0,0.0,8707000000,0.0,2537000000,51889000000,0.0,65033000000,2900000000,126000000,853000000,0.0,2196000000,6075000000,14847000000,0.0,4141000000,0.0,18988000000,8655000000,33718000000,18000000,37545000000,-6145000000,0.0,31315000000,65033000000,9127000000,14973000000,11065000000,None,None
2019-12-31,COP,None,None,FY,5088000000,3028000000,8116000000,0.0,1026000000,7771000000,16913000000,42269000000,0.0,0.0,0.0,8687000000,0.0,2645000000,53601000000,0.0,70514000000,3176000000,105000000,1030000000,0.0,2732000000,7043000000,14790000000,0.0,4634000000,0.0,19424000000,9066000000,35533000000,18000000,39742000000,-5357000000,578000000,34981000000,70514000000,11715000000,14895000000,9807000000,None,None
2019-09-30,COP,2019-10-31,2019-10-31 11:41:40,Q3,7193000000,1951000000,9144000000,138000000,955000000,5118000000,15217000000,43814000000,0.0,0.0,0.0,8916000000,0.0,2393000000,55123000000,55123000000,70340000000,3148000000,121000000,1077000000,4693000000,1596000000,5942000000,14799000000,0.0,4693000000,0.0,19492000000,9760000000,35194000000,18000000,39484000000,-5654000000,1298000000,35146000000,70340000000,10867000000,14920000000,7727000000,https://www.sec.gov/Archives/edgar/data/1163165/000119312519279997/0001193125-19-279997-index.htm,https://www.sec.gov/Archives/edgar/data/1163165/000119312519279997/d824956d10q.htm
2019-06-30,COP,2019-08-01,2019-08-01 10:35:47,Q2,5941000000,8748000000,5941000000,161000000,1089000000,8770000000,15800000000,44334000000,0.0,0.0,0.0,8748000000,0.0,2379000000,55461000000,55461000000,71261000000,3618000000,114000000,1213000000,4825000000,4051000000,8996000000,14809000000,0.0,4825000000,0.0,19634000000,9655000000,38285000000,18000000,36769000000,-5827000000,2016000000,32976000000,71261000000,8748000000,14923000000,8982000000,https://www.sec.gov/Archives/edgar/data/1163165/000119312519210077/0001193125-19-210077-index.htm,https://www.sec.gov/Archives/edgar/data/1163165/000119312519210077/d775509d10q.htm
2019-03-31,COP,2019-05-02,2019-05-02 11:14:37,Q1,6218000000,9302000000,6218000000,3701000000,1014000000,6451000000,13683000000,45942000000,0.0,0.0,0.0,9302000000,0.0,2571000000,57815000000,57815000000,71498000000,3815000000,113000000,1539000000,5043000000,1903000000,7370000000,14832000000,0.0,5043000000,0.0,19875000000,11394000000,38639000000,18000000,35534000000,-5914000000,3221000000,32859000000,71498000000,9302000000,14945000000,8727000000,https://www.sec.gov/Archives/edgar/data/1163165/000119312519134334/0001193125-19-134334-index.htm,https://www.sec.gov/Archives/edgar/data/1163165/000119312519134334/d734823d10q.htm
2018-12-31,COP,2019-02-19,2019-02-19 11:23:45,FY,5915000000,9329000000,5915000000,3920000000,1007000000,6352000000,13274000000,45698000000,0.0,0.0,0.0,9329000000,0.0,1679000000,56706000000,56706000000,69980000000,3863000000,112000000,1320000000,5021000000,2100000000,7395000000,14856000000,0.0,5021000000,0.0,19877000000,10769000000,38041000000,18000000,34010000000,-6063000000,3974000000,31939000000,69980000000,9329000000,14968000000,9053000000,https://www.sec.gov/Archives/edgar/data/1163165/000119312519043841/0001193125-19-043841-index.htm,https://www.sec.gov/Archives/edgar/data/1163165/000119312519043841/d636257d10k.htm
2018-09-30,COP,2018-10-30,2018-10-30 12:03:42,Q3,3716000000,9553000000,3716000000,4319000000,1239000000,9768000000,14723000000,44736000000,0.0,0.0,0.0,9553000000,0.0,1544000000,55833000000,55833000000,70556000000,3887000000,95000000,1582000000,5535000000,1837000000,7401000000,14902000000,0.0,5535000000,0.0,20437000000,10768000000,38606000000,18000000,32495000000,-5442000000,4879000000,31950000000,70556000000,9553000000,14997000000,11281000000,https://www.sec.gov/Archives/edgar/data/1163165/000119312518311600/0001193125-18-311600-index.htm,https://www.sec.gov/Archives/edgar/data/1163165/000119312518311600/d630380d10q.htm
2018-06-30,COP,2018-07-31,2018-07-31 10:48:32,Q2,3234000000,9435000000,3234000000,3750000000,1093000000,7281000000,11608000000,46306000000,0.0,0.0,0.0,9435000000,0.0,1587000000,57328000000,57328000000,68936000000,3642000000,89000000,1301000000,5534000000,1606000000,6638000000,14885000000,0.0,5534000000,0.0,20419000000,10837000000,37894000000,18000000,30967000000,-5637000000,5694000000,31042000000,68936000000,9435000000,14974000000,11740000000,https://www.sec.gov/Archives/edgar/data/1163165/000119312518232659/0001193125-18-232659-index.htm,https://www.sec.gov/Archives/edgar/data/1163165/000119312518232659/d586006d10q.htm
2018-03-31,COP,2018-05-01,2018-05-01 10:36:21,Q1,4984000000,9572000000,4984000000,4032000000,1053000000,7150000000,13187000000,45997000000,0.0,0.0,0.0,9572000000,0.0,1971000000,57540000000,57540000000,70727000000,3824000000,337000000,1341000000,5409000000,1607000000,7109000000,16709000000,0.0,5409000000,0.0,22118000000,10954000000,40181000000,18000000,29663000000,-5371000000,6236000000,30546000000,70727000000,9572000000,17046000000,12062000000,https://www.sec.gov/Archives/edgar/data/1163165/000119312518145507/0001193125-18-145507-index.htm,https://www.sec.gov/Archives/edgar/data/1163165/000119312518145507/d577738d10q.htm
2017-12-31,COP,2018-02-20,2018-02-20 10:03:26,FY,6325000000,9599000000,6325000000,4179000000,1060000000,9127000000,16512000000,45683000000,0.0,0.0,0.0,9599000000,0.0,1568000000,56850000000,56850000000,73362000000,4009000000,2575000000,1038000000,5282000000,1775000000,9397000000,17128000000,0.0,5282000000,0.0,22410000000,10948000000,42755000000,18000000,29391000000,-5518000000,6716000000,30607000000,73362000000,9599000000,19703000000,13378000000,https://www.sec.gov/Archives/edgar/data/1163165/000119312518049729/0001193125-18-049729-index.htm,https://www.sec.gov/Archives/edgar/data/1163165/000119312518049729/d534096d10k.htm
2017-09-30,COP,2017-10-31,2017-10-31 11:11:28,Q3,6911000000,9696000000,6911000000,3222000000,1023000000,9020000000,16954000000,46669000000,0.0,0.0,0.0,0.0,0.0,11238000000,57907000000,57907000000,74861000000,3378000000,1331000000,1005000000,6262000000,1417000000,7131000000,19673000000,0.0,6262000000,0.0,25935000000,11295000000,44361000000,18000000,28130000000,-5292000000,7644000000,30500000000,74861000000,9696000000,21004000000,14093000000,https://www.sec.gov/Archives/edgar/data/1163165/000119312517326398/0001193125-17-326398-index.htm,https://www.sec.gov/Archives/edgar/data/1163165/000119312517326398/d486070d10q.htm
2017-06-30,COP,2017-08-01,2017-08-01 09:11:33,Q2,7534000000,9681000000,7534000000,3020000000,1019000000,11326000000,19879000000,46846000000,0.0,0.0,0.0,0.0,0.0,11279000000,58125000000,58125000000,78004000000,3401000000,3798000000,791000000,6335000000,1936000000,9926000000,19670000000,0.0,6335000000,0.0,26005000000,11787000000,47718000000,18000000,28033000000,-6342000000,8577000000,30286000000,78004000000,9681000000,23468000000,15934000000,https://www.sec.gov/Archives/edgar/data/1163165/000119312517243345/0001193125-17-243345-index.htm,https://www.sec.gov/Archives/edgar/data/1163165/000119312517243345/d435312d10q.htm
2017-03-31,COP,2017-05-04,2017-05-04 16:18:51,Q1,3109000000,21153000000,3109000000,3105000000,1097000000,6522000000,10728000000,54440000000,0.0,0.0,0.0,0.0,0.0,22805000000,77245000000,77245000000,87973000000,3494000000,1095000000,756000000,7568000000,2181000000,7526000000,25340000000,0.0,7568000000,0.0,32908000000,12186000000,52620000000,18000000,31804000000,-5961000000,9492000000,35353000000,87973000000,21153000000,26435000000,23326000000,https://www.sec.gov/Archives/edgar/data/1163165/000119312517158717/0001193125-17-158717-index.htm,https://www.sec.gov/Archives/edgar/data/1163165/000119312517158717/d375594d10q.htm
2016-12-31,COP,2017-02-21,2017-02-21 12:34:09,FY,3610000000,21091000000,3610000000,3249000000,1018000000,3981000000,8609000000,58331000000,0.0,0.0,0.0,0.0,0.0,22832000000,81163000000,81163000000,89772000000,3631000000,1089000000,484000000,8949000000,1705000000,6909000000,26186000000,0.0,8949000000,0.0,35135000000,12754000000,54798000000,18000000,31548000000,-6193000000,9601000000,34974000000,89772000000,21091000000,27275000000,23665000000,https://www.sec.gov/Archives/edgar/data/1163165/000119312517050077/0001193125-17-050077-index.htm,https://www.sec.gov/Archives/edgar/data/1163165/000119312517050077/d264316d10k.htm
2016-09-30,COP,2016-11-01,2016-11-01 10:55:56,Q3,4090000000,21283000000,4090000000,3163000000,1108000000,4443000000,9641000000,61649000000,0.0,0.0,0.0,0.0,0.0,22994000000,84643000000,84643000000,94284000000,3686000000,1336000000,394000000,9034000000,2121000000,7537000000,27353000000,0.0,9034000000,0.0,36387000000,14190000000,58114000000,18000000,31896000000,-5444000000,9700000000,36170000000,94284000000,21283000000,28689000000,24599000000,https://www.sec.gov/Archives/edgar/data/1163165/000119312516754694/0001193125-16-754694-index.htm,https://www.sec.gov/Archives/edgar/data/1163165/000119312516754694/d268453d10q.htm
