date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-02-16,COST,2020-03-12,2020-03-11 17:59:32,Q2,7786000000,929000000,8715000000,0.0,11850000000,3138000000,23703000000,21481000000,0.0,0.0,0.0,0.0,0.0,3598000000,25079000000,3598000000,48782000000,11072000000,500000000,0.0,1865000000,9258000000,22695000000,5099000000,0.0,0.0,1543000000,6642000000,2831000000,32168000000,4000000.0,11384000000,-1280000000,6506000000,16614000000,48782000000,929000000,5599000000,-2187000000,https://www.sec.gov/Archives/edgar/data/909832/000090983220000004/0000909832-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983220000004/cost10q21620.htm
2019-11-24,COST,2019-12-23,2019-12-20 18:04:39,Q1,9027000000,993000000,10020000000,0.0,13818000000,2805000000,26643000000,21237000000,0.0,0.0,0.0,0.0,0.0,3551000000,24788000000,3551000000,51431000000,14440000000,1700000000,0.0,1817000000,8308000000,26265000000,5107000000,0.0,0.0,1393000000,6500000000,2805000000,35570000000,4000000.0,10787000000,-1321000000,6391000000,15861000000,51431000000,993000000,6807000000,-2220000000,https://www.sec.gov/Archives/edgar/data/909832/000090983219000033/0000909832-19-000033-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983219000033/cost10q112419.htm
2019-09-01,COST,2019-10-11,2019-10-10 18:06:12,FY,8384000000,1060000000,9444000000,0.0,11395000000,2646000000,23485000000,20890000000,0.0,0.0,0.0,0.0,398000000,627000000,21915000000,1025000000,45400000000,11679000000,1699000000,27000000,1711000000,8121000000,23237000000,5124000000,0.0,145000000,1455000000,6724000000,196000000,30157000000,4000000.0,10258000000,-1436000000,6417000000,15243000000,45400000000,1060000000,6823000000,-1561000000,https://www.sec.gov/Archives/edgar/data/909832/000090983219000019/0000909832-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983219000019/cost10k9119.htm
2019-05-12,COST,2019-06-06,2019-06-05 20:46:10,Q3,7013000000,1154000000,8167000000,0.0,11304000000,2814000000,22285000000,20475000000,0.0,0.0,0.0,0.0,0.0,992000000,21467000000,992000000,43752000000,11331000000,1699000000,0.0,1761000000,8041000000,22832000000,4799000000,0.0,0.0,1301000000,6100000000,334000000,29266000000,4000000.0,9496000000,-1321000000,6307000000,14486000000,43752000000,1154000000,6498000000,-515000000,https://www.sec.gov/Archives/edgar/data/909832/000090983219000013/0000909832-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983219000013/cost10q51219.htm
2019-02-17,COST,2019-03-13,2019-03-13 16:49:30,Q2,6080000000,1042000000,7122000000,0.0,11356000000,3170000000,21648000000,20145000000,0.0,0.0,0.0,0.0,0.0,1006000000,21151000000,21151000000,42799000000,10711000000,1698000000,0.0,1735000000,8306000000,22450000000,4794000000,0.0,0.0,1372000000,6166000000,325000000,28941000000,4000000.0,8916000000,-1280000000,6218000000,13858000000,42799000000,1042000000,6492000000,412000000,https://www.sec.gov/Archives/edgar/data/909832/000090983219000003/0000909832-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983219000003/cost10q21719.htm
2018-11-25,COST,2018-12-20,2018-12-19 19:59:53,Q1,6778000000,1175000000,7953000000,0.0,12205000000,2796000000,22954000000,19879000000,0.0,0.0,0.0,0.0,0.0,981000000,20860000000,981000000,43814000000,13133000000,3586000000,0.0,1695000000,4059000000,22473000000,6480000000,0.0,0.0,1382000000,7862000000,312000000,30647000000,4000000.0,8387000000,-1331000000,6107000000,13167000000,43814000000,1175000000,10066000000,3288000000,https://www.sec.gov/Archives/edgar/data/909832/000090983218000022/0000909832-18-000022-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983218000022/cost10q112518.htm
2018-09-02,COST,2018-10-26,2018-10-26 09:21:46,FY,6055000000,1204000000,7259000000,0.0,11040000000,1990000000,20289000000,19681000000,0.0,0.0,0.0,0.0,316000000,544000000,20541000000,860000000,40830000000,11237000000,3014000000,36000000,1624000000,4015000000,19926000000,6487000000,0.0,1000000.0,1314000000,7802000000,303000000,28031000000,4000000.0,7887000000,-1199000000,6107000000,12799000000,40830000000,1204000000,9501000000,3446000000,https://www.sec.gov/Archives/edgar/data/909832/000090983218000013/0000909832-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983218000013/cost10k9218.htm
2018-05-13,COST,2018-06-07,2018-06-06 19:40:40,Q3,5877000000,1167000000,7044000000,0.0,10626000000,2023000000,19693000000,19178000000,0.0,0.0,0.0,0.0,0.0,734000000,19912000000,734000000,39605000000,10705000000,3289000000,0.0,1679000000,3738000000,19411000000,6492000000,0.0,0.0,1255000000,7747000000,304000000,27462000000,4000000.0,7176000000,-1038000000,6001000000,12143000000,39605000000,1167000000,9781000000,3904000000,https://www.sec.gov/Archives/edgar/data/909832/000090983218000008/0000909832-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983218000008/cost10q51318.htm
2018-02-18,COST,2018-03-15,2018-03-14 18:30:55,Q2,4781000000,1049000000,5830000000,0.0,10671000000,2398000000,18899000000,19049000000,0.0,0.0,0.0,0.0,0.0,755000000,19804000000,755000000,38703000000,10061000000,3176000000,0.0,1656000000,4020000000,18913000000,6505000000,0.0,0.0,1232000000,7737000000,299000000,26949000000,4000000.0,6727000000,-897000000,5920000000,11754000000,38703000000,1049000000,9681000000,4900000000,https://www.sec.gov/Archives/edgar/data/909832/000090983218000002/0000909832-18-000002-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983218000002/cost10q21818.htm
2017-11-26,COST,2017-12-21,2017-12-20 19:55:05,Q1,5689000000,1196000000,6885000000,0.0,11213000000,1799000000,19897000000,18682000000,0.0,0.0,0.0,0.0,0.0,799000000,19481000000,799000000,39378000000,11992000000,3014000000,0.0,1590000000,3764000000,20360000000,6478000000,0.0,0.0,1184000000,7662000000,278000000,28300000000,4000000.0,6300000000,-1037000000,5811000000,11078000000,39378000000,1196000000,9492000000,3803000000,https://www.sec.gov/Archives/edgar/data/909832/000090983217000022/0000909832-17-000022-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983217000022/cost10q112617.htm
