date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-04-25,CSCO,2020-05-18,2020-05-18 16:41:31,Q3,10366.0,18208.0,28574.0,4569.0,1212.0,6952.0,41307.0,2535.0,33453.0,1744.0,35197.0,0.0,0.0,0.0,37732.0,12355.0,91394.0,2393.0,4506.0,1047.0,10710.0,8328.0,25937.0,4506.0,0.0,0.0,1948.0,6454.0,0.0,55686.0,40691.0,0.0,-1109.0,0.0,0.0,91394.0,18208.0,16084.0,5718.0,https://www.sec.gov/Archives/edgar/data/858877/000085887720000006/0000858877-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887720000006/a10qq3fy20.htm
2020-01-25,CSCO,2020-02-18,2020-02-18 17:17:43,Q2,8475000000,18587000000,27062000000,4330000000,1353000000,7308000000,40053000000,2621000000,33612000000,1906000000,35518000000,0.0,0.0,0.0,38139000000,12234000000,90426000000,1935000000,1499000000,819000000,10638000000,8016000000,22088000000,1499000000,0.0,0.0,2036000000,3535000000,0.0,54893000000,40617000000,0.0,-700000000,0.0,0.0,90426000000,18587000000,15993000000,7518000000,https://www.sec.gov/Archives/edgar/data/858877/000085887720000004/0000858877-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887720000004/a10qq2fy20.htm
2019-10-26,CSCO,2019-11-19,2019-11-19 17:24:36,Q1,8587000000,19448000000,28035000000,4900000000,1344000000,7437000000,41716000000,2669000000,33578000000,2107000000,35685000000,4831000000,3963000000,3628000000,50776000000,12422000000,92492000000,2016000000,4000000000,794000000,10646000000,7141000000,24597000000,14497000000,7956000000,8919000000,2100000000,33472000000,0.0,58069000000,0.001,-5083000000,-815000000,40320999999.999,34423000000,92492000000,24279000000,18497000000,9910000000,https://www.sec.gov/Archives/edgar/data/858877/000085887719000018/0000858877-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887719000018/a10qq1fy20.htm
2019-07-27,CSCO,2019-09-05,2019-09-05 17:17:18,FY,11750000000,21663000000,33413000000,5500000000,1383000000,7459000000,47755000000,2789000000,33529000000,2201000000,35730000000,4958000000,4065000000,2496000000,50038000000,11519000000,97793000000,2059000000,10191000000,1149000000,10668000000,7645000000,31712000000,14475000000,7799000000,8927000000,1309000000,32510000000,0.0,64222000000,0.001,-5903000000,-792000000,40265999999.999,33571000000,97793000000,26621000000,24666000000,12916000000,https://www.sec.gov/Archives/edgar/data/858877/000085887719000012/0000858877-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887719000012/csco-2019727x10k.htm
2019-04-27,CSCO,2019-05-21,2019-05-21 17:15:37,Q3,10251000000,24387000000,34638000000,3800000000,1513000000,7360000000,47311000000,2834000000,33544000000,2398000000,35942000000,4862000000,4023000000,2315000000,49976000000,11200000000,97287000000,2022000000,7777000000,953000000,10117000000,7044000000,27913000000,15921000000,7339000000,8038000000,1272000000,32570000000,0.0,60483000000,0.001,-2877000000,-896000000,40576999999.999,36804000000,97287000000,29249000000,23698000000,13447000000,https://www.sec.gov/Archives/edgar/data/858877/000085887719000007/0000858877-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887719000007/a10qq3fy19.htm
2019-01-26,CSCO,2019-02-19,2019-02-19 17:08:28,Q2,9835000000,30486000000,40321000000,3745000000,1701000000,7350000000,53117000000,2931000000,33293000000,2270000000,35563000000,4565000000,4081000000,2205000000,49345000000,10851000000,102462000000,1655000000,9737000000,1110000000,9976000000,7001000000,29479000000,15893000000,7285000000,7760000000,1256000000,32194000000,0.0,61673000000,0.001,538000000,-1110000000,41360999999.999,40789000000,102462000000,35051000000,25630000000,15795000000,https://www.sec.gov/Archives/edgar/data/858877/000085887719000003/0000858877-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887719000003/a10qq2fy19.htm
2018-10-27,CSCO,2018-11-20,2018-11-20 17:09:21,Q1,8410000000,34183000000,42593000000,4536000000,1572000000,6985000000,55686000000,2956000000,33386000000,2716000000,36102000000,4644000000,3960000000,2081000000,49743000000,10685000000,105429000000,1805000000,7241000000,1084000000,9637000000,6647000000,26414000000,18323000000,7177000000,8216000000,1451000000,35167000000,0.0,61581000000,0.001,3169000000,-1218000000,41896999999.999,43848000000,105429000000,38827000000,25564000000,17154000000,https://www.sec.gov/Archives/edgar/data/858877/000085887718000015/0000858877-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887718000015/a10qq1fy19.htm
2018-07-28,CSCO,2018-09-06,2018-09-06 17:14:48,FY,8934000000,37614000000,46548000000,5554000000,1846000000,7889000000,61837000000,3006000000,31706000000,2552000000,34258000000,4882000000,3219000000,1582000000,46947000000,9683000000,108784000000,1904000000,5238000000,1004000000,11490000000,7399000000,27035000000,20331000000,8195000000,8585000000,1434000000,38545000000,0.0,65580000000,0.001,1233000000,-849000000,42819999999.999,43204000000,108784000000,42496000000,25569000000,16635000000,https://www.sec.gov/Archives/edgar/data/858877/000085887718000011/0000858877-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887718000011/csco-2018728x10k.htm
2018-04-28,CSCO,2018-05-22,2018-05-22 17:08:00,Q3,6719000000,47712000000,54431000000,4274000000,1900000000,6536000000,67141000000,3082000000,31654000000,2681000000,34335000000,4915000000,3044000000,1491000000,46867000000,9450000000,114008000000,1552000000,7736000000,962000000,11301000000,7091000000,28642000000,20336000000,7652000000,9076000000,1641000000,38705000000,0.0,67347000000,0.001,3709000000,-604000000,43555999999.999,46661000000,114008000000,52627000000,28072000000,21353000000,https://www.sec.gov/Archives/edgar/data/858877/000085887718000007/0000858877-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887718000007/a10qq3fy18.htm
2018-01-27,CSCO,2018-02-20,2018-02-20 17:13:54,Q2,17624000000,56059000000,73683000000,3963000000,1896000000,6508000000,86050000000,3113000000,30391000000,2474000000,32865000000,4913000000,3097000000,1472000000,45460000000,9482000000,131510000000,1060000000,13741000000,2204000000,11102000000,7257000000,35364000000,25625000000,7686000000,9185000000,1668000000,44164000000,0.0,79528000000,0.001,7364000000,83000000,44534999999.999,51982000000,131510000000,60972000000,39366000000,21742000000,https://www.sec.gov/Archives/edgar/data/858877/000085887718000004/0000858877-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887718000004/a10qq2fy18.htm
