date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,CVS,2020-05-06,2020-05-06 06:39:08,Q1,10081000000,2632000000,12713000000,23037000000,16976000000,6232000000,58958000000,12146000000,79993000000,32727000000,112720000000,16840000000,0.0,29975000000,171681000000,46815000000,230639000000,10223000000,5828000000,0.0,7121000000,43509000000,59560000000,65735000000,0.0,7121000000,2117000000,74973000000,30966000000,165499000000,0.01,46455000000,687000000,17997999999.99,65140000000,230639000000,19472000000,71563000000,61482000000,https://www.sec.gov/Archives/edgar/data/64803/000006480320000015/0000064803-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/64803/000006480320000015/a0331202010-q.htm
2019-12-31,CVS,2020-02-18,2020-02-18 06:26:11,FY,5683000000,17314000000,22997000000,19617000000,17516000000,0.0,50302000000,12044000000,79749000000,33121000000,112870000000,0.0,0.0,0.0,124914000000,47233000000,222449000000,10492000000,1596000000,0.0,7294000000,33921000000,53303000000,3781000000,0.0,0.0,7436000000,11217000000,0.0,158279000000,45972000000,45108000000,1019000000,0.0,63864000000,222449000000,17314000000,68480000000,62797000000,https://www.sec.gov/Archives/edgar/data/64803/000006480320000007/0000064803-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/64803/000006480320000007/a2019form10-k.htm
2019-09-30,CVS,2019-11-06,2019-11-06 06:55:57,Q3,5193000000,2334000000,7527000000,19789000000,16028000000,4841000000,48185000000,11651000000,79548000000,33655000000,113203000000,17342000000,0.0,29732000000,171928000000,0.0,220113000000,9442000000,3778000000,0.0,72000000,39252000000,52544000000,64206000000,0.0,7279000000,2178000000,73663000000,31292000000,157499000000,0.01,44017000000,950000000,17646999999.99,62614000000,220113000000,19676000000,67984000000,62791000000,https://www.sec.gov/Archives/edgar/data/64803/000006480319000049/0000064803-19-000049-index.htm,https://www.sec.gov/Archives/edgar/data/64803/000006480319000049/a0930201910-q.htm
2019-06-30,CVS,2019-08-07,2019-08-07 16:28:04,Q2,6063000000,2462000000,8525000000,18174000000,15511000000,4691000000,46901000000,11483000000,79485000000,34163000000,113648000000,16973000000,0.0,29899000000,172003000000,46872000000,218904000000,9160000000,3894000000,0.0,76000000,36246000000,49376000000,66941000000,0.0,7375000000,2528000000,76844000000,31402000000,157622000000,0.01,43136000000,684000000,17461999999.99,61282000000,218904000000,19435000000,70835000000,64772000000,https://www.sec.gov/Archives/edgar/data/64803/000006480319000039/0000064803-19-000039-index.htm,https://www.sec.gov/Archives/edgar/data/64803/000006480319000039/a0630201910-q.htm
2019-03-31,CVS,2019-05-01,2019-05-01 16:57:10,Q1,5896000000,2426000000,8322000000,19509000000,15448000000,4578000000,47857000000,11348000000,79075000000,35147000000,114222000000,16410000000,0.0,29931000000,171911000000,46341000000,219768000000,8290000000,3893000000,0.0,75000000,38373000000,50631000000,67888000000,0.0,7540000000,2616000000,78044000000,31407000000,160082000000,0.01,41859000000,433000000,17393999999.99,59686000000,219768000000,18836000000,71781000000,65885000000,https://www.sec.gov/Archives/edgar/data/64803/000006480319000021/0000064803-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/64803/000006480319000021/cvs-20190331x10q.htm
2018-12-31,CVS,2019-02-28,2019-02-28 07:02:43,FY,4059000000,2522000000,6581000000,17631000000,16450000000,4581000000,45243000000,11349000000,78678000000,36524000000,115202000000,15732000000,1754000000,7176000000,151213000000,24662000000,196456000000,8925000000,1265000000,661000000,67000000,33091000000,44009000000,71444000000,0.0,7677000000,2780000000,81901000000,12321000000,138231000000,0.01,40911000000,102000000,17211999999.99,58225000000,196456000000,18254000000,72709000000,68650000000,https://www.sec.gov/Archives/edgar/data/64803/000006480319000013/0000064803-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/64803/000006480319000013/cvs-2018231x10k.htm
2018-09-30,CVS,2018-11-06,2018-11-06 16:28:30,Q3,41587000000,105000000,41692000000,14837000000,14818000000,634000000,71981000000,10419000000,34216000000,13166000000,47382000000,0.0,0.0,1724000000,59525000000,1724000000,131506000000,8813000000,2139000000,0.0,63000000,18445000000,29460000000,60747000000,0.0,3052000000,1625000000,65424000000,4000000.0,94888000000,17000000,41843000000,129000000,0.0,36618000000,131506000000,105000000,62886000000,21299000000,https://www.sec.gov/Archives/edgar/data/64803/000155837018008642/0001558370-18-008642-index.htm,https://www.sec.gov/Archives/edgar/data/64803/000155837018008642/cvs-20180930x10q.htm
2018-06-30,CVS,2018-08-08,2018-08-08 07:12:37,Q2,43815000000,96000000,43911000000,14158000000,14922000000,799000000,73790000000,10249000000,34220000000,13322000000,47542000000,0.0,0.0,1709000000,59500000000,1709000000,133290000000,8570000000,3540000000,0.0,72000000,19311000000,31493000000,61569000000,0.0,3054000000,1563000000,66186000000,4000000.0,97683000000,17000000,40965000000,141000000,0.0,35607000000,133290000000,96000000,65109000000,21294000000,https://www.sec.gov/Archives/edgar/data/64803/000155837018006683/0001558370-18-006683-index.htm,https://www.sec.gov/Archives/edgar/data/64803/000155837018006683/cvs-20180630x10q.htm
2018-03-31,CVS,2018-05-02,2018-05-02 17:09:27,Q1,42023000000,119000000,42142000000,13964000000,14824000000,868000000,71798000000,10144000000,38115000000,13388000000,51503000000,0.0,0.0,1694000000,63341000000,1694000000,135139000000,7741000000,3542000000,0.0,71000000,18894000000,30248000000,61552000000,0.0,3058000000,1604000000,66214000000,4000000.0,96466000000,17000000,44040000000,172000000,0.0,38673000000,135139000000,119000000,65094000000,23071000000,https://www.sec.gov/Archives/edgar/data/64803/000155837018003777/0001558370-18-003777-index.htm,https://www.sec.gov/Archives/edgar/data/64803/000155837018003777/cvs-20180331x10q.htm
2017-12-31,CVS,2018-02-14,2018-02-14 17:30:39,FY,1696000000,111000000,1807000000,13181000000,15296000000,945000000,31229000000,10292000000,38451000000,13630000000,52081000000,0.0,0.0,1529000000,63902000000,1529000000,95131000000,8863000000,3545000000,344000000,2996000000,17896000000,30648000000,22181000000,0.0,2996000000,1611000000,26788000000,4000000.0,57440000000,17000000,43556000000,-165000000,0.0,37691000000,95131000000,111000000,25726000000,24030000000,https://www.sec.gov/Archives/edgar/data/64803/000155837018000707/0001558370-18-000707-index.htm,https://www.sec.gov/Archives/edgar/data/64803/000155837018000707/cvs-20171231x10k.htm
