date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,CVX,2020-05-06,2020-05-06 13:56:34,Q1,8492000000,50000000,50000000,10167000000,6574000000,11771000000,28562000000,149220000000,4454000000,0.0,4454000000,39693000000,0.0,19202000000,208115000000,203661000000,236677000000,11006000000,8688000000,1534000000,13457000000,7007000000,28235000000,23663000000,0.0,13457000000,0.0,37120000000,27392000000,92747000000,1832000000,176113000000,-4884000000,0.0,143930000000,236677000000,39743000000,32351000000,32351000000,https://www.sec.gov/Archives/edgar/data/93410/000009341020000020/0000093410-20-000020-index.htm,https://www.sec.gov/Archives/edgar/data/93410/000009341020000020/cvx03312020-10qdoc.htm
2019-12-31,CVX,2020-02-21,2020-02-21 11:40:21,FY,5686000000,63000000,63000000,13325000000,5848000000,9093000000,28329000000,51359000000,4463000000,0.0,4463000000,38688000000,0.0,119052000000,209099000000,204636000000,237428000000,14103000000,3282000000,1554000000,13688000000,7591000000,26530000000,282000000,0.0,13688000000,0.0,13970000000,52715000000,93215000000,1832000000,174945000000,-4990000000,0.0,144213000000,237428000000,38751000000,3564000000,3564000000,https://www.sec.gov/Archives/edgar/data/93410/000009341020000010/0000093410-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/93410/000009341020000010/cvx12312019-10kdoc.htm
2019-09-30,CVX,2019-11-07,2019-11-07 11:28:38,Q3,11697000000,58000000,11755000000,12966000000,5951000000,3316000000,33988000000,164363000000,4507000000,0.0,4507000000,38327000000,0.0,19859000000,222549000000,218042000000,256537000000,13230000000,7795000000,1542000000,17100000000,7666000000,30233000000,25056000000,0.0,17100000000,0.0,42156000000,28307000000,100696000000,1832000000,183783000000,-3269000000,0.0,155841000000,256537000000,38385000000,32851000000,21154000000,https://www.sec.gov/Archives/edgar/data/93410/000009341019000038/0000093410-19-000038-index.htm,https://www.sec.gov/Archives/edgar/data/93410/000009341019000038/cvx09302019-10qdoc.htm
2019-06-30,CVX,2019-08-07,2019-08-07 12:01:45,Q2,8513000000,58000000,8571000000,14383000000,6809000000,3324000000,33087000000,165411000000,4507000000,0.0,4507000000,37417000000,0.0,19963000000,222791000000,218284000000,255878000000,14805000000,5588000000,1414000000,16480000000,7022000000,28829000000,25061000000,0.0,16480000000,0.0,41541000000,29113000000,99483000000,1832000000,183442000000,-3357000000,0.0,156395000000,255878000000,37475000000,30649000000,22136000000,https://www.sec.gov/Archives/edgar/data/93410/000009341019000029/0000093410-19-000029-index.htm,https://www.sec.gov/Archives/edgar/data/93410/000009341019000029/cvx06302019-10qdoc.htm
2019-03-31,CVX,2019-05-02,2019-05-02 11:33:10,Q1,8699000000,56000000,8755000000,14928000000,6723000000,3265000000,33671000000,166732000000,4507000000,0.0,4507000000,36360000000,0.0,20046000000,223138000000,218631000000,256809000000,14230000000,7023000000,1971000000,16099000000,6727000000,29951000000,26064000000,0.0,16099000000,0.0,42163000000,29650000000,101764000000,1832000000,181387000000,-3459000000,0.0,155045000000,256809000000,36416000000,33087000000,24388000000,https://www.sec.gov/Archives/edgar/data/93410/000009341019000014/0000093410-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/93410/000009341019000014/cvx03312019-10qdoc.htm
2018-12-31,CVX,2019-02-22,2019-02-22 11:25:08,FY,9342000000,53000000,9395000000,15050000000,5704000000,3872000000,34021000000,169207000000,4518000000,0.0,4518000000,35546000000,0.0,15089000000,219842000000,215324000000,253863000000,13953000000,5726000000,1628000000,15921000000,5864000000,27171000000,28733000000,0.0,15921000000,0.0,44654000000,27484000000,99309000000,1832000000,180987000000,-3544000000,0.0,154554000000,253863000000,35599000000,34459000000,25117000000,https://www.sec.gov/Archives/edgar/data/93410/000009341019000008/0000093410-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/93410/000009341019000008/cvx12312018-10kdoc.htm
2018-09-30,CVX,2018-11-08,2018-11-08 11:41:58,Q3,9686000000,60000000,9746000000,16788000000,6029000000,3020000000,35583000000,171645000000,4518000000,0.0,4518000000,34672000000,0.0,14706000000,221023000000,216505000000,256606000000,15335000000,6121000000,1797000000,15624000000,5930000000,29183000000,29854000000,0.0,15624000000,0.0,45478000000,28370000000,103031000000,1832000000,178816000000,-3265000000,0.0,153575000000,256606000000,34732000000,35975000000,26289000000,https://www.sec.gov/Archives/edgar/data/93410/000009341018000035/0000093410-18-000035-index.htm,https://www.sec.gov/Archives/edgar/data/93410/000009341018000035/cvx09302018-10qdoc.htm
2018-06-30,CVX,2018-08-02,2018-08-02 11:42:15,Q2,7628000000,58000000,7686000000,16672000000,6644000000,3254000000,34256000000,174242000000,4518000000,0.0,4518000000,34242000000,0.0,15189000000,223673000000,219155000000,257929000000,15722000000,8598000000,1679000000,15151000000,5863000000,31862000000,29779000000,0.0,15151000000,0.0,44930000000,28939000000,105731000000,1832000000,176899000000,-3368000000,0.0,152198000000,257929000000,34300000000,38377000000,30749000000,https://www.sec.gov/Archives/edgar/data/93410/000009341018000029/0000093410-18-000029-index.htm,https://www.sec.gov/Archives/edgar/data/93410/000009341018000029/cvx06302018-10qdoc.htm
2018-03-31,CVX,2018-05-03,2018-05-03 11:45:56,Q1,6466000000,38000000,6504000000,15771000000,6128000000,3323000000,31726000000,175846000000,4531000000,0.0,4531000000,33470000000,0.0,15400000000,224716000000,220185000000,256442000000,14479000000,8601000000,1867000000,15082000000,5683000000,30630000000,31054000000,0.0,15082000000,0.0,46136000000,29320000000,106086000000,1832000000,175619000000,-3459000000,0.0,150356000000,256442000000,33508000000,39655000000,33189000000,https://www.sec.gov/Archives/edgar/data/93410/000009341018000016/0000093410-18-000016-index.htm,https://www.sec.gov/Archives/edgar/data/93410/000009341018000016/cvx03312018-10qdoc.htm
2017-12-31,CVX,2018-02-22,2018-02-22 11:49:59,FY,4813000000,9000000.0,4822000000,15353000000,5585000000,2800000000,28560000000,177712000000,4531000000,0.0,4531000000,32497000000,0.0,15037000000,225246000000,220715000000,253806000000,14565000000,5192000000,1600000000,14652000000,6380000000,27737000000,33477000000,0.0,14652000000,0.0,48129000000,29816000000,105682000000,1832000000,174106000000,-3589000000,0.0,148124000000,253806000000,32506000000,38669000000,33856000000,https://www.sec.gov/Archives/edgar/data/93410/000009341018000010/0000093410-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/93410/000009341018000010/cvx12312017-10kdoc.htm
