date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020/3/31,DD,2020/5/5,2020/5/5 12:30,Q1,1748000000,1227000000,1748000000,3869000000,4410000000,4234000000,10392000000,9912000000,32317000000,12834000000,45151000000,24000000,210000000,2298000000,57595000000,2532000000,67987000000,2846000000,3925000000,340000000,210000000,1434000000,8545000000,13618000000,0,3314000000,1238000000,18170000000,1721000000,28436000000,7000000,-9251000000,-1810000000,50605000000,39551000000,67987000000,24000000,17543000000,15795000000,https://www.sec.gov/Archives/edgar/data/1666700/000166670020000017/0001666700-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1666700/000166670020000017/dupont1q2033120.htm
2019/12/31,DD,2020/2/14,2020/2/14 13:42,FY,1540000000,1204000000,1540000000,3802000000,4319000000,4140000000,9999000000,10143000000,33151000000,13593000000,46744000000,32000000,236000000,2242000000,59397000000,0,69396000000,2934000000,3830000000,240000000,236000000,1342000000,8346000000,13617000000,0,3514000000,1191000000,18322000000,1741000000,28409000000,7000000,-8400000000,-1416000000,50796000000,40987000000,69396000000,32000000,17447000000,15907000000,https://www.sec.gov/Archives/edgar/data/1666700/000166670020000006/0001666700-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1666700/000166670020000006/dupont201910-k.htm
2019/9/30,DD,2019/10/31,2019/10/31 10:14,Q3,2107000000,6000000,2113000000,3962000000,4306000000,4269000000,10688000000,9699000000,32935000000,13769000000,46704000000,28000000,231000000,2769000000,59431000000,3022000000,70119000000,2944000000,1975000000,148000000,231000000,1549000000,6616000000,15610000000,0,3474000000,1457000000,20541000000,1618000000,28775000000,7000000,-8289000000,-1529000000,51155000000,41344000000,70119000000,34000000,17585000000,15478000000,https://www.sec.gov/Archives/edgar/data/1666700/000166670019000073/0001666700-19-000073-index.htm,https://www.sec.gov/Archives/edgar/data/1666700/000166670019000073/dupont3q1993019.htm
2019/6/30,DD,2019/8/6,2019/8/6 17:32,Q2,1661000000,8000000,1661000000,4214000000,4390000000,4572000000,10623000000,9806000000,33330000000,14150000000,47480000000,36000000,219000000,2679000000,60220000000,2926000000,70843000000,3020000000,1621000000,164000000,219000000,1652000000,6457000000,15608000000,0,3662000000,1438000000,20708000000,1672000000,28837000000,7000000,-8299000000,-831000000,51129000000,42006000000,70843000000,36000000,17229000000,15568000000,https://www.sec.gov/Archives/edgar/data/1666700/000166670019000065/0001666700-19-000065-index.htm,https://www.sec.gov/Archives/edgar/data/1666700/000166670019000065/dupont2q1963019.htm
2019/3/31,DD,2019/5/3,2019/5/3 12:04,Q1,11543000000,119000000,11662000000,13963000000,16604000000,7019000000,49248000000,35575000000,58948000000,30467000000,89415000000,2791000000,1853000000,10903000000,1.41E+11,51003000000,1.90E+11,8333000000,4009000000,836000000,1853000000,15402000000,28580000000,34966000000,0,5229000000,10153000000,50348000000,18413000000,97341000000,24000000,29764000000,-12364000000,75020000000,92444000000,1.90E+11,2910000000,38975000000,27432000000,https://www.sec.gov/Archives/edgar/data/1666700/000166670019000019/0001666700-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1666700/000166670019000019/dowdupont1q19033119.htm
2018/12/31,DD,2019/2/11,2019/2/11 10:52,FY,13482000000,134000000,13616000000,12376000000,16621000000,6990000000,49603000000,35848000000,59032000000,30965000000,89997000000,2701000000,1724000000,8157000000,1.38E+11,48296000000,1.88E+11,9457000000,637000000,857000000,1724000000,13764000000,24715000000,37662000000,0,5435000000,6988000000,50085000000,18659000000,93459000000,24000000,30536000000,-12394000000,76405000000,94571000000,1.88E+11,2835000000,38299000000,24817000000,https://www.sec.gov/Archives/edgar/data/1666700/000166670019000006/0001666700-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1666700/000166670019000006/a2018dwdp10-k.htm
2018/9/30,DD,2018/11/2,2018/11/2 10:10,Q3,6939000000,370000000,7309000000,14542000000,16441000000,7113000000,45405000000,35228000000,59362000000,31508000000,90870000000,2712000000,1642000000,8596000000,1.39E+11,47808000000,1.84E+11,8631000000,3118000000,701000000,1642000000,15230000000,27680000000,27293000000,0,5908000000,7376000000,40577000000,18106000000,86363000000,24000000,30933000000,-10566000000,77699000000,98090000000,1.84E+11,3082000000,30411000000,23472000000,https://www.sec.gov/Archives/edgar/data/1666700/000166670018000060/0001666700-18-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1666700/000166670018000060/dowdupont3q18093018.htm
2018/6/30,DD,2018/8/3,2018/8/3 09:19,Q2,9244000000,507000000,9751000000,15379000000,15630000000,7137000000,47897000000,35224000000,59404000000,32102000000,91506000000,2538000000,1701000000,8501000000,1.39E+11,47457000000,1.87E+11,7983000000,4606000000,874000000,1701000000,14647000000,28110000000,26850000000,0,5885000000,7767000000,40502000000,20493000000,89105000000,24000000,30432000000,-10732000000,78538000000,98262000000,1.87E+11,3045000000,31456000000,22212000000,https://www.sec.gov/Archives/edgar/data/1666700/000166670018000041/0001666700-18-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1666700/000166670018000041/dowdupont2q18063018.htm
2018/3/31,DD,2018/5/4,2018/5/4 09:50,Q1,10281000000,257000000,10538000000,14378000000,17457000000,7360000000,49733000000,36076000000,60493000000,32966000000,93459000000,2633000000,1754000000,8786000000,1.43E+11,48992000000,1.92E+11,8754000000,2707000000,889000000,1754000000,14267000000,26617000000,29343000000,0,6113000000,8012000000,43468000000,21096000000,91181000000,23000000,29366000000,-7497000000,79368000000,1.01E+11,1.92E+11,2890000000,32050000000,21769000000,https://www.sec.gov/Archives/edgar/data/1666700/000166670018000025/0001666700-18-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1666700/000166670018000025/dowdupont1q18033118.htm
2017/12/31,DD,2018/2/15,2018/2/15 16:04,FY,13438000000,956000000,14394000000,11314000000,16992000000,7193000000,49893000000,36247000000,59527000000,33274000000,92801000000,2564000000,1869000000,8790000000,1.42E+11,48514000000,1.92E+11,9134000000,2067000000,843000000,1869000000,14084000000,26128000000,30056000000,0,6266000000,7969000000,44291000000,21415000000,91834000000,23000000,29211000000,-8972000000,80068000000,1.00E+11,1.92E+11,3520000000,32123000000,18685000000,https://www.sec.gov/Archives/edgar/data/1666700/000166670018000009/0001666700-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1666700/000166670018000009/a2017dwdp10-k.htm
