date,Cash and cash equivalents,Short-term investments,Cash and short-term investments,Receivables,Inventories,Total current assets,"Property, Plant & Equipment Net",Goodwill and Intangible Assets,Long-term investments,Tax assets,Total non-current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Deferred revenue,Tax Liabilities,Deposit Liabilities,Total non-current liabilities,Total liabilities,Other comprehensive income,Retained earnings (deficit),Total shareholders equity,Investments,Net Debt,Other Assets,Other Liabilities
2020-03-31,1748000000.0,0.0,1748000000.0,0.0,4410000000.0,10392000000.0,9912000000.0,45151000000.0,24000000.0,210000000.0,57595000000.0,67987000000.0,2846000000.0,3925000000.0,8545000000.0,13618000000.0,17543000000.0,0.0,340000000.0,0.0,18170000000.0,28436000000.0,50605000000,-9251000000.0,39551000000.0,24000000.0,15795000000.0,0.0,1721000000.0
2019-12-31,1540000000.0,0.0,1540000000.0,0.0,4319000000.0,9999000000.0,10143000000.0,46744000000.0,32000000.0,236000000.0,59397000000.0,69396000000.0,2934000000.0,3830000000.0,8346000000.0,13617000000.0,17447000000.0,0.0,240000000.0,0.0,18322000000.0,28409000000.0,50796000000,-8400000000.0,40987000000.0,32000000.0,15907000000.0,0.0,1741000000.0
2019-09-30,2107000000.0,6000000.0,2113000000.0,0.0,4306000000.0,10688000000.0,9699000000.0,46704000000.0,28000000.0,231000000.0,59431000000.0,70119000000.0,2944000000.0,1975000000.0,6616000000.0,15610000000.0,17585000000.0,0.0,148000000.0,0.0,20541000000.0,28775000000.0,51155000000,-8289000000.0,41344000000.0,34000000.0,15478000000.0,0.0,1618000000.0
2019-06-30,1661000000.0,0.0,1661000000.0,0.0,4390000000.0,10623000000.0,9806000000.0,47480000000.0,36000000.0,219000000.0,60220000000.0,70843000000.0,3020000000.0,1621000000.0,6457000000.0,15608000000.0,17229000000.0,0.0,164000000.0,0.0,20708000000.0,28837000000.0,51129000000,-8299000000.0,42006000000.0,36000000.0,15568000000.0,0.0,1672000000.0
2019-03-31,11543000000.0,119000000.0,11662000000.0,13963000000.0,16604000000.0,49248000000.0,35575000000.0,89415000000.0,2791000000.0,1853000000.0,1.40537e+11,1.89785e+11,8333000000.0,4009000000.0,28580000000.0,34966000000.0,38975000000.0,0.0,836000000.0,0.0,50348000000.0,97341000000.0,75020000000,29764000000.0,92444000000.0,2910000000.0,27432000000.0,0.0,18413000000.0
2018-12-31,13482000000.0,134000000.0,13616000000.0,12376000000.0,16621000000.0,49603000000.0,35848000000.0,89997000000.0,2701000000.0,1724000000.0,1.38427e+11,1.8803e+11,9457000000.0,637000000.0,24715000000.0,37662000000.0,38299000000.0,0.0,857000000.0,0.0,50085000000.0,93459000000.0,76405000000,30536000000.0,94571000000.0,2835000000.0,24817000000.0,0.0,18659000000.0
2018-09-30,6939000000.0,370000000.0,7309000000.0,14542000000.0,16441000000.0,45405000000.0,35228000000.0,90870000000.0,2712000000.0,1642000000.0,1.39048e+11,1.84453e+11,8631000000.0,3118000000.0,27680000000.0,27293000000.0,30411000000.0,0.0,701000000.0,0.0,40577000000.0,86363000000.0,77699000000,30933000000.0,98090000000.0,3082000000.0,23472000000.0,0.0,18106000000.0
2018-06-30,9244000000.0,507000000.0,9751000000.0,15379000000.0,15630000000.0,47897000000.0,35224000000.0,91506000000.0,2538000000.0,1701000000.0,1.3947e+11,1.87367e+11,7983000000.0,4606000000.0,28110000000.0,26850000000.0,31456000000.0,0.0,874000000.0,0.0,40502000000.0,89105000000.0,78538000000,30432000000.0,98262000000.0,3045000000.0,22212000000.0,0.0,20493000000.0
2018-03-31,10281000000.0,257000000.0,10538000000.0,14378000000.0,17457000000.0,49733000000.0,36076000000.0,93459000000.0,2633000000.0,1754000000.0,1.42708e+11,1.92441e+11,8754000000.0,2707000000.0,26617000000.0,29343000000.0,32050000000.0,0.0,889000000.0,0.0,43468000000.0,91181000000.0,79368000000,29366000000.0,1.0126e+11,2890000000.0,21769000000.0,0.0,21096000000.0
2017-12-31,13438000000.0,956000000.0,14394000000.0,11314000000.0,16992000000.0,49893000000.0,36247000000.0,92801000000.0,2564000000.0,1869000000.0,1.42271e+11,1.92164e+11,9134000000.0,2067000000.0,26128000000.0,30056000000.0,32123000000.0,0.0,843000000.0,0.0,44291000000.0,91834000000.0,80068000000,29211000000.0,1.0033e+11,3520000000.0,18685000000.0,0.0,21415000000.0
2017-09-30,13148000000.0,1826000000.0,14974000000.0,11250000000.0,17255000000.0,54801000000.0,36219000000.0,94118000000.0,2450000000.0,1810000000.0,1.43726e+11,1.98527e+11,7648000000.0,1906000000.0,27278000000.0,29819000000.0,31725000000.0,0.0,729000000.0,0.0,47036000000.0,95581000000.0,80924000000,31366000000.0,1.02946e+11,4276000000.0,18577000000.0,0.0,21267000000.0
2017-06-30,6218000000.0,0.0,6218000000.0,11619000000.0,8163000000.0,25935000000.0,24116000000.0,21251000000.0,7405000000.0,2922000000.0,56312000000.0,82247000000.0,4623000000.0,1435000000.0,13429000000.0,20072000000.0,21507000000.0,0.0,1447000000.0,0.0,39229000000.0,52658000000.0,-9074000000.0,31417000000.0,28421000000.0,7405000000.0,15289000000.0,-65000000.0,7371000000.0
2017-03-31,5848000000.0,0.0,5848000000.0,10551000000.0,8210000000.0,24640000000.0,23768000000.0,21262000000.0,7467000000.0,3116000000.0,56188000000.0,80828000000.0,4810000000.0,999000000.0,13193000000.0,20471000000.0,21470000000.0,0.0,1343000000.0,0.0,39301000000.0,52494000000.0,-9514000000.0,30659000000.0,27060000000.0,7467000000.0,15622000000.0,31000000.0,7384000000.0
2016-12-31,6607000000.0,0.0,6607000000.0,9686000000.0,7363000000.0,23659000000.0,23486000000.0,21298000000.0,7424000000.0,3079000000.0,55852000000.0,79511000000.0,4519000000.0,907000000.0,12604000000.0,20456000000.0,21363000000.0,0.0,1523000000.0,0.0,39678000000.0,52282000000.0,-9822000000.0,30338000000.0,25987000000.0,7424000000.0,14756000000.0,3000000.0,7178000000.0
2016-09-30,7032000000.0,0.0,7032000000.0,10099000000.0,8013000000.0,24778000000.0,23311000000.0,21817000000.0,7552000000.0,2483000000.0,55846000000.0,80624000000.0,4674000000.0,869000000.0,12655000000.0,20423000000.0,21292000000.0,0.0,1507000000.0,0.0,37620000000.0,50275000000.0,-7681000000.0,30884000000.0,29035000000.0,7552000000.0,14260000000.0,-366000000.0,7112000000.0
2016-06-30,7309000000.0,0.0,7309000000.0,10026000000.0,8212000000.0,26310000000.0,22783000000.0,21905000000.0,7314000000.0,2558000000.0,55214000000.0,81524000000.0,4441000000.0,494000000.0,12881000000.0,20852000000.0,21346000000.0,0.0,1607000000.0,0.0,38409000000.0,51290000000.0,-7845000000.0,30680000000.0,28936000000.0,7314000000.0,14037000000.0,763000000.0,7946000000.0
2016-03-31,6610000000.0,0.0,6610000000.0,9333000000.0,7298000000.0,23334000000.0,18420000000.0,15805000000.0,7708000000.0,2537000000.0,45106000000.0,68440000000.0,3729000000.0,747000000.0,11682000000.0,16229000000.0,16976000000.0,0.0,887000000.0,0.0,30324000000.0,42006000000.0,-8262000000.0,28074000000.0,25599000000.0,7708000000.0,10366000000.0,93000000.0,7206000000.0
2015-12-31,8577000000.0,0.0,8577000000.0,8662000000.0,6871000000.0,23941000000.0,17854000000.0,15771000000.0,7697000000.0,2140000000.0,43997000000.0,67938000000.0,3577000000.0,995000000.0,11115000000.0,16215000000.0,17210000000.0,0.0,1039000000.0,0.0,30640000000.0,41755000000.0,-8667000000.0,28425000000.0,25374000000.0,7697000000.0,8633000000.0,-169000000.0,6543000000.0
2015-09-30,7623000000.0,0.0,7623000000.0,8903000000.0,7822000000.0,24852000000.0,18858000000.0,16004000000.0,7472000000.0,2811000000.0,45032000000.0,69884000000.0,3893000000.0,2276000000.0,13205000000.0,17462000000.0,19738000000.0,0.0,1646000000.0,0.0,31513000000.0,44718000000.0,-8585000000.0,25411000000.0,24333000000.0,7472000000.0,12115000000.0,504000000.0,7036000000.0
