date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-04-03,DHR,2020-05-06,2020-05-06 17:02:28,Q1,4367700000,0.0,4367700000,3433300000,2575000000,766600000,11142600000,2988500000,33725500000,18512600000,52238100000,0.0,0.0,2561100000,57787700000,2563000000,68930300000,1748300000,3234300000,0.0,0.0,3483000000,8465600000,22737200000,0.0,0.0,6661100000,29398300000,11300000,37875200000,8400000.0,24608600000,-2791300000,9229400000,31055100000,68930300000,0.0,25971500000,21603800000,https://www.sec.gov/Archives/edgar/data/313616/000031361620000093/0000313616-20-000093-index.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361620000093/dhr-202043x10q.htm
2019-12-31,DHR,2020-02-21,2020-02-21 07:32:05,FY,19912300000,0.0,19912300000,3191400000,1628300000,864600000,25596600000,2302000000,22712500000,9749700000,32462200000,0.0,0.0,1720800000,36485000000,1722000000,62081600000,1514400000,212400000,0.0,0.0,3205300000,4932100000,21516700000,0.0,0.0,5350900000,26867600000,11300000,31811000000,8400000.0,24166300000,-3068300000,9164200000,30270600000,62081600000,0.0,21729100000,1816800000,https://www.sec.gov/Archives/edgar/data/313616/000031361620000041/0000313616-20-000041-index.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361620000041/dhr-20191231x10xk.htm
2019-09-27,DHR,2019-10-24,2019-10-23 18:53:13,Q3,14252100000,0.0,14252100000,3467100000,2023700000,610800000,20353700000,2519600000,25724800000,11145900000,36870700000,0.0,0.0,1787100000,41177400000,1790000000,61531100000,1606800000,1068600000,0.0,0.0,3258600000,5934000000,16536200000,0.0,0.0,5865300000,22401500000,693300000,29028800000,8300000.0,26481200000,-3088300000,9101100000,32502300000,61531100000,0.0,17604800000,3352700000,https://www.sec.gov/Archives/edgar/data/313616/000031361619000148/0000313616-19-000148-index.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361619000148/dhr-2019927x10q.htm
2019-06-28,DHR,2019-07-18,2019-07-17 18:49:35,Q2,5433600000,0.0,5433600000,3481600000,2055900000,632600000,11603700000,2541600000,26074500000,11424100000,37498600000,0.0,0.0,1678100000,41718300000,1680000000,53322000000,1664100000,153700000,0.0,0.0,3190200000,5008000000,10144400000,0.0,0.0,5956400000,16100800000,12000000,21120800000,8300000.0,25955000000,-2844300000,9082200000,32201200000,53322000000,0.0,10298100000,4864500000,https://www.sec.gov/Archives/edgar/data/313616/000031361619000127/0000313616-19-000127-index.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361619000127/dhr-2019628x10q.htm
2019-03-29,DHR,2019-04-18,2019-04-17 18:22:08,Q1,3910000000,0.0,3910000000,3409200000,2027900000,733300000,10080400000,2504300000,26001400000,11541900000,37543300000,0.0,0.0,1646400000,41694000000,1648000000,51774400000,1676200000,36600000,0.0,0.0,2920000000,4632800000,9458200000,0.0,0.0,6114700000,15572900000,12100000,20217800000,8300000.0,25368500000,-2796100000,8975900000,31556600000,51774400000,0.0,9494800000,5584800000,https://www.sec.gov/Archives/edgar/data/313616/000031361619000068/0000313616-19-000068-index.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361619000068/dhr-2019329x10q.htm
2018-12-31,DHR,2019-02-21,2019-02-20 19:10:11,FY,787800000,0.0,787800000,3489600000,1910100000,906300000,7093800000,2511200000,25906000000,11673100000,37579100000,0.0,0.0,648400000,40738700000,649000000,47832500000,1712800000,51800000,0.0,0.0,3076900000,4841500000,9688500000,0.0,0.0,5075800000,14764300000,12300000,19618100000,8200000.0,25163000000,-2791100000,5834300000,28214400000,47832500000,0.0,9740300000,8952500000,https://www.sec.gov/Archives/edgar/data/313616/000031361619000035/0000313616-19-000035-index.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361619000035/dhr-20181231x10xk.htm
2018-09-28,DHR,2018-10-18,2018-10-17 18:31:54,Q3,776200000,0.0,776200000,3323100000,2029400000,701800000,6830500000,2462300000,26035000000,11814400000,37849400000,0.0,0.0,577300000,40889000000,578000000,47719500000,1569600000,59800000,0.0,0.0,2835900000,4465300000,10558000000,0.0,0.0,5011000000,15569000000,11800000,20046100000,8200000.0,24528700000,-2635700000,5772200000,27673400000,47719500000,0.0,10617800000,9841600000,https://www.sec.gov/Archives/edgar/data/313616/000031361618000130/0000313616-18-000130-index.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361618000130/dhr-2018928x10q.htm
2018-06-29,DHR,2018-07-19,2018-07-18 18:34:00,Q2,904000000,0.0,904000000,3296600000,1980500000,732000000,6913100000,2492900000,25916500000,12185900000,38102400000,0.0,0.0,547400000,41142700000,549000000,48055800000,1587000000,175100000,0.0,0.0,2843300000,4605400000,11145600000,0.0,0.0,5080400000,16226000000,12100000,20843500000,8200000.0,23977200000,-2479200000,5706100000,27212300000,48055800000,0.0,11320700000,10416700000,https://www.sec.gov/Archives/edgar/data/313616/000031361618000116/0000313616-18-000116-index.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361618000116/dhr-2018629x10q.htm
2018-03-30,DHR,2018-04-19,2018-04-18 18:01:28,Q1,1045700000,0.0,1045700000,3270700000,1949100000,809600000,7075100000,2475900000,25437900000,11581000000,37018900000,0.0,0.0,575300000,40070100000,577000000,47145200000,1579000000,98700000,0.0,0.0,2765200000,4442900000,10410700000,0.0,0.0,5089800000,15500500000,11900000,19955300000,8100000.0,23415400000,-1844700000,5611100000,27189900000,47145200000,0.0,10509400000,9463700000,https://www.sec.gov/Archives/edgar/data/313616/000031361618000065/0000313616-18-000065-index.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361618000065/dhr-2018330x10q.htm
2017-12-31,DHR,2018-02-21,2018-02-20 18:34:14,FY,630300000,0.0,630300000,3521800000,1840800000,857100000,6850000000,2454600000,25138600000,11667100000,36805700000,0.0,0.0,538300000,39798600000,539000000,46648600000,1509900000,194700000,0.0,0.0,3087700000,4792300000,10327400000,0.0,0.0,5161100000,15488500000,9600000.0,20290400000,8100000.0,22806100000,-1994200000,5538200000,26358200000,46648600000,0.0,10522100000,9891800000,https://www.sec.gov/Archives/edgar/data/313616/000031361618000038/0000313616-18-000038-index.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361618000038/dhr-20171231x10xk.htm
