date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020/3/28,DIS,2020/5/5,2020/5/5 16:20,Q2,14339000000,3180000000,14339000000,0,1531000000,17404000000,33274000000,32151000000,80320000000,22037000000,1.02E+11,3180000000,0,35332000000,1.73E+11,70663000000,2.06E+11,17906000000,12676000000,0,4891000000,12676000000,35473000000,42770000000,0,0,16113000000,58883000000,21531000000,1.16E+11,0.01,43721000000,-6637000000,53323000000,90407000000,2.06E+11,3180000000,55446000000,41107000000,https://www.sec.gov/Archives/edgar/data/1744489/000174448920000102/0001744489-20-000102-index.htm,https://www.sec.gov/Archives/edgar/data/1744489/000174448920000102/dis-20200328.htm
2019/12/28,DIS,2020/2/4,2020/2/4 17:02,Q1,6833000000,3312000000,6833000000,0,1571000000,19372000000,27776000000,31895000000,80314000000,22669000000,1.03E+11,3312000000,0,34982000000,1.73E+11,0,2.01E+11,19755000000,10018000000,0,5024000000,10018000000,34797000000,38057000000,0,8364000000,15928000000,62349000000,14045000000,1.11E+11,0.01,43202000000,-6533000000,53088000000,89757000000,2.01E+11,3312000000,48075000000,41242000000,https://www.sec.gov/Archives/edgar/data/1744489/000174448920000046/0001744489-20-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1744489/000174448920000046/dis-20191228.htm
2019/9/28,DIS,2019/11/20,2019/11/20 17:18,FY,5418000000,3224000000,5418000000,0,1649000000,21057000000,28124000000,31603000000,80293000000,23215000000,1.04E+11,0,0,30749000000,1.66E+11,62352000000,1.94E+11,17762000000,8857000000,0,4722000000,8857000000,31341000000,38129000000,0,7902000000,13760000000,59791000000,13975000000,1.05E+11,0.01,42494000000,-6617000000,53000000000,88877000000,1.94E+11,3224000000,46986000000,41568000000,https://www.sec.gov/Archives/edgar/data/1744489/000174448919000225/0001744489-19-000225-index.htm,https://www.sec.gov/Archives/edgar/data/1744489/000174448919000225/fy2019q410k.htm
2019/6/29,DIS,2019/8/6,2019/8/6 17:23,Q3,6728000000,3872000000,6728000000,0,1516000000,23126000000,31370000000,31392000000,77801000000,25114000000,1.03E+11,0,0,43798000000,1.78E+11,75190000000,2.09E+11,17647000000,21923000000,0,4730000000,293000000,44593000000,36311000000,0,10404000000,10561000000,57276000000,17134000000,1.19E+11,0.01,41382000000,-3721000000,52811000000,90472000000,2.09E+11,3872000000,58234000000,51506000000,https://www.sec.gov/Archives/edgar/data/1744489/000174448919000167/0001744489-19-000167-index.htm,https://www.sec.gov/Archives/edgar/data/1744489/000174448919000167/fy2019q310qdoc.htm
2019/3/30,DIS,2019/5/8,None,Q2,10108000000,4080000000,10108000000,0,1445000000,22724000000,34277000000,31017000000,75057000000,26985000000,1.02E+11,0,0,47006000000,1.80E+11,78023000000,2.14E+11,20503000000,19158000000,0,4281000000,434000000,44376000000,37803000000,0,11208000000,12854000000,61865000000,18163000000,1.24E+11,0.01,41212000000,-3786000000,52512000000,89938000000,2.14E+11,4080000000,56961000000,46853000000,https://www.sec.gov/Archives/edgar/data/1744489/000174448919000100/0001744489-19-000100-index.htm,https://www.sec.gov/Archives/edgar/data/1744489/000174448919000100/fy2019q210qdoc.htm
2018/12/29,DIS,2019/2/3,None,Q1,4455000000,0,4455000000,0,1357000000,0,17537000000,29797000000,0,0,38036000000,0,0,0,82404000000,0,99941000000,10696000000,3489000000,0,3434000000,0,17619000000,17176000000,0,0,0,27929000000,3434000000,45548000000,0,84887000000,0,-3782000000,50316000000,99941000000,0,20665000000,16210000000,,
2018/9/29,DIS,2018/11/3,None,FY,4150000000,0,4150000000,0,1392000000,0,16825000000,29540000000,0,0,38081000000,0,0,0,81773000000,0,98598000000,9479000000,3790000000,0,4591000000,0,17860000000,17084000000,0,0,0,27906000000,4591000000,45766000000,0,82679000000,0,-3097000000,48773000000,98598000000,0,20874000000,16724000000,,
2018/6/30,DIS,2018/8/4,None,Q3,4326000000,0,4326000000,0,1322000000,0,17729000000,29373000000,0,0,38198000000,0,0,0,81063000000,0,98792000000,9763000000,5992000000,0,4459000000,0,20214000000,17681000000,0,0,0,28507000000,4459000000,48721000000,0,80364000000,0,-3262000000,46088000000,98792000000,0,23673000000,19347000000,,
2018/3/31,DIS,2018/5/5,None,Q2,4179000000,0,4179000000,0,1301000000,0,16808000000,29200000000,0,0,38312000000,0,0,0,81135000000,0,97943000000,9022000000,5918000000,0,4788000000,0,19728000000,18766000000,0,0,0,29564000000,4788000000,49292000000,0,78704000000,0,-3345000000,45151000000,97943000000,0,24684000000,20505000000,,
2017/12/30,DIS,2018/2/4,None,Q1,4677000000,0,4677000000,0,1307000000,0,17274000000,28584000000,0,0,38360000000,0,0,0,80460000000,0,97734000000,9574000000,6009000000,0,4292000000,0,19875000000,20082000000,0,0,0,30776000000,4292000000,50651000000,0,75763000000,0,-3404000000,43289000000,97734000000,0,26091000000,21414000000,,
