date,Cash and cash equivalents,Short-term investments,Cash and short-term investments,Receivables,Inventories,Total current assets,"Property, Plant & Equipment Net",Goodwill and Intangible Assets,Long-term investments,Tax assets,Total non-current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Deferred revenue,Tax Liabilities,Deposit Liabilities,Total non-current liabilities,Total liabilities,Other comprehensive income,Retained earnings (deficit),Total shareholders equity,Investments,Net Debt,Other Assets,Other Liabilities
2020-03-28,14339000000.0,0.0,14339000000.0,0.0,1531000000.0,33274000000.0,32151000000.0,1.02357e+11,3180000000.0,0.0,1.7302e+11,2.06294e+11,17906000000.0,12676000000.0,35473000000.0,42770000000.0,55446000000.0,4891000000.0,0.0,0.0,58883000000.0,1.15887e+11,53322999999.99,43721000000.0,90407000000.0,3180000000.0,41107000000.0,0.0,21531000000.0
2019-12-28,6833000000.0,0.0,6833000000.0,0.0,1571000000.0,27776000000.0,31895000000.0,1.02983e+11,3312000000.0,0.0,1.73172e+11,2.00948e+11,19755000000.0,10018000000.0,34797000000.0,38057000000.0,48075000000.0,5024000000.0,0.0,0.0,62349000000.0,1.11191e+11,53087999999.99,43202000000.0,89757000000.0,3312000000.0,41242000000.0,0.0,14045000000.0
2019-09-28,5418000000.0,0.0,5418000000.0,0.0,1649000000.0,28124000000.0,31603000000.0,1.03508e+11,0.0,0.0,1.6586e+11,1.93984e+11,17762000000.0,8857000000.0,31341000000.0,38129000000.0,46986000000.0,4722000000.0,0.0,0.0,59791000000.0,1.05107e+11,52999999999.99,42494000000.0,88877000000.0,0.0,41568000000.0,0.0,13975000000.0
2019-06-29,6728000000.0,0.0,6728000000.0,0.0,1516000000.0,31370000000.0,31392000000.0,1.02915e+11,0.0,0.0,1.78105e+11,2.09475e+11,17647000000.0,21923000000.0,44593000000.0,36311000000.0,58234000000.0,4730000000.0,0.0,0.0,57276000000.0,1.19003e+11,52810999999.99,41382000000.0,90472000000.0,0.0,51506000000.0,0.0,17134000000.0
2019-03-30,10108000000.0,0.0,10108000000.0,0.0,1445000000.0,34277000000.0,31017000000.0,1.02042e+11,0.0,0.0,1.80065e+11,2.14342e+11,20503000000.0,19158000000.0,44376000000.0,37803000000.0,56961000000.0,4281000000.0,0.0,0.0,61865000000.0,1.24404e+11,52511999999.99,41212000000.0,89938000000.0,0.0,46853000000.0,0.0,18163000000.0
2018-12-29,4455000000.0,0.0,4455000000.0,10123000000.0,1357000000.0,17537000000.0,29797000000.0,38036000000.0,2970000000.0,0.0,82404000000.0,99941000000.0,10696000000.0,3489000000.0,17619000000.0,17176000000.0,20665000000.0,3434000000.0,3177000000.0,0.0,27929000000.0,45548000000.0,-3782000000.0,84887000000.0,50316000000.0,2970000000.0,16210000000.0,1602000000.0,3434000000.0
2018-09-29,4150000000.0,0.0,4150000000.0,9334000000.0,1392000000.0,16825000000.0,29540000000.0,38081000000.0,2899000000.0,0.0,81773000000.0,98598000000.0,9479000000.0,3790000000.0,17860000000.0,17084000000.0,20874000000.0,4591000000.0,3109000000.0,0.0,27906000000.0,45766000000.0,-3097000000.0,82679000000.0,48773000000.0,2899000000.0,16724000000.0,1949000000.0,4591000000.0
2018-06-30,4326000000.0,0.0,4326000000.0,10071000000.0,1322000000.0,17729000000.0,29373000000.0,38198000000.0,3155000000.0,0.0,81063000000.0,98792000000.0,9763000000.0,5992000000.0,20214000000.0,17681000000.0,23673000000.0,4459000000.0,3222000000.0,0.0,28507000000.0,48721000000.0,-3262000000.0,80364000000.0,46088000000.0,3155000000.0,19347000000.0,2010000000.0,4459000000.0
2018-03-31,4179000000.0,0.0,4179000000.0,9678000000.0,1301000000.0,16808000000.0,29200000000.0,38312000000.0,3148000000.0,0.0,81135000000.0,97943000000.0,9022000000.0,5918000000.0,19728000000.0,18766000000.0,24684000000.0,4788000000.0,2949000000.0,0.0,29564000000.0,49292000000.0,-3345000000.0,78704000000.0,45151000000.0,3148000000.0,20505000000.0,1650000000.0,4788000000.0
2017-12-30,4677000000.0,0.0,4677000000.0,9886000000.0,1307000000.0,17274000000.0,28584000000.0,38360000000.0,3206000000.0,0.0,80460000000.0,97734000000.0,9574000000.0,6009000000.0,19875000000.0,20082000000.0,26091000000.0,4292000000.0,2826000000.0,0.0,30776000000.0,50651000000.0,-3404000000.0,75763000000.0,43289000000.0,3206000000.0,21414000000.0,1404000000.0,4292000000.0
2017-09-30,4017000000.0,0.0,4017000000.0,8633000000.0,1373000000.0,15889000000.0,28406000000.0,38421000000.0,3202000000.0,0.0,79900000000.0,95789000000.0,8855000000.0,6172000000.0,19595000000.0,19119000000.0,25291000000.0,4568000000.0,4480000000.0,0.0,31190000000.0,50785000000.0,-3528000000.0,72606000000.0,41315000000.0,3202000000.0,21274000000.0,1866000000.0,4568000000.0
2017-07-01,4336000000.0,0.0,4336000000.0,9636000000.0,1300000000.0,17151000000.0,27733000000.0,34632000000.0,4141000000.0,0.0,75601000000.0,92752000000.0,9374000000.0,3338000000.0,17094000000.0,18849000000.0,22187000000.0,4382000000.0,4177000000.0,0.0,29607000000.0,46701000000.0,-3864000000.0,70863000000.0,42531000000.0,4141000000.0,17851000000.0,1879000000.0,4382000000.0
2017-04-01,3800000000.0,0.0,3800000000.0,9293000000.0,1304000000.0,16270000000.0,27399000000.0,34676000000.0,4155000000.0,0.0,75537000000.0,91807000000.0,8077000000.0,4865000000.0,17365000000.0,16788000000.0,21653000000.0,4423000000.0,4006000000.0,0.0,27175000000.0,44540000000.0,-3880000000.0,69708000000.0,43784000000.0,4155000000.0,17853000000.0,1873000000.0,4423000000.0
2016-12-31,3736000000.0,0.0,3736000000.0,9878000000.0,1299000000.0,16665000000.0,27054000000.0,34685000000.0,4220000000.0,0.0,74911000000.0,91576000000.0,9979000000.0,5698000000.0,19317000000.0,14792000000.0,20490000000.0,3640000000.0,3888000000.0,0.0,25082000000.0,44399000000.0,-3855000000.0,67327000000.0,43210000000.0,4220000000.0,16754000000.0,1752000000.0,3640000000.0
2016-10-01,4610000000.0,0.0,4610000000.0,9065000000.0,1390000000.0,16966000000.0,27349000000.0,34759000000.0,4280000000.0,0.0,75067000000.0,92033000000.0,9130000000.0,3687000000.0,16842000000.0,16483000000.0,20170000000.0,4025000000.0,3679000000.0,0.0,27868000000.0,44710000000.0,-3979000000.0,66088000000.0,43265000000.0,4280000000.0,15560000000.0,1901000000.0,4025000000.0
2016-07-02,5227000000.0,0.0,5227000000.0,8958000000.0,1354000000.0,17617000000.0,26865000000.0,34797000000.0,3228000000.0,0.0,73297000000.0,90914000000.0,8719000000.0,5312000000.0,18072000000.0,15129000000.0,20441000000.0,4041000000.0,4076000000.0,0.0,24696000000.0,42768000000.0,-2699000000.0,64321000000.0,44193000000.0,3228000000.0,15214000000.0,2078000000.0,4041000000.0
2016-04-02,5015000000.0,0.0,5015000000.0,8874000000.0,1352000000.0,16999000000.0,26421000000.0,34869000000.0,3247000000.0,0.0,73265000000.0,90264000000.0,7252000000.0,5755000000.0,17073000000.0,15367000000.0,21122000000.0,4066000000.0,4044000000.0,0.0,25181000000.0,42254000000.0,-2599000000.0,62870000000.0,44124000000.0,3247000000.0,16107000000.0,1758000000.0,4066000000.0
2016-01-02,4301000000.0,0.0,4301000000.0,10298000000.0,1434000000.0,17768000000.0,25487000000.0,34922000000.0,3268000000.0,0.0,72353000000.0,90121000000.0,9320000000.0,5950000000.0,18796000000.0,12965000000.0,18915000000.0,3526000000.0,3874000000.0,0.0,23127000000.0,41923000000.0,-2469000000.0,60734000000.0,43958000000.0,3268000000.0,14614000000.0,1735000000.0,3526000000.0
2015-10-03,4269000000.0,0.0,4269000000.0,8019000000.0,1571000000.0,16758000000.0,25179000000.0,34998000000.0,2643000000.0,767000000.0,71424000000.0,88182000000.0,7844000000.0,4563000000.0,16334000000.0,12773000000.0,17336000000.0,3927000000.0,4051000000.0,0.0,23193000000.0,39527000000.0,-2421000000.0,59028000000.0,44525000000.0,2643000000.0,13067000000.0,2899000000.0,3927000000.0
2015-06-27,4475000000.0,0.0,4475000000.0,8012000000.0,1513000000.0,16512000000.0,24436000000.0,35085000000.0,2694000000.0,619000000.0,70855000000.0,87367000000.0,7794000000.0,3119000000.0,14826000000.0,12154000000.0,15273000000.0,3913000000.0,4113000000.0,0.0,22034000000.0,36860000000.0,-1904000000.0,57425000000.0,46519000000.0,2694000000.0,10798000000.0,2512000000.0,3913000000.0
2015-03-28,3745000000.0,0.0,3745000000.0,8161000000.0,1432000000.0,15646000000.0,23762000000.0,35157000000.0,2575000000.0,496000000.0,70069000000.0,85715000000.0,6823000000.0,2771000000.0,13410000000.0,12186000000.0,14957000000.0,3816000000.0,4388000000.0,0.0,22568000000.0,35978000000.0,-1843000000.0,56058000000.0,46038000000.0,2575000000.0,11212000000.0,2308000000.0,3816000000.0
2014-12-27,5077000000.0,0.0,5077000000.0,8591000000.0,1476000000.0,17240000000.0,23660000000.0,35218000000.0,2642000000.0,452000000.0,69795000000.0,87035000000.0,9069000000.0,4376000000.0,16804000000.0,12167000000.0,16543000000.0,3359000000.0,4414000000.0,0.0,22438000000.0,39242000000.0,-1880000000.0,53969000000.0,44165000000.0,2642000000.0,11466000000.0,2096000000.0,3359000000.0
2014-09-27,3421000000.0,0.0,3421000000.0,7822000000.0,1574000000.0,15169000000.0,23332000000.0,35315000000.0,2696000000.0,497000000.0,68972000000.0,84141000000.0,7595000000.0,2164000000.0,13292000000.0,12631000000.0,14795000000.0,3533000000.0,4098000000.0,0.0,22671000000.0,35963000000.0,-1968000000.0,53734000000.0,44958000000.0,2696000000.0,11374000000.0,2352000000.0,3533000000.0
2014-06-28,4090000000.0,0.0,4090000000.0,7543000000.0,1425000000.0,15205000000.0,23013000000.0,35192000000.0,2858000000.0,480000000.0,68518000000.0,83723000000.0,6379000000.0,3216000000.0,13351000000.0,12920000000.0,16136000000.0,3756000000.0,4360000000.0,0.0,21760000000.0,35111000000.0,-1169000000.0,52235000000.0,45520000000.0,2858000000.0,12046000000.0,2147000000.0,3756000000.0
2014-03-29,4078000000.0,0.0,4078000000.0,7588000000.0,1343000000.0,15046000000.0,22681000000.0,34612000000.0,2750000000.0,478000000.0,67534000000.0,82580000000.0,6581000000.0,4695000000.0,15162000000.0,10909000000.0,15604000000.0,3886000000.0,4228000000.0,0.0,19778000000.0,34940000000.0,-1206000000.0,49989000000.0,44889000000.0,2750000000.0,11526000000.0,2037000000.0,3886000000.0
2013-12-28,4397000000.0,0.0,4397000000.0,8013000000.0,1380000000.0,15763000000.0,22567000000.0,34637000000.0,2784000000.0,484000000.0,67403000000.0,83166000000.0,8590000000.0,3687000000.0,15696000000.0,11714000000.0,15401000000.0,3419000000.0,3987000000.0,0.0,20174000000.0,35870000000.0,-1144000000.0,48089000000.0,44324000000.0,2784000000.0,11004000000.0,1973000000.0,3419000000.0
2013-09-28,3931000000.0,0.0,3931000000.0,6967000000.0,1487000000.0,14109000000.0,22380000000.0,34694000000.0,2849000000.0,485000000.0,67132000000.0,81241000000.0,6803000000.0,1512000000.0,11704000000.0,12776000000.0,14288000000.0,3389000000.0,4050000000.0,0.0,21387000000.0,33091000000.0,-1187000000.0,47758000000.0,45429000000.0,2849000000.0,10357000000.0,1724000000.0,3389000000.0
2013-06-29,3932000000.0,0.0,3932000000.0,6568000000.0,1465000000.0,14205000000.0,21875000000.0,34772000000.0,2683000000.0,759000000.0,66360000000.0,80565000000.0,5658000000.0,2219000000.0,11341000000.0,12784000000.0,15003000000.0,3464000000.0,3485000000.0,0.0,23317000000.0,34658000000.0,-2884000000.0,46364000000.0,43536000000.0,2683000000.0,11071000000.0,2240000000.0,3464000000.0
2013-03-30,3952000000.0,0.0,3952000000.0,7154000000.0,1403000000.0,15003000000.0,21650000000.0,34921000000.0,2566000000.0,758000000.0,66355000000.0,81358000000.0,6325000000.0,3556000000.0,13453000000.0,13381000000.0,16937000000.0,3572000000.0,3090000000.0,0.0,23761000000.0,37214000000.0,-2968000000.0,44517000000.0,42089000000.0,2566000000.0,12985000000.0,2494000000.0,3572000000.0
