date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2019-12-31,DUK,2020-02-20,2020-02-20 14:37:25,FY,311000000,0.0,311000000,1066000000,3232000000,4554000000,9163000000,102127000000,19303000000,0.0,19303000000,1936000000,0.0,0.0,123366000000,26309000000,158838000000,3487000000,3135000000,0.0,8878000000,0.0,14752000000,3141000000,0.0,0.0,41150000000,41150000000,0.0,158838000000,1000000.0,4108000000,-130000000,42843000000,46822000000,158838000000,1936000000,61261000000,60950000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616020000034/0001326160-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616020000034/duk-20191231x10k.htm
2019-09-30,DUK,2019-11-08,2019-11-08 11:23:12,Q3,379000000,2633000000,3012000000,2322000000,3107000000,1178000000,9619000000,1703000000,19303000000,0.0,19303000000,1864000000,90000000,144505000000,146298000000,26219000000,155917000000,2946000000,3096000000,712000000,398000000,6238000000,13390000000,54818000000,0.0,8776000000,40302000000,63594000000,32495000000,109479000000,1000000.0,4139000000,-153000000,42451000000,46438000000,155917000000,2633000000,57914000000,57535000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616019000229/0001326160-19-000229-index.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616019000229/duk-20190930x10q.htm
2019-06-30,DUK,2019-08-06,2019-08-06 11:10:51,Q2,336000000,2577000000,2913000000,2153000000,3189000000,1254000000,9509000000,1735000000,19303000000,0.0,19303000000,1715000000,25000000,142180000000,143940000000,25724000000,153449000000,2512000000,2698000000,521000000,434000000,7282000000,13447000000,54342000000,0.0,8532000000,40328000000,62874000000,31915000000,108236000000,1000000.0,3502000000,-148000000,41858000000,45213000000,153449000000,2577000000,57040000000,56704000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616019000189/0001326160-19-000189-index.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616019000189/duk-20190630x10q.htm
2019-03-31,DUK,2019-05-09,2019-05-09 11:20:04,Q1,377000000,2447000000,2824000000,1981000000,3102000000,1261000000,9168000000,1698000000,19303000000,0.0,19303000000,1602000000,6000000.0,140264000000,141968000000,25342000000,151136000000,2538000000,2501000000,470000000,457000000,6316000000,12282000000,53681000000,0.0,8040000000,38640000000,61721000000,32103000000,106106000000,1000000.0,3360000000,-128000000,41797000000,45030000000,151136000000,2447000000,56182000000,55805000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616019000151/0001326160-19-000151-index.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616019000151/duk-20190331x10q.htm
2018-12-31,DUK,2019-02-28,2019-02-28 15:36:52,FY,442000000,2391000000,2833000000,2172000000,3084000000,1625000000,9714000000,91694000000,19303000000,0.0,19303000000,1409000000,5175000000,38809000000,135678000000,23272000000,145392000000,3487000000,3406000000,577000000,476000000,7095000000,15041000000,51123000000,0.0,7806000000,35394000000,58929000000,27605000000,101575000000,1000000.0,3113000000,-92000000,40795000000,43817000000,145392000000,2391000000,54529000000,54087000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616019000057/0001326160-19-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616019000057/duk-20181231x10k.htm
2018-09-30,DUK,2018-11-02,2018-11-02 11:21:45,Q3,303000000,2307000000,2610000000,2397000000,3140000000,1373000000,9520000000,89865000000,19303000000,0.0,19303000000,1328000000,196000000,133449000000,133645000000,23149000000,143165000000,3234000000,3455000000,674000000,500000000,6059000000,13922000000,50507000000,0.0,7765000000,35723000000,58272000000,27976000000,100170000000,1000000.0,3313000000,-66000000,39747000000,42995000000,143165000000,2307000000,53962000000,53659000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616018000201/0001326160-18-000201-index.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616018000201/duk-20180930x10q.htm
2018-06-30,DUK,2018-08-02,2018-08-02 13:29:20,Q2,304000000,2272000000,2576000000,2205000000,3177000000,518000000,8476000000,88495000000,19396000000,0.0,19396000000,1168000000,273000000,131510000000,131783000000,22724000000,140259000000,2686000000,2852000000,494000000,523000000,6236000000,12791000000,49863000000,0.0,6977000000,35090000000,56840000000,28121000000,97752000000,1000000.0,2894000000,-70000000,39682000000,42507000000,140259000000,2272000000,52715000000,52411000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616018000176/0001326160-18-000176-index.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616018000176/duk-20180630x10q.htm
2018-03-31,DUK,2018-05-10,2018-05-10 11:08:40,Q1,421000000,2269000000,2690000000,1984000000,3149000000,456000000,8279000000,87373000000,19396000000,0.0,19396000000,1189000000,183000000,130079000000,130262000000,22304000000,138541000000,2391000000,3951000000,422000000,545000000,5689000000,12998000000,49030000000,0.0,6855000000,34715000000,55885000000,27866000000,96749000000,1000000.0,3021000000,-69000000,38839000000,41792000000,138541000000,2269000000,52981000000,52560000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616018000139/0001326160-18-000139-index.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616018000139/duk-20180331x10q.htm
2017-12-31,DUK,2018-02-21,2018-02-21 16:28:38,FY,358000000,2284000000,2642000000,1995000000,3250000000,566000000,8453000000,86391000000,19396000000,0.0,19396000000,1175000000,36000000,43034000000,129461000000,22499000000,137914000000,3043000000,3244000000,551000000,6621000000,5644000000,12482000000,49035000000,0.0,6621000000,34660000000,55656000000,28037000000,96175000000,1000000.0,3013000000,-67000000,38792000000,41739000000,137914000000,2284000000,52279000000,51921000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616018000034/0001326160-18-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616018000034/duk-20171231x10k.htm
2017-09-30,DUK,2017-11-03,2017-11-03 12:21:20,Q3,282000000,2266000000,2548000000,2089000000,3265000000,-196000000,7706000000,84862000000,19418000000,0.0,19418000000,1366000000,99000000,128520000000,128619000000,22973000000,136325000000,2645000000,2485000000,627000000,15058000000,5063000000,10820000000,48929000000,0.0,15058000000,34934000000,63987000000,19887000000,94694000000,1000000.0,2936000000,-80000000,38774000000,41631000000,136325000000,2266000000,51414000000,51132000000,https://www.sec.gov/Archives/edgar/data/1326160/000132616017000175/0001326160-17-000175-index.htm,https://www.sec.gov/Archives/edgar/data/1326160/000132616017000175/duk-20170930x10q.htm
