date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,EMR,2020-04-24,2020-04-24 13:53:28,Q2,2583000000,0.0,2583000000,2641000000,2058000000,750000000,8032000000,3553000000,6520000000,2498000000,9018000000,0.0,0.0,1108000000,13679000000,1108000000,21711000000,1521000000,3741000000,0.0,0.0,2678000000,7940000000,3960000000,0.0,0.0,0.0,3960000000,2294000000,14194000000,477000000,24431000000,-1903000000,0.0,7517000000,21711000000,0.0,7701000000,5118000000,https://www.sec.gov/Archives/edgar/data/32604/000003260420000021/0000032604-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/32604/000003260420000021/emr-20200331.htm
2019-12-31,EMR,2020-02-05,2020-02-05 14:35:41,Q1,1635000000,0.0,1635000000,2726000000,2064000000,771000000,7196000000,3633000000,6578000000,2567000000,9145000000,0.0,0.0,1127000000,13905000000,565000000,21101000000,1649000000,1984000000,0.0,0.0,2707000000,6340000000,4018000000,0.0,0.0,0.0,4018000000,2322000000,12680000000,477000000,24220000000,-1576000000,0.0,8421000000,21101000000,0.0,6002000000,4367000000,https://www.sec.gov/Archives/edgar/data/32604/000003260420000007/0000032604-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/32604/000003260420000007/emr-12312019x10q.htm
2019-09-30,EMR,2019-11-18,2019-11-18 16:01:51,FY,1494000000,0.0,1494000000,2985000000,1880000000,780000000,7139000000,3642000000,6536000000,2615000000,9151000000,0.0,0.0,565000000,13358000000,565000.0,20497000000,1874000000,1444000000,0.0,0.0,2658000000,5976000000,4277000000,0.0,0.0,0.0,4277000000,2011000000,12264000000,477000000,24199000000,-1722000000,0.0,8233000000,20497000000,0.0,5721000000,4227000000,https://www.sec.gov/Archives/edgar/data/32604/000003260419000048/0000032604-19-000048-index.htm,https://www.sec.gov/Archives/edgar/data/32604/000003260419000048/emr-09302019x10xk.htm
2019-06-30,EMR,2019-08-07,2019-08-07 11:10:44,Q3,1603000000,0.0,1603000000,2901000000,2061000000,785000000,7350000000,3614000000,6544000000,2691000000,9235000000,0.0,0.0,1118000000,13967000000,1118000000,21317000000,1785000000,1877000000,103000000,0.0,2453000000,6218000000,4336000000,0.0,0.0,0.0,4336000000,2008000000,12562000000,477000000,23777000000,-1016000000,0.0,8755000000,21317000000,0.0,6213000000,4610000000,https://www.sec.gov/Archives/edgar/data/32604/000003260419000027/0000032604-19-000027-index.htm,https://www.sec.gov/Archives/edgar/data/32604/000003260419000027/emr-6302019x10q.htm
2019-03-31,EMR,2019-05-09,2019-05-09 16:17:10,Q2,1384000000,0.0,1384000000,2911000000,2073000000,784000000,7152000000,3615000000,6509000000,2701000000,9210000000,0.0,0.0,1094000000,13919000000,1094000000,21071000000,1730000000,2551000000,84000000,0.0,2349000000,6714000000,3786000000,0.0,0.0,0.0,3786000000,2045000000,12545000000,477000000,23475000000,-928000000,0.0,8526000000,21071000000,0.0,6337000000,4953000000,https://www.sec.gov/Archives/edgar/data/32604/000003260419000018/0000032604-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/32604/000003260419000018/emr-3312019x10q.htm
2018-12-31,EMR,2019-02-06,2019-02-06 14:25:19,Q1,1248000000,0.0,1248000000,2733000000,1980000000,697000000,6658000000,3551000000,6468000000,2714000000,9182000000,0.0,0.0,1038000000,13771000000,1003000000,20429000000,1794000000,3320000000,138000000,0.0,2288000000,7540000000,2641000000,0.0,0.0,0.0,2641000000,2012000000,12193000000,477000000,23252000000,-1052000000,0.0,8236000000,20429000000,0.0,5961000000,4713000000,https://www.sec.gov/Archives/edgar/data/32604/000003260419000007/0000032604-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/32604/000003260419000007/emr-12312018x10q.htm
2018-09-30,EMR,2018-11-19,2018-11-19 14:49:23,FY,1093000000,0.0,1093000000,3344000000,1813000000,369000000,6619000000,3562000000,6455000000,2751000000,9206000000,0.0,0.0,1003000000,13771000000,1003000000,20390000000,1943000000,1623000000,64000000,0.0,2534000000,6164000000,3137000000,0.0,0.0,0.0,3137000000,2142000000,11443000000,477000000,23072000000,-1015000000,0.0,8947000000,20390000000,0.0,4760000000,3667000000,https://www.sec.gov/Archives/edgar/data/32604/000003260418000044/0000032604-18-000044-index.htm,https://www.sec.gov/Archives/edgar/data/32604/000003260418000044/emr-09302018x10xk.htm
2018-06-30,EMR,2018-08-08,2018-08-08 16:12:05,Q3,3411000000,0.0,3411000000,3027000000,1805000000,333000000,8576000000,3260000000,5745000000,2157000000,7902000000,0.0,0.0,749000000,11911000000,749000000,20487000000,1647000000,2862000000,53000000,0.0,2392000000,6954000000,3126000000,0.0,0.0,0.0,3126000000,1994000000,12074000000,477000000,22660000000,-1092000000,0.0,8413000000,20487000000,0.0,5988000000,2577000000,https://www.sec.gov/Archives/edgar/data/32604/000003260418000038/0000032604-18-000038-index.htm,https://www.sec.gov/Archives/edgar/data/32604/000003260418000038/emr-6302018x10q.htm
2018-03-31,EMR,2018-05-02,2018-05-02 16:47:08,Q2,2444000000,0.0,2444000000,3042000000,1897000000,342000000,7725000000,3299000000,5821000000,2203000000,8024000000,0.0,0.0,737000000,12060000000,737000000,19785000000,1603000000,1833000000,147000000,0.0,2362000000,5945000000,3357000000,0.0,0.0,0.0,3357000000,1991000000,11293000000,477000000,22254000000,-827000000,0.0,8492000000,19785000000,0.0,5190000000,2746000000,https://www.sec.gov/Archives/edgar/data/32604/000003260418000029/0000032604-18-000029-index.htm,https://www.sec.gov/Archives/edgar/data/32604/000003260418000029/emr-3312018x10q.htm
2017-12-31,EMR,2018-02-07,2018-02-07 13:31:14,Q1,3096000000,0.0,3096000000,2881000000,1845000000,330000000,8152000000,3279000000,5616000000,2118000000,7734000000,0.0,0.0,693000000,11706000000,810000000,19858000000,1596000000,2093000000,217000000,0.0,2286000000,6192000000,3375000000,0.0,0.0,0.0,3375000000,1942000000,11509000000,477000000,22079000000,-992000000,0.0,8349000000,19858000000,0.0,5468000000,2372000000,https://www.sec.gov/Archives/edgar/data/32604/000003260418000011/0000032604-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/32604/000003260418000011/emr-12312017x10q.htm
