date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2019-12-31,EXC,2020-02-11,2020-02-11 16:02:37,FY,163000000,0.0,163000000,0.0,0.0,560000000,723000000,6022000000,0.0,0.0,0.0,0.0,0.0,0.0,6022000000,3080000000,9825000000,106000000,130000000,0.0,4021000000,0.0,731000000,544000000,0.0,0.0,2112000000,2745000000,0.0,3476000000,1588000000,3156000000,0.0,5933000000,10677000000,9825000000,0.0,9767000000,9604000000,https://www.sec.gov/Archives/edgar/data/1109357/000110935720000053/0001109357-20-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1109357/000110935720000053/exc-20191231x10k.htm
2019-09-30,EXC,2019-10-31,2019-10-31 12:34:24,Q3,1683000000,601000000,2284000000,4188000000,162000000,5572000000,12206000000,78593000000,6677000000,0.0,4005000000,471000000,34000000,31434000000,110532000000,3025000000,122738000000,3348000000,4248000000,431000000,26000000,5032000000,13085000000,32056000000,0.0,12133000000,3123000000,47312000000,30318000000,90715000000,19238000000,15871000000,-2963000000,0.0,32023000000,122738000000,1072000000,36304000000,34621000000,https://www.sec.gov/Archives/edgar/data/1109357/000110935719000112/0001109357-19-000112-index.htm,https://www.sec.gov/Archives/edgar/data/1109357/000110935719000112/exc-20190930x10q.htm
2019-06-30,EXC,2019-08-01,2019-08-01 13:36:56,Q2,54000000,133000000,187000000,0.0,0.0,1359000000,1546000000,13788000000,4005000000,0.0,4005000000,0.0,0.0,0.0,17793000000,3115000000,22454000000,3248000000,1059000000,0.0,13000000,8614000000,12934000000,3776000000,0.0,0.0,0.0,3776000000,0.0,87689000000,19209000000,15452000000,-2990000000,0.0,31548000000,22454000000,133000000,36075000000,36021000000,https://www.sec.gov/Archives/edgar/data/1109357/000162828019009752/0001628280-19-009752-index.htm,https://www.sec.gov/Archives/edgar/data/1109357/000162828019009752/exc-20190630x10q.htm
2019-03-31,EXC,2019-05-02,2019-05-02 16:29:24,Q1,880000000,652000000,1532000000,4564000000,152000000,6228000000,12476000000,77460000000,6677000000,0.0,6677000000,454000000,100000000,31103000000,109117000000,24980000000,121593000000,3327000000,2508000000,448000000,25000000,5921000000,12229000000,32960000000,0.0,11642000000,3158000000,47760000000,30247000000,90236000000,19171000000,15321000000,-3012000000,0.0,31357000000,121593000000,1106000000,35468000000,34588000000,https://www.sec.gov/Archives/edgar/data/1109357/000162828019005692/0001628280-19-005692-index.htm,https://www.sec.gov/Archives/edgar/data/1109357/000162828019005692/exc-20190331x10q.htm
2018-12-31,EXC,2019-02-08,2019-02-08 15:11:50,FY,1349000000,804000000,2153000000,4607000000,148000000,6452000000,13360000000,76707000000,6677000000,0.0,6677000000,452000000,0.0,29147000000,106306000000,22922000000,119666000000,3800000000,1349000000,412000000,27000000,5816000000,11404000000,34075000000,0.0,11330000000,2130000000,47535000000,29963000000,88902000000,19116000000,14766000000,-2995000000,5683000000,30764000000,119666000000,1256000000,35424000000,34075000000,https://www.sec.gov/Archives/edgar/data/1109357/000162828019001107/0001628280-19-001107-index.htm,https://www.sec.gov/Archives/edgar/data/1109357/000162828019001107/exc-20181231x10k.htm
2018-09-30,EXC,2018-11-01,2018-11-01 12:14:53,Q3,1918000000,696000000,2614000000,4239000000,146000000,6474000000,13473000000,75840000000,6677000000,0.0,6677000000,449000000,32000000,29691000000,106012000000,23495000000,119485000000,3348000000,771000000,804000000,37000000,5180000000,10140000000,34519000000,0.0,11702000000,2160000000,48381000000,29944000000,88465000000,19063000000,14949000000,-2869000000,0.0,31020000000,119485000000,1145000000,35290000000,33372000000,https://www.sec.gov/Archives/edgar/data/1109357/000162828018013257/0001628280-18-013257-index.htm,https://www.sec.gov/Archives/edgar/data/1109357/000162828018013257/exc-20180930x10q.htm
2018-06-30,EXC,2018-08-02,2018-08-02 12:20:06,Q2,694000000,799000000,1493000000,4094000000,146000000,5756000000,11489000000,75284000000,6677000000,0.0,6677000000,457000000,72000000,29947000000,105760000000,23799000000,117249000000,3113000000,1158000000,732000000,28000000,4595000000,9626000000,33179000000,0.0,11484000000,2087000000,46750000000,30358000000,86734000000,19008000000,14551000000,-2921000000,0.0,30515000000,117249000000,1256000000,34337000000,33643000000,https://www.sec.gov/Archives/edgar/data/1109357/000162828018010287/0001628280-18-010287-index.htm,https://www.sec.gov/Archives/edgar/data/1109357/000162828018010287/exc-20180630x10q.htm
2018-03-31,EXC,2018-05-02,2018-05-02 13:21:52,Q1,787000000,978000000,1765000000,4190000000,146000000,5432000000,11533000000,74711000000,6677000000,0.0,6677000000,527000000,97000000,30150000000,105485000000,24097000000,117018000000,3207000000,1203000000,733000000,46000000,4964000000,10153000000,32905000000,0.0,11344000000,2067000000,46316000000,30318000000,86787000000,18973000000,14346000000,-2965000000,0.0,30231000000,117018000000,1505000000,34108000000,33321000000,https://www.sec.gov/Archives/edgar/data/1109357/000162828018005662/0001628280-18-005662-index.htm,https://www.sec.gov/Archives/edgar/data/1109357/000162828018005662/exc-2018331x10q.htm
2017-12-31,EXC,2018-02-09,2018-02-09 08:40:06,FY,898000000,976000000,1874000000,4401000000,152000000,5407000000,11834000000,74202000000,6677000000,0.0,6677000000,640000000,0.0,30024000000,104866000000,23987000000,116700000000,3532000000,2088000000,373000000,3469000000,4803000000,10796000000,32176000000,0.0,11222000000,2097000000,45495000000,30552000000,86843000000,18964000000,13503000000,-2487000000,5183000000,29857000000,116700000000,1616000000,34264000000,33366000000,https://www.sec.gov/Archives/edgar/data/1109357/000162828018001324/0001628280-18-001324-index.htm,https://www.sec.gov/Archives/edgar/data/1109357/000162828018001324/exc-20171231x10k.htm
2017-09-30,EXC,2017-11-02,2017-11-02 11:12:41,Q3,1203000000,699000000,1902000000,3854000000,152000000,6816000000,12724000000,73067000000,6677000000,0.0,6677000000,634000000,1250000000,30798000000,105749000000,26005000000,118473000000,3132000000,3164000000,335000000,19250000000,5764000000,12395000000,31701000000,0.0,19250000000,1899000000,52850000000,25128000000,90373000000,18862000000,11950000000,-2589000000,0.0,28100000000,118473000000,1333000000,34865000000,33662000000,https://www.sec.gov/Archives/edgar/data/1109357/000162828017010625/0001628280-17-010625-index.htm,https://www.sec.gov/Archives/edgar/data/1109357/000162828017010625/exc-2017930x10q.htm
2017-06-30,EXC,2017-08-02,2017-08-02 14:49:37,Q2,536000000,833000000,1369000000,3825000000,160000000,6878000000,12232000000,72748000000,6677000000,0.0,6677000000,638000000,1250000000,30236000000,104872000000,25447000000,117104000000,3134000000,3619000000,335000000,18521000000,6877000000,13965000000,30315000000,0.0,18521000000,1828000000,50664000000,24929000000,89558000000,18860000000,11442000000,-2633000000,0.0,27546000000,117104000000,1471000000,33934000000,33398000000,https://www.sec.gov/Archives/edgar/data/1109357/000119312517245630/0001193125-17-245630-index.htm,https://www.sec.gov/Archives/edgar/data/1109357/000119312517245630/d426698d10q.htm
2017-03-31,EXC,2017-05-03,2017-05-03 13:51:53,Q1,609000000,847000000,1456000000,3886000000,154000000,6698000000,12194000000,72630000000,6677000000,0.0,6677000000,648000000,1250000000,30346000000,104874000000,25567000000,117068000000,3011000000,3645000000,335000000,18518000000,7446000000,14437000000,31044000000,0.0,18518000000,1853000000,51415000000,24686000000,90538000000,18807000000,12720000000,-2670000000,0.0,26530000000,117068000000,1495000000,34689000000,34080000000,https://www.sec.gov/Archives/edgar/data/1109357/000119312517155836/0001193125-17-155836-index.htm,https://www.sec.gov/Archives/edgar/data/1109357/000119312517155836/d376014d10q.htm
