date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,F,2020-04-29,2020-04-28 19:03:29,Q1,25971000000,28514000000,54485000000,0.0,11312000000,58479000000,124276000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139874000000,264150000000,0.0,0.0,0.0,10922000000,83572000000,94494000000,28411000000,0.0,0.0,0.0,28411000000,0.0,234452000000,40000000,17527000000,-8461000000,0.0,33230000000,264150000000,28514000000,167326000000,141355000000,https://www.sec.gov/Archives/edgar/data/37996/000003799620000041/0000037996-20-000041-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799620000041/f0331202010-q.htm
2019-12-31,F,2020-02-05,2020-02-05 12:01:22,FY,17504000000,17147000000,34651000000,9237000000,10786000000,59373000000,114047000000,36469000000,0.0,0.0,0.0,53703000000,11863000000,42455000000,144490000000,45719000000,258537000000,20673000000,52371000000,0.0,13856000000,25088000000,98132000000,470000000,0.0,490000000,25324000000,26284000000,100936000000,225352000000,40000000,20320000000,-7728000000,20553000000,33185000000,258537000000,70850000000,52841000000,35337000000,https://www.sec.gov/Archives/edgar/data/37996/000003799620000010/0000037996-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799620000010/f1231201910-k.htm
2019-09-30,F,2019-10-24,2019-10-23 18:35:03,Q3,20523000000,29452000000,49975000000,0.0,12451000000,53328000000,115754000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142403000000,258157000000,0.0,0.0,0.0,10677000000,88410000000,99087000000,12615000000,0.0,0.0,0.0,12615000000,0.0,222770000000,40000000,22590000000,-7842000000,0.0,0.0,258157000000,29452000000,154111000000,133588000000,https://www.sec.gov/Archives/edgar/data/37996/000003799619000078/0000037996-19-000078-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799619000078/f0930201910-q.htm
2019-06-30,F,2019-07-25,2019-07-24 19:05:43,Q2,22117000000,29798000000,51915000000,0.0,12437000000,53999000000,118351000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143833000000,262184000000,0.0,0.0,0.0,10153000000,88181000000,98334000000,11765000000,0.0,0.0,0.0,11765000000,0.0,226048000000,40000000,22769000000,-7436000000,0.0,0.0,262184000000,29798000000,156064000000,133947000000,https://www.sec.gov/Archives/edgar/data/37996/000003799619000067/0000037996-19-000067-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799619000067/f0630201910-q.htm
2019-03-31,F,2019-04-26,2019-04-25 20:29:16,Q1,20848000000,16882000000,37730000000,12016000000,12333000000,59116000000,121195000000,36145000000,0.0,0.0,0.0,54332000000,10316000000,41293000000,142086000000,142086000000,263281000000,23325000000,51895000000,0.0,10316000000,24017000000,99237000000,91055000000,0.0,647000000,24216000000,115918000000,11728000000,226883000000,40000000,23226000000,-7501000000,20633000000,36398000000,263281000000,71214000000,142950000000,122102000000,https://www.sec.gov/Archives/edgar/data/37996/000003799619000026/0000037996-19-000026-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799619000026/f0331201910-q.htm
2018-12-31,F,2019-02-21,2019-02-21 16:10:10,FY,16718000000,17233000000,33951000000,11195000000,11220000000,58283000000,114649000000,36178000000,0.0,0.0,0.0,55544000000,10412000000,39757000000,141891000000,41855000000,256540000000,21520000000,51179000000,0.0,12293000000,22870000000,95569000000,88887000000,0.0,597000000,23588000000,113072000000,11967000000,220608000000,40000000,22668000000,-7366000000,20590000000,35932000000,256540000000,72777000000,140066000000,123348000000,https://www.sec.gov/Archives/edgar/data/37996/000003799619000012/0000037996-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799619000012/f1231201810-k.htm
2018-09-30,F,2018-10-25,2018-10-24 19:14:10,Q3,18562000000,17780000000,36342000000,11244000000,12810000000,54447000000,114843000000,35762000000,0.0,0.0,0.0,57043000000,10553000000,40765000000,144123000000,144123000000,258966000000,23273000000,47547000000,0.0,10553000000,23930000000,94750000000,90620000000,0.0,602000000,24228000000,115450000000,12176000000,222376000000,40000000,23384000000,-7429000000,20595000000,36590000000,258966000000,74823000000,138167000000,119605000000,https://www.sec.gov/Archives/edgar/data/37996/000003799618000084/0000037996-18-000084-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799618000084/f0930201810-q.htm
2018-06-30,F,2018-07-26,2018-07-25 19:41:30,Q2,16828000000,19648000000,36476000000,11026000000,12565000000,54958000000,115025000000,35580000000,0.0,0.0,0.0,56351000000,10371000000,40752000000,143054000000,143054000000,258079000000,22743000000,46916000000,0.0,10371000000,25202000000,94861000000,89718000000,0.0,584000000,24107000000,114409000000,12368000000,221638000000,40000000,22993000000,-7204000000,20612000000,36441000000,258079000000,75999000000,136634000000,119806000000,https://www.sec.gov/Archives/edgar/data/37996/000003799618000063/0000037996-18-000063-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799618000063/f0630201810-q.htm
2018-03-31,F,2018-04-26,2018-04-25 19:38:26,Q1,17940000000,22131000000,40071000000,12386000000,12371000000,58436000000,123264000000,36118000000,0.0,0.0,0.0,57121000000,10637000000,40090000000,143966000000,143966000000,267230000000,25480000000,49232000000,0.0,10637000000,25166000000,99878000000,92681000000,0.0,622000000,24845000000,118148000000,12804000000,230830000000,40000000,22529000000,-6669000000,20500000000,36400000000,267230000000,79252000000,141913000000,123973000000,https://www.sec.gov/Archives/edgar/data/37996/000003799618000036/0000037996-18-000036-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799618000036/f0331201810-q.htm
2017-12-31,F,2018-02-08,2018-02-08 11:41:16,FY,18492000000,20435000000,38927000000,10599000000,10277000000,56099000000,115902000000,35327000000,0.0,0.0,0.0,56182000000,10973000000,39424000000,141906000000,38952000000,257808000000,23282000000,3356000000,0.0,13367000000,67962000000,94600000000,12575000000,0.0,815000000,24711000000,38101000000,90217000000,222918000000,40000000,21218000000,-6959000000,20591000000,34890000000,257808000000,76617000000,15931000000,-2561000000,https://www.sec.gov/Archives/edgar/data/37996/000003799618000015/0000037996-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799618000015/f1231201710-k.htm
