date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-02-29,FDX,2020-03-17,2020-03-17 16:17:33,Q3,1766000000,18831000000,1766000000,0.0,0.0,10775000000,12541000000,33306000000,6814000000,0.0,6814000000,0.0,0.0,24167000000,57473000000,0.0,70014000000,3193000000,35000000,0.0,3101000000,7097000000,10325000000,18973000000,0.0,3101000000,454000000,22528000000,18330000000,51183000000,32000000,25569000000,-887000000,0.0,18831000000,70014000000,18831000000,19008000000,17242000000,https://www.sec.gov/Archives/edgar/data/1048911/000156459020011411/0001564590-20-011411-index.htm,https://www.sec.gov/Archives/edgar/data/1048911/000156459020011411/fdx-10q_20200229.htm
2019-11-30,FDX,2019-12-17,2019-12-17 16:17:32,Q2,2031000000,18659000000,2031000000,0.0,0.0,11167000000,13198000000,32408000000,6861000000,0.0,6861000000,0.0,0.0,24348000000,56756000000,0.0,69954000000,3283000000,16000000,0.0,3072000000,7248000000,10547000000,18691000000,0.0,3072000000,476000000,22239000000,18509000000,51295000000,32000000,25431000000,-866000000,0.0,18659000000,69954000000,18659000000,18707000000,16676000000,https://www.sec.gov/Archives/edgar/data/1048911/000156459019046220/0001564590-19-046220-index.htm,https://www.sec.gov/Archives/edgar/data/1048911/000156459019046220/fdx-10q_20191130.htm
2019-08-31,FDX,2019-09-17,2019-09-17 16:17:01,Q1,2389000000,18166000000,2389000000,0.0,0.0,10628000000,13017000000,31610000000,6821000000,0.0,6821000000,0.0,0.0,23825000000,55435000000,0.0,68452000000,3179000000,35000000,0.0,2953000000,6721000000,9935000000,18726000000,0.0,2953000000,479000000,22158000000,18193000000,50286000000,32000000,25048000000,-918000000,0.0,18166000000,68452000000,18166000000,18761000000,16372000000,https://www.sec.gov/Archives/edgar/data/1048911/000156459019034896/0001564590-19-034896-index.htm,https://www.sec.gov/Archives/edgar/data/1048911/000156459019034896/fdx-10q_20190831.htm
2019-05-31,FDX,2019-07-16,2019-07-16 16:18:24,FY,2319000000,17757000000,2319000000,0.0,0.0,10767000000,13086000000,30429000000,6884000000,0.0,6884000000,0.0,0.0,10888000000,41317000000,0.0,54403000000,3030000000,964000000,0.0,2821000000,5019000000,9013000000,16617000000,531000000,2821000000,571000000,20540000000,7093000000,36646000000,32000000,24648000000,-865000000,0.0,17757000000,54403000000,17757000000,17581000000,15262000000,https://www.sec.gov/Archives/edgar/data/1048911/000156459019025065/0001564590-19-025065-index.htm,https://www.sec.gov/Archives/edgar/data/1048911/000156459019025065/fdx-10k_20190531.htm
2019-02-28,FDX,2019-03-19,2019-03-19 16:20:41,Q3,2872000000,19894000000,2872000000,0.0,0.0,10628000000,13500000000,29768000000,6916000000,0.0,6916000000,0.0,0.0,11196000000,40964000000,0.0,54464000000,3156000000,973000000,0.0,3211000000,5127000000,9256000000,17218000000,512000000,3211000000,547000000,21488000000,3826000000,34570000000,32000000,26650000000,-737000000,0.0,19894000000,54464000000,19894000000,18191000000,15319000000,https://www.sec.gov/Archives/edgar/data/1048911/000156459019008444/0001564590-19-008444-index.htm,https://www.sec.gov/Archives/edgar/data/1048911/000156459019008444/fdx-10q_20190228.htm
2018-11-30,FDX,2018-12-18,2018-12-18 16:07:08,Q2,2123000000,19294000000,2123000000,0.0,0.0,11315000000,13438000000,29387000000,6908000000,0.0,6908000000,0.0,0.0,10464000000,39851000000,0.0,53289000000,3400000000,642000000,0.0,3253000000,5454000000,9496000000,16399000000,605000000,3253000000,526000000,20783000000,3716000000,33995000000,32000000,26080000000,-817000000,0.0,19294000000,53289000000,19294000000,17041000000,14918000000,https://www.sec.gov/Archives/edgar/data/1048911/000156459018031032/0001564590-18-031032-index.htm,https://www.sec.gov/Archives/edgar/data/1048911/000156459018031032/fdx-10q_20181130.htm
2018-08-31,FDX,2018-09-17,2018-09-17 16:27:09,Q1,2369000000,19173000000,2369000000,0.0,0.0,10272000000,12641000000,28779000000,6869000000,0.0,6869000000,0.0,0.0,10481000000,39260000000,0.0,51901000000,3066000000,1404000000,0.0,2948000000,5136000000,9606000000,15241000000,557000000,2948000000,448000000,19194000000,3928000000,32728000000,32000000,25315000000,-763000000,0.0,19173000000,51901000000,19173000000,16645000000,14276000000,https://www.sec.gov/Archives/edgar/data/1048911/000156459018023207/0001564590-18-023207-index.htm,https://www.sec.gov/Archives/edgar/data/1048911/000156459018023207/fdx-10q_20180831.htm
2018-05-31,FDX,2018-07-16,2018-07-16 16:19:05,FY,3265000000,19416000000,3265000000,0.0,0.0,10076000000,13341000000,28154000000,6973000000,0.0,6973000000,0.0,0.0,10835000000,38989000000,0.0,52330000000,2977000000,1342000000,0.0,2867000000,5308000000,9627000000,15243000000,551000000,2867000000,534000000,19195000000,4092000000,32914000000,32000000,24823000000,-578000000,0.0,19416000000,52330000000,19416000000,16585000000,13320000000,https://www.sec.gov/Archives/edgar/data/1048911/000156459018016877/0001564590-18-016877-index.htm,https://www.sec.gov/Archives/edgar/data/1048911/000156459018016877/fdx-10k_20180531.htm
2018-02-28,FDX,2018-03-21,2018-03-21 14:35:33,Q3,2789000000,18894000000,2789000000,0.0,0.0,10786000000,13575000000,27697000000,7464000000,0.0,7464000000,0.0,0.0,10579000000,38276000000,0.0,51851000000,3102000000,764000000,0.0,2401000000,5637000000,9503000000,16017000000,532000000,2401000000,484000000,19434000000,4020000000,32957000000,32000000,23710000000,-357000000,0.0,18894000000,51851000000,18894000000,16781000000,13992000000,https://www.sec.gov/Archives/edgar/data/1048911/000156459018006410/0001564590-18-006410-index.htm,https://www.sec.gov/Archives/edgar/data/1048911/000156459018006410/fdx-10q_20180228.htm
2017-11-30,FDX,2017-12-20,2017-12-20 16:17:05,Q2,2768000000,17055000000,2768000000,0.0,0.0,10113000000,12881000000,27290000000,7325000000,0.0,7325000000,0.0,0.0,10110000000,37400000000,0.0,50281000000,3147000000,11000000,0.0,3088000000,5069000000,8227000000,15180000000,633000000,3088000000,457000000,19358000000,5641000000,33226000000,32000000,21785000000,-434000000,0.0,17055000000,50281000000,17055000000,15191000000,12423000000,https://www.sec.gov/Archives/edgar/data/1048911/000156459017025136/0001564590-17-025136-index.htm,https://www.sec.gov/Archives/edgar/data/1048911/000156459017025136/fdx-10q_20171130.htm
