date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-29,GD,2020-04-29,2020-04-29 11:51:18,Q1,5300000000,7968000000,5300000000,3547000000,6852000000,1074000000,24741000000,4537000000,19653000000,2259000000,21912000000,0.0,0.0,2520000000,28969000000,2520000.0,53710000000,2788000000,5047000000,0.0,6825000000,3780000000,18440000000,12951000000,0.0,0.0,9119000000,22070000000,0.0,40510000000,482000000,31983000000,-4471000000,0.0,13200000000,53710000000,7968000000,17998000000,12698000000,https://www.sec.gov/Archives/edgar/data/40533/000004053320000029/0000040533-20-000029-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053320000029/gd-2020032910q.htm
2019-12-31,GD,2020-02-10,2020-02-10 16:10:04,FY,902000000,7857000000,902000000,3544000000,6306000000,1171000000,19780000000,4475000000,19677000000,2315000000,21992000000,0.0,0.0,2594000000,29061000000,2594000.0,48841000000,3162000000,2920000000,0.0,0.0,10719000000,16801000000,9010000000,0.0,0.0,9453000000,18463000000,0.0,35264000000,482000000,31633000000,-4219000000,0.0,13577000000,48841000000,7857000000,11930000000,11028000000,https://www.sec.gov/Archives/edgar/data/40533/000004053320000015/0000040533-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053320000015/gd-2019123110k.htm
2019-09-29,GD,2019-10-23,2019-10-23 11:21:41,Q3,974000000,8077000000,974000000,3489000000,6573000000,1038000000,20151000000,4217000000,19617000000,2376000000,21993000000,0.0,0.0,2427000000,28637000000,9115000.0,48788000000,2999000000,4661000000,0.0,0.0,10567000000,18227000000,8989000000,0.0,0.0,8059000000,17048000000,0.0,35275000000,482000000,30909000000,-3531000000,0.0,13513000000,48788000000,8077000000,13650000000,12676000000,https://www.sec.gov/Archives/edgar/data/40533/000004053319000056/0000040533-19-000056-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053319000056/gd-2019092910q.htm
2019-06-30,GD,2019-07-24,2019-07-24 11:07:09,Q2,702000000,7554000000,702000000,3673000000,6480000000,1148000000,19557000000,4091000000,19662000000,2457000000,22119000000,0.0,0.0,2307000000,28517000000,2307000.0,48074000000,2860000000,4960000000,0.0,0.0,10194000000,18014000000,8975000000,0.0,0.0,8208000000,17183000000,0.0,35197000000,482000000,30291000000,-3476000000,0.0,12877000000,48074000000,7554000000,13935000000,13233000000,https://www.sec.gov/Archives/edgar/data/40533/000004053319000048/0000040533-19-000048-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053319000048/gd-2019063010q.htm
2019-03-31,GD,2019-04-24,2019-04-24 15:15:08,Q1,673000000,7367000000,673000000,3718000000,6185000000,924000000,18867000000,4054000000,19668000000,2518000000,22186000000,0.0,0.0,2359000000,28599000000,2359000000,47466000000,3008000000,2097000000,0.0,0.0,10277000000,15382000000,11451000000,0.0,0.0,8399000000,19850000000,0.0,35232000000,482000000,29781000000,-3683000000,0.0,12234000000,47466000000,7367000000,13548000000,12875000000,https://www.sec.gov/Archives/edgar/data/40533/000004053319000021/0000040533-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053319000021/gd-2019033110q.htm
2018-12-31,GD,2019-02-13,2019-02-13 11:25:10,FY,963000000,6576000000,963000000,3759000000,5977000000,914000000,18189000000,4348000000,19594000000,2585000000,22179000000,0.0,0.0,692000000,27219000000,692000000,45408000000,3179000000,973000000,0.0,0.0,10587000000,14739000000,11444000000,0.0,0.0,7493000000,18937000000,0.0,33676000000,482000000,29326000000,-3778000000,0.0,11732000000,45408000000,6576000000,12417000000,11454000000,https://www.sec.gov/Archives/edgar/data/40533/000004053319000010/0000040533-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053319000010/gd-2018123110k.htm
2018-09-30,GD,2018-10-24,2018-10-24 11:39:05,Q3,1010000000,7564000000,1010000000,3736000000,6247000000,1401000000,19958000000,4244000000,19486000000,2667000000,22153000000,0.0,0.0,608000000,27005000000,608000000,46963000000,3033000000,1678000000,0.0,0.0,10978000000,15689000000,11403000000,0.0,0.0,7116000000,18519000000,0.0,34208000000,482000000,28691000000,-3361000000,0.0,12755000000,46963000000,7564000000,13081000000,12071000000,https://www.sec.gov/Archives/edgar/data/40533/000004053318000060/0000040533-18-000060-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053318000060/gd-2018093010q.htm
2018-07-01,GD,2018-07-25,2018-07-25 10:53:42,Q2,1862000000,7125000000,1862000000,3874000000,5890000000,1076000000,19827000000,4179000000,19738000000,2738000000,22476000000,0.0,0.0,670000000,27325000000,670000000,47152000000,3032000000,2881000000,0.0,0.0,10660000000,16573000000,11397000000,0.0,0.0,7188000000,18585000000,0.0,35158000000,482000000,28115000000,-3558000000,0.0,11994000000,47152000000,7125000000,14278000000,12416000000,https://www.sec.gov/Archives/edgar/data/40533/000004053318000043/0000040533-18-000043-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053318000043/gd-2018070110q.htm
2018-04-01,GD,2018-04-25,2018-04-25 10:34:24,Q1,4332000000,5865000000,4332000000,3769000000,5543000000,955000000,20464000000,3533000000,11955000000,702000000,12657000000,0.0,0.0,565000000,16755000000,565000000,37219000000,2851000000,2498000000,0.0,0.0,9893000000,15242000000,3981000000,0.0,0.0,6222000000,10203000000,0.0,25445000000,482000000,27605000000,-3391000000,0.0,11774000000,37219000000,5865000000,6479000000,2147000000,https://www.sec.gov/Archives/edgar/data/40533/000004053318000018/0000040533-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053318000018/gd-2018040110q.htm
2017-12-31,GD,2018-02-12,2018-02-12 10:10:40,FY,2983000000,5240000000,2983000000,3617000000,5303000000,1185000000,18328000000,3517000000,11914000000,702000000,12616000000,0.0,0.0,585000000,16718000000,585000000,35046000000,3207000000,2000000.0,0.0,0.0,9890000000,13099000000,3980000000,0.0,0.0,6532000000,10512000000,0.0,23611000000,482000000,26444000000,-2820000000,0.0,11435000000,35046000000,5240000000,3982000000,999000000,https://www.sec.gov/Archives/edgar/data/40533/000004053318000008/0000040533-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053318000008/gd-2017123110k.htm
2017-10-01,GD,2017-10-25,2017-10-25 10:38:45,Q3,2722000000,5609000000,2722000000,3391000000,5781000000,577000000,18080000000,3461000000,11918000000,715000000,12633000000,0.0,0.0,740000000,16834000000,740000000,34914000000,2718000000,903000000,0.0,0.0,9588000000,13209000000,3979000000,0.0,0.0,6162000000,10141000000,0.0,23350000000,482000000,26058000000,-2651000000,0.0,11564000000,34914000000,5609000000,4882000000,2160000000,https://www.sec.gov/Archives/edgar/data/40533/000004053317000043/0000040533-17-000043-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053317000043/gd-2017100110q.htm
2017-07-02,GD,2017-07-26,2017-07-26 10:10:32,Q2,1856000000,5045000000,1856000000,3690000000,5839000000,696000000,17126000000,3424000000,11679000000,685000000,12364000000,0.0,0.0,879000000,16667000000,879000000,33793000000,2620000000,989000000,0.0,0.0,9894000000,13503000000,2989000000,0.0,0.0,6349000000,9338000000,0.0,22841000000,482000000,25546000000,-2922000000,0.0,10952000000,33793000000,5045000000,3978000000,2122000000,https://www.sec.gov/Archives/edgar/data/40533/000004053317000033/0000040533-17-000033-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053317000033/gd-2017070210q.htm
2017-04-02,GD,2017-04-26,2017-04-26 10:24:57,Q1,2168000000,4557000000,2168000000,3483000000,5822000000,584000000,16614000000,3412000000,11532000000,679000000,12211000000,0.0,0.0,974000000,16597000000,974000000,33211000000,2466000000,901000000,0.0,0.0,9798000000,13165000000,2988000000,0.0,0.0,6475000000,9463000000,0.0,22628000000,482000000,25049000000,-3262000000,0.0,10583000000,33211000000,4557000000,3889000000,1721000000,https://www.sec.gov/Archives/edgar/data/40533/000004053317000014/0000040533-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053317000014/gd-2017040210q.htm
2016-12-31,GD,2017-02-06,2017-02-06 09:42:26,FY,2334000000,5282000000,2334000000,3611000000,3523000000,697000000,15447000000,3467000000,11445000000,678000000,12123000000,0.0,0.0,1835000000,17425000000,1835000000,32872000000,2538000000,900000000,0.0,0.0,9408000000,12846000000,2988000000,0.0,0.0,6062000000,9050000000,0.0,21896000000,482000000,25227000000,-3396000000,0.0,10976000000,32872000000,5282000000,3888000000,1554000000,https://www.sec.gov/Archives/edgar/data/40533/000004053317000006/0000040533-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053317000006/gd-2016123110k.htm
2016-10-02,GD,2016-10-26,2016-10-26 10:41:02,Q3,2303000000,5213000000,2303000000,3502000000,3657000000,622000000,15297000000,3445000000,11581000000,715000000,12296000000,0.0,0.0,1630000000,17371000000,1630000000,32668000000,2276000000,1000000.0,0.0,0.0,9616000000,11893000000,3885000000,0.0,0.0,5573000000,9458000000,0.0,21351000000,482000000,24661000000,-2891000000,0.0,11317000000,32668000000,5213000000,3886000000,1583000000,https://www.sec.gov/Archives/edgar/data/40533/000004053316000090/0000040533-16-000090-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053316000090/gd-2016100210q.htm
2016-07-03,GD,2016-07-27,2016-07-27 10:07:14,Q2,1899000000,4996000000,1899000000,3539000000,3520000000,432000000,14386000000,3440000000,11572000000,733000000,12305000000,0.0,0.0,1638000000,17383000000,1638000000,31769000000,2128000000,537000000,0.0,0.0,9470000000,12135000000,2899000000,0.0,0.0,5740000000,8639000000,0.0,20774000000,482000000,24213000000,-2965000000,0.0,10995000000,31769000000,4996000000,3436000000,1537000000,https://www.sec.gov/Archives/edgar/data/40533/000004053316000081/0000040533-16-000081-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053316000081/gd-2016070310q.htm
2016-04-03,GD,2016-04-27,2016-04-27 10:09:09,Q1,1907000000,4705000000,1907000000,3654000000,3504000000,418000000,14188000000,3477000000,11595000000,759000000,12354000000,0.0,0.0,1683000000,17514000000,1683000000,31702000000,2150000000,501000000,0.0,0.0,9772000000,12423000000,2899000000,0.0,0.0,5798000000,8697000000,0.0,21120000000,482000000,23687000000,-2941000000,0.0,10582000000,31702000000,4705000000,3400000000,1493000000,https://www.sec.gov/Archives/edgar/data/40533/000004053316000065/0000040533-16-000065-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053316000065/gd-2016040310q.htm
2015-12-31,GD,2016-02-08,2016-02-08 11:26:07,FY,2785000000,4357000000,2785000000,3446000000,3366000000,617000000,14571000000,3466000000,11443000000,763000000,12206000000,0.0,0.0,1754000000,17426000000,1754000000,31997000000,1964000000,501000000,0.0,0.0,9980000000,12445000000,2898000000,0.0,0.0,5916000000,8814000000,0.0,21259000000,482000000,23204000000,-3286000000,0.0,10738000000,31997000000,4357000000,3399000000,614000000,https://www.sec.gov/Archives/edgar/data/40533/000004053316000056/0000040533-16-000056-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053316000056/gd-2015123110k.htm
2015-10-04,GD,2015-10-28,2015-10-28 10:15:21,Q3,3372000000,4215000000,3372000000,3796000000,3239000000,666000000,15288000000,3370000000,11533000000,800000000,12333000000,0.0,0.0,1989000000,17692000000,1989000000,32980000000,2387000000,501000000,0.0,0.0,10290000000,13178000000,2912000000,0.0,0.0,6156000000,9068000000,0.0,22246000000,482000000,22655000000,-3185000000,0.0,10734000000,32980000000,4215000000,3413000000,41000000,https://www.sec.gov/Archives/edgar/data/40533/000004053315000046/0000040533-15-000046-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053315000046/gd-2015100410q.htm
