date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,GILD,2020-05-06,2020-05-05 19:03:19,Q1,10051000000,10734000000,20785000000,3907000000,986000000,1272000000,26950000000,4564000000,4117000000,13502000000,17619000000,3529000000,0.0,7079000000,32791000000,0.0,59741000000,590000000,1999000000,5595000000,0.0,6290000000,8879000000,22098000000,0.0,5595000000,990000000,28683000000,112000000,37674000000,1000000.0,18709000000,46000000,3311000000,22067000000,59741000000,14263000000,24097000000,14046000000,https://www.sec.gov/Archives/edgar/data/882095/000088209520000013/0000882095-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209520000013/q120form10-q.htm
2019-12-31,GILD,2020-02-25,2020-02-24 17:38:25,FY,11631000000,12721000000,24352000000,3582000000,922000000,1440000000,30296000000,4502000000,4117000000,13786000000,17903000000,1488000000,3138000000,4300000000,31331000000,0.0,61627000000,713000000,2499000000,287000000,0.0,6260000000,9759000000,22094000000,0.0,6115000000,1009000000,29218000000,125000000,39102000000,1000000.0,19388000000,85000000,3051000000,22525000000,61627000000,14209000000,24593000000,12962000000,https://www.sec.gov/Archives/edgar/data/882095/000088209520000006/0000882095-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209520000006/a2019form10-k.htm
2019-09-30,GILD,2019-11-05,2019-11-05 17:16:04,Q3,9474000000,13382000000,22856000000,3315000000,882000000,1308000000,28361000000,4377000000,4117000000,14864000000,18981000000,2195000000,0.0,5232000000,30785000000,0.0,59146000000,632000000,2498000000,5852000000,0.0,6437000000,9567000000,22090000000,0.0,5852000000,901000000,28843000000,132000000,38542000000,1000000.0,17616000000,117000000,2870000000,20604000000,59146000000,15577000000,24588000000,15114000000,https://www.sec.gov/Archives/edgar/data/882095/000088209519000027/0000882095-19-000027-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209519000027/q319form10-q.htm
2019-06-30,GILD,2019-08-06,2019-08-06 16:26:19,Q2,11240000000,15943000000,27183000000,3396000000,884000000,2264000000,33727000000,4249000000,4117000000,15152000000,19269000000,3051000000,0.0,2914000000,29483000000,0.0,63210000000,617000000,1999000000,5837000000,0.0,6345000000,8961000000,24084000000,0.0,5837000000,1577000000,31498000000,135000000,40594000000,1000000.0,19829000000,102000000,2684000000,22616000000,63210000000,18994000000,26083000000,14843000000,https://www.sec.gov/Archives/edgar/data/882095/000088209519000020/0000882095-19-000020-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209519000020/q219form10-q.htm
2019-03-31,GILD,2019-05-08,2019-05-07 19:16:59,Q1,16927000000,10977000000,27904000000,3283000000,898000000,1939000000,34024000000,4116000000,4117000000,15438000000,19555000000,2221000000,0.0,2921000000,28813000000,0.0,62837000000,577000000,2498000000,5809000000,0.0,6322000000,9397000000,24080000000,0.0,5809000000,1460000000,31349000000,140000000,40886000000,1000000.0,19326000000,130000000,2494000000,21951000000,62837000000,13198000000,26578000000,9651000000,https://www.sec.gov/Archives/edgar/data/882095/000088209519000014/0000882095-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209519000014/q119form10-q.htm
2018-12-31,GILD,2019-02-26,2019-02-25 20:02:58,FY,17940000000,12149000000,30089000000,3327000000,814000000,1606000000,35836000000,4006000000,4117000000,15738000000,19855000000,1423000000,1209000000,1346000000,27839000000,0.0,63675000000,790000000,2748000000,190000000,0.0,6877000000,10605000000,24574000000,0.0,5922000000,1040000000,31536000000,147000000,42288000000,1000000.0,19024000000,80000000,2282000000,21387000000,63675000000,13572000000,27322000000,9382000000,https://www.sec.gov/Archives/edgar/data/882095/000088209519000006/0000882095-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209519000006/a2018form10-k.htm
2018-09-30,GILD,2018-11-06,2018-11-06 16:14:13,Q3,14569000000,13897000000,28466000000,3465000000,816000000,2171000000,34918000000,3791000000,4117000000,16314000000,20431000000,2378000000,0.0,2787000000,29387000000,0.0,64305000000,580000000,2747000000,17000000,0.0,6772000000,10116000000,24570000000,0.0,6018000000,594000000,31182000000,146000000,41444000000,1000000.0,20706000000,36000000,2118000000,22861000000,64305000000,16275000000,27317000000,12748000000,https://www.sec.gov/Archives/edgar/data/882095/000088209518000029/0000882095-18-000029-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209518000029/q318form10-q.htm
2018-06-30,GILD,2018-08-06,2018-08-06 16:16:07,Q2,13234000000,12683000000,25917000000,3541000000,859000000,2411000000,32728000000,3659000000,4124000000,16496000000,20620000000,5739000000,0.0,2609000000,32627000000,0.0,65355000000,623000000,2998000000,17000000,0.0,7274000000,10912000000,26062000000,0.0,6001000000,646000000,32709000000,62000000,43683000000,1000000.0,19825000000,2000000.0,1844000000,21672000000,65355000000,18422000000,29060000000,15826000000,https://www.sec.gov/Archives/edgar/data/882095/000088209518000022/0000882095-18-000022-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209518000022/q218form10-q.htm
2018-03-31,GILD,2018-05-09,2018-05-08 18:54:26,Q1,7643000000,16355000000,23998000000,3775000000,885000000,1600000000,30258000000,3415000000,4159000000,16803000000,20962000000,8104000000,0.0,2642000000,35123000000,0.0,65381000000,711000000,2497000000,66000000,0.0,7396000000,10670000000,26557000000,0.0,6832000000,671000000,34060000000,60000000,44790000000,1000000.0,19196000000,-170000000,1564000000,20591000000,65381000000,24459000000,29054000000,21411000000,https://www.sec.gov/Archives/edgar/data/882095/000088209518000015/0000882095-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209518000015/q118form10-q.htm
2017-12-31,GILD,2018-02-27,2018-02-26 17:57:33,FY,7588000000,17922000000,25510000000,3851000000,801000000,1661000000,31823000000,3295000000,4159000000,17100000000,21259000000,11184000000,1139000000,1583000000,38460000000,0.0,70283000000,814000000,2747000000,713000000,0.0,7361000000,11635000000,30795000000,0.0,6794000000,558000000,38147000000,59000000,49841000000,1000000.0,19012000000,165000000,1264000000,20442000000,70283000000,29106000000,33542000000,25954000000,https://www.sec.gov/Archives/edgar/data/882095/000088209518000008/0000882095-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/882095/000088209518000008/a2017form10-k.htm
