date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020/3/31,GOOGL,2020/4/29,2020/4/28 18:52,Q1,19644000000,97585000000,1.17229E+11,21825000000,889000000,7075000000,1.47018E+11,11219000000,20734000000,1840000000,22574000000,12367000000,730000000,79495000000,1.26385E+11,0,2.73403E+11,4099000000,350000000,913000000,1938000000,32889000000,40189000000,5016000000,350000000,2079000000,2427000000,9872000000,19683000000,69744000000,0.001,1.51068E+11,-1097000000,53688000000,2.03659E+11,2.73403E+11,1.09952E+11,5366000000,-14278000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000021/0001652044-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000021/goog-20200331.htm
2019/12/31,GOOGL,2020/2/4,2020/2/3 21:03,FY,18498000000,1.01177E+11,1.19675E+11,25326000000,999000000,6578000000,1.52578E+11,10941000000,20624000000,1979000000,22603000000,13078000000,721000000,75988000000,1.23331E+11,0,2.75909E+11,5561000000,358000000,274000000,1908000000,37120000000,45221000000,4554000000,358000000,1701000000,2534000000,9147000000,20099000000,74467000000,0.001,1.52122E+11,-1232000000,50552000000,2.01442E+11,2.75909E+11,1.14255E+11,4912000000,-13586000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000008/0001652044-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000008/goog10-k2019.htm
2019/9/30,GOOGL,2019/10/29,2019/10/28 19:02,Q3,16032000000,1.05145E+11,1.21177E+11,20889000000,1401000000,4891000000,1.48358E+11,69252000000,18069000000,1747000000,19816000000,12488000000,564000000,12566000000,1.14686E+11,0,2.63044E+11,4142000000,364000000,131000000,1679000000,32908000000,39224000000,4082000000,364000000,1747000000,1637000000,7830000000,21021000000,68075000000,0.001,1.47125E+11,-1196000000,49040000000,1.94969E+11,2.63044E+11,1.17633E+11,4446000000,-11586000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204419000032/0001652044-19-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204419000032/goog10-qq32019.htm
2019/6/30,GOOGL,2019/7/26,2019/7/25 18:11,Q2,16587000000,1.04469E+11,1.21056E+11,20965000000,964000000,4452000000,1.47437E+11,64891000000,18000000000,1902000000,19902000000,12112000000,585000000,12174000000,1.09664E+11,0,2.57101E+11,3925000000,387000000,536000000,1717000000,30435000000,37000000000,4074000000,387000000,1892000000,1499000000,7852000000,20057000000,64909000000,0.001,1.45346E+11,-1091000000,47937000000,1.92192E+11,2.57101E+11,1.16581E+11,4461000000,-12126000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204419000023/0001652044-19-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204419000023/goog10-qq22019.htm
2019/3/31,GOOGL,2019/4/30,2019/4/29 19:32,Q1,19148000000,94340000000,1.13488E+11,19149000000,1053000000,4517000000,1.38207E+11,60528000000,17943000000,2063000000,20006000000,14474000000,750000000,11384000000,1.07142E+11,0,2.45349E+11,3710000000,391000000,761000000,1667000000,28381000000,34910000000,4066000000,391000000,1282000000,1417000000,7156000000,19811000000,61877000000,0.001,1.3872E+11,-1780000000,46532000000,1.83472E+11,2.45349E+11,1.08814E+11,4457000000,-14691000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204419000015/0001652044-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204419000015/goog10-qq12019.htm
2018/12/31,GOOGL,2019/2/5,2019/2/4 21:06,FY,16701000000,92439000000,1.0914E+11,20838000000,1107000000,4591000000,1.35676E+11,59719000000,17888000000,2220000000,20108000000,13859000000,737000000,2693000000,97116000000,0,2.32792E+11,4378000000,396000000,69000000,1784000000,27993000000,34620000000,4012000000,396000000,1264000000,3545000000,9217000000,11327000000,55164000000,0.001,1.34885E+11,-2306000000,45049000000,1.77628E+11,2.32792E+11,1.06298E+11,4408000000,-12293000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204419000004/0001652044-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204419000004/goog10-kq42018.htm
2018/9/30,GOOGL,2018/10/26,2018/10/25 17:41,Q3,13443000000,92973000000,1.06416E+11,17897000000,1212000000,4177000000,1.29702E+11,55300000000,17895000000,2448000000,20343000000,12673000000,682000000,2838000000,91836000000,0,2.21538E+11,3789000000,317000000,11562000000,1752000000,25443000000,31301000000,3986000000,317000000,1318000000,3214000000,8835000000,11562000000,51698000000,0.001,1.28405E+11,-1676000000,43111000000,1.6984E+11,2.21538E+11,1.05646E+11,4303000000,-9140000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204418000035/0001652044-18-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204418000035/goog10-qq32018.htm
2018/6/30,GOOGL,2018/7/24,2018/7/23 21:02,Q2,14148000000,88106000000,1.02254E+11,17043000000,698000000,4162000000,1.24157E+11,51672000000,17895000000,2662000000,20557000000,11487000000,685000000,3052000000,87453000000,0,2.1161E+11,3369000000,358000000,1189000000,1714000000,23273000000,29903000000,3981000000,358000000,479000000,3237000000,8055000000,11652000000,49610000000,0.001,1.21282E+11,-1525000000,42243000000,1.62E+11,2.1161E+11,99593000000,4339000000,-9809000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204418000027/0001652044-18-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204418000027/goog10-qq22018.htm
2018/3/31,GOOGL,2018/4/24,2018/4/23 18:54,Q1,12658000000,90227000000,1.02885E+11,16777000000,636000000,3463000000,1.23761E+11,48845000000,17862000000,2809000000,20671000000,10976000000,678000000,2004000000,83174000000,0,2.06935E+11,3526000000,1329000000,1343000000,1596000000,17600000000,25394000000,3973000000,315000000,394000000,3149000000,7831000000,12885000000,46110000000,0.001,1.20008E+11,-670000000,41487000000,1.60825E+11,2.06935E+11,1.01203E+11,5302000000,-7356000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204418000016/0001652044-18-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204418000016/goog10-qq12018.htm
2017/12/31,GOOGL,2018/2/6,2018/2/5 20:46,FY,10715000000,91156000000,1.01871E+11,18336000000,749000000,3352000000,1.24308E+11,42383000000,16747000000,2692000000,19439000000,7813000000,680000000,2672000000,72987000000,0,1.97295E+11,3137000000,0,881000000,1432000000,18733000000,24183000000,3969000000,340000000,430000000,3059000000,7798000000,12812000000,44793000000,0.001,1.13247E+11,-992000000,40247000000,1.52502E+11,1.97295E+11,98969000000,3969000000,-6746000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204418000007/0001652044-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204418000007/goog10-kq42017.htm
