date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,GS,2020-05-01,2020-04-30 19:30:05,Q1,105489000000,0.0,105489000000,0.0,0.0,0.0,105489000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,984267000000,1089756000000,0.0,37148000000,0.0,0.0,0.0,37148000000,225476000000,0.0,0.0,0.0,225476000000,0.0,997377000000,9000000.0,106501000000,1937000000,0.0,92379000000,1089756000000,0.0,262624000000,157135000000,https://www.sec.gov/Archives/edgar/data/886982/000119312520129324/0001193125-20-129324-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312520129324/d907802d10q.htm
2019-12-31,GS,2020-02-21,2020-02-20 21:09:56,FY,133546000000,57827000000,191373000000,0.0,0.0,0.0,191373000000,0.0,0.0,0.0,0.0,0.0,0.0,801595000000,801595000000,859422000000,992968000000,0.0,48287000000,0.0,0.0,0.0,48287000000,207076000000,0.0,0.0,0.0,207076000000,695627000000,902703000000,9000000.0,106465000000,-1484000000,0.0,90265000000,992968000000,57827000000,207076000000,73530000000,https://www.sec.gov/Archives/edgar/data/886982/000119312520043853/0001193125-20-043853-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312520043853/d826673d10k.htm
2019-09-30,GS,2019-11-01,2019-10-31 18:43:06,Q3,94094000000,0.0,94094000000,0.0,0.0,0.0,94094000000,0.0,0.0,0.0,0.0,0.0,0.0,913226000000,913226000000,913226000000,1007320000000,0.0,51958000000,0.0,0.0,0.0,51958000000,216878000000,0.0,0.0,0.0,216878000000,698430000000,915308000000,9000000.0,105194000000,-484000000,902601000000,92012000000,1007320000000,0.0,216878000000,122784000000,https://www.sec.gov/Archives/edgar/data/886982/000119312519280752/0001193125-19-280752-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312519280752/d790566d10q.htm
2019-06-30,GS,2019-08-05,2019-08-05 08:42:44,Q2,91092000000,0.0,91092000000,0.0,0.0,0.0,91092000000,0.0,0.0,0.0,0.0,0.0,0.0,853811000000,853811000000,853811000000,944903000000,0.0,49643000000,0.0,0.0,0.0,49643000000,221145000000,0.0,0.0,0.0,221145000000,632866000000,854011000000,9000000.0,103867000000,-815000000,0.0,90892000000,944903000000,0.0,221145000000,130053000000,https://www.sec.gov/Archives/edgar/data/886982/000119312519212578/0001193125-19-212578-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312519212578/d105283d10q.htm
2019-03-31,GS,2019-05-06,2019-05-03 20:02:30,Q1,87884000000,0.0,87884000000,0.0,0.0,0.0,87884000000,0.0,0.0,0.0,0.0,0.0,0.0,837465000000,837465000000,837465000000,925349000000,0.0,45432000000,0.0,0.0,0.0,45432000000,224473000000,0.0,0.0,0.0,224473000000,610603000000,835076000000,9000000.0,101988000000,-613000000,0.0,90273000000,925349000000,0.0,224473000000,136589000000,https://www.sec.gov/Archives/edgar/data/886982/000119312519137184/0001193125-19-137184-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312519137184/d729034d10q.htm
2018-12-31,GS,2019-02-26,2019-02-25 19:51:24,FY,130547000000,0.0,130547000000,0.0,0.0,0.0,130547000000,0.0,0.0,0.0,0.0,0.0,0.0,801249000000,801249000000,801249000000,931796000000,0.0,40502000000,0.0,0.0,0.0,40502000000,224149000000,0.0,0.0,0.0,224149000000,617462000000,841611000000,9000000.0,100100000000,693000000,0.0,90185000000,931796000000,0.0,224149000000,93602000000,https://www.sec.gov/Archives/edgar/data/886982/000119312519050198/0001193125-19-050198-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312519050198/d669877d10k.htm
2018-09-30,GS,2018-11-02,2018-11-02 17:09:30,Q3,118871000000,0.0,118871000000,0.0,0.0,0.0,118871000000,0.0,0.0,0.0,0.0,0.0,0.0,838319000000,838319000000,838319000000,957190000000,0.0,41735000000,0.0,0.0,0.0,41735000000,229387000000,0.0,0.0,0.0,229387000000,641041000000,870428000000,9000000.0,98083000000,-1839000000,0.0,86762000000,957190000000,0.0,229387000000,110516000000,https://www.sec.gov/Archives/edgar/data/886982/000119312518317325/0001193125-18-317325-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312518317325/d631824d10q.htm
2018-06-30,GS,2018-08-03,2018-08-02 19:39:19,Q2,131417000000,0.0,131417000000,0.0,0.0,0.0,131417000000,0.0,0.0,0.0,0.0,0.0,0.0,837193000000,837193000000,837193000000,968610000000,0.0,44390000000,0.0,0.0,0.0,44390000000,227354000000,0.0,0.0,0.0,227354000000,654657000000,882011000000,9000000.0,95941000000,-958000000,0.0,86599000000,968610000000,0.0,227354000000,95937000000,https://www.sec.gov/Archives/edgar/data/886982/000119312518236920/0001193125-18-236920-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312518236920/d352886d10q.htm
2018-03-31,GS,2018-05-04,2018-05-03 19:19:58,Q1,120503000000,0.0,120503000000,0.0,0.0,0.0,120503000000,0.0,0.0,0.0,0.0,0.0,0.0,853032000000,853032000000,853032000000,973535000000,0.0,47760000000,0.0,0.0,0.0,47760000000,225899000000,0.0,0.0,0.0,225899000000,664057000000,889956000000,9000000.0,93907000000,-1770000000,0.0,83579000000,973535000000,0.0,225899000000,105396000000,https://www.sec.gov/Archives/edgar/data/886982/000119312518151188/0001193125-18-151188-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312518151188/d535211d10q.htm
2017-12-31,GS,2018-02-26,2018-02-23 20:16:10,FY,110051000000,0.0,110051000000,0.0,0.0,0.0,110051000000,0.0,0.0,0.0,0.0,0.0,0.0,806725000000,806725000000,806725000000,916776000000,0.0,46922000000,0.0,0.0,0.0,46922000000,217687000000,0.0,0.0,0.0,217687000000,616846000000,834533000000,9000000.0,91519000000,-1880000000,0.0,82243000000,916776000000,0.0,217687000000,107636000000,https://www.sec.gov/Archives/edgar/data/886982/000119312518056383/0001193125-18-056383-index.htm,https://www.sec.gov/Archives/edgar/data/886982/000119312518056383/d480167d10k.htm
