date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-05-03,HD,2020-05-27,2020-05-26 19:59:23,Q1,8696000000,0.0,8696000000,0.0,14989000000,3592000000,27277000000,22697000000,2220000000,0.0,2220000000,0.0,0.0,0.0,24917000000,6543000000,58737000000,10056000000,853000000,855000000,2179000000,10260000000,23348000000,4200000000,0.0,0.0,2182000000,6382000000,0.0,62227000000,89000000,52354000000,-1148000000,0.0,-3490000000,58737000000,0.0,35822000000,27126000000,https://www.sec.gov/Archives/edgar/data/354950/000035495020000041/0000354950-20-000041-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495020000041/hd-20200503.htm
2020-02-02,HD,2020-03-25,2020-03-25 16:41:53,FY,2133000000,0.0,2133000000,2106000000,14531000000,1040000000,19810000000,5595000000,2254000000,0.0,2254000000,0.0,2451000000,23380000000,31426000000,6402000000,51236000000,7787000000,1839000000,55000000,2116000000,6578000000,18375000000,1839000000,0.0,706000000,1535000000,30911000000,5066000000,54352000000,89000000,51729000000,-739000000,0.0,-3116000000,51236000000,0.0,30509000000,28376000000,https://www.sec.gov/Archives/edgar/data/354950/000035495020000015/0000354950-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495020000015/hd10k02022020.htm
2019-11-03,HD,2019-11-26,2019-11-25 17:56:16,Q3,2193000000,0.0,2193000000,2231000000,15711000000,1039000000,21174000000,22472000000,2253000000,0.0,2253000000,0.0,0.0,8663000000,31135000000,6410000000,52309000000,9240000000,1818000000,686000000,2121000000,6386000000,19565000000,1818000000,0.0,0.0,2116000000,28713000000,5113000000,53391000000,89000000,50729000000,-801000000,0.0,-1082000000,52309000000,0.0,28415000000,26222000000,https://www.sec.gov/Archives/edgar/data/354950/000035495019000066/0000354950-19-000066-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495019000066/hd10q11032019.htm
2019-08-04,HD,2019-08-27,2019-08-26 18:07:04,Q2,2547000000,0.0,2547000000,2274000000,14741000000,1137000000,20699000000,22387000000,2254000000,0.0,2254000000,0.0,0.0,8924000000,31311000000,0.0,52010000000,9494000000,1315000000,766000000,2233000000,5756000000,18798000000,1315000000,0.0,0.0,2045000000,29109000000,5263000000,53170000000,89000000,49446000000,-776000000,0.0,-1160000000,52010000000,0.0,28379000000,25832000000,https://www.sec.gov/Archives/edgar/data/354950/000035495019000057/0000354950-19-000057-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495019000057/hd10q08042019.htm
2019-05-05,HD,2019-05-29,2019-05-28 18:14:51,Q1,1882000000,0.0,1882000000,2317000000,15495000000,859000000,20553000000,22270000000,2250000000,0.0,2250000000,0.0,0.0,8692000000,30962000000,6442000000,51515000000,10311000000,1084000000,789000000,2015000000,6263000000,19673000000,1084000000,0.0,0.0,2036000000,28840000000,5145000000,53658000000,89000000,47459000000,-835000000,0.0,-2143000000,51515000000,0.0,27888000000,26006000000,https://www.sec.gov/Archives/edgar/data/354950/000035495019000024/0000354950-19-000024-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495019000024/hd_10qx05052019.htm
2019-02-03,HD,2019-03-28,2019-03-28 16:42:29,FY,1778000000,0.0,1778000000,1936000000,13925000000,890000000,18529000000,22375000000,2252000000,0.0,2252000000,0.0,941000000,2158000000,25474000000,847000000,44003000000,7755000000,1056000000,11000000,1782000000,6112000000,16716000000,1056000000,0.0,491000000,1867000000,29165000000,0.0,45881000000,89000000,46423000000,-772000000,0.0,-1878000000,44003000000,0.0,27863000000,26085000000,https://www.sec.gov/Archives/edgar/data/354950/000035495019000010/0000354950-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495019000010/hd_10kx02032019.htm
2018-10-28,HD,2018-11-20,2018-11-19 17:59:21,Q3,1764000000,0.0,1764000000,2171000000,14754000000,1120000000,19809000000,22054000000,2258000000,0.0,2258000000,0.0,0.0,3337000000,25391000000,1079000000,45200000000,9054000000,1054000000,652000000,1858000000,6230000000,18196000000,1054000000,0.0,0.0,2352000000,25684000000,0.0,43880000000,89000000,45235000000,-717000000,0.0,1320000000,45200000000,0.0,24386000000,22622000000,https://www.sec.gov/Archives/edgar/data/354950/000035495018000065/0000354950-18-000065-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495018000065/hd_10qx10282018.htm
2018-07-29,HD,2018-08-21,2018-08-20 18:39:10,Q2,3490000000,0.0,3490000000,2164000000,14044000000,1104000000,20802000000,21909000000,2251000000,0.0,2251000000,0.0,0.0,3521000000,25430000000,1270000000,46232000000,9407000000,2203000000,750000000,1989000000,4827000000,18426000000,2203000000,0.0,0.0,2502000000,25797000000,0.0,44223000000,89000000,43543000000,-774000000,3374000000,2009000000,46232000000,0.0,25498000000,22008000000,https://www.sec.gov/Archives/edgar/data/354950/000035495018000051/0000354950-18-000051-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495018000051/hd_10qx07292018.htm
2018-04-29,HD,2018-05-22,2018-05-21 18:12:31,Q1,3599000000,0.0,3599000000,2296000000,14432000000,887000000,21214000000,21928000000,2281000000,0.0,2281000000,0.0,0.0,3508000000,25436000000,1227000000,46650000000,9726000000,1199000000,730000000,1911000000,5297000000,18133000000,1199000000,0.0,0.0,2586000000,26830000000,0.0,44963000000,89000000,41221000000,-596000000,0.0,1687000000,46650000000,0.0,25443000000,21844000000,https://www.sec.gov/Archives/edgar/data/354950/000035495018000034/0000354950-18-000034-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495018000034/hd_10qx04292018.htm
2018-01-28,HD,2018-03-22,2018-03-22 16:56:00,FY,3595000000,0.0,3595000000,1952000000,12748000000,638000000,18933000000,22075000000,2275000000,0.0,2275000000,0.0,952000000,2569000000,25596000000,1246000000,44529000000,7244000000,1202000000,54000000,1805000000,5889000000,16194000000,1202000000,0.0,440000000,2174000000,26881000000,0.0,43075000000,89000000,39935000000,-566000000,0.0,1454000000,44529000000,0.0,25469000000,21874000000,https://www.sec.gov/Archives/edgar/data/354950/000035495018000019/0000354950-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495018000019/hd_10k01282018.htm
