date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,HON,2020-05-01,2020-05-01 09:34:13,Q1,7721000000,1070000000,8791000000,7452000000,4584000000,1786000000,22613000000,5214000000,15282000000,3580000000,18862000000,0.0,71000000,10662000000,34809000000,10733000000,57422000000,5676000000,1042000000,0.0,71000000,10659000000,17377000000,11542000000,0.0,1670000000,6699000000,19911000000,2490000000,39778000000,958000000,38635000000,-3353000000,0.0,17644000000,57422000000,1070000000,12584000000,4863000000,https://www.sec.gov/Archives/edgar/data/773840/000077384020000025/0000773840-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384020000025/hon0331202010q.htm
2019-12-31,HON,2020-02-14,2020-02-14 13:25:35,FY,9067000000,1349000000,10416000000,7493000000,4421000000,1973000000,24303000000,5325000000,15563000000,3734000000,19297000000,0.0,86000000,9668000000,34376000000,9754000000,58679000000,5730000000,1376000000,0.0,86000000,10992000000,18098000000,11110000000,0.0,1670000000,6766000000,19546000000,2541000000,40185000000,958000000,37693000000,-3197000000,0.0,18494000000,58679000000,1349000000,12486000000,3419000000,https://www.sec.gov/Archives/edgar/data/773840/000077384020000009/0000773840-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384020000009/hon1231201910k.htm
2019-09-30,HON,2019-10-17,2019-10-17 09:06:47,Q3,10908000000,1456000000,12364000000,7583000000,4601000000,1640000000,26188000000,5240000000,15426000000,3787000000,19213000000,0.0,241000000,9222000000,33916000000,9463000000,60104000000,5522000000,4088000000,0.0,241000000,10305000000,19915000000,11101000000,0.0,1366000000,6885000000,19352000000,2728000000,41995000000,958000000,36775000000,-3295000000,0.0,18109000000,60104000000,1456000000,15189000000,4281000000,https://www.sec.gov/Archives/edgar/data/773840/000077384019000026/0000773840-19-000026-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384019000026/hon0930201910q.htm
2019-06-30,HON,2019-07-18,2019-07-18 08:29:25,Q2,8225000000,1718000000,9943000000,7407000000,4600000000,1818000000,23768000000,5260000000,15573000000,3933000000,19506000000,0.0,259000000,8957000000,33982000000,9216000000,57750000000,5602000000,4017000000,0.0,259000000,10275000000,19894000000,8608000000,0.0,1722000000,6907000000,17237000000,2749000000,39880000000,958000000,35741000000,-3453000000,0.0,17870000000,57750000000,1718000000,12625000000,4400000000,https://www.sec.gov/Archives/edgar/data/773840/000077384019000013/0000773840-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384019000013/hon0630201910q.htm
2019-03-31,HON,2019-04-18,2019-04-18 08:30:42,Q1,8625000000,2059000000,10684000000,7307000000,4548000000,1795000000,24334000000,5276000000,15555000000,4039000000,19594000000,0.0,362000000,8994000000,34226000000,9356000000,58560000000,5582000000,4000000000,0.0,362000000,10011000000,19593000000,8598000000,0.0,1850000000,6977000000,17425000000,2775000000,39793000000,958000000,34794000000,-3245000000,0.0,18767000000,58560000000,2059000000,12598000000,3973000000,https://www.sec.gov/Archives/edgar/data/773840/000162828019004415/0001628280-19-004415-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000162828019004415/hon0331201910q.htm
2018-12-31,HON,2019-02-08,2019-02-08 14:09:10,FY,9287000000,1623000000,9287000000,7508000000,4326000000,1618000000,24362000000,5296000000,15546000000,4139000000,19685000000,0.0,382000000,8048000000,33411000000,8430000000,57773000000,5607000000,2872000000,0.0,382000000,10445000000,18924000000,9756000000,0.0,1713000000,6402000000,17871000000,2798000000,39593000000,958000000,33978000000,-3437000000,0.0,18180000000,57773000000,1623000000,12628000000,3341000000,https://www.sec.gov/Archives/edgar/data/773840/000093041319000366/0000930413-19-000366-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041319000366/c92779_10k.htm
2018-09-30,HON,2018-10-19,2018-10-19 09:08:08,Q3,9803000000,1850000000,11653000000,8568000000,5061000000,1346000000,26628000000,5966000000,18186000000,4202000000,22388000000,0.0,376000000,6569000000,35299000000,6945000000,61927000000,7050000000,215000000,0.0,376000000,10635000000,17900000000,14059000000,0.0,1905000000,6948000000,22912000000,2876000000,43688000000,958000000,31110000000,-2125000000,0.0,18239000000,61927000000,1850000000,14274000000,4471000000,https://www.sec.gov/Archives/edgar/data/773840/000093041318003111/0000930413-18-003111-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041318003111/c92183_10q.htm
2018-06-30,HON,2018-07-20,2018-07-20 11:08:44,Q2,8082000000,1768000000,9850000000,8600000000,4792000000,1537000000,24779000000,5968000000,18137000000,4261000000,22398000000,0.0,355000000,6360000000,35081000000,6715000000,59860000000,6808000000,133000000,0.0,355000000,11077000000,18018000000,12504000000,0.0,2751000000,7134000000,22389000000,1853000000,42260000000,958000000,30104000000,-2222000000,0.0,17600000000,59860000000,1768000000,12637000000,4555000000,https://www.sec.gov/Archives/edgar/data/773840/000093041318002303/0000930413-18-002303-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041318002303/c91619_10q.htm
2018-03-31,HON,2018-04-20,2018-04-20 13:15:24,Q1,7897000000,2383000000,10280000000,8778000000,4766000000,1763000000,25587000000,6083000000,18520000000,4462000000,22982000000,0.0,402000000,5894000000,35361000000,6296000000,60948000000,6641000000,143000000,0.0,402000000,11971000000,18755000000,12738000000,0.0,2782000000,7221000000,22741000000,1857000000,43353000000,958000000,29395000000,-2174000000,0.0,17595000000,60948000000,2383000000,12881000000,4984000000,https://www.sec.gov/Archives/edgar/data/773840/000093041318001371/0000930413-18-001371-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041318001371/c90468_10q.htm
2017-12-31,HON,2018-02-09,2018-02-09 14:29:41,FY,7059000000,3758000000,7059000000,8866000000,4613000000,1706000000,26002000000,5926000000,18277000000,4496000000,22773000000,0.0,236000000,4450000000,33385000000,4686000000,59387000000,6584000000,1351000000,0.0,236000000,10926000000,18861000000,12573000000,0.0,2894000000,5930000000,21397000000,1853000000,42111000000,958000000,28255000000,-2235000000,0.0,17276000000,59387000000,3758000000,13924000000,6865000000,https://www.sec.gov/Archives/edgar/data/773840/000093041318000292/0000930413-18-000292-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041318000292/c89913_10k.htm
