date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,IBM,2020-04-28,2020-04-28 16:24:43,Q1,11218000000,647000000,11865000000,6927000000,1786000000,18353000000,38931000000,9626000000,57517000000,14666000000,72183000000,7708000000,8782000000,16173000000,114472000000,10553000000,153403000000,4172000000,1327000000,2348000000,13377000000,19449000000,40673000000,52685000000,3769000000,0.0,15874000000,72328000000,20403000000,133404000000,0.2,162626000000,-29283000000,0.0,19999000000,153403000000,8355000000,54012000000,42794000000,https://www.sec.gov/Archives/edgar/data/51143/000155837020004491/0001558370-20-004491-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837020004491/ibm-20200331x10q.htm
2019-12-31,IBM,2020-02-25,2020-02-25 16:54:20,FY,8172000000,696000000,8868000000,7870000000,1619000000,20063000000,38420000000,10010000000,58222000000,15235000000,73457000000,8712000000,5182000000,16405000000,113766000000,7585000000,152186000000,4896000000,1380000000,2839000000,12026000000,16560000000,37701000000,54102000000,3851000000,0.0,14526000000,72479000000,21165000000,131345000000,0.2,162954000000,-28597000000,0.0,20841000000,152186000000,9408000000,55482000000,47310000000,https://www.sec.gov/Archives/edgar/data/51143/000155837020001334/0001558370-20-001334-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837020001334/ibm-20191231x10k2af531.htm
2019-09-30,IBM,2019-10-29,2019-10-29 19:37:08,Q3,10087000000,733000000,10820000000,6753000000,1712000000,18836000000,38121000000,10063000000,57951000000,15613000000,73564000000,7739000000,4994000000,15139000000,111499000000,5532000000,149620000000,4042000000,1377000000,2154000000,11223000000,16270000000,35066000000,57797000000,3382000000,0.0,15564000000,76743000000,19855000000,131664000000,0.2,160709000000,-29086000000,0.0,17956000000,149620000000,8472000000,59174000000,49087000000,https://www.sec.gov/Archives/edgar/data/51143/000155837019009324/0001558370-19-009324-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837019009324/ibm-20190930x10q.htm
2019-06-30,IBM,2019-07-30,2019-07-30 16:26:01,Q2,45399000000,874000000,46273000000,7414000000,1745000000,22085000000,77517000000,10202000000,35284000000,2728000000,38012000000,8441000000,5274000000,15206000000,77135000000,6406000000,154652000000,4724000000,1319000000,2439000000,11261000000,22608000000,42351000000,58445000000,3474000000,0.0,12190000000,74109000000,20547000000,137007000000,0.2,160467000000,-28841000000,0.0,17645000000,154652000000,9315000000,59764000000,14365000000,https://www.sec.gov/Archives/edgar/data/51143/000155837019006560/0001558370-19-006560-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837019006560/ibm-20190630x10q.htm
2019-03-31,IBM,2019-04-30,2019-04-30 16:21:56,Q1,17134000000,872000000,18006000000,6987000000,1771000000,25941000000,52705000000,10675000000,36281000000,2956000000,39237000000,8361000000,5284000000,14664000000,78221000000,5420000000,130926000000,5711000000,1313000000,2484000000,12134000000,17229000000,38871000000,39727000000,3481000000,3481000000,12184000000,58873000000,16701000000,114445000000,0.2,159396000000,-29182000000,0.0,16481000000,130926000000,9233000000,41040000000,23906000000,https://www.sec.gov/Archives/edgar/data/51143/000110465919025328/0001104659-19-025328-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000110465919025328/a19-6867_110q.htm
2018-12-31,IBM,2019-02-26,2019-02-26 16:27:59,FY,11379000000,618000000,11997000000,7432000000,1682000000,28035000000,49146000000,10792000000,36265000000,3087000000,39352000000,9148000000,5216000000,9728000000,74236000000,1806000000,123382000000,6558000000,10207000000,3046000000,11165000000,7251000000,38227000000,35605000000,3445000000,3445000000,12174000000,54669000000,13690000000,106586000000,0.2,159206000000,-29490000000,0.0,16796000000,123382000000,9766000000,45812000000,34433000000,https://www.sec.gov/Archives/edgar/data/51143/000104746919000712/0001047469-19-000712-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746919000712/a2237254z10-k.htm
2018-09-30,IBM,2018-10-30,2018-10-30 16:43:46,Q3,11563000000,2932000000,14495000000,7071000000,1893000000,24798000000,48257000000,10949000000,36526000000,3134000000,39660000000,8179000000,4436000000,10509000000,73733000000,0.0,121990000000,5384000000,10932000000,2502000000,10704000000,7300000000,36822000000,35989000000,3507000000,3507000000,9979000000,52982000000,12402000000,102206000000,0.2,158612000000,-27820000000,0.0,19784000000,121990000000,11111000000,46921000000,35358000000,https://www.sec.gov/Archives/edgar/data/51143/000110465918064673/0001104659-18-064673-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000110465918064673/a18-19046_110q.htm
2018-06-30,IBM,2018-07-31,2018-07-31 16:10:57,Q2,10741000000,966000000,11707000000,7445000000,1742000000,25901000000,46795000000,11024000000,36482000000,3344000000,39826000000,8783000000,4689000000,10505000000,74827000000,1802000000,121622000000,5518000000,7646000000,2780000000,11752000000,7746000000,35442000000,37851000000,3718000000,3718000000,10000000000,55287000000,12373000000,103102000000,0.2,157349000000,-28290000000,0.0,18520000000,121622000000,9749000000,45497000000,34756000000,https://www.sec.gov/Archives/edgar/data/51143/000110465918048404/0001104659-18-048404-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000110465918048404/a18-14112_110q.htm
2018-03-31,IBM,2018-04-24,2018-04-24 16:17:32,Q1,11949000000,893000000,12842000000,7778000000,1753000000,26749000000,49122000000,11278000000,36732000000,3521000000,40253000000,8856000000,5111000000,10665000000,76163000000,2242000000,125285000000,5736000000,5977000000,2918000000,13059000000,8043000000,35733000000,40410000000,3852000000,3852000000,10250000000,58364000000,13022000000,107119000000,0.2,156371000000,-28583000000,0.0,18166000000,125285000000,9749000000,46387000000,34438000000,https://www.sec.gov/Archives/edgar/data/51143/000110465918026178/0001104659-18-026178-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000110465918026178/a18-8695_110q.htm
2017-12-31,IBM,2018-02-27,2018-02-27 17:13:57,FY,11972000000,608000000,12580000000,8928000000,1583000000,26644000000,49735000000,11116000000,36788000000,3742000000,40530000000,9550000000,4862000000,9563000000,75621000000,2152000000,125356000000,6451000000,6987000000,4219000000,11552000000,8154000000,37363000000,39837000000,3746000000,0.0,9965000000,53548000000,16851000000,107762000000,0.2,153126000000,-26592000000,0.0,17594000000,125356000000,10158000000,46824000000,34852000000,https://www.sec.gov/Archives/edgar/data/51143/000104746918001117/0001047469-18-001117-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000104746918001117/a2233835z10-k.htm
