date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-29,JNJ,2020-04-29,2020-04-29 16:46:01,Q1,15530000000,2494000000,18024000000,14874000000,8868000000,2460000000,44226000000,17401000000,33471000000,47338000000,80809000000,2494000000,7539000000,5042000000,110791000000,0.0,155017000000,7411000000,2190000000,1930000000,7539000000,22158000000,33689000000,25393000000,0.0,5766000000,10944000000,42103000000,17931000000,93723000000,3120000000,112901000000,-16243000000,0.0,61294000000,155017000000,2494000000,27583000000,12053000000,https://www.sec.gov/Archives/edgar/data/200406/000020040620000035/0000200406-20-000035-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040620000035/a1q10q03-29x20.htm
2019-12-29,JNJ,2020-02-18,2020-02-18 16:34:21,FY,17305000000,1982000000,19287000000,14481000000,9020000000,2486000000,45274000000,17658000000,33639000000,47643000000,81282000000,1982000000,7819000000,5695000000,112454000000,11532000000,157728000000,8544000000,1202000000,2266000000,7819000000,23952000000,35964000000,26494000000,0.0,5958000000,11734000000,44186000000,18107000000,98257000000,3120000000,110659000000,-15891000000,0.0,59471000000,157728000000,1982000000,27696000000,10391000000,https://www.sec.gov/Archives/edgar/data/200406/000020040620000010/0000200406-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040620000010/form10-k20191229.htm
2019-09-29,JNJ,2019-10-28,2019-10-28 16:56:09,Q3,16249000000,1696000000,17945000000,14801000000,9173000000,2414000000,44333000000,17048000000,33291000000,47846000000,81137000000,1696000000,7696000000,5307000000,111188000000,0.0,155521000000,7491000000,2299000000,2505000000,7696000000,22867000000,35162000000,26919000000,0.0,6526000000,11381000000,44826000000,17323000000,97311000000,3120000000,109242000000,-15533000000,0.0,58210000000,155521000000,1696000000,29218000000,12969000000,https://www.sec.gov/Archives/edgar/data/200406/000020040619000066/0000200406-19-000066-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040619000066/a3q10q09-29x19.htm
2019-06-30,JNJ,2019-07-29,2019-07-29 16:15:43,Q2,14376000000,902000000,15278000000,14653000000,9263000000,2605000000,41799000000,17248000000,33661000000,49332000000,82993000000,902000000,7647000000,5430000000,113318000000,0.0,155117000000,6912000000,1719000000,1701000000,7647000000,21021000000,31353000000,27699000000,0.0,7725000000,10102000000,45526000000,17453000000,94332000000,3120000000,109809000000,-14969000000,0.0,60785000000,155117000000,902000000,29418000000,15042000000,https://www.sec.gov/Archives/edgar/data/200406/000020040619000053/0000200406-19-000053-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040619000053/a2q10q06-30x19.htm
2019-03-31,JNJ,2019-05-01,2019-05-01 16:33:42,Q1,14734000000,602000000,15336000000,14115000000,9086000000,3450000000,41987000000,17000000000,31450000000,46898000000,78348000000,602000000,7533000000,5159000000,108040000000,0.0,150027000000,6923000000,1708000000,1025000000,7533000000,19455000000,29111000000,27660000000,0.0,7394000000,8928000000,43982000000,17979000000,91072000000,3120000000,106650000000,-15517000000,0.0,58955000000,150027000000,602000000,29368000000,14634000000,https://www.sec.gov/Archives/edgar/data/200406/000020040619000033/0000200406-19-000033-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040619000033/a1q10q03-31x19.htm
2018-12-30,JNJ,2019-02-20,2019-02-20 16:40:34,FY,18107000000,1580000000,19687000000,14098000000,8599000000,3649000000,46033000000,17035000000,30453000000,47611000000,78064000000,1580000000,7640000000,4182000000,106921000000,10242000000,152954000000,7537000000,2796000000,818000000,7640000000,20079000000,31230000000,27684000000,0.0,7506000000,8589000000,43779000000,18193000000,93202000000,3120000000,106216000000,-15222000000,0.0,59752000000,152954000000,1580000000,30480000000,12373000000,https://www.sec.gov/Archives/edgar/data/200406/000020040619000009/0000200406-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040619000009/form10-k20181230.htm
2018-09-30,JNJ,2018-10-31,2018-10-31 16:12:26,Q3,16056000000,3308000000,19364000000,14048000000,8678000000,5104000000,47194000000,16629000000,30702000000,48637000000,79339000000,3308000000,8076000000,4465000000,108509000000,0.0,155703000000,7000000000,1773000000,1096000000,8076000000,17568000000,27437000000,29480000000,0.0,7711000000,8538000000,45729000000,17911000000,91077000000,3120000000,107617000000,-14647000000,0.0,64626000000,155703000000,3308000000,31253000000,15197000000,https://www.sec.gov/Archives/edgar/data/200406/000020040618000055/0000200406-18-000055-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040618000055/a3q10q09-30x18.htm
2018-07-01,JNJ,2018-08-02,2018-08-01 20:08:32,Q2,17569000000,570000000,18139000000,14111000000,8810000000,4378000000,45438000000,16632000000,30346000000,50056000000,80402000000,570000000,8472000000,4421000000,109927000000,0.0,155365000000,6516000000,2678000000,928000000,8472000000,17366000000,27488000000,29405000000,0.0,7666000000,9281000000,46352000000,18636000000,92476000000,3120000000,106123000000,-14777000000,0.0,62889000000,155365000000,570000000,32083000000,14514000000,https://www.sec.gov/Archives/edgar/data/200406/000020040618000041/0000200406-18-000041-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040618000041/a2q10q07-01x18.htm
2018-04-01,JNJ,2018-05-01,2018-05-01 16:35:56,Q1,14639000000,565000000,15204000000,14166000000,9014000000,4384000000,42768000000,17040000000,31149000000,52365000000,83514000000,565000000,8785000000,4518000000,113857000000,0.0,156625000000,6443000000,2696000000,1559000000,8785000000,16383000000,27081000000,29837000000,0.0,8057000000,8876000000,46770000000,19519000000,93370000000,3120000000,104339000000,-12608000000,0.0,63255000000,156625000000,565000000,32533000000,17894000000,https://www.sec.gov/Archives/edgar/data/200406/000020040618000019/0000200406-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040618000019/a1q10q04-01x18.htm
2017-12-31,JNJ,2018-02-21,2018-02-21 16:49:20,FY,17824000000,472000000,18296000000,13490000000,8765000000,2537000000,43088000000,17005000000,31906000000,53228000000,85134000000,472000000,7105000000,4971000000,114215000000,11604000000,157303000000,7310000000,3906000000,1854000000,7105000000,17467000000,30537000000,30675000000,0.0,8368000000,9017000000,48060000000,18546000000,97143000000,3120000000,101793000000,-13199000000,0.0,60160000000,157303000000,472000000,34581000000,16757000000,https://www.sec.gov/Archives/edgar/data/200406/000020040618000005/0000200406-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040618000005/form10-k20171231.htm
