date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-27,KO,2020-04-24,2020-04-24 13:58:01,Q1,13561000000,2392000000,15274000000,4430000000,3558000000,4293000000,28234000000,10993000000,16673000000,600000000,17273000000,2392000000,2275000000,50119000000,65779000000,35121000000,94013000000,12640000000,5642000000,458000000,2275000000,13657000000,32397000000,31094000000,0.0,1856000000,8832000000,41782000000,1676000000,75855000000,1760000000,66870000000,-15696000000,0.0,18158000000,94013000000,4784000000,36736000000,23175000000,https://www.sec.gov/Archives/edgar/data/21344/000002134420000014/0000021344-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134420000014/a2020032710-q.htm
2019-12-31,KO,2020-02-24,2020-02-24 16:08:17,FY,6480000000,3228000000,7947000000,3971000000,3379000000,3353000000,20411000000,10838000000,16764000000,627000000,17391000000,3228000000,2412000000,52720000000,65970000000,34513000000,86381000000,11312000000,4253000000,414000000,2412000000,10994000000,26973000000,27516000000,0.0,2284000000,8510000000,38310000000,2117000000,67400000000,1760000000,65855000000,-13544000000,0.0,18981000000,86381000000,3228000000,31769000000,25289000000,https://www.sec.gov/Archives/edgar/data/21344/000002134420000006/0000021344-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134420000006/a2019123110-k.htm
2019-09-27,KO,2019-10-24,2019-10-24 15:19:15,Q3,7531000000,3456000000,9532000000,4353000000,3266000000,4511000000,23117000000,10217000000,16465000000,589000000,17054000000,3456000000,2452000000,51647000000,64316000000,33589000000,87433000000,12727000000,492000000,909000000,2452000000,10972000000,25100000000,31012000000,0.0,2581000000,8057000000,41650000000,1970000000,68720000000,1760000000,65481000000,-13706000000,0.0,18713000000,87433000000,3456000000,31504000000,23973000000,https://www.sec.gov/Archives/edgar/data/21344/000002134419000042/0000021344-19-000042-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134419000042/a2019092710-q.htm
2019-06-28,KO,2019-07-25,2019-07-25 16:09:30,Q2,6731000000,4058000000,9303000000,4888000000,3453000000,5230000000,24360000000,10254000000,16840000000,652000000,17492000000,4058000000,2559000000,52823000000,65636000000,33832000000,89996000000,12819000000,2749000000,784000000,2559000000,13030000000,29382000000,29296000000,0.0,2687000000,8336000000,40319000000,2114000000,71815000000,1760000000,64602000000,-12981000000,0.0,18181000000,89996000000,4058000000,32045000000,25314000000,https://www.sec.gov/Archives/edgar/data/21344/000002134419000034/0000021344-19-000034-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134419000034/a2019062810-q.htm
2019-03-29,KO,2019-04-25,2019-04-25 15:09:38,Q1,5645000000,4765000000,7183000000,3852000000,3178000000,11100000000,28540000000,8866000000,12964000000,318000000,13282000000,4765000000,2617000000,48324000000,59807000000,32894000000,88347000000,10986000000,3297000000,255000000,2617000000,13405000000,27943000000,29400000000,0.0,2602000000,8598000000,40600000000,2069000000,70612000000,1760000000,63704000000,-12325000000,0.0,17735000000,88347000000,4765000000,32697000000,27052000000,https://www.sec.gov/Archives/edgar/data/21344/000002134419000028/0000021344-19-000028-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134419000028/a2019032910-q.htm
2018-12-31,KO,2019-02-21,2019-02-21 16:55:42,FY,8926000000,5013000000,10951000000,3396000000,2766000000,10533000000,30634000000,8232000000,10263000000,274000000,10537000000,5013000000,2667000000,41683000000,52582000000,28800000000,83216000000,8932000000,4997000000,378000000,2667000000,14916000000,29223000000,25364000000,0.0,1933000000,7638000000,34935000000,2077000000,66235000000,1760000000,63234000000,-12814000000,0.0,16981000000,83216000000,5013000000,30361000000,21435000000,https://www.sec.gov/Archives/edgar/data/21344/000002134419000014/0000021344-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134419000014/a2018123110-k.htm
2018-09-28,KO,2018-10-30,2018-10-30 13:25:29,Q3,9065000000,5055000000,13792000000,3702000000,2627000000,12964000000,33413000000,7404000000,9856000000,280000000,10136000000,5055000000,2720000000,43340000000,53464000000,30869000000,86877000000,10317000000,6341000000,313000000,2720000000,14459000000,31430000000,25523000000,0.0,2500000000,7246000000,35269000000,1914000000,68613000000,1760000000,64028000000,-12070000000,0.0,18264000000,86877000000,5055000000,31864000000,22799000000,https://www.sec.gov/Archives/edgar/data/21344/000002134418000042/0000021344-18-000042-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134418000042/a2018092810-q.htm
2018-06-29,KO,2018-07-26,2018-07-26 14:40:09,Q2,7975000000,5536000000,13818000000,4565000000,2881000000,15067000000,36024000000,7688000000,9863000000,292000000,10155000000,5536000000,2999000000,42882000000,53569000000,30190000000,89593000000,10842000000,4023000000,362000000,2999000000,16171000000,31398000000,28063000000,0.0,2589000000,7367000000,38019000000,1853000000,71270000000,1760000000,63808000000,-11774000000,0.0,18323000000,89593000000,5536000000,32086000000,24111000000,https://www.sec.gov/Archives/edgar/data/21344/000002134418000032/0000021344-18-000032-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134418000032/a2018062910-q.htm
2018-03-30,KO,2018-05-01,2018-05-01 15:30:40,Q1,8291000000,5564000000,15809000000,3904000000,2937000000,17346000000,38042000000,7977000000,9908000000,306000000,10214000000,5564000000,3298000000,43965000000,55240000000,31485000000,93282000000,10218000000,4370000000,579000000,3298000000,16313000000,31480000000,29792000000,0.0,2314000000,8079000000,40185000000,2007000000,73672000000,1760000000,63150000000,-10038000000,0.0,19610000000,93282000000,5564000000,34162000000,25871000000,https://www.sec.gov/Archives/edgar/data/21344/000002134418000023/0000021344-18-000023-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134418000023/a2018033010-q.htm
2017-12-31,KO,2018-02-23,2018-02-23 11:20:20,FY,6006000000,5317000000,15358000000,3667000000,2655000000,18900000000,36545000000,8203000000,9401000000,368000000,9769000000,5317000000,0.0,43148000000,51351000000,28062000000,87896000000,8748000000,3298000000,410000000,2522000000,14738000000,27194000000,31182000000,0.0,2522000000,8021000000,41725000000,1905000000,70824000000,1760000000,60430000000,-10305000000,0.0,17072000000,87896000000,5317000000,34480000000,28474000000,https://www.sec.gov/Archives/edgar/data/21344/000002134418000008/0000021344-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134418000008/a2017123110-k.htm
