date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,LLY,2020-05-01,2020-05-01 09:46:45,Q1,1699000000,78400000,1777400000,5106100000,3102400000,4008300000,13994200000,7897900000,3779100000,7766700000,11545800000,2148700000,2471600000,3044600000,27108600000,7666000000,41102800000,1207700000,3248000000,667400000,0.0,7487100000,12610200000,13982300000,0.0,2186200000,9126900000,25295400000,118400000,38024000000,598100000,5879400000,-6885900000,3487200000,3078800000,41102800000,2227100000,17230300000,15531300000,https://www.sec.gov/Archives/edgar/data/59478/000005947820000104/0000059478-20-000104-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947820000104/lly-3312020x10q.htm
2019-12-31,LLY,2020-02-19,2020-02-19 12:33:26,FY,2337500000,101000000,2438500000,4547300000,3190700000,3533100000,13709600000,7872900000,3679400000,6618000000,10297400000,1962400000,2572600000,2871200000,25576500000,7408000000,39286100000,1405300000,1499300000,160600000,0.0,8710000000,11775200000,13817900000,0.0,2187500000,8806400000,24811800000,92200000,36679200000,598800000,4920400000,-6523600000,3611300000,2606900000,39286100000,2063400000,15317200000,12979700000,https://www.sec.gov/Archives/edgar/data/59478/000005947820000057/0000059478-20-000057-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947820000057/lly-20191231x10xk.htm
2019-09-30,LLY,2019-10-25,2019-10-25 11:54:53,Q3,1563800000,89200000,1653000000,4441700000,3101300000,3465800000,12661800000,7801500000,3772500000,6689300000,10461800000,1825300000,2412800000,2729900000,25231300000,6970000000,37893100000,1114900000,1563100000,180700000,272300000,7697600000,10828600000,13662200000,0.0,2413700000,7526300000,23602200000,79800000,34510600000,600400000,4981900000,-5734500000,3534700000,3382500000,37893100000,1914500000,15225300000,13661500000,https://www.sec.gov/Archives/edgar/data/59478/000005947819000278/0000059478-19-000278-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947819000278/lly-9302019x10q.htm
2019-06-30,LLY,2019-08-02,2019-08-02 12:47:25,Q2,2290200000,77700000,2367900000,4612500000,3181100000,3293000000,13454500000,7847500000,3820100000,6586600000,10406700000,33300000,2507400000,4417000000,25211900000,6959000000,38666400000,1198900000,2068600000,222900000,277600000,8087400000,11855400000,13717600000,0.0,2380900000,7855200000,23953700000,76800000,35885900000,603700000,4318100000,-5600500000,3459200000,2780500000,38666400000,111000000,15786200000,13496000000,https://www.sec.gov/Archives/edgar/data/59478/000005947819000232/0000059478-19-000232-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947819000232/lly-6302019x10q.htm
2019-03-31,LLY,2019-05-02,2019-05-02 14:09:01,Q1,2036400000,100700000,2137100000,4200500000,3055200000,3204700000,12597500000,7780000000,3855900000,6641500000,10497400000,2111400000,2511000000,2509500000,25409300000,7133000000,38006800000,1168100000,2354900000,491400000,286400000,6935300000,11236100000,13610200000,0.0,2399500000,8196000000,24205700000,84700000,35526500000,607100000,4879400000,-5687500000,2681300000,2480300000,38006800000,2212100000,15965100000,13928700000,https://www.sec.gov/Archives/edgar/data/59478/000005947819000174/0000059478-19-000174-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947819000174/lly-3312019x10q.htm
2018-12-31,LLY,2019-02-19,2019-02-19 10:41:31,FY,7998200000,88200000,8086400000,5246500000,4111800000,3104900000,20549600000,8919500000,4347500000,3521000000,7868500000,2020700000,2657700000,-7027100000,14439300000,8919500000,43908400000,1412300000,1131200000,404000000,299300000,8641300000,11888100000,11639700000,0.0,3724600000,5746900000,21111200000,1080400000,34079700000,661000000,11395900000,-5729200000,3501000000,9828700000,43908400000,2108900000,12770900000,4772700000,https://www.sec.gov/Archives/edgar/data/59478/000005947819000082/0000059478-19-000082-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947819000082/lly-20181231x10xk.htm
2018-09-30,LLY,2018-11-06,2018-11-06 10:35:10,Q3,8960000000,76100000,9036100000,4859400000,4118000000,2672400000,20685900000,8814100000,4358400000,3619400000,7977800000,2005800000,3132300000,-6804900000,15125100000,8814100000,44625100000,1281200000,1002200000,409200000,308600000,7825500000,10826700000,11674700000,0.0,3740500000,4232300000,19647500000,1074300000,31548500000,667100000,14408700000,-5439500000,3440300000,13076600000,44625100000,2081900000,12676900000,3716900000,https://www.sec.gov/Archives/edgar/data/59478/000005947818000256/0000059478-18-000256-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947818000256/lly-9302018x10q.htm
2018-06-30,LLY,2018-07-25,2018-07-25 16:48:39,Q2,6817300000,92200000,6909500000,4823000000,4155500000,2444700000,18332700000,8770800000,4333100000,3772100000,8105200000,2059600000,3314400000,-6994300000,15255700000,8770800000,42359200000,1316900000,3049100000,464900000,315700000,7908600000,13055200000,9170500000,0.0,3506600000,5006100000,17683200000,65600000,30804000000,673500000,14247300000,-6108700000,2743100000,11555200000,42359200000,2151800000,12219600000,5402300000,https://www.sec.gov/Archives/edgar/data/59478/000005947818000188/0000059478-18-000188-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947818000188/lly-6302018x10q.htm
2018-03-31,LLY,2018-04-27,2018-04-27 11:32:39,Q1,3084300000,1705200000,4789500000,4495100000,4631300000,2345600000,16261500000,8958200000,4412400000,3920000000,8332400000,5375100000,3681600000,-7211400000,19135900000,8958200000,44355600000,1267400000,2304200000,693000000,324500000,6957900000,11547000000,9393500000,0.0,3748100000,5079200000,18220800000,60800000,29828600000,680800000,16608200000,-5437500000,2675500000,14527000000,44355600000,7080300000,11697700000,8613400000,https://www.sec.gov/Archives/edgar/data/59478/000005947818000136/0000059478-18-000136-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947818000136/lly-3312018x10q.htm
2017-12-31,LLY,2018-02-20,2018-02-20 17:27:37,FY,6536200000,1497900000,8034100000,4546300000,4458300000,2163400000,19202100000,8826500000,4370100000,4029200000,8399300000,5678800000,2538500000,-8490700000,16952400000,8826500000,44981000000,1410700000,3706600000,532900000,0.0,8885700000,14535900000,9940500000,0.0,3776500000,5060200000,18777200000,75700000,33388800000,687900000,13894100000,-5718600000,2728800000,11592200000,44981000000,7176700000,13647100000,7110900000,https://www.sec.gov/Archives/edgar/data/59478/000005947818000089/0000059478-18-000089-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947818000089/lly-20171231x10xk.htm
