date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-29,LMT,2020-04-22,2020-04-22 16:09:41,Q1,1988000000,2892000000,1988000000,10189000000,3539000000,614000000,19222000000,6605000000,10565000000,3142000000,13707000000,0.0,3164000000,6550000000,30026000000,9714000000,49248000000,3166000000,1250000000,0.0,7205000000,4031000000,15652000000,11439000000,0.0,0.0,5592000000,17031000000,13119000000,45802000000,279000000,18708000000,-15541000000,0.0,3446000000,49248000000,2892000000,12689000000,10701000000,https://www.sec.gov/Archives/edgar/data/936468/000093646820000056/0000936468-20-000056-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646820000056/lmtq1202010q.htm
2019-12-31,LMT,2020-02-07,2020-02-07 11:44:16,FY,1514000000,2337000000,1514000000,9094000000,3619000000,531000000,17095000000,6591000000,10604000000,3213000000,13817000000,0.0,3319000000,6706000000,30433000000,10025000000,47528000000,1281000000,1300000000,0.0,7054000000,4337000000,13972000000,11404000000,0.0,0.0,5410000000,16814000000,13615000000,44401000000,280000000,18401000000,-15554000000,0.0,3127000000,47528000000,2337000000,12704000000,11190000000,https://www.sec.gov/Archives/edgar/data/936468/000093646820000016/0000936468-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646820000016/lmtq4201910k.htm
2019-09-29,LMT,2019-10-24,2019-10-24 18:46:44,Q3,2539000000,2384000000,2539000000,11004000000,3474000000,402000000,19803000000,6240000000,10762000000,3278000000,14040000000,0.0,2912000000,6280000000,29472000000,9192000000,49275000000,2904000000,900000000,0.0,6777000000,4934000000,15515000000,12652000000,0.0,0.0,5058000000,17710000000,12157000000,45382000000,281000000,17265000000,-13653000000,0.0,3893000000,49275000000,2384000000,13552000000,11013000000,https://www.sec.gov/Archives/edgar/data/936468/000093646819000069/0000936468-19-000069-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646819000069/lmtq3201910q.htm
2019-06-30,LMT,2019-07-23,2019-07-23 16:07:43,Q2,1167000000,2546000000,1167000000,10388000000,3599000000,400000000,18100000000,6170000000,10775000000,3351000000,14126000000,0.0,3163000000,6281000000,29740000000,9444000000,47840000000,2611000000,900000000,0.0,6766000000,4855000000,15132000000,12637000000,0.0,0.0,5061000000,17698000000,12160000000,44990000000,281000000,16408000000,-13839000000,0.0,2850000000,47840000000,2546000000,13537000000,12370000000,https://www.sec.gov/Archives/edgar/data/936468/000093646819000058/0000936468-19-000058-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646819000058/lmtq2201910q.htm
2019-03-31,LMT,2019-04-24,2019-04-24 16:05:32,Q1,991000000,2833000000,991000000,10497000000,3285000000,425000000,18031000000,6140000000,10769000000,3425000000,14194000000,0.0,3169000000,6150000000,29653000000,9319000000,47684000000,3097000000,1300000000,0.0,6796000000,4210000000,15403000000,12621000000,0.0,0.0,5022000000,17643000000,12173000000,45219000000,281000000,16278000000,-14094000000,0.0,2465000000,47684000000,2833000000,13921000000,12930000000,https://www.sec.gov/Archives/edgar/data/936468/000093646819000022/0000936468-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646819000022/lmtq1201910q.htm
2018-12-31,LMT,2019-02-08,2019-02-08 11:38:57,FY,772000000,2444000000,772000000,9472000000,2997000000,418000000,16103000000,6124000000,10769000000,3494000000,14263000000,0.0,3208000000,5178000000,28773000000,8386000000,44876000000,2402000000,1500000000,0.0,6491000000,4005000000,14398000000,12604000000,0.0,0.0,4311000000,16915000000,12169000000,43482000000,281000000,15434000000,-14321000000,0.0,1394000000,44876000000,2444000000,14104000000,13332000000,https://www.sec.gov/Archives/edgar/data/936468/000093646819000009/0000936468-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646819000009/lmtq4201810k.htm
2018-09-30,LMT,2018-10-25,2018-10-25 17:21:51,Q3,897000000,2416000000,897000000,9769000000,3050000000,727000000,16859000000,5902000000,10788000000,3570000000,14358000000,0.0,3036000000,5340000000,28636000000,8376000000,45495000000,2691000000,1200000000,0.0,6489000000,4824000000,15204000000,13486000000,0.0,0.0,4411000000,17897000000,11451000000,44552000000,283000000,14737000000,-14077000000,0.0,943000000,45495000000,2416000000,14686000000,13789000000,https://www.sec.gov/Archives/edgar/data/936468/000093646818000067/0000936468-18-000067-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646818000067/lmtq3201810q.htm
2018-06-24,LMT,2018-07-24,2018-07-24 16:19:20,Q2,1181000000,2482000000,1181000000,9281000000,3038000000,522000000,16504000000,5786000000,10781000000,3646000000,14427000000,0.0,3051000000,5357000000,28621000000,8408000000,45125000000,2675000000,750000000,0.0,6413000000,4043000000,13881000000,13479000000,0.0,0.0,4384000000,17863000000,12965000000,44709000000,283000000,14528000000,-14395000000,0.0,416000000,45125000000,2482000000,14229000000,13048000000,https://www.sec.gov/Archives/edgar/data/936468/000093646818000053/0000936468-18-000053-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646818000053/lmtq2201810q.htm
2018-03-25,LMT,2018-04-25,2018-04-25 15:10:20,Q1,2393000000,2373000000,2393000000,9405000000,3196000000,449000000,17816000000,5749000000,10806000000,3730000000,14536000000,0.0,3084000000,5449000000,28818000000,8533000000,46634000000,2715000000,750000000,0.0,6550000000,3959000000,13974000000,13473000000,0.0,0.0,4386000000,17859000000,14983000000,46816000000,284000000,14123000000,-14589000000,0.0,-182000000,46634000000,2373000000,14223000000,11830000000,https://www.sec.gov/Archives/edgar/data/936468/000093646818000023/0000936468-18-000023-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646818000023/lmtq1201810q.htm
2017-12-31,LMT,2018-02-06,2018-02-06 16:22:43,FY,2861000000,0.0,2861000000,0.0,4487000000,10113000000,17461000000,5775000000,10800000000,3797000000,14597000000,0.0,3111000000,5577000000,29060000000,8681000000,46521000000,1467000000,750000000,0.0,6752000000,3668000000,12637000000,13513000000,0.0,0.0,4558000000,18071000000,16496000000,47204000000,284000000,11573000000,-12540000000,0.0,-683000000,46521000000,0.0,14263000000,11402000000,https://www.sec.gov/Archives/edgar/data/936468/000093646818000009/0000936468-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646818000009/lmtq4201710k.htm
