date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-01-31,LOW,2020-03-23,2020-03-23 17:05:45,FY,716000000,160000000,876000000,0.0,13179000000,1263000000,15318000000,18669000000,303000000,0.0,303000000,372000000,216000000,4896000000,24153000000,23850000000,39471000000,7659000000,597000000,104000000,1219000000,5603000000,15182000000,16768000000,894000000,894000000,712000000,19268000000,3049000000,37499000000,381000000,1727000000,-136000000,381000000,1972000000,39471000000,532000000,17365000000,16649000000,https://www.sec.gov/Archives/edgar/data/60667/000006066720000036/0000060667-20-000036-index.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066720000036/form10k01312020.htm
2019-11-01,LOW,2019-12-04,2019-12-03 18:44:52,Q3,794000000,127000000,921000000,0.0,13716000000,1025000000,15662000000,18371000000,303000000,0.0,303000000,363000000,479000000,4889000000,24102000000,23799000000,39764000000,8822000000,574000000,0.0,1222000000,4445000000,15063000000,16635000000,0.0,0.0,791000000,17426000000,4817000000,37306000000,384000000,2238000000,-164000000,384000000,2458000000,39764000000,490000000,17209000000,16415000000,https://www.sec.gov/Archives/edgar/data/60667/000006066719000184/0000060667-19-000184-index.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066719000184/form10q11012019.htm
2019-08-02,LOW,2019-09-03,2019-09-03 17:06:52,Q2,1796000000,275000000,2071000000,0.0,13730000000,995000000,16796000000,18203000000,303000000,0.0,303000000,179000000,512000000,5005000000,23899000000,23596000000,40695000000,9499000000,1009000000,0.0,1324000000,4003000000,15835000000,16538000000,0.0,0.0,759000000,17297000000,4923000000,38055000000,388000000,2439000000,-187000000,388000000,2640000000,40695000000,454000000,17547000000,15751000000,https://www.sec.gov/Archives/edgar/data/60667/000006066719000138/0000060667-19-000138-index.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066719000138/form10q08022019.htm
2019-05-03,LOW,2019-06-03,2019-06-03 08:05:24,Q1,2973000000,190000000,3163000000,0.0,15026000000,1146000000,19335000000,18150000000,303000000,0.0,303000000,235000000,495000000,5004000000,23884000000,23581000000,43219000000,11485000000,1008000000,0.0,1376000000,3912000000,17781000000,16542000000,0.0,0.0,759000000,17301000000,4901000000,39983000000,397000000,3095000000,-256000000,397000000,3236000000,43219000000,425000000,17550000000,14577000000,https://www.sec.gov/Archives/edgar/data/60667/000006066719000086/0000060667-19-000086-index.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066719000086/form10q_05032019.htm
2019-02-01,LOW,2019-04-02,2019-04-01 19:26:18,FY,511000000,218000000,729000000,0.0,12561000000,938000000,14228000000,18432000000,303000000,0.0,303000000,256000000,294000000,1298000000,20280000000,19977000000,34508000000,8279000000,1110000000,108000000,1299000000,3701000000,14497000000,14391000000,0.0,133000000,1149000000,15673000000,694000000,30864000000,401000000,3452000000,-209000000,401000000,3644000000,34508000000,474000000,15501000000,14990000000,https://www.sec.gov/Archives/edgar/data/60667/000006066719000042/0000060667-19-000042-index.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066719000042/form10k_02012019.htm
2018-11-02,LOW,2018-12-06,2018-12-06 09:03:40,Q3,1668000000,208000000,1876000000,0.0,12365000000,897000000,15138000000,18923000000,1272000000,0.0,1272000000,290000000,285000000,2077000000,21575000000,20303000000,36713000000,9283000000,1117000000,0.0,1356000000,3313000000,15069000000,14460000000,0.0,0.0,963000000,15423000000,827000000,31319000000,403000000,5156000000,-165000000,403000000,5394000000,36713000000,498000000,15577000000,13909000000,https://www.sec.gov/Archives/edgar/data/60667/000006066718000203/0000060667-18-000203-index.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066718000203/form10q_11022018.htm
2018-08-03,LOW,2018-09-04,2018-09-04 16:34:23,Q2,2251000000,391000000,2642000000,0.0,11885000000,956000000,15483000000,19172000000,1271000000,0.0,1271000000,87000000,249000000,2114000000,21622000000,20351000000,37105000000,8984000000,894000000,0.0,1449000000,3254000000,14581000000,14937000000,0.0,249000000,978000000,16164000000,579000000,31324000000,406000000,5517000000,-142000000,406000000,5781000000,37105000000,478000000,15831000000,13580000000,https://www.sec.gov/Archives/edgar/data/60667/000006066718000157/0000060667-18-000157-index.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066718000157/form10q_08032018.htm
2018-05-04,LOW,2018-06-05,2018-06-05 16:46:44,Q1,1565000000,205000000,1770000000,0.0,13204000000,1059000000,16033000000,19500000000,1288000000,0.0,1288000000,321000000,199000000,2184000000,22204000000,20916000000,38237000000,10104000000,896000000,0.0,1439000000,3335000000,15774000000,14948000000,0.0,199000000,962000000,16109000000,609000000,32492000000,411000000,5405000000,-71000000,411000000,5745000000,38237000000,526000000,15844000000,14279000000,https://www.sec.gov/Archives/edgar/data/60667/000006066718000117/0000060667-18-000117-index.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066718000117/form10q_05042018.htm
2018-02-02,LOW,2018-04-02,2018-04-02 16:36:28,FY,588000000,102000000,690000000,0.0,11393000000,689000000,12772000000,19721000000,1307000000,0.0,1307000000,408000000,168000000,2222000000,22519000000,21212000000,35291000000,6590000000,294000000,109000000,1378000000,3725000000,12096000000,15564000000,0.0,168000000,955000000,16687000000,635000000,29418000000,415000000,5425000000,11000000,22000000,5873000000,35291000000,510000000,15858000000,15270000000,https://www.sec.gov/Archives/edgar/data/60667/000006066718000051/0000060667-18-000051-index.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066718000051/form10k_02022018.htm
2017-11-03,LOW,2017-12-05,2017-12-05 16:10:08,Q3,743000000,85000000,828000000,0.0,12393000000,788000000,14009000000,19818000000,1327000000,0.0,1327000000,370000000,347000000,2239000000,22774000000,21447000000,36783000000,8903000000,297000000,0.0,1404000000,3134000000,13738000000,15570000000,0.0,347000000,939000000,16856000000,447000000,31041000000,415000000,5289000000,38000000,415000000,5742000000,36783000000,455000000,15867000000,15124000000,https://www.sec.gov/Archives/edgar/data/60667/000006066717000176/0000060667-17-000176-index.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066717000176/form10q_11032017.htm
