date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,MA,2020-04-29,2020-04-29 11:13:34,Q1,10207000000,477000000,10684000000,2441000000,0.0,4998000000,18123000000,1901000000,4070000000,1447000000,5517000000,0.0,550000000,4557000000,12525000000,5107000000,30648000000,371000000,1146000000,0.0,1518000000,6677000000,9712000000,12466000000,0.0,82000000,2890000000,15438000000,100000000,25250000000,0.0,35273000000,-1079000000,0.0,5398000000,30648000000,477000000,13612000000,3405000000,https://www.sec.gov/Archives/edgar/data/1141391/000114139120000091/0001141391-20-000091-index.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139120000091/ma03312020-10xq.htm
2019-12-31,MA,2020-02-14,2020-02-14 09:29:40,FY,6988000000,688000000,7676000000,2514000000,0.0,6712000000,16902000000,1828000000,4021000000,1417000000,5438000000,0.0,543000000,4525000000,12334000000,5068000000,29236000000,489000000,0.0,0.0,543000000,11415000000,11904000000,8527000000,0.0,85000000,2729000000,11341000000,98000000,23343000000,0.0,33984000000,-673000000,0.0,5893000000,29236000000,688000000,8527000000,1539000000,https://www.sec.gov/Archives/edgar/data/1141391/000114139120000032/0001141391-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139120000032/ma12312019-10xk.htm
2019-09-30,MA,2019-10-29,2019-10-29 10:17:11,Q3,5101000000,751000000,5852000000,2500000000,0.0,6495000000,14847000000,1492000000,3724000000,1310000000,5034000000,0.0,518000000,4090000000,11134000000,4608000000,25981000000,505000000,0.0,0.0,518000000,10209000000,10714000000,7735000000,0.0,97000000,2386000000,10218000000,100000000,21032000000,0.0,32289000000,-858000000,0.0,4949000000,25981000000,751000000,7735000000,2634000000,https://www.sec.gov/Archives/edgar/data/1141391/000114139119000150/0001141391-19-000150-index.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139119000150/ma09302019-10xq.htm
2019-06-30,MA,2019-07-30,2019-07-30 10:26:01,Q2,5691000000,1061000000,6752000000,2607000000,0.0,4806000000,14165000000,1348000000,3524000000,1232000000,4756000000,0.0,478000000,3984000000,10566000000,4462000000,24731000000,432000000,0.0,0.0,478000000,9065000000,9497000000,7806000000,0.0,95000000,2224000000,10125000000,101000000,19723000000,0.0,30517000000,-730000000,0.0,5008000000,24731000000,1061000000,7806000000,2115000000,https://www.sec.gov/Archives/edgar/data/1141391/000114139119000128/0001141391-19-000128-index.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139119000128/ma06302019-10xq.htm
2019-03-31,MA,2019-04-30,2019-04-30 10:11:52,Q1,5857000000,1044000000,6901000000,2577000000,0.0,4918000000,14396000000,1305000000,2944000000,1025000000,3969000000,0.0,504000000,3346000000,9124000000,3850000000,23520000000,508000000,500000000,0.0,504000000,9238000000,10246000000,5799000000,0.0,61000000,2151000000,8011000000,95000000,18352000000,0.0,28806000000,-673000000,0.0,5168000000,23520000000,1044000000,6299000000,442000000,https://www.sec.gov/Archives/edgar/data/1141391/000114139119000076/0001141391-19-000076-index.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139119000076/ma03312019-10xq.htm
2018-12-31,MA,2019-02-13,2019-02-13 10:03:54,FY,6682000000,1696000000,8378000000,2276000000,0.0,5517000000,16171000000,921000000,2904000000,991000000,3895000000,0.0,570000000,3303000000,8689000000,3873000000,24860000000,537000000,500000000,0.0,570000000,10556000000,11593000000,5834000000,0.0,67000000,1877000000,7778000000,94000000,19465000000,0.0,27283000000,-718000000,0.0,5395000000,24860000000,1696000000,6334000000,-348000000,https://www.sec.gov/Archives/edgar/data/1141391/000114139119000013/0001141391-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139119000013/ma12312018-10xk.htm
2018-09-30,MA,2018-10-30,2018-10-30 10:20:31,Q3,6871000000,1622000000,8493000000,2277000000,0.0,4294000000,15064000000,876000000,2950000000,1023000000,3973000000,0.0,502000000,2925000000,8276000000,3427000000,23340000000,382000000,500000000,0.0,502000000,8827000000,9709000000,5858000000,0.0,50000000,1856000000,7764000000,92000000,17565000000,0.0,26726000000,-670000000,0.0,5775000000,23340000000,1622000000,6358000000,-513000000,https://www.sec.gov/Archives/edgar/data/1141391/000114139118000127/0001141391-18-000127-index.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139118000127/ma09302018-10xq.htm
2018-06-30,MA,2018-07-26,2018-07-26 10:13:22,Q2,6210000000,992000000,7202000000,2164000000,0.0,4939000000,14305000000,860000000,2974000000,1043000000,4017000000,0.0,395000000,2894000000,8166000000,3289000000,22471000000,345000000,1519000000,0.0,395000000,7591000000,9455000000,5858000000,0.0,58000000,1750000000,7666000000,93000000,17214000000,0.0,25086000000,-632000000,0.0,5257000000,22471000000,992000000,7377000000,1167000000,https://www.sec.gov/Archives/edgar/data/1141391/000114139118000111/0001141391-18-000111-index.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139118000111/ma06302018-10xq.htm
2018-03-31,MA,2018-05-02,2018-05-02 10:38:44,Q1,6890000000,965000000,7855000000,2122000000,0.0,4730000000,14707000000,839000000,3104000000,1118000000,4222000000,0.0,350000000,2826000000,8237000000,3176000000,22944000000,370000000,1004000000,0.0,350000000,7574000000,8948000000,6469000000,0.0,64000000,1661000000,8194000000,99000000,17241000000,0.0,23852000000,-373000000,0.0,5703000000,22944000000,965000000,7473000000,583000000,https://www.sec.gov/Archives/edgar/data/1141391/000114139118000056/0001141391-18-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139118000056/ma03312018-10xq.htm
2017-12-31,MA,2018-02-14,2018-02-14 12:37:09,FY,5933000000,1849000000,7782000000,1969000000,0.0,4046000000,13797000000,829000000,3035000000,1120000000,4155000000,0.0,250000000,2298000000,7532000000,2548000000,21329000000,933000000,792000000,0.0,250000000,7068000000,8793000000,5424000000,0.0,106000000,1438000000,6968000000,100000000,15861000000,0.0,22364000000,-497000000,0.0,5468000000,21329000000,1849000000,6216000000,283000000,https://www.sec.gov/Archives/edgar/data/1141391/000114139118000009/0001141391-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1141391/000114139118000009/ma12312017-10xk.htm
