date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,MCD,2020-05-07,2020-05-07 13:33:15,Q1,5379800000,1276000000,5379800000,1695300000,39100000,442700000,7556900000,23595900000,2627400000,0.0,2627000000,1276800000,0.0,18138400000,43011100000,2034000000,50568000000,671900000,106000000,234600000,655000000,2975300000,3987800000,38046600000,655000000,1649700000,893900000,41245200000,14628400000,59861400000,16600000,53106700000,-2996400000,0.0,-9293400000,50568000000,1276800000,38152600000,32772800000,https://www.sec.gov/Archives/edgar/data/63908/000006390820000042/0000063908-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390820000042/mcd-3312020x10q.htm
2019-12-31,MCD,2020-02-26,2020-02-26 11:58:02,FY,898500000,1270000000,898500000,2224200000,50200000,385000000,3557900000,24160000000,2677400000,0.0,2677000000,1270300000,1138900000,17383700000,43952900000,2226000000,47510800000,988200000,59100000,331700000,660000000,2242000000,3621000000,34118100000,660600000,1318100000,979600000,37076400000,15023700000,55721100000,16600000,52930500000,-2482700000,0.0,-8210300000,47510800000,1270300000,34177200000,33278700000,https://www.sec.gov/Archives/edgar/data/63908/000006390820000022/0000063908-20-000022-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390820000022/mcd-12312019x10k.htm
2019-09-30,MCD,2019-11-04,2019-11-04 12:05:50,Q3,1177300000,1245000000,1177300000,2005300000,42600000,379700000,3604900000,23325300000,2541800000,0.0,2541000000,1245400000,0.0,17629400000,42200100000,1912000000,45805000000,849500000,703300000,277900000,640000000,2444900000,4275600000,32850100000,640100000,1560500000,976500000,36027200000,14101400000,54404200000,16600000,51359500000,-2663100000,0.0,-8599200000,45805000000,1245400000,33553400000,32376100000,https://www.sec.gov/Archives/edgar/data/63908/000006390819000085/0000063908-19-000085-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390819000085/mcd-9302019x10q.htm
2019-06-30,MCD,2019-08-06,2019-08-06 15:35:56,Q2,1134500000,1227000000,1134500000,2055000000,44200000,681700000,3915400000,23504200000,2580500000,0.0,2580000000,0.0,0.0,18780200000,42284400000,1512000000,46199800000,796800000,743400000,270800000,639000000,1429000000,3240000000,32654300000,639600000,1358300000,939200000,35591400000,14177200000,53008600000,16600000,51562500000,-2496600000,0.0,-6808800000,46199800000,1227000000,33397700000,32263200000,https://www.sec.gov/Archives/edgar/data/63908/000006390819000062/0000063908-19-000062-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390819000062/mcd-6302019x10q.htm
2019-03-31,MCD,2019-05-08,2019-05-08 16:37:59,Q1,2289100000,1190000000,2289100000,1992700000,40800000,641800000,4964400000,23283500000,2317800000,0.0,2317000000,0.0,0.0,18218700000,41502200000,1411000000,46466600000,823600000,767900000,339300000,629000000,1448800000,3379600000,32892000000,629800000,1331000000,1017300000,35870100000,13767800000,53017500000,16600000,50928600000,-2520100000,0.0,-6550900000,46466600000,1190000000,33659900000,31370800000,https://www.sec.gov/Archives/edgar/data/63908/000006390819000039/0000063908-19-000039-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390819000039/mcd-3312019x10q.htm
2018-12-31,MCD,2019-02-22,2019-02-22 09:48:25,FY,866000000,1202000000,866000000,2441500000,51100000,694600000,4053200000,22842700000,2331500000,0.0,2331000000,0.0,1219400000,4695900000,28758000000,0.0,32811200000,1207900000,253500000,228300000,627000000,1283800000,2973500000,31075300000,627800000,1215500000,1096300000,34014900000,2081200000,39069600000,16600000,50487000000,-2609500000,0.0,-6258400000,32811200000,1202000000,31328800000,30462800000,https://www.sec.gov/Archives/edgar/data/63908/000006390819000010/0000063908-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390819000010/mcd-12312018x10k.htm
2018-09-30,MCD,2018-11-01,2018-11-01 12:52:42,Q3,2574500000,1135000000,2574500000,2266800000,41900000,669900000,5553100000,22613600000,2345000000,0.0,2345000000,0.0,0.0,5887000000,28500600000,0.0,34053700000,932800000,0.0,160000000,617000000,2533900000,3626700000,31895200000,0.0,1201800000,1129200000,34226200000,2993400000,40846300000,16600000,49076200000,-2508300000,0.0,-6792600000,34053700000,1135000000,31895200000,29320700000,https://www.sec.gov/Archives/edgar/data/63908/000006390818000064/0000063908-18-000064-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390818000064/mcd-9302018x10q.htm
2018-06-30,MCD,2018-08-02,2018-08-02 16:16:54,Q2,1623500000,1127000000,1623500000,2217200000,49600000,465300000,4355600000,22361200000,2347200000,0.0,2347000000,0.0,0.0,5991600000,28352800000,0.0,32708400000,917900000,292200000,211500000,606000000,1548700000,2970300000,30687700000,0.0,1173100000,1134600000,32995400000,2593700000,38559400000,16600000,49106700000,-2435000000,0.0,-5851000000,32708400000,1127000000,30979900000,29356400000,https://www.sec.gov/Archives/edgar/data/63908/000006390818000049/0000063908-18-000049-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390818000049/mcd-6302018x10q.htm
2018-03-31,MCD,2018-05-08,2018-05-08 11:54:40,Q1,2468000000,1147000000,2468000000,1951600000,53800000,435900000,4909300000,22704000000,2404800000,0.0,2404000000,0.0,0.0,6109600000,28813600000,0.0,33722900000,779900000,0.0,462000000,607000000,1579500000,2821400000,30869500000,0.0,979900000,1154000000,33003400000,2616900000,38441700000,16600000,48396500000,-2146500000,0.0,-4718800000,33722900000,1147000000,30869500000,28401500000,https://www.sec.gov/Archives/edgar/data/63908/000006390818000025/0000063908-18-000025-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390818000025/mcd-3312018x10q.htm
2017-12-31,MCD,2018-02-23,2018-02-23 12:45:01,FY,2463800000,1085000000,2463800000,1976200000,58800000,828400000,5327200000,22448300000,2379700000,0.0,2379000000,0.0,867900000,5160300000,28476500000,0.0,33803700000,924800000,0.0,265800000,1119000000,1700000000,2890600000,29536400000,0.0,1119400000,1154400000,31810200000,2370900000,37071700000,16600000,48325800000,-2178400000,0.0,-3268000000,33803700000,1085000000,29536400000,27072600000,https://www.sec.gov/Archives/edgar/data/63908/000006390818000010/0000063908-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390818000010/mcd-12312017x10k.htm
2017-09-30,MCD,2017-11-02,2017-11-02 12:45:45,Q3,2671200000,999000000,2671200000,1569000000,54200000,495900000,4790300000,21978600000,2373300000,0.0,2373000000,0.0,0.0,5790700000,27769300000,0.0,32559600000,685200000,215800000,347700000,1602000000,2491500000,3740200000,28402600000,0.0,1602100000,2292300000,32297000000,0.0,36037200000,16600000,47631500000,-2236700000,0.0,-3477600000,32559600000,999000000,28618400000,25947200000,https://www.sec.gov/Archives/edgar/data/63908/000006390817000053/0000063908-17-000053-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390817000053/mcd-9302017x10q.htm
