date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,MDLZ,2020-04-29,2020-04-28 18:34:52,Q1,1925000000,670000000,1925000000,2628000000,2441000000,1404000000,9068000000,590000000,20216000000,17271000000,37487000000,0.0,708000000,15745000000,54530000000,8989000.0,63598000000,5554000000,1672000000,0.0,708000.0,9778000000,17004000000,13354000000,0.0,3308000000,2261000000,18923000000,1997000000,37924000000,0.0,26961000000,-11625000000,10338000000,25674000000,63598000000,670000000,15026000000,13101000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398220000006/0001103982-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1103982/000110398220000006/a2020q110-qdocument.htm
2019-12-31,MDLZ,2020-02-07,2020-02-07 11:22:43,FY,1291000000,715000000,1291000000,2212000000,2546000000,866000000,7630000000,568000000,20848000000,17957000000,38805000000,0.0,726000000,16820000000,56919000000,9381000.0,64549000000,5853000000,1581000000,0.0,726000.0,7888000000,15322000000,14207000000,0.0,3338000000,2351000000,19896000000,2056000000,37274000000,0.0,26653000000,-10258000000,10880000000,27275000000,64549000000,715000000,15788000000,14497000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398220000003/0001103982-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1103982/000110398220000003/mdlz10k123119document1.htm
2019-09-30,MDLZ,2019-10-30,2019-10-29 19:11:46,Q3,1537000000,683000000,1537000000,2492000000,2742000000,1176000000,8630000000,8316000000,20465000000,17642000000,38107000000,0.0,696000000,8146000000,55265000000,8842000.0,63895000000,5322000000,3674000000,0.0,696000.0,8124000000,17120000000,12593000000,0.0,3232000000,2345000000,18170000000,1799000000,37089000000,0.0,26345000000,-10717000000,11178000000,26806000000,63895000000,683000000,16267000000,14730000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000017/0001103982-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000017/a2019q310-qdocument.htm
2019-06-30,MDLZ,2019-07-31,2019-07-30 18:19:42,Q2,1248000000,712000000,1248000000,2179000000,2731000000,966000000,7836000000,8550000000,20701000000,17943000000,38644000000,0.0,263000000,8280000000,55737000000,8543000.0,63573000000,5312000000,3675000000,0.0,263000.0,8811000000,17798000000,11764000000,0.0,3591000000,2387000000,17742000000,1940000000,37480000000,0.0,25348000000,-10541000000,11286000000,26093000000,63573000000,712000000,15439000000,14191000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000014/0001103982-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000014/a2019q210-qdocument.htm
2019-03-31,MDLZ,2019-05-01,2019-04-30 18:22:02,Q1,1542000000,755000000,1542000000,2781000000,2620000000,841000000,8539000000,8520000000,20686000000,17958000000,38644000000,0.0,270000000,8189000000,55623000000,8459000.0,64162000000,5566000000,2918000000,0.0,270000.0,9237000000,17721000000,12437000000,0.0,3546000000,2601000000,18584000000,2029000000,38334000000,0.0,24954000000,-10498000000,11372000000,25828000000,64162000000,755000000,15355000000,13813000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000010/0001103982-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000010/a2019q110-qdocument.htm
2018-12-31,MDLZ,2019-02-08,2019-02-08 10:34:04,FY,1100000000,744000000,1100000000,2262000000,2592000000,906000000,7604000000,8482000000,20725000000,18002000000,38727000000,0.0,255000000,7661000000,55125000000,7916000.0,62729000000,5794000000,2648000000,0.0,255000.0,8295000000,16737000000,12532000000,0.0,3552000000,2623000000,18707000000,1648000000,37092000000,0.0,24491000000,-10630000000,11776000000,25637000000,62729000000,744000000,15180000000,14080000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000005/0001103982-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000005/mdlz10k123118document.htm
2018-09-30,MDLZ,2018-10-30,2018-10-29 18:16:57,Q3,1373000000,845000000,1373000000,2732000000,2842000000,930000000,8722000000,8403000000,20900000000,18136000000,39036000000,0.0,236000000,7521000000,55196000000,7757000.0,63918000000,5374000000,401000000,0.0,236000.0,9733000000,15508000000,14852000000,0.0,3558000000,2765000000,21175000000,1778000000,38461000000,0.0,24075000000,-10642000000,12024000000,25457000000,63918000000,845000000,15253000000,13880000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398218000013/0001103982-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1103982/000110398218000013/a2018q310-qdocument.htm
2018-06-30,MDLZ,2018-07-26,2018-07-25 18:01:55,Q2,1246000000,818000000,1246000000,2416000000,2683000000,1039000000,8202000000,8384000000,21002000000,18362000000,39364000000,0.0,259000000,6765000000,54772000000,7024000000,62974000000,5248000000,780000000,0.0,259000000,8804000000,14832000000,14857000000,0.0,3395000000,2819000000,21071000000,1868000000,37771000000,0.0,23305000000,-10526000000,12424000000,25203000000,62974000000,818000000,15637000000,14391000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398218000009/0001103982-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1103982/000110398218000009/q2-201810qdocument.htm
2018-03-31,MDLZ,2018-05-02,2018-05-02 09:43:53,Q1,1130000000,841000000,1130000000,3113000000,2620000000,666000000,8370000000,8792000000,21301000000,18810000000,40111000000,0.0,301000000,6929000000,56133000000,7230000000,64503000000,5727000000,829000000,0.0,301000000,10242000000,16798000000,13180000000,0.0,3419000000,2589000000,19188000000,2065000000,38051000000,0.0,23315000000,-9858000000,12995000000,26452000000,64503000000,841000000,14009000000,12879000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398218000005/0001103982-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1103982/000110398218000005/mdlz10q33118doc.htm
2017-12-31,MDLZ,2018-02-09,2018-02-09 10:33:19,FY,761000000,835000000,761000000,2691000000,2557000000,676000000,7520000000,8677000000,21085000000,18639000000,39724000000,0.0,319000000,6869000000,55589000000,7188000000,63109000000,5705000000,1163000000,0.0,319000000,8925000000,15793000000,12972000000,0.0,3376000000,2689000000,19037000000,2168000000,36998000000,0.0,22749000000,-9998000000,13360000000,26111000000,63109000000,835000000,14135000000,13374000000,https://www.sec.gov/Archives/edgar/data/1103982/000119312518037332/0001193125-18-037332-index.htm,https://www.sec.gov/Archives/edgar/data/1103982/000119312518037332/d466496d10k.htm
2017-09-30,MDLZ,2017-10-31,2017-10-31 10:18:32,Q3,844000000,932000000,844000000,2981000000,2781000000,617000000,8155000000,8538000000,21071000000,18638000000,39709000000,0.0,332000000,6557000000,55136000000,6889000000,63291000000,5139000000,1164000000,0.0,332000000,9732000000,16035000000,12918000000,0.0,4664000000,1496000000,19078000000,2147000000,37260000000,0.0,22296000000,-9917000000,13652000000,26031000000,63291000000,932000000,14082000000,13238000000,https://www.sec.gov/Archives/edgar/data/1103982/000119312517326282/0001193125-17-326282-index.htm,https://www.sec.gov/Archives/edgar/data/1103982/000119312517326282/d456152d10q.htm
2017-06-30,MDLZ,2017-08-02,2017-08-02 12:53:57,Q2,1397000000,913000000,1397000000,2395000000,2710000000,778000000,8193000000,8444000000,20915000000,18514000000,39429000000,0.0,347000000,6344000000,54564000000,6691000000,62757000000,5012000000,742000000,0.0,347000000,9809000000,15563000000,13226000000,0.0,4587000000,1488000000,19301000000,2173000000,37037000000,0.0,21648000000,-10217000000,14289000000,25720000000,62757000000,913000000,13968000000,12571000000,https://www.sec.gov/Archives/edgar/data/1103982/000119312517245459/0001193125-17-245459-index.htm,https://www.sec.gov/Archives/edgar/data/1103982/000119312517245459/d412472d10q.htm
