date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020/1/24,MDT,2020/2/28,2020/2/28 06:49,Q3,3709000000,7919000000,11628000000,6248000000,4122000000,2045000000,24043000000,4764000000,40091000000,19456000000,59547000000,0,2272000000,2196000000,68779000000,0,92822000000,1945000000,844000000,457000000,303000000,5186000000,8735000000,24732000000,0,1282000000,1784000000,27798000000,4481000000,41014000000,0,28210000000,-2546000000,26144000000,51808000000,92822000000,7919000000,25576000000,21867000000,https://www.sec.gov/Archives/edgar/data/1613103/000161310320000007/0001613103-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1613103/000161310320000007/mdt-20200124.htm
2019/10/25,MDT,2019/12/3,2019/12/3 16:11,Q2,3962000000,6436000000,10398000000,6118000000,4042000000,2095000000,22653000000,4756000000,39952000000,19775000000,59727000000,0,1804000000,2113000000,68400000000,0,91053000000,1965000000,875000000,442000000,291000000,4597000000,8170000000,24752000000,0,1376000000,1758000000,27886000000,4419000000,40475000000,0,27018000000,-2611000000,26171000000,50578000000,91053000000,6436000000,25627000000,21665000000,https://www.sec.gov/Archives/edgar/data/1613103/000161310319000056/0001613103-19-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1613103/000161310319000056/mdt-20191025.htm
2019/7/26,MDT,2019/8/30,2019/8/30 06:46,Q1,5080000000,5603000000,10683000000,5894000000,3932000000,2196000000,22705000000,4711000000,40082000000,20234000000,60316000000,0,1545000000,1991000000,68563000000,0,91268000000,1906000000,1458000000,500000000,295000000,4359000000,8518000000,24804000000,0,1346000000,1590000000,27740000000,4647000000,40905000000,0,26377000000,-2484000000,26470000000,50363000000,91268000000,5603000000,26262000000,21182000000,https://www.sec.gov/Archives/edgar/data/1613103/000161310319000038/0001613103-19-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1613103/000161310319000038/mdt-2020q1x10q.htm
2019/4/26,MDT,2019/6/21,2019/6/21 06:53,FY,4393000000,5455000000,9848000000,6222000000,3753000000,2144000000,21967000000,4675000000,39959000000,20560000000,60519000000,0,1519000000,1014000000,67727000000,2158000000,89694000000,1953000000,838000000,567000000,315000000,4799000000,8472000000,24486000000,0,1278000000,757000000,26521000000,4610000000,39603000000,0,26270000000,-2711000000,26532000000,50091000000,89694000000,5455000000,25324000000,20931000000,https://www.sec.gov/Archives/edgar/data/1613103/000161310319000028/0001613103-19-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1613103/000161310319000028/mdt-2019426x10k.htm
2019/1/25,MDT,2019/3/1,2019/3/1 07:06,Q3,3703000000,5439000000,9142000000,5854000000,3866000000,2015000000,20877000000,4593000000,40003000000,20835000000,60838000000,240000000,1496000000,686000000,67853000000,0,88730000000,1706000000,1356000000,648000000,308000000,4835000000,8853000000,23674000000,0,1356000000,719000000,25749000000,4299000000,38901000000,0,25769000000,-2458000000,26518000000,49829000000,88730000000,5679000000,25030000000,21327000000,https://www.sec.gov/Archives/edgar/data/1613103/000161310319000012/0001613103-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1613103/000161310319000012/mdt-2019q3x10q.htm
2018/10/26,MDT,2018/11/29,2018/11/29 17:10,Q2,3911000000,6222000000,10133000000,5743000000,3763000000,2014000000,21653000000,4536000000,38605000000,20819000000,59424000000,235000000,1414000000,888000000,66497000000,0,88150000000,1742000000,1343000000,536000000,280000000,4562000000,8463000000,23673000000,0,1325000000,724000000,25722000000,4358000000,38543000000,0,25171000000,-2612000000,27048000000,49607000000,88150000000,6457000000,25016000000,21105000000,https://www.sec.gov/Archives/edgar/data/1613103/000161310318000044/0001613103-18-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1613103/000161310318000044/mdt-2019q2x10q.htm
2018/7/27,MDT,2018/8/31,2018/8/31 06:38,Q1,4380000000,6624000000,11004000000,5674000000,3681000000,2101000000,22460000000,4524000000,38955000000,21270000000,60225000000,150000000,1413000000,949000000,67261000000,0,89721000000,1789000000,1545000000,784000000,288000000,4706000000,9112000000,23678000000,0,1347000000,801000000,25826000000,4559000000,39497000000,0,24730000000,-2323000000,27817000000,50224000000,89721000000,6774000000,25223000000,20843000000,https://www.sec.gov/Archives/edgar/data/1613103/000161310318000032/0001613103-18-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1613103/000161310318000032/mdt-2019q1x10q.htm
2018/4/27,MDT,2018/6/22,2018/6/22 07:04,FY,3669000000,7558000000,11227000000,5987000000,3579000000,2187000000,22980000000,4604000000,39543000000,21723000000,61266000000,8317000000,1465000000,-7239000000,68413000000,0,91393000000,1628000000,2058000000,979000000,0,5419000000,10084000000,23699000000,0,1423000000,889000000,26011000000,4578000000,40673000000,0,24379000000,-1786000000,28127000000,50720000000,91393000000,15875000000,25757000000,22088000000,https://www.sec.gov/Archives/edgar/data/1613103/000161310318000024/0001613103-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1613103/000161310318000024/mdt-2018427x10k.htm
2018/1/26,MDT,2018/3/2,2018/3/2 17:29,Q3,6358000000,8078000000,14436000000,5775000000,3751000000,2645000000,26607000000,4517000000,39795000000,22178000000,61973000000,8773000000,1537000000,-7607000000,69193000000,0,95800000000,1809000000,2902000000,925000000,0,5297000000,10933000000,25918000000,0,1363000000,964000000,28245000000,6388000000,45566000000,0,23426000000,-1382000000,28190000000,50234000000,95800000000,16851000000,28820000000,22462000000,https://www.sec.gov/Archives/edgar/data/1613103/000161310318000009/0001613103-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1613103/000161310318000009/mdt-2018q3x10q.htm
2017/10/27,MDT,2017/12/4,2017/12/4 16:30,Q2,5529000000,7997000000,13526000000,5752000000,3638000000,2246000000,25162000000,4441000000,39077000000,22625000000,61702000000,8906000000,1749000000,-7502000000,69296000000,0,94458000000,1718000000,3131000000,872000000,0,4775000000,10496000000,25941000000,0,1841000000,933000000,28715000000,3778000000,42989000000,0,25438000000,-2060000000,28091000000,51469000000,94458000000,16903000000,29072000000,23543000000,https://www.sec.gov/Archives/edgar/data/1613103/000161310317000047/0001613103-17-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1613103/000161310317000047/mdt-2018q2x10q.htm
