date,Cash and cash equivalents,Short-term investments,Cash and short-term investments,Receivables,Inventories,Total current assets,"Property, Plant & Equipment Net",Goodwill and Intangible Assets,Long-term investments,Tax assets,Total non-current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Deferred revenue,Tax Liabilities,Deposit Liabilities,Total non-current liabilities,Total liabilities,Other comprehensive income,Retained earnings (deficit),Total shareholders equity,Investments,Net Debt,Other Assets,Other Liabilities
2020-01-24,3709000000.0,7919000000.0,11628000000.0,6248000000.0,4122000000.0,24043000000.0,4764000000.0,59547000000.0,0.0,2272000000.0,68779000000.0,92822000000.0,1945000000.0,844000000.0,8735000000.0,24732000000.0,25576000000.0,303000000.0,457000000.0,0.0,27798000000.0,41014000000.0,26144000000,28210000000.0,51808000000.0,7919000000.0,21867000000.0,0.0,4481000000.0
2019-10-25,3962000000.0,6436000000.0,10398000000.0,6118000000.0,4042000000.0,22653000000.0,4756000000.0,59727000000.0,0.0,1804000000.0,68400000000.0,91053000000.0,1965000000.0,875000000.0,8170000000.0,24752000000.0,25627000000.0,291000000.0,442000000.0,0.0,27886000000.0,40475000000.0,26171000000,27018000000.0,50578000000.0,6436000000.0,21665000000.0,0.0,4419000000.0
2019-07-26,5080000000.0,5603000000.0,10683000000.0,5894000000.0,3932000000.0,22705000000.0,4711000000.0,60316000000.0,0.0,1545000000.0,68563000000.0,91268000000.0,1906000000.0,1458000000.0,8518000000.0,24804000000.0,26262000000.0,295000000.0,500000000.0,0.0,27740000000.0,40905000000.0,26470000000,26377000000.0,50363000000.0,5603000000.0,21182000000.0,0.0,4647000000.0
2019-04-26,4393000000.0,5455000000.0,9848000000.0,6222000000.0,3753000000.0,21967000000.0,4675000000.0,60519000000.0,0.0,1519000000.0,67727000000.0,89694000000.0,1953000000.0,838000000.0,8472000000.0,24486000000.0,25324000000.0,315000000.0,567000000.0,0.0,26521000000.0,39603000000.0,26532000000,26270000000.0,50091000000.0,5455000000.0,20931000000.0,0.0,4610000000.0
2019-01-25,3703000000.0,5439000000.0,9142000000.0,5854000000.0,3866000000.0,20877000000.0,4593000000.0,60838000000.0,240000000.0,1496000000.0,67853000000.0,88730000000.0,1706000000.0,1356000000.0,8853000000.0,23674000000.0,25030000000.0,308000000.0,648000000.0,0.0,25749000000.0,38901000000.0,26518000000,25769000000.0,49829000000.0,5679000000.0,21327000000.0,0.0,4299000000.0
2018-10-26,3911000000.0,6222000000.0,10133000000.0,5743000000.0,3763000000.0,21653000000.0,4536000000.0,59424000000.0,235000000.0,1414000000.0,66497000000.0,88150000000.0,1742000000.0,1343000000.0,8463000000.0,23673000000.0,25016000000.0,280000000.0,536000000.0,0.0,25722000000.0,38543000000.0,27048000000,25171000000.0,49607000000.0,6457000000.0,21105000000.0,0.0,4358000000.0
2018-07-27,4380000000.0,6624000000.0,11004000000.0,5674000000.0,3681000000.0,22460000000.0,4524000000.0,60225000000.0,150000000.0,1413000000.0,67261000000.0,89721000000.0,1789000000.0,1545000000.0,9112000000.0,23678000000.0,25223000000.0,288000000.0,784000000.0,0.0,25826000000.0,39497000000.0,27817000000,24730000000.0,50224000000.0,6774000000.0,20843000000.0,0.0,4559000000.0
2018-04-27,3669000000.0,7558000000.0,11227000000.0,5987000000.0,3579000000.0,22980000000.0,4604000000.0,61266000000.0,8317000000.0,1465000000.0,68413000000.0,91393000000.0,1628000000.0,2058000000.0,10084000000.0,23699000000.0,25757000000.0,0.0,979000000.0,0.0,26011000000.0,40673000000.0,28127000000,24379000000.0,50720000000.0,15875000000.0,22088000000.0,0.0,4578000000.0
2018-01-26,6358000000.0,8078000000.0,14436000000.0,5775000000.0,3751000000.0,26607000000.0,4517000000.0,61973000000.0,8773000000.0,1537000000.0,69193000000.0,95800000000.0,1809000000.0,2902000000.0,10933000000.0,25918000000.0,28820000000.0,0.0,925000000.0,0.0,28245000000.0,45566000000.0,28190000000,23426000000.0,50234000000.0,16851000000.0,22462000000.0,0.0,6388000000.0
2017-10-27,5529000000.0,7997000000.0,13526000000.0,5752000000.0,3638000000.0,25162000000.0,4441000000.0,61702000000.0,8906000000.0,1749000000.0,69296000000.0,94458000000.0,1718000000.0,3131000000.0,10496000000.0,25941000000.0,29072000000.0,0.0,872000000.0,0.0,28715000000.0,42989000000.0,28091000000,25438000000.0,51469000000.0,16903000000.0,23543000000.0,0.0,3778000000.0
2017-07-28,4691000000.0,8397000000.0,13088000000.0,5784000000.0,3538000000.0,24779000000.0,4387000000.0,62202000000.0,9248000000.0,1598000000.0,75471000000.0,1.0025e+11,1759000000.0,8058000000.0,15148000000.0,25953000000.0,34011000000.0,0.0,717000000.0,0.0,29589000000.0,49578000000.0,28553000000,24043000000.0,50672000000.0,17645000000.0,29320000000.0,0.0,4841000000.0
2017-04-28,4967000000.0,8741000000.0,13708000000.0,5591000000.0,3338000000.0,24873000000.0,4361000000.0,61922000000.0,9597000000.0,1509000000.0,74943000000.0,99816000000.0,1731000000.0,7520000000.0,14220000000.0,25921000000.0,33441000000.0,0.0,633000000.0,0.0,30414000000.0,49522000000.0,29551000000,23356000000.0,50294000000.0,18338000000.0,28474000000.0,0.0,4888000000.0
2017-01-27,2768000000.0,8690000000.0,11458000000.0,5453000000.0,3720000000.0,22423000000.0,4947000000.0,67433000000.0,9678000000.0,1484000000.0,75155000000.0,97578000000.0,1557000000.0,6226000000.0,12672000000.0,25923000000.0,32149000000.0,0.0,821000000.0,0.0,31276000000.0,48191000000.0,0.0,52266000000.0,49387000000.0,18368000000.0,29381000000.0,0.0,4243000000.0
2016-10-28,2954000000.0,8303000000.0,11257000000.0,5661000000.0,3717000000.0,22526000000.0,4891000000.0,68446000000.0,9114000000.0,1250000000.0,75880000000.0,98406000000.0,1659000000.0,3367000000.0,9601000000.0,29010000000.0,32377000000.0,0.0,1900000000.0,0.0,34363000000.0,48220000000.0,0.0,52514000000.0,50186000000.0,17417000000.0,29423000000.0,0.0,4256000000.0
2016-07-29,3060000000.0,9750000000.0,12810000000.0,5357000000.0,3580000000.0,23498000000.0,4814000000.0,67746000000.0,10490000000.0,1232000000.0,75103000000.0,98601000000.0,1615000000.0,1947000000.0,7896000000.0,30124000000.0,32071000000.0,0.0,1900000000.0,0.0,35699000000.0,47777000000.0,0.0,52848000000.0,50824000000.0,20240000000.0,29011000000.0,0.0,4182000000.0
2016-04-29,2876000000.0,9758000000.0,12634000000.0,5562000000.0,3473000000.0,23600000000.0,4841000000.0,68399000000.0,10571000000.0,1383000000.0,76182000000.0,99782000000.0,1709000000.0,993000000.0,7165000000.0,30247000000.0,31240000000.0,0.0,566000000.0,0.0,35892000000.0,47719000000.0,0.0,53931000000.0,52063000000.0,20329000000.0,28364000000.0,0.0,4662000000.0
2016-01-29,2721000000.0,14565000000.0,17286000000.0,4863000000.0,3536000000.0,27569000000.0,4636000000.0,67692000000.0,15671000000.0,1060000000.0,75137000000.0,1.02706e+11,1437000000.0,2153000000.0,8141000000.0,33681000000.0,35834000000.0,0.0,454000000.0,0.0,39342000000.0,51890000000.0,0.0,53781000000.0,50816000000.0,30236000000.0,33113000000.0,0.0,4407000000.0
2015-10-30,2378000000.0,14851000000.0,17229000000.0,5044000000.0,3516000000.0,28723000000.0,4678000000.0,69005000000.0,15825000000.0,825000000.0,76222000000.0,1.04945e+11,1447000000.0,2158000000.0,8126000000.0,33690000000.0,35848000000.0,0.0,533000000.0,0.0,40202000000.0,52676000000.0,0.0,53740000000.0,52269000000.0,30676000000.0,33470000000.0,0.0,4348000000.0
2015-07-31,2979000000.0,15003000000.0,17982000000.0,4811000000.0,3404000000.0,29147000000.0,4672000000.0,68356000000.0,661000000.0,772000000.0,75479000000.0,1.04626e+11,1321000000.0,1850000000.0,7660000000.0,33709000000.0,35559000000.0,0.0,477000000.0,0.0,40067000000.0,51817000000.0,0.0,54165000000.0,52809000000.0,15664000000.0,32580000000.0,0.0,4090000000.0
2015-04-24,4843000000.0,14637000000.0,19480000000.0,5112000000.0,3463000000.0,30844000000.0,4699000000.0,68631000000.0,706000000.0,774000000.0,75841000000.0,1.06685e+11,1610000000.0,2434000000.0,9173000000.0,33752000000.0,36186000000.0,0.0,935000000.0,0.0,40271000000.0,53455000000.0,0.0,54414000000.0,53230000000.0,15343000000.0,31343000000.0,0.0,4011000000.0
2015-01-23,46000.0,0.0,46000.0,0.0,0.0,46000.0,0.0,0.0,0.0,0.0,0.0,46000.0,37000000.0,0.0,37000000.0,0.0,0.0,0.0,0.0,0.0,0.0,37000000.0,121000,-37075000.0,-36954000.0,0.0,-46000.0,0.0,0.0
2014-10-24,1287000000.0,13177000000.0,14464000000.0,3750000000.0,1873000000.0,21597000000.0,2361000000.0,13461000000.0,0.0,879000000.0,17183000000.0,38780000000.0,723000000.0,3970000000.0,6952000000.0,9708000000.0,13678000000.0,0.0,1928000000.0,0.0,12390000000.0,19342000000.0,-506000000.0,19846000000.0,19438000000.0,13177000000.0,-786000000.0,1510000000.0,2259000000.0
2014-07-25,1336000000.0,12626000000.0,13962000000.0,3690000000.0,1836000000.0,20770000000.0,2376000000.0,13037000000.0,0.0,798000000.0,16784000000.0,37554000000.0,685000000.0,2477000000.0,5433000000.0,10323000000.0,12800000000.0,0.0,1800000000.0,0.0,12873000000.0,18306000000.0,-488000000.0,19637000000.0,19248000000.0,12626000000.0,-1162000000.0,1282000000.0,2271000000.0
2014-04-25,1403000000.0,12838000000.0,14241000000.0,3811000000.0,1725000000.0,21210000000.0,2392000000.0,12879000000.0,0.0,1036000000.0,16733000000.0,37943000000.0,742000000.0,1613000000.0,5559000000.0,10315000000.0,11928000000.0,0.0,1912000000.0,0.0,12941000000.0,18500000000.0,-597000000.0,19940000000.0,19443000000.0,12838000000.0,-2313000000.0,1433000000.0,3204000000.0
