date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2019-12-31,MET,2020-02-21,2020-02-20 19:45:09,FY,16598000000,0.0,16598000000,0.0,0.0,0.0,16598000000,0.0,9308000000,0.0,9308000000,0.0,0.0,0.0,9308000000,714557000000,740463000000,0.0,235000000,363000000,9097000000,0.0,9332000000,13466000000,0.0,0.0,0.0,13466000000,0.0,674081000000,12000000,33078000000,13052000000,20002000000,66144000000,740463000000,0.0,16851000000,253000000,https://www.sec.gov/Archives/edgar/data/1099219/000109921920000064/0001099219-20-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1099219/000109921920000064/met-20191231x10k.htm
2019-09-30,MET,2019-11-05,2019-11-04 20:36:58,Q3,19452000000,3536000000,22988000000,3561000000,0.0,0.0,26549000000,1543000000,9278000000,0.0,9278000000,0.0,0.0,714720000000,716263000000,714082000000,742812000000,0.0,142000000,31000000,10153000000,0.0,173000000,13443000000,0.0,10153000000,0.0,23596000000,650675000000,674444000000,12000000,32948000000,15197000000,20211000000,68368000000,742812000000,3536000000,13585000000,-5867000000,https://www.sec.gov/Archives/edgar/data/1099219/000109921919000225/0001099219-19-000225-index.htm,https://www.sec.gov/Archives/edgar/data/1099219/000109921919000225/met-2019930x10q.htm
2019-06-30,MET,2019-08-06,2019-08-05 20:48:45,Q2,18435000000,318689000000,337124000000,0.0,0.0,0.0,337124000000,1494000000,9408000000,0.0,9408000000,0.0,97000000,393452000000,395043000000,704324000000,732167000000,0.0,158000000,0.0,8766000000,0.0,158000000,13346000000,0.0,8766000000,0.0,22112000000,646086000000,668356000000,12000000,31209000000,11631000000,20959000000,63811000000,732167000000,318689000000,13504000000,-4931000000,https://www.sec.gov/Archives/edgar/data/1099219/000109921919000138/0001099219-19-000138-index.htm,https://www.sec.gov/Archives/edgar/data/1099219/000109921919000138/met-2019630x10q.htm
2019-03-31,MET,2019-05-08,2019-05-07 20:39:04,Q1,14506000000,4524000000,19030000000,3569000000,0.0,0.0,22599000000,1521000000,9418000000,0.0,9418000000,0.0,0.0,689068000000,690589000000,689264000000,713188000000,0.0,289000000,505000000,7075000000,0.0,794000000,12850000000,0.0,7075000000,0.0,19925000000,633960000000,654679000000,12000000,29944000000,6911000000,21642000000,58509000000,713188000000,4524000000,13139000000,-1367000000,https://www.sec.gov/Archives/edgar/data/1099219/000109921919000028/0001099219-19-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1099219/000109921919000028/met-2019331x10q.htm
2018-12-31,MET,2019-02-22,2019-02-21 18:02:55,FY,15821000000,3937000000,19758000000,3582000000,0.0,0.0,23340000000,2600000000,9422000000,0.0,9422000000,0.0,183000000,661415000000,664198000000,662295000000,687538000000,0.0,268000000,441000000,5414000000,0.0,709000000,12829000000,0.0,5414000000,0.0,18243000000,615845000000,634797000000,12000000,28926000000,1722000000,22081000000,52741000000,687538000000,3937000000,13097000000,-2724000000,https://www.sec.gov/Archives/edgar/data/1099219/000109921919000008/0001099219-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1099219/000109921919000008/met-20181231x10k.htm
2018-09-30,MET,2018-11-08,2018-11-07 18:12:54,Q3,12490000000,5231000000,17721000000,3691000000,0.0,0.0,21412000000,0.0,9440000000,0.0,9440000000,0.0,726000000,676313000000,677039000000,676521000000,698451000000,0.0,290000000,166000000,4924000000,0.0,456000000,13408000000,0.0,4924000000,0.0,18332000000,628038000000,646826000000,12000000,27331000000,1000000000,23282000000,51625000000,698451000000,5231000000,13698000000,1208000000,https://www.sec.gov/Archives/edgar/data/1099219/000093783418000052/0000937834-18-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1099219/000093783418000052/met-2018930x10q.htm
2018-06-30,MET,2018-08-07,2018-08-07 17:20:24,Q2,16312000000,3853000000,20165000000,3512000000,0.0,0.0,23677000000,0.0,9499000000,0.0,9499000000,0.0,726000000,681930000000,682656000000,680522000000,706333000000,0.0,479000000,222000000,5377000000,0.0,701000000,14536000000,0.0,5377000000,0.0,19913000000,632086000000,652700000000,12000000,26870000000,2854000000,23897000000,53633000000,706333000000,3853000000,15015000000,-1297000000,https://www.sec.gov/Archives/edgar/data/1099219/000093783418000036/0000937834-18-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1099219/000093783418000036/met-2018630x10q.htm
2018-03-31,MET,2018-05-08,2018-05-07 19:58:54,Q1,13927000000,5121000000,19048000000,3638000000,0.0,0.0,22686000000,0.0,9733000000,0.0,9733000000,0.0,726000000,689172000000,689898000000,688924000000,712584000000,0.0,526000000,155000000,6304000000,0.0,681000000,15707000000,0.0,6304000000,0.0,22011000000,633582000000,656274000000,12000000,26453000000,5634000000,24211000000,56310000000,712584000000,5121000000,16233000000,2306000000,https://www.sec.gov/Archives/edgar/data/1099219/000093783418000022/0000937834-18-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1099219/000093783418000022/met-2018331x10q.htm
2017-12-31,MET,2018-03-01,2018-03-01 16:22:57,FY,12701000000,4870000000,17571000000,3524000000,0.0,0.0,21095000000,2500000000,9590000000,0.0,9590000000,0.0,0.0,696297000000,698797000000,697601000000,719892000000,0.0,477000000,311000000,6767000000,0.0,788000000,15686000000,0.0,6767000000,0.0,22453000000,637975000000,661216000000,12000000,26527000000,7427000000,24710000000,58676000000,719892000000,4870000000,16163000000,3462000000,https://www.sec.gov/Archives/edgar/data/1099219/000093783418000005/0000937834-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1099219/000093783418000005/met-20171231x10k.htm
2017-09-30,MET,2017-11-06,2017-11-06 06:14:14,Q3,13023000000,7217000000,20240000000,3692000000,0.0,0.0,23932000000,0.0,9556000000,0.0,9556000000,0.0,3000000.0,696580000000,696583000000,697936000000,720515000000,0.0,214000000,0.0,8554000000,0.0,214000000,16688000000,0.0,8554000000,0.0,25242000000,638345000000,663801000000,12000000,24410000000,7005000000,25287000000,56714000000,720515000000,7217000000,16902000000,3879000000,https://www.sec.gov/Archives/edgar/data/1099219/000093783417000031/0000937834-17-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1099219/000093783417000031/met-2017930x10q.htm
