date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,MMM,2020-04-28,2020-04-28 15:23:50,Q1,4253000000,224000000,224000000,4821000000,4217000000,5828000000,15090000000,9165000000,13312000000,6191000000,19503000000,224000000,0.0,2454000000,31122000000,0.0,46212000000,2207000000,244000000,136000000,0.0,6547000000,9134000000,19247000000,0.0,0.0,3225000000,22472000000,4459000000,36065000000,9000000.0,42345000000,-8414000000,0.0,10147000000,46212000000,224000000,19491000000,19491000000,https://www.sec.gov/Archives/edgar/data/66740/000155837020004478/0001558370-20-004478-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837020004478/mmm-20200428x10q.htm
2019-12-31,MMM,2020-02-06,2020-02-06 16:16:31,FY,2353000000,98000000,98000000,4791000000,4134000000,3948000000,12971000000,9333000000,13444000000,6379000000,19823000000,98000000,0.0,2532000000,31688000000,0.0,44659000000,2228000000,247000000,194000000,0.0,6553000000,9222000000,17518000000,0.0,0.0,3275000000,20793000000,4581000000,34596000000,9000000.0,42135000000,-8139000000,0.0,10063000000,44659000000,98000000,17765000000,17765000000,https://www.sec.gov/Archives/edgar/data/66740/000155837020000581/0001558370-20-000581-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837020000581/mmm-20191231x10k62bf35.htm
2019-09-30,MMM,2019-10-25,2019-10-25 14:04:26,Q3,7731000000,30000000,7761000000,5020000000,4007000000,1232000000,18020000000,8891000000,10410000000,2847000000,13257000000,30000000,0.0,2382000000,24530000000,0.0,42550000000,2079000000,241000000,137000000,0.0,5364000000,7821000000,17479000000,0.0,0.0,3235000000,20714000000,3313000000,31848000000,9000000.0,42085000000,-7388000000,0.0,10702000000,42550000000,30000000,17720000000,9989000000,https://www.sec.gov/Archives/edgar/data/66740/000155837019009143/0001558370-19-009143-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837019009143/mmm-20190930x10q.htm
2019-06-30,MMM,2019-07-26,2019-07-26 13:12:59,Q2,2849000000,139000000,2988000000,5374000000,4300000000,1389000000,14051000000,8998000000,10574000000,2964000000,13538000000,139000000,0.0,2382000000,24918000000,0.0,38969000000,2130000000,247000000,223000000,0.0,4665000000,7265000000,14914000000,0.0,0.0,3268000000,18182000000,3439000000,28886000000,9000000.0,41362000000,-7272000000,0.0,10083000000,38969000000,139000000,15161000000,12312000000,https://www.sec.gov/Archives/edgar/data/66740/000155837019006397/0001558370-19-006397-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837019006397/mmm-20190630x10q.htm
2019-03-31,MMM,2019-04-26,2019-04-26 16:11:39,Q1,2938000000,539000000,3477000000,5173000000,4538000000,1186000000,14374000000,8829000000,10611000000,3047000000,13658000000,539000000,0.0,2279000000,24766000000,0.0,39140000000,2309000000,255000000,183000000,0.0,4378000000,7125000000,15580000000,0.0,0.0,3228000000,18808000000,3504000000,29437000000,9000000.0,41159000000,-7552000000,0.0,9703000000,39140000000,539000000,15835000000,12897000000,https://www.sec.gov/Archives/edgar/data/66740/000155837019003408/0001558370-19-003408-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837019003408/mmm-20190331x10q.htm
2018-12-31,MMM,2019-02-07,2019-02-07 17:15:37,FY,2853000000,380000000,3233000000,5020000000,4366000000,1090000000,13709000000,8738000000,10051000000,2657000000,12708000000,380000000,0.0,1345000000,22791000000,0.0,36500000000,2266000000,1211000000,243000000,0.0,3524000000,7244000000,13411000000,0.0,0.0,3010000000,16421000000,3039000000,26704000000,9000000.0,40636000000,-6866000000,0.0,9796000000,36500000000,380000000,14622000000,11769000000,https://www.sec.gov/Archives/edgar/data/66740/000155837019000470/0001558370-19-000470-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837019000470/mmm-20181231x10k.htm
2018-09-30,MMM,2018-10-25,2018-10-25 16:57:57,Q3,3185000000,338000000,3523000000,5329000000,4437000000,1130000000,14419000000,8630000000,10123000000,2726000000,12849000000,338000000,0.0,1377000000,22856000000,0.0,37275000000,2029000000,1307000000,186000000,0.0,3814000000,7336000000,13539000000,0.0,0.0,2906000000,16445000000,3246000000,27027000000,9000000.0,40120000000,-6968000000,0.0,10248000000,37275000000,338000000,14846000000,11661000000,https://www.sec.gov/Archives/edgar/data/66740/000155837018007892/0001558370-18-007892-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837018007892/mmm-20180930x10q.htm
2018-06-30,MMM,2018-07-26,2018-07-26 16:29:12,Q2,2801000000,385000000,3186000000,5383000000,4238000000,1083000000,13890000000,8645000000,10107000000,2787000000,12894000000,385000000,0.0,1349000000,22888000000,0.0,36778000000,1871000000,3225000000,293000000,0.0,3513000000,8902000000,11294000000,0.0,0.0,2900000000,14194000000,3317000000,26413000000,9000000.0,39442000000,-7019000000,0.0,10365000000,36778000000,385000000,14519000000,11718000000,https://www.sec.gov/Archives/edgar/data/66740/000155837018005773/0001558370-18-005773-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837018005773/mmm-20180630x10q.htm
2018-03-31,MMM,2018-05-08,2018-05-08 11:26:28,Q1,3491000000,604000000,4095000000,5252000000,4295000000,1176000000,14818000000,8864000000,10570000000,2885000000,13455000000,604000000,0.0,1438000000,23757000000,0.0,38575000000,1874000000,3449000000,282000000,0.0,3354000000,8959000000,12211000000,0.0,0.0,2985000000,15196000000,3443000000,27598000000,9000000.0,38453000000,-6803000000,0.0,10977000000,38575000000,604000000,15660000000,12169000000,https://www.sec.gov/Archives/edgar/data/66740/000155837018004248/0001558370-18-004248-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837018004248/mmm-20180331x10q.htm
2017-12-31,MMM,2018-02-08,2018-02-08 17:14:52,FY,3053000000,1076000000,4129000000,4911000000,4034000000,1203000000,14277000000,8866000000,10513000000,2936000000,13449000000,1076000000,0.0,1395000000,23710000000,0.0,37987000000,1945000000,1853000000,310000000,0.0,3579000000,7687000000,12096000000,0.0,0.0,2962000000,15058000000,3679000000,26424000000,9000000.0,39115000000,-7026000000,0.0,11563000000,37987000000,1076000000,13949000000,10896000000,https://www.sec.gov/Archives/edgar/data/66740/000155837018000535/0001558370-18-000535-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837018000535/mmm-20171231x10k.htm
2017-09-30,MMM,2017-10-31,2017-10-31 15:28:45,Q3,2831000000,586000000,3417000000,5156000000,3975000000,1108000000,13656000000,8658000000,9221000000,2175000000,11396000000,17000000,0.0,1510000000,21581000000,0.0,35237000000,1824000000,835000000,374000000,0.0,3565000000,6598000000,10828000000,0.0,0.0,1861000000,12689000000,3804000000,23091000000,9000000.0,39454000000,-6913000000,0.0,12146000000,35237000000,603000000,11663000000,8832000000,https://www.sec.gov/Archives/edgar/data/66740/000155837017007801/0001558370-17-007801-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837017007801/mmm-20170930x10q.htm
2017-06-30,MMM,2017-08-01,2017-08-01 15:35:22,Q2,2654000000,140000000,2794000000,4919000000,3838000000,1090000000,12641000000,8566000000,9105000000,2201000000,11306000000,17000000,0.0,1427000000,21316000000,0.0,33957000000,1782000000,213000000,432000000,0.0,3270000000,5697000000,11088000000,0.0,0.0,1767000000,12855000000,3814000000,22366000000,9000000.0,38793000000,-6989000000,0.0,11591000000,33957000000,157000000,11301000000,8647000000,https://www.sec.gov/Archives/edgar/data/66740/000155837017005582/0001558370-17-005582-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837017005582/mmm-20170630x10q.htm
2017-03-31,MMM,2017-05-03,2017-05-03 16:22:20,Q1,2173000000,141000000,2314000000,4722000000,3612000000,1253000000,11901000000,8551000000,9258000000,2269000000,11527000000,17000000,0.0,1296000000,21391000000,0.0,33292000000,1701000000,909000000,433000000,0.0,2952000000,5995000000,10802000000,0.0,0.0,1691000000,12493000000,3815000000,22303000000,9000000.0,38094000000,-6949000000,0.0,10989000000,33292000000,158000000,11711000000,9538000000,https://www.sec.gov/Archives/edgar/data/66740/000155837017003391/0001558370-17-003391-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837017003391/mmm-20170331x10q.htm
2016-12-31,MMM,2017-02-09,2017-02-09 16:56:52,FY,2398000000,280000000,2678000000,4392000000,3385000000,1271000000,11726000000,8516000000,9166000000,2320000000,11486000000,17000000,0.0,1161000000,21180000000,0.0,32906000000,1798000000,972000000,299000000,0.0,3150000000,6219000000,10678000000,0.0,0.0,1648000000,12326000000,4063000000,22608000000,9000000.0,37907000000,-7245000000,0.0,10298000000,32906000000,297000000,11650000000,9252000000,https://www.sec.gov/Archives/edgar/data/66740/000155837017000479/0001558370-17-000479-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837017000479/mmm-20161231x10k.htm
2016-09-30,MMM,2016-11-01,2016-11-01 10:38:40,Q3,2308000000,358000000,2666000000,4743000000,3611000000,1159000000,12179000000,8671000000,9430000000,2422000000,11852000000,14000000,0.0,1335000000,21872000000,0.0,34051000000,1621000000,1282000000,364000000,0.0,3133000000,6400000000,11079000000,0.0,0.0,1345000000,12424000000,3225000000,22049000000,9000000.0,37745000000,-6146000000,0.0,12002000000,34051000000,372000000,12361000000,10053000000,https://www.sec.gov/Archives/edgar/data/66740/000155837016008937/0001558370-16-008937-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837016008937/mmm-20160930x10q.htm
2016-06-30,MMM,2016-08-02,2016-08-02 14:20:53,Q2,1688000000,177000000,1865000000,4667000000,3613000000,1291000000,11436000000,8604000000,9356000000,2477000000,11833000000,121000000,0.0,1241000000,21799000000,0.0,33235000000,1650000000,2450000000,169000000,0.0,2985000000,7254000000,9299000000,0.0,0.0,1327000000,10626000000,3461000000,21341000000,9000000.0,37194000000,-6184000000,0.0,11894000000,33235000000,298000000,11749000000,10061000000,https://www.sec.gov/Archives/edgar/data/66740/000155837016007105/0001558370-16-007105-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837016007105/mmm-20160630x10q.htm
2016-03-31,MMM,2016-05-03,2016-05-03 16:58:47,Q1,1337000000,176000000,1513000000,4485000000,3627000000,1249000000,10874000000,8614000000,9375000000,2551000000,11926000000,115000000,0.0,1453000000,22108000000,0.0,32982000000,1581000000,2212000000,590000000,0.0,2795000000,7178000000,8927000000,0.0,0.0,1649000000,10576000000,3495000000,21249000000,9000000.0,36785000000,-6261000000,0.0,11733000000,32982000000,291000000,11139000000,9802000000,https://www.sec.gov/Archives/edgar/data/66740/000155837016005213/0001558370-16-005213-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837016005213/mmm-20160331x10q.htm
2015-12-31,MMM,2016-02-11,2016-02-11 17:16:40,FY,1798000000,118000000,1916000000,4154000000,3518000000,1398000000,10986000000,8515000000,9249000000,2601000000,11850000000,117000000,0.0,1250000000,21732000000,0.0,32718000000,1694000000,2044000000,332000000,0.0,3048000000,7118000000,8753000000,0.0,0.0,1580000000,10333000000,3559000000,21010000000,9000000.0,36575000000,-6359000000,0.0,11708000000,32718000000,235000000,10797000000,8999000000,https://www.sec.gov/Archives/edgar/data/66740/000155837016003162/0001558370-16-003162-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837016003162/mmm-20151231x10k.htm
2015-09-30,MMM,2015-10-29,2015-10-29 13:40:22,Q3,1605000000,153000000,1758000000,4610000000,3709000000,1531000000,11608000000,8470000000,9354000000,2632000000,11986000000,112000000,0.0,1082000000,21650000000,0.0,33258000000,1600000000,2279000000,105000000,0.0,3048000000,7032000000,8974000000,0.0,0.0,1566000000,10540000000,3500000000,21072000000,9000000.0,36235000000,-6467000000,0.0,12186000000,33258000000,265000000,11253000000,9648000000,https://www.sec.gov/Archives/edgar/data/66740/000155837015002024/0001558370-15-002024-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837015002024/mmm-20150930x10q.htm
2015-06-30,MMM,2015-07-30,2015-07-30 14:28:49,Q2,2983000000,502000000,3485000000,4578000000,3847000000,1521000000,13431000000,8389000000,6985000000,1355000000,8340000000,13000000,0.0,1215000000,17957000000,0.0,31388000000,1714000000,86000000,327000000,0.0,2968000000,5095000000,8431000000,0.0,0.0,1049000000,9480000000,3720000000,18295000000,9000000.0,35615000000,-6233000000,0.0,13093000000,31388000000,515000000,8517000000,5534000000,https://www.sec.gov/Archives/edgar/data/66740/000110465915054810/0001104659-15-054810-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465915054810/a15-12072_110q.htm
2015-03-31,MMM,2015-04-30,2015-04-30 12:53:55,Q1,1791000000,1018000000,2809000000,4408000000,3704000000,1597000000,12518000000,8286000000,6934000000,1396000000,8330000000,13000000,0.0,1496000000,18125000000,0.0,30643000000,1801000000,132000000,464000000,0.0,2685000000,5082000000,6459000000,0.0,0.0,1386000000,7845000000,3799000000,16726000000,9000000.0,35080000000,-6321000000,0.0,13917000000,30643000000,1031000000,6591000000,4800000000,https://www.sec.gov/Archives/edgar/data/66740/000110465915032226/0001104659-15-032226-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465915032226/a15-7844_110q.htm
2014-12-31,MMM,2015-02-12,2015-02-12 17:09:33,FY,1897000000,626000000,2523000000,4238000000,3706000000,1298000000,11765000000,8489000000,7050000000,1435000000,8485000000,828000000,0.0,1702000000,19504000000,0.0,31269000000,1807000000,106000000,435000000,0.0,3650000000,5998000000,6731000000,0.0,0.0,1555000000,8286000000,3876000000,18160000000,9000000.0,34317000000,-6289000000,0.0,13109000000,31269000000,1454000000,6837000000,4940000000,https://www.sec.gov/Archives/edgar/data/66740/000110465915009560/0001104659-15-009560-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465915009560/a15-1770_110k.htm
2014-09-30,MMM,2014-10-30,2014-10-30 17:07:38,Q3,1929000000,767000000,2696000000,4711000000,3945000000,1329000000,12681000000,8499000000,7213000000,1516000000,8729000000,1105000000,0.0,1762000000,20095000000,0.0,32776000000,1796000000,2119000000,382000000,0.0,3408000000,7705000000,5225000000,0.0,0.0,1791000000,7016000000,1882000000,16603000000,9000000.0,34484000000,-4108000000,0.0,16173000000,32776000000,1872000000,7344000000,5415000000,https://www.sec.gov/Archives/edgar/data/66740/000110465914075312/0001104659-14-075312-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465914075312/a14-19786_110q.htm
2014-06-30,MMM,2014-07-31,2014-07-31 17:22:46,Q2,2125000000,884000000,3009000000,4759000000,4093000000,1332000000,13193000000,8685000000,7422000000,1603000000,9025000000,1204000000,0.0,1863000000,20777000000,0.0,33970000000,1844000000,1650000000,478000000,0.0,3068000000,7040000000,5323000000,0.0,0.0,1932000000,7255000000,2321000000,16616000000,9000000.0,33836000000,-3666000000,0.0,17354000000,33970000000,2088000000,6973000000,4848000000,https://www.sec.gov/Archives/edgar/data/66740/000110465914055558/0001104659-14-055558-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465914055558/a14-14070_110q.htm
2014-03-31,MMM,2014-05-01,2014-05-01 16:10:21,Q1,1954000000,860000000,2814000000,4598000000,3972000000,1378000000,12762000000,8630000000,7357000000,1631000000,8988000000,1360000000,0.0,1807000000,20785000000,0.0,33547000000,1866000000,2176000000,481000000,0.0,2927000000,7450000000,4401000000,0.0,0.0,1963000000,6364000000,2285000000,16099000000,9000000.0,33312000000,-3841000000,0.0,17448000000,33547000000,2220000000,6577000000,4623000000,https://www.sec.gov/Archives/edgar/data/66740/000110465914033499/0001104659-14-033499-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465914033499/a14-9645_110q.htm
2013-12-31,MMM,2014-02-13,2014-02-13 16:16:20,FY,2581000000,756000000,3337000000,4253000000,3864000000,1279000000,12733000000,8652000000,7345000000,1688000000,9033000000,1453000000,0.0,1679000000,20817000000,0.0,33550000000,1799000000,1683000000,417000000,0.0,3599000000,7498000000,4326000000,0.0,0.0,1984000000,6310000000,2240000000,16048000000,9000000.0,32416000000,-3913000000,0.0,17502000000,33550000000,2209000000,6009000000,3428000000,https://www.sec.gov/Archives/edgar/data/66740/000110465914009773/0001104659-14-009773-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465914009773/a14-5644_110k.htm
2013-09-30,MMM,2013-10-31,2013-10-31 12:58:37,Q3,2340000000,971000000,3311000000,4594000000,3948000000,1429000000,13282000000,8448000000,7342000000,1745000000,9087000000,1547000000,0.0,1240000000,20322000000,0.0,33604000000,1718000000,2244000000,373000000,0.0,3104000000,7439000000,3533000000,0.0,0.0,1686000000,5219000000,3150000000,15808000000,9000000.0,32412000000,-4810000000,0.0,17796000000,33604000000,2518000000,5777000000,3437000000,https://www.sec.gov/Archives/edgar/data/66740/000110465913079583/0001104659-13-079583-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465913079583/a13-19634_110q.htm
