date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,MO,2020-04-30,2020-04-30 11:12:00,Q1,5616000000,23861000000,5616000000,0,2006000000,313000000,7935000000,1997000000,5177000000,12668000000,17845000000,0,0,24841000000,44683000000,21735000000,52618000000,278000000,3000000000,393000000,5191000000,10483000000,11154000000,26971000000,0,5191000000,402000000,32564000000,2357000000,46075000000,935000000,36528000000,-2533000000,0,6543000000,52618000000,23861000000,26971000000,21355000000,https://www.sec.gov/Archives/edgar/data/764180/000076418020000048/0000764180-20-000048-index.htm,https://www.sec.gov/Archives/edgar/data/764180/000076418020000048/a2020form10qq12020.htm
2019-12-31,MO,2020-02-25,2020-02-25 16:31:52,FY,2117000000,23581000000,2117000000,0,2293000000,414000000,4824000000,1999000000,5177000000,12687000000,17864000000,0,116000000,24468000000,44447000000,26583000000,49271000000,325000000,1000000000,0,5083000000,6849000000,8174000000,27042000000,0,5083000000,345000000,32470000000,2405000000,43049000000,935000000,36539000000,-2864000000,0,6222000000,49271000000,23581000000,28042000000,25925000000,https://www.sec.gov/Archives/edgar/data/764180/000076418020000018/0000764180-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/764180/000076418020000018/a2019form10-kq4.htm
2019-09-30,MO,2019-10-31,2019-10-31 10:40:35,Q3,1604000000,27346000000,1604000000,0,2188000000,499000000,4291000000,1962000000,5262000000,12688000000,17950000000,0,15000000,28695000000,48622000000,25663000000,52913000000,246000000,1000000000,0,5240000000,6416000000,7662000000,26903000000,0,5240000000,316000000,32459000000,2247000000,42368000000,935000000,39910000000,-2402000000,0,10545000000,52913000000,27346000000,27903000000,26299000000,https://www.sec.gov/Archives/edgar/data/764180/000076418019000083/0000764180-19-000083-index.htm,https://www.sec.gov/Archives/edgar/data/764180/000076418019000083/a2019form10qq32019.htm
2019-06-30,MO,2019-07-30,2019-07-30 10:39:12,Q2,1796000000,32094000000,1796000000,0,2235000000,452000000,4483000000,1917000000,5196000000,12331000000,17527000000,0,79000000,33495000000,53018000000,30558000000,57501000000,224000000,2144000000,0,5378000000,5584000000,7952000000,27096000000,0,5378000000,364000000,32838000000,2247000000,43037000000,935000000,44081000000,-2646000000,0,14464000000,57501000000,32094000000,29240000000,27444000000,https://www.sec.gov/Archives/edgar/data/764180/000076418019000070/0000764180-19-000070-index.htm,https://www.sec.gov/Archives/edgar/data/764180/000076418019000070/a2019form10qq22019.htm
2019-03-31,MO,2019-04-25,2019-04-25 11:10:43,Q1,3352000000,0,3352000000,0,2356000000,554000000,6262000000,1922000000,5196000000,12327000000,17523000000,0,3000000,33523000000,52971000000,30531000000,59233000000,205000000,2144000000,0,5353000000,7770000000,10119000000,27024000000,0,5353000000,357000000,32734000000,2301000000,45154000000,935000000,43582000000,-2717000000,0,14079000000,59233000000,0,29168000000,25816000000,https://www.sec.gov/Archives/edgar/data/764180/000076418019000037/0000764180-19-000037-index.htm,https://www.sec.gov/Archives/edgar/data/764180/000076418019000037/a2019form10qq12019.htm
2018-12-31,MO,2019-02-26,2019-02-26 13:49:51,FY,1333000000,12800000000,14133000000,0,2331000000,-12165000000,4299000000,1938000000,5196000000,12279000000,17475000000,0,167000000,31759000000,51339000000,33864000000,55638000000,399000000,1144000000,0,5172000000,19650000000,21193000000,11898000000,0,5172000000,254000000,17324000000,2334000000,40851000000,935000000,43962000000,-2547000000,0,14787000000,55638000000,12800000000,13042000000,11709000000,https://www.sec.gov/Archives/edgar/data/764180/000076418019000023/0000764180-19-000023-index.htm,https://www.sec.gov/Archives/edgar/data/764180/000076418019000023/a2018form10-kq4.htm
2018-09-30,MO,2018-10-25,2018-10-25 17:00:20,Q3,2393000000,17825000000,2393000000,0,2077000000,695000000,5165000000,1891000000,5307000000,12385000000,17692000000,848000000,84000000,18273000000,38788000000,16235000000,43953000000,289000000,2007000000,0,5427000000,6350000000,8646000000,11896000000,0,5427000000,207000000,17530000000,2283000000,28459000000,935000000,43805000000,-2034000000,0,15494000000,43953000000,848000000,13903000000,11510000000,https://www.sec.gov/Archives/edgar/data/764180/000076418018000095/0000764180-18-000095-index.htm,https://www.sec.gov/Archives/edgar/data/764180/000076418018000095/a2018form10qq32018.htm
2018-06-30,MO,2018-07-26,2018-07-26 10:44:30,Q2,1430000000,18178000000,1430000000,0,2123000000,578000000,4131000000,1878000000,5307000000,12405000000,17712000000,856000000,182000000,18418000000,39046000000,16516000000,43177000000,209000000,864000000,0,5376000000,5315000000,6388000000,13036000000,0,5376000000,230000000,18642000000,2351000000,27381000000,935000000,43369000000,-1652000000,0,15796000000,43177000000,856000000,13900000000,12470000000,https://www.sec.gov/Archives/edgar/data/764180/000076418018000072/0000764180-18-000072-index.htm,https://www.sec.gov/Archives/edgar/data/764180/000076418018000072/a2018form10qq22018.htm
2018-03-31,MO,2018-04-26,2018-04-26 10:28:05,Q1,2191000000,18199000000,2191000000,0,2257000000,376000000,4824000000,1891000000,5307000000,12400000000,17707000000,854000000,0,18623000000,39075000000,16489000000,43899000000,203000000,864000000,0,5292000000,6408000000,7475000000,13033000000,0,5292000000,296000000,18621000000,2409000000,28505000000,935000000,42816000000,-1927000000,0,15394000000,43899000000,854000000,13897000000,11706000000,https://www.sec.gov/Archives/edgar/data/764180/000076418018000038/0000764180-18-000038-index.htm,https://www.sec.gov/Archives/edgar/data/764180/000076418018000038/a2018form10qq12018.htm
2017-12-31,MO,2018-02-27,2018-02-27 17:31:37,FY,1253000000,17952000000,1253000000,0,2225000000,866000000,4344000000,1914000000,5307000000,12400000000,17707000000,899000000,461000000,17877000000,38858000000,21151000000,43202000000,374000000,864000000,0,5247000000,5554000000,6792000000,13030000000,0,5247000000,283000000,18560000000,2473000000,27825000000,935000000,42251000000,-1897000000,0,15377000000,43202000000,899000000,13894000000,12641000000,https://www.sec.gov/Archives/edgar/data/764180/000076418018000028/0000764180-18-000028-index.htm,https://www.sec.gov/Archives/edgar/data/764180/000076418018000028/a2017form10-kq4.htm
