date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,MRK,2020-05-06,2020-05-06 16:36:54,Q1,7425000000,7000000.0,7432000000,8182000000,5846000000,4714000000,26174000000,15269000000,19767000000,16096000000,35863000000,555000000,7052000000,0.0,58739000000,0.0,84913000000,3572000000,6361000000,1033000000,1943000000,12517000000,23483000000,21637000000,0.0,1943000000,11550000000,35130000000,95000000,58708000000,1788000000,48272000000,-6391000000,0.0,26205000000,84913000000,562000000,27998000000,20573000000,https://www.sec.gov/Archives/edgar/data/310158/000031015820000009/0000310158-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015820000009/mrk0331202010q.htm
2019-12-31,MRK,2020-02-26,2020-02-26 16:36:07,FY,9676000000,774000000,10450000000,6778000000,5978000000,4277000000,27483000000,15053000000,19425000000,14196000000,33621000000,1469000000,6771000000,0.0,56914000000,0.0,84397000000,3738000000,3610000000,736000000,1470000000,14136000000,22220000000,22736000000,0.0,1470000000,11970000000,36176000000,94000000,58490000000,1788000000,46602000000,-6193000000,0.0,25907000000,84397000000,2243000000,26346000000,16670000000,https://www.sec.gov/Archives/edgar/data/310158/000031015820000005/0000310158-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015820000005/mrk1231201910k.htm
2019-09-30,MRK,2019-11-05,2019-11-05 16:43:01,Q3,7869000000,149000000,8018000000,8442000000,5855000000,3827000000,26142000000,14287000000,19480000000,12307000000,31787000000,2111000000,9004000000,0.0,57189000000,0.0,83331000000,3198000000,3411000000,873000000,1960000000,13202000000,20684000000,22677000000,0.0,1960000000,11085000000,35722000000,87000000,56493000000,1788000000,45804000000,-5390000000,0.0,26838000000,83331000000,2260000000,26088000000,18219000000,https://www.sec.gov/Archives/edgar/data/310158/000031015819000042/0000310158-19-000042-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015819000042/mrk0930201910q.htm
2019-06-30,MRK,2019-08-06,2019-08-06 16:34:49,Q2,6659000000,446000000,7105000000,7964000000,5847000000,3382000000,24298000000,13862000000,19490000000,13381000000,32871000000,3779000000,9155000000,0.0,59667000000,0.0,83965000000,3142000000,3816000000,634000000,2089000000,12493000000,20085000000,22771000000,0.0,2089000000,11283000000,36143000000,102000000,56330000000,1788000000,45295000000,-5362000000,0.0,27635000000,83965000000,4225000000,26587000000,19928000000,https://www.sec.gov/Archives/edgar/data/310158/000031015819000037/0000310158-19-000037-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015819000037/mrk0630201910q.htm
2019-03-31,MRK,2019-05-08,2019-05-08 16:34:31,Q1,8076000000,722000000,8798000000,7608000000,5712000000,3233000000,25351000000,13506000000,18170000000,10999000000,29169000000,5621000000,8707000000,0.0,57003000000,0.0,82354000000,3018000000,3175000000,807000000,1835000000,11543000000,18543000000,22721000000,0.0,1835000000,11585000000,36141000000,131000000,54815000000,1788000000,44065000000,-5346000000,0.0,27539000000,82354000000,6343000000,25896000000,17820000000,https://www.sec.gov/Archives/edgar/data/310158/000031015819000019/0000310158-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015819000019/mrk0331201910q.htm
2018-12-31,MRK,2019-02-27,2019-02-27 16:36:42,FY,7965000000,899000000,8864000000,7071000000,5440000000,4500000000,25875000000,13291000000,18253000000,11431000000,29684000000,6233000000,7554000000,0.0,56762000000,0.0,82637000000,3318000000,5308000000,1971000000,1702000000,11609000000,22206000000,19806000000,0.0,1702000000,12041000000,33549000000,181000000,55936000000,1788000000,42579000000,-5545000000,0.0,26701000000,82637000000,7132000000,25114000000,17149000000,https://www.sec.gov/Archives/edgar/data/310158/000031015819000014/0000310158-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015819000014/mrk1231201810k.htm
2018-09-30,MRK,2018-11-06,2018-11-06 16:14:11,Q3,7826000000,2459000000,10285000000,7374000000,5416000000,3761000000,26836000000,12755000000,18258000000,12175000000,30433000000,7606000000,7500000000,0.0,58294000000,0.0,85130000000,3091000000,3656000000,759000000,2065000000,11080000000,18586000000,19936000000,0.0,2065000000,11887000000,33888000000,234000000,52708000000,1788000000,42189000000,-5151000000,0.0,32422000000,85130000000,10065000000,23592000000,15766000000,https://www.sec.gov/Archives/edgar/data/310158/000031015818000039/0000310158-18-000039-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015818000039/mrk0930201810q.htm
2018-06-30,MRK,2018-08-07,2018-08-07 16:32:58,Q2,5310000000,2284000000,7594000000,7287000000,5178000000,4005000000,24064000000,12626000000,18274000000,12898000000,31172000000,10033000000,7145000000,0.0,60976000000,0.0,85040000000,3024000000,3379000000,661000000,2159000000,11064000000,18128000000,19959000000,0.0,2159000000,12028000000,34146000000,237000000,52511000000,1788000000,41523000000,-5122000000,0.0,32529000000,85040000000,12317000000,23338000000,18028000000,https://www.sec.gov/Archives/edgar/data/310158/000031015818000034/0000310158-18-000034-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015818000034/mrk0630201810q.htm
2018-03-31,MRK,2018-05-08,2018-05-08 16:31:56,Q1,4483000000,2863000000,7346000000,7245000000,5382000000,4112000000,24085000000,12561000000,18304000000,13500000000,31804000000,11033000000,6558000000,0.0,61956000000,0.0,86041000000,3162000000,2055000000,717000000,2206000000,11026000000,16960000000,21501000000,0.0,2206000000,11473000000,35180000000,233000000,52373000000,1788000000,41107000000,-5060000000,0.0,33668000000,86041000000,13896000000,23556000000,19073000000,https://www.sec.gov/Archives/edgar/data/310158/000031015818000011/0000310158-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015818000011/mrk0331201810q.htm
2017-12-31,MRK,2018-02-27,2018-02-27 16:33:07,FY,6092000000,2406000000,8498000000,6873000000,5096000000,4299000000,24766000000,12439000000,18284000000,14183000000,32467000000,12125000000,6075000000,0.0,63106000000,0.0,87872000000,3102000000,3057000000,708000000,2219000000,11747000000,18614000000,21353000000,0.0,2219000000,11117000000,34689000000,233000000,53536000000,1788000000,41350000000,-4910000000,0.0,34336000000,87872000000,14531000000,24410000000,18318000000,https://www.sec.gov/Archives/edgar/data/310158/000031015818000005/0000310158-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015818000005/mrk1231201710k.htm
