date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2019-12-31,MS,2020-02-27,2020-02-27 16:34:27,FY,4293000000,62223000000,66516000000,118060000000,0.0,0.0,184576000000,3998000000,7143000000,2107000000,9250000000,45366000000,2892000000,649347000000,710853000000,614294000000,895429000000,0.0,0.0,755000000,0.0,0.0,755000000,190060000000,0.0,1394000000,0.0,191454000000,621671000000,813880000000,20000000,70589000000,-2788000000,13728000000,81549000000,895429000000,107589000000,190060000000,185767000000,https://www.sec.gov/Archives/edgar/data/895421/000089542120000265/0000895421-20-000265-index.htm,https://www.sec.gov/Archives/edgar/data/895421/000089542120000265/msq4201910k.htm
2019-09-30,MS,2019-11-05,2019-11-05 16:28:57,Q3,35721000000,64714000000,100435000000,110815000000,0.0,0.0,211250000000,3825000000,7139000000,2211000000,9350000000,13196000000,0.0,664983000000,691354000000,626429000000,902604000000,0.0,600000000,0.0,0.0,0.0,600000000,192362000000,0.0,0.0,0.0,192362000000,627260000000,820222000000,20000000,69071000000,-1598000000,14889000000,82382000000,902604000000,77910000000,192962000000,157241000000,https://www.sec.gov/Archives/edgar/data/895421/000162828019013331/0001628280-19-013331-index.htm,https://www.sec.gov/Archives/edgar/data/895421/000162828019013331/msq30930201910-q.htm
2019-06-30,MS,2019-08-05,2019-08-05 16:33:42,Q2,38257000000,63038000000,101295000000,105145000000,0.0,0.0,206440000000,3859000000,7158000000,2276000000,9434000000,10888000000,0.0,661338000000,685519000000,618179000000,891959000000,0.0,600000000,0.0,0.0,0.0,600000000,196072000000,0.0,0.0,0.0,196072000000,613563000000,810235000000,20000000,67588000000,-2051000000,16167000000,81724000000,891959000000,73926000000,196672000000,158415000000,https://www.sec.gov/Archives/edgar/data/895421/000162828019009973/0001628280-19-009973-index.htm,https://www.sec.gov/Archives/edgar/data/895421/000162828019009973/msq20630201910-q.htm
2019-03-31,MS,2019-05-03,2019-05-03 16:08:33,Q1,80682000000,61641000000,142323000000,101266000000,0.0,0.0,243589000000,3886000000,6686000000,2084000000,8770000000,14498000000,0.0,605221000000,632375000000,600315000000,875964000000,0.0,600000000,0.0,0.0,0.0,600000000,189193000000,0.0,0.0,0.0,189193000000,605447000000,795240000000,20000000,66061000000,-2473000000,17116000000,80724000000,875964000000,76139000000,189793000000,109111000000,https://www.sec.gov/Archives/edgar/data/895421/000119312519136929/0001193125-19-136929-index.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312519136929/d673523d10q.htm
2018-12-31,MS,2019-02-26,2019-02-26 16:12:52,FY,87196000000,61061000000,148257000000,99815000000,0.0,0.0,248072000000,0.0,6688000000,2163000000,8851000000,21299000000,2734000000,572575000000,605459000000,568050000000,853531000000,0.0,0.0,1080000000,0.0,0.0,1080000000,188117000000,0.0,1061000000,0.0,189178000000,583027000000,773285000000,20000000,64175000000,-2292000000,18343000000,80246000000,853531000000,82360000000,188117000000,100921000000,https://www.sec.gov/Archives/edgar/data/895421/000119312519051943/0001193125-19-051943-index.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312519051943/d707577d10k.htm
2018-09-30,MS,2018-11-05,2018-11-05 16:15:28,Q3,92481000000,57232000000,149713000000,98330000000,0.0,0.0,248043000000,0.0,6680000000,2240000000,8920000000,22638000000,0.0,585916000000,617474000000,589163000000,865517000000,0.0,940000000,0.0,0.0,0.0,940000000,189949000000,0.0,0.0,0.0,189949000000,595925000000,786814000000,20000000,63330000000,-1017000000,16370000000,78703000000,865517000000,79870000000,190889000000,98408000000,https://www.sec.gov/Archives/edgar/data/895421/000119312518318377/0001193125-18-318377-index.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312518318377/d645593d10q.htm
2018-06-30,MS,2018-08-03,2018-08-03 16:14:25,Q2,81589000000,56704000000,138293000000,96366000000,0.0,0.0,234659000000,0.0,6692000000,2332000000,9024000000,18707000000,0.0,613485000000,641216000000,608240000000,875875000000,0.0,2329000000,0.0,0.0,0.0,2329000000,189915000000,0.0,0.0,0.0,189915000000,604522000000,796766000000,20000000,61835000000,-308000000,17562000000,79109000000,875875000000,75411000000,192244000000,110655000000,https://www.sec.gov/Archives/edgar/data/895421/000119312518238269/0001193125-18-238269-index.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312518238269/d576100d10q.htm
2018-03-31,MS,2018-05-04,2018-05-04 16:43:45,Q1,87344000000,80641000000,167985000000,95124000000,0.0,0.0,263109000000,0.0,6706000000,2427000000,9133000000,80641000000,0.0,505612000000,595386000000,591556000000,858495000000,0.0,1256000000,0.0,179000000,0.0,1435000000,193708000000,0.0,0.0,0.0,193708000000,585318000000,780461000000,20000000,60009000000,-913000000,18918000000,78034000000,858495000000,161282000000,194964000000,107620000000,https://www.sec.gov/Archives/edgar/data/895421/000119312518152899/0001193125-18-152899-index.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312518152899/d556270d10q.htm
2017-12-31,MS,2018-02-27,2018-02-27 16:09:47,FY,80395000000,78802000000,159197000000,92953000000,0.0,0.0,252150000000,0.0,6597000000,2448000000,9045000000,78802000000,3415000000,508321000000,599583000000,592332000000,851733000000,0.0,0.0,1594000000,0.0,0.0,1594000000,191063000000,0.0,841000000,0.0,191904000000,580844000000,774342000000,20000000,57577000000,-1155000000,20949000000,77391000000,851733000000,157604000000,191063000000,110668000000,https://www.sec.gov/Archives/edgar/data/895421/000119312518060831/0001193125-18-060831-index.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312518060831/d500533d10k.htm
2017-09-30,MS,2017-11-03,2017-11-03 07:37:45,Q3,48191000000,79086000000,127277000000,91207000000,0.0,0.0,218484000000,0.0,6590000000,2491000000,9081000000,79086000000,0.0,547042000000,635209000000,628100000000,853693000000,0.0,1087000000,0.0,0.0,0.0,1087000000,191677000000,0.0,0.0,0.0,191677000000,581951000000,774715000000,20000000,57554000000,-909000000,22313000000,78978000000,853693000000,158172000000,192764000000,144573000000,https://www.sec.gov/Archives/edgar/data/895421/000119312517331902/0001193125-17-331902-index.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312517331902/d437627d10q.htm
