date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,NEE,2020-04-23,2020-04-23 16:01:38,Q1,3335000000,6862000000,10197000000,0.0,1371000000,0.0,9725000000,83873000000,4201000000,0.0,4201000000,0.0,0.0,0.0,88074000000,22838000000,120637000000,3350000000,1576000000,0.0,8082000000,714000000,13722000000,41116000000,0.0,0.0,0.0,41116000000,0.0,120637000000,5000000.0,24922000000,-192000000,11668000000,36403000000,120637000000,6862000000,47206000000,43871000000,https://www.sec.gov/Archives/edgar/data/753308/000075330820000113/0000753308-20-000113-index.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330820000113/nee10q1q2020.htm
2019-12-31,NEE,2020-02-14,2020-02-14 15:24:19,FY,600000000,7453000000,8053000000,0.0,1328000000,0.0,7408000000,0.0,4204000000,0.0,4204000000,0.0,0.0,0.0,4204000000,106079000000,117691000000,3631000000,2516000000,0.0,8361000000,0.0,13853000000,37543000000,0.0,0.0,0.0,37543000000,0.0,117691000000,5000000.0,25199000000,-169000000,11970000000,37005000000,117691000000,7453000000,42583000000,41983000000,https://www.sec.gov/Archives/edgar/data/753308/000075330820000021/0000753308-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330820000021/nee-12312019x10k.htm
2019-09-30,NEE,2019-10-23,2019-10-23 15:02:01,Q3,1131000000,580000000,1711000000,2717000000,1451000000,1800000000,7679000000,78995000000,4129000000,0.0,4129000000,1649000000,0.0,-53096000000,27548000000,78995000000,114222000000,2838000000,2888000000,0.0,785000000,6803000000,13314000000,36144000000,0.0,8109000000,0.0,24524000000,39792000000,77630000000,5000000.0,24835000000,-181000000,11933000000,36592000000,114222000000,2229000000,39032000000,37901000000,https://www.sec.gov/Archives/edgar/data/753308/000075330819000207/0000753308-19-000207-index.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330819000207/nee10q3q2019.htm
2019-06-30,NEE,2019-07-24,2019-07-24 17:11:43,Q2,1019000000,805000000,1824000000,2553000000,1427000000,1667000000,7471000000,76136000000,3496000000,0.0,3496000000,1626000000,0.0,-50817000000,26945000000,76136000000,110552000000,2598000000,2673000000,0.0,840000000,8301000000,14412000000,33947000000,0.0,8086000000,0.0,23699000000,37531000000,75642000000,5000000.0,24554000000,-191000000,10542000000,34910000000,110552000000,2431000000,36620000000,35601000000,https://www.sec.gov/Archives/edgar/data/753308/000075330819000165/0000753308-19-000165-index.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330819000165/nee10q2q2019.htm
2019-03-31,NEE,2019-04-23,2019-04-23 17:18:57,Q1,972000000,474000000,1446000000,2191000000,1410000000,3175000000,8222000000,74794000000,3488000000,0.0,3488000000,1339000000,0.0,-50120000000,26013000000,74794000000,109029000000,2398000000,2614000000,0.0,890000000,12024000000,17926000000,29883000000,0.0,8050000000,0.0,23309000000,33568000000,74803000000,5000000.0,23919000000,-213000000,10515000000,34226000000,109029000000,1813000000,32497000000,31525000000,https://www.sec.gov/Archives/edgar/data/753308/000075330819000118/0000753308-19-000118-index.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330819000118/nee10q1q2019.htm
2018-12-31,NEE,2019-02-15,2019-02-15 17:22:00,FY,638000000,564000000,1202000000,2302000000,1223000000,1666000000,6393000000,70334000000,0.0,0.0,0.0,1355000000,235000000,-44949000000,26975000000,70334000000,103702000000,2386000000,2716000000,0.0,860000000,11601000000,17563000000,26782000000,0.0,7367000000,0.0,21476000000,30519000000,69558000000,5000000.0,23837000000,-188000000,10490000000,34144000000,103702000000,1919000000,29498000000,28860000000,https://www.sec.gov/Archives/edgar/data/753308/000075330819000039/0000753308-19-000039-index.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330819000039/nee-12312018x10k.htm
2018-09-30,NEE,2018-10-23,2018-10-23 16:23:56,Q3,497000000,463000000,960000000,2454000000,1083000000,3852000000,8349000000,68572000000,0.0,0.0,0.0,1375000000,0.0,-48265000000,21682000000,68572000000,98603000000,3000000000,2649000000,0.0,650000000,6508000000,12807000000,27048000000,0.0,7420000000,0.0,21410000000,30134000000,64351000000,5000000.0,23935000000,-158000000,10470000000,34252000000,98603000000,1838000000,29697000000,29200000000,https://www.sec.gov/Archives/edgar/data/753308/000075330818000159/0000753308-18-000159-index.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330818000159/nee10q3q2018singlesource.htm
2018-06-30,NEE,2018-07-25,2018-07-25 16:10:31,Q2,478000000,459000000,937000000,2230000000,1159000000,1559000000,5885000000,68659000000,0.0,0.0,0.0,1460000000,0.0,-49173000000,20946000000,68659000000,95490000000,2298000000,1613000000,0.0,680000000,5593000000,10184000000,28356000000,0.0,7162000000,0.0,20778000000,31507000000,62469000000,5000000.0,23453000000,-173000000,9736000000,33021000000,95490000000,1919000000,29969000000,29491000000,https://www.sec.gov/Archives/edgar/data/753308/000075330818000114/0000753308-18-000114-index.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330818000114/nee10q2q2018singlesource.htm
2018-03-31,NEE,2018-04-24,2018-04-24 16:49:33,Q1,550000000,1399000000,550000000,1881000000,1205000000,577000000,5612000000,67196000000,0.0,0.0,0.0,0.0,0.0,-45720000000,21476000000,67196000000,94284000000,1748000000,1168000000,0.0,750000000,5913000000,9579000000,28062000000,0.0,7007000000,0.0,20650000000,31349000000,61578000000,5000000.0,23181000000,-178000000,9698000000,32706000000,94284000000,1399000000,29230000000,28680000000,https://www.sec.gov/Archives/edgar/data/753308/000075330818000081/0000753308-18-000081-index.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330818000081/nee10q1q2018.htm
2017-12-31,NEE,2018-02-16,2018-02-16 15:44:58,FY,1714000000,1482000000,1714000000,2220000000,1273000000,468000000,7157000000,72416000000,0.0,0.0,0.0,0.0,417000000,-54579000000,18254000000,72416000000,97827000000,3235000000,1676000000,0.0,5754000000,6321000000,11232000000,31463000000,0.0,5754000000,0.0,25634000000,32753000000,69619000000,5000000.0,18992000000,111000000,9100000000,28208000000,97827000000,1482000000,33139000000,31425000000,https://www.sec.gov/Archives/edgar/data/753308/000075330818000013/0000753308-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330818000013/nee-12312017x10k.htm
2017-09-30,NEE,2017-10-26,2017-10-26 16:43:16,Q3,1381000000,1596000000,1381000000,2147000000,1352000000,551000000,7027000000,71088000000,0.0,0.0,0.0,0.0,0.0,-52422000000,18666000000,71088000000,96781000000,2256000000,2285000000,0.0,12563000000,7063000000,11604000000,30345000000,0.0,12563000000,0.0,27511000000,31268000000,70383000000,5000000.0,17299000000,48000000,9046000000,26398000000,96781000000,1596000000,32630000000,31249000000,https://www.sec.gov/Archives/edgar/data/753308/000075330817000142/0000753308-17-000142-index.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330817000142/neeq310q2017.htm
