date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,NFLX,2020-04-21,2020-04-21 17:17:26,Q1,5151884000,0.0,5151884000,0.0,0.0,1295897000,6447781000,650455000,0.0,0.0,0.0,0.0,0.0,27961674000,28612129000,27961674000,35059910000,545488000,499000000,0.0,987000000,5822237000,7853725000,14170692000,0.0,0.0,1420148000,15590840000,3206051000,26650616000,2935532000,5520816000,-47054000,0.0,8409294000,35059910000,0.0,14669692000,9517808000,https://www.sec.gov/Archives/edgar/data/1065280/000106528020000155/0001065280-20-000155-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528020000155/form10qq120.htm
2019-12-31,NFLX,2020-01-29,2020-01-29 16:03:25,FY,5018437000,0.0,5018437000,0.0,0.0,1160067000,6178504000,565221000,0.0,0.0,0.0,0.0,0.0,27231987000,27797208000,27231987000,33975712000,674347000,0.0,0.0,925000000,5256349000,6855696000,14759000000,0.0,0.0,1444276000,16203276000,3334583000,26393555000,2793929000,4811749000,-23521000,0.0,7582157000,33975712000,0.0,14759000000,9740563000,https://www.sec.gov/Archives/edgar/data/1065280/000106528020000040/0001065280-20-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528020000040/form10kq419.htm
2019-09-30,NFLX,2019-10-18,2019-10-18 13:24:20,Q3,4435018000,0.0,4435018000,0.0,0.0,892740000,5327758000,481992000,0.0,0.0,0.0,0.0,0.0,25131961000,25613953000,25131961000,30941711000,444129000,0.0,0.0,915506000,5898265000,7257900000,12426000000,0.0,0.0,977008000,13403008000,3419298000,24080206000,2677972000,4224779000,-41246000,0.0,6861505000,30941711000,0.0,12426000000,7990982000,https://www.sec.gov/Archives/edgar/data/1065280/000106528019000368/0001065280-19-000368-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528019000368/form10qq319.htm
2019-06-30,NFLX,2019-07-19,2019-07-19 16:18:58,Q2,5004247000,0.0,5004247000,0.0,0.0,872910000,5877157000,452399000,0.0,0.0,0.0,0.0,0.0,23841783000,24294182000,23841783000,30171339000,442194000,0.0,0.0,892777000,5599013000,6933984000,12594000000,0.0,0.0,973232000,13567232000,3564575000,24065791000,2566365000,3559535000,-20352000,0.0,6105548000,30171339000,0.0,12594000000,7589753000,https://www.sec.gov/Archives/edgar/data/1065280/000106528019000260/0001065280-19-000260-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528019000260/form10qq219.htm
2019-03-31,NFLX,2019-04-18,2019-04-18 17:12:02,Q1,3348557000,0.0,3348557000,0.0,0.0,820350000,4168907000,434372000,0.0,0.0,0.0,0.0,0.0,22615353000,23049725000,22615353000,27218632000,439496000,0.0,0.0,808692000,5609619000,6857807000,10305023000,0.0,0.0,792380000,11097403000,3560364000,21515574000,2439773000,3288885000,-25600000,0.0,5703058000,27218632000,0.0,10305023000,6956466000,https://www.sec.gov/Archives/edgar/data/1065280/000106528019000157/0001065280-19-000157-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528019000157/form10q_q119.htm
2018-12-31,NFLX,2019-01-29,2019-01-29 17:12:16,FY,3794483000,0.0,3794483000,0.0,0.0,5899652000,9694135000,418281000,0.0,0.0,0.0,0.0,0.0,15861984000,16280265000,15861984000,25974400000,562985000,0.0,0.0,760899000,5163436000,6487320000,10360058000,0.0,0.0,129231000,10489289000,3759026000,20735635000,2315988000,2942359000,-19582000,0.0,5238765000,25974400000,0.0,10360058000,6565575000,https://www.sec.gov/Archives/edgar/data/1065280/000106528019000043/0001065280-19-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528019000043/form10k_q418.htm
2018-09-30,NFLX,2018-10-18,2018-10-18 17:29:32,Q3,3067534000,0.0,3067534000,0.0,0.0,5662447000,8729981000,371152000,0.0,0.0,0.0,0.0,0.0,14265096000,14636248000,14265096000,23366229000,441427000,0.0,0.0,716723000,5140090000,6298240000,8336586000,0.0,0.0,127927000,8464513000,3593823000,18356576000,2215736000,2808425000,-14508000,0.0,5009653000,23366229000,0.0,8336586000,5269052000,https://www.sec.gov/Archives/edgar/data/1065280/000106528018000538/0001065280-18-000538-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528018000538/nflx-093018x10qxdoc.htm
2018-06-30,NFLX,2018-07-18,2018-07-18 16:07:21,Q2,3906357000,0.0,3906357000,0.0,0.0,5440532000,9346889000,349646000,0.0,0.0,0.0,0.0,0.0,12967002000,13316648000,12967002000,22663537000,448219000,0.0,0.0,697740000,4933682000,6079641000,8342067000,0.0,0.0,141071000,8483138000,3604158000,18166937000,2103437000,2405590000,-12427000,0.0,4496600000,22663537000,0.0,8342067000,4435710000,https://www.sec.gov/Archives/edgar/data/1065280/000106528018000360/0001065280-18-000360-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528018000360/nflx-063018x10qxdoc.htm
2018-03-31,NFLX,2018-04-18,2018-04-18 16:13:58,Q1,2593666000,0.0,2593666000,0.0,0.0,5223910000,7817576000,341932000,0.0,0.0,0.0,0.0,0.0,11993289000,12335221000,0.0,20152797000,436183000,0.0,0.0,673892000,4895512000,6005587000,6542373000,0.0,0.0,139631000,6682004000,3444476000,16132067000,1995225000,2021241000,4264000.0,0.0,4020730000,20152797000,0.0,6542373000,3948707000,https://www.sec.gov/Archives/edgar/data/1065280/000106528018000205/0001065280-18-000205-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528018000205/nflx-033118x10qxdoc.htm
2017-12-31,NFLX,2018-01-29,2018-01-29 17:29:30,FY,2822795000,0.0,2822795000,0.0,0.0,4847179000,7669974000,319404000,0.0,0.0,0.0,0.0,0.0,11023364000,11342768000,11023364000,19012742000,359555000,0.0,0.0,618622000,4488135000,5466312000,6499432000,0.0,0.0,135246000,6634678000,3329796000,15430786000,1871396000,1731117000,-20557000,0.0,3581956000,19012742000,0.0,6499432000,3676637000,https://www.sec.gov/Archives/edgar/data/1065280/000106528018000069/0001065280-18-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528018000069/q4nflx201710k.htm
2017-09-30,NFLX,2017-10-18,2017-10-18 16:27:55,Q3,1746469000,0.0,1746469000,0.0,0.0,4638879000,6385348000,322421000,0.0,0.0,0.0,0.0,0.0,10243771000,10566192000,10243771000,16951540000,301443000,0.0,0.0,535425000,4473809000,5310677000,4888783000,0.0,0.0,128215000,5016998000,3296504000,13624179000,1807123000,1545600000,-25362000,0.0,3327361000,16951540000,0.0,4888783000,3142314000,https://www.sec.gov/Archives/edgar/data/1065280/000106528017000180/0001065280-17-000180-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528017000180/nflx-093017x10qxdoc.htm
