date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-02-29,NKE,2020-04-07,2020-04-07 16:07:19,Q3,2863000000,319000000,3182000000,4473000000,5807000000,2282000000,15744000000,4783000000,223000000,275000000,498000000,0.0,2288000000,2907000000,10476000000,5195000000,26220000000,2221000000,4000000.0,268000000,2288000000,5787000000,8280000000,3463000000,0.0,2674000000,0.0,6137000000,2758000000,17175000000,0.0,1128000000,-57000000,7974000000,9045000000,26220000000,319000000,3467000000,604000000,https://www.sec.gov/Archives/edgar/data/320187/000032018720000018/0000320187-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018720000018/nke-229202010q.htm
2019-11-30,NKE,2020-01-07,2020-01-07 16:03:25,Q2,3070000000,432000000,3502000000,4792000000,6199000000,1876000000,16369000000,4668000000,224000000,277000000,501000000,0.0,2182000000,2882000000,10233000000,5064000000,26602000000,2627000000,6000000.0,228000000,2182000000,5403000000,8264000000,3462000000,0.0,2802000000,0.0,6264000000,2723000000,17251000000,0.0,1577000000,52000000,7722000000,9351000000,26602000000,432000000,3468000000,398000000,https://www.sec.gov/Archives/edgar/data/320187/000032018720000004/0000320187-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018720000004/nke-1130201910q.htm
2019-08-31,NKE,2019-10-04,2019-10-04 16:05:38,Q1,3446000000,198000000,3644000000,4656000000,5835000000,2093000000,16228000000,4615000000,224000000,279000000,503000000,0.0,2071000000,2832000000,10021000000,4903000000,26249000000,2716000000,6000000.0,216000000,2071000000,5132000000,8070000000,3463000000,0.0,2841000000,0.0,6304000000,2675000000,17049000000,0.0,1721000000,180000000,7299000000,9200000000,26249000000,198000000,3469000000,23000000,https://www.sec.gov/Archives/edgar/data/320187/000032018719000071/0000320187-19-000071-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018719000071/nke-831201910q.htm
2019-05-31,NKE,2019-07-23,2019-07-23 16:13:55,FY,4466000000,197000000,4663000000,4272000000,5622000000,1968000000,16525000000,4744000000,154000000,283000000,437000000,0.0,2011000000,0.0,7192000000,2011000000,23717000000,2612000000,6000000.0,229000000,3347000000,5019000000,7866000000,3464000000,0.0,3347000000,0.0,6811000000,0.0,14677000000,0.0,1643000000,231000000,7166000000,9040000000,23717000000,197000000,3470000000,-996000000,https://www.sec.gov/Archives/edgar/data/320187/000032018719000051/0000320187-19-000051-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018719000051/nke-531201910k.htm
2019-02-28,NKE,2019-04-04,2019-04-04 16:07:14,Q3,3695000000,351000000,4046000000,4549000000,5415000000,1786000000,15796000000,4688000000,154000000,283000000,437000000,0.0,2000000000,0.0,7125000000,2000000000,22921000000,2307000000,6000000.0,214000000,3214000000,4754000000,7281000000,3465000000,0.0,3214000000,0.0,6679000000,0.0,13960000000,0.0,1851000000,197000000,6913000000,8961000000,22921000000,351000000,3471000000,-224000000,https://www.sec.gov/Archives/edgar/data/320187/000032018719000030/0000320187-19-000030-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018719000030/nke-02282019x10q.htm
2018-11-30,NKE,2019-01-08,2019-01-08 16:08:39,Q2,3423000000,618000000,4041000000,4346000000,5388000000,1791000000,15566000000,4588000000,154000000,284000000,438000000,0.0,2085000000,0.0,7111000000,2085000000,22677000000,2574000000,6000000.0,211000000,2085000000,4487000000,7278000000,3466000000,0.0,3204000000,0.0,6670000000,0.0,13948000000,0.0,1810000000,209000000,6710000000,8729000000,22677000000,618000000,3472000000,49000000,https://www.sec.gov/Archives/edgar/data/320187/000032018719000007/0000320187-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018719000007/nke-11302018x10q.htm
2018-08-31,NKE,2018-10-05,2018-10-05 16:28:22,Q1,3282000000,987000000,4269000000,4330000000,5227000000,1675000000,15501000000,4487000000,154000000,284000000,438000000,0.0,2057000000,0.0,6982000000,2057000000,22483000000,2333000000,6000000.0,182000000,2057000000,4187000000,6708000000,3467000000,0.0,3316000000,0.0,6783000000,0.0,13491000000,0.0,2494000000,-30000000,6528000000,8992000000,22483000000,987000000,3473000000,191000000,https://www.sec.gov/Archives/edgar/data/320187/000032018718000213/0000320187-18-000213-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018718000213/nke-08312018x10q.htm
2018-05-31,NKE,2018-07-25,2018-07-24 18:22:39,FY,4249000000,996000000,5245000000,3498000000,5261000000,1130000000,15134000000,4454000000,154000000,285000000,439000000,0.0,2509000000,0.0,7402000000,2509000000,22536000000,2279000000,6000000.0,150000000,2509000000,3605000000,6040000000,3468000000,0.0,3216000000,0.0,6684000000,0.0,12724000000,0.0,3517000000,-92000000,6387000000,9812000000,22536000000,996000000,3474000000,-775000000,https://www.sec.gov/Archives/edgar/data/320187/000032018718000142/0000320187-18-000142-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018718000142/nke-5312018x10k.htm
2018-02-28,NKE,2018-04-05,2018-04-05 16:10:22,Q3,3662000000,1089000000,4751000000,3792000000,5366000000,1446000000,15355000000,4298000000,139000000,282000000,421000000,0.0,2478000000,0.0,7197000000,2478000000,22552000000,1961000000,6000000.0,78000000,2478000000,3738000000,5783000000,3469000000,0.0,3518000000,0.0,6987000000,0.0,12770000000,0.0,1078000000,-624000000,9328000000,9782000000,22552000000,1089000000,3475000000,-187000000,https://www.sec.gov/Archives/edgar/data/320187/000032018718000041/0000320187-18-000041-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018718000041/nke-02282018x10q.htm
2017-11-30,NKE,2018-01-05,2018-01-05 16:11:45,Q2,4304000000,2085000000,6389000000,3613000000,5326000000,1254000000,16582000000,4117000000,139000000,282000000,421000000,0.0,2935000000,0.0,7473000000,2935000000,24055000000,2141000000,10000000,92000000,2935000000,4507000000,6750000000,3472000000,0.0,2075000000,0.0,5547000000,0.0,12297000000,0.0,3301000000,-587000000,9044000000,11758000000,24055000000,2085000000,3482000000,-822000000,https://www.sec.gov/Archives/edgar/data/320187/000032018718000007/0000320187-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018718000007/nke-11302017x10q.htm
