date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-02-29,ORCL,2020-03-13,2020-03-13 16:21:31,Q3,23829000000,2029000000,25858000000,4162000000,0.0,3422000000,33442000000,6248000000,43781000000,4088000000,47869000000,2029000000,2883000000,6262000000,63262000000,7116000000,96704000000,533000000,2355000000,13168000000,7814000000,5038000000,15740000000,49320000000,603000000,13168000000,2992000000,66083000000,646000000,82469000000,0.01,-10771000000,-1679000000,26684999999.99,14235000000,96704000000,2029000000,51675000000,27846000000,https://www.sec.gov/Archives/edgar/data/1341439/000156459020010833/0001564590-20-010833-index.htm,https://www.sec.gov/Archives/edgar/data/1341439/000156459020010833/orcl-10q_20200229.htm
2019-11-30,ORCL,2019-12-13,2019-12-13 16:22:03,Q2,24540000000,2904000000,27444000000,4050000000,0.0,3046000000,34540000000,6270000000,43810000000,4492000000,48302000000,2904000000,2751000000,6580000000,63903000000,6427000000,98443000000,534000000,999000000,13042000000,8087000000,4972000000,14592000000,50670000000,615000000,13042000000,3339000000,67666000000,622000000,82880000000,0.01,-9174000000,-1637000000,26373999999.99,15563000000,98443000000,2904000000,51669000000,27129000000,https://www.sec.gov/Archives/edgar/data/1341439/000156459019045966/0001564590-19-045966-index.htm,https://www.sec.gov/Archives/edgar/data/1341439/000156459019045966/orcl-10q_20191130.htm
2019-08-31,ORCL,2019-09-13,2019-09-13 16:22:37,Q1,31083000000,4621000000,35704000000,3820000000,0.0,2860000000,42384000000,6264000000,43733000000,4861000000,48594000000,4621000000,2654000000,6333000000,63845000000,4366000000,106229000000,486000000,3748000000,13501000000,10089000000,4552000000,18875000000,50692000000,650000000,13501000000,3492000000,68335000000,586000000,87796000000,0.01,-6446000000,-1571000000,26449999999.99,18433000000,106229000000,4621000000,54440000000,23357000000,https://www.sec.gov/Archives/edgar/data/1341439/000156459019034717/0001564590-19-034717-index.htm,https://www.sec.gov/Archives/edgar/data/1341439/000156459019034717/orcl-10q_20190831.htm
2019-05-31,ORCL,2019-06-21,2019-06-21 16:29:05,FY,20514000000,17313000000,37827000000,5134000000,0.0,3425000000,46386000000,6252000000,43779000000,5279000000,49058000000,17313000000,2696000000,4317000000,62323000000,0.0,108709000000,580000000,4494000000,6348000000,8374000000,-1166000000,18630000000,51673000000,669000000,13295000000,2079000000,67716000000,578000000,86924000000,0.01,-3496000000,-1628000000,26908999999.99,21785000000,108709000000,17313000000,56167000000,35653000000,https://www.sec.gov/Archives/edgar/data/1341439/000156459019023119/0001564590-19-023119-index.htm,https://www.sec.gov/Archives/edgar/data/1341439/000156459019023119/orcl-10k_20190531.htm
2019-02-28,ORCL,2019-03-18,2019-03-18 16:12:45,Q3,14720000000,25310000000,40030000000,3993000000,0.0,3594000000,47617000000,6197000000,43776000000,5678000000,49454000000,25310000000,2033000000,4137000000,61821000000,0.0,109438000000,603000000,4487000000,13208000000,8007000000,4889000000,17986000000,51672000000,626000000,13208000000,1708000000,67214000000,524000000,85724000000,0.01,-1284000000,-1734000000,26731999999.99,23714000000,109438000000,25310000000,56159000000,41439000000,https://www.sec.gov/Archives/edgar/data/1341439/000156459019008273/0001564590-19-008273-index.htm,https://www.sec.gov/Archives/edgar/data/1341439/000156459019008273/orcl-10q_20190228.htm
2018-11-30,ORCL,2018-12-19,2018-12-19 16:15:00,Q2,10824000000,38567000000,49391000000,3975000000,0.0,3572000000,56938000000,6003000000,43778000000,6103000000,49881000000,38567000000,1482000000,4014000000,61380000000,0.0,118318000000,587000000,6477000000,13001000000,8246000000,5005000000,20315000000,51561000000,652000000,13001000000,1734000000,66948000000,483000000,87746000000,0.01,5107000000,-1965000000,27429999999.99,30572000000,118318000000,38567000000,58038000000,47214000000,https://www.sec.gov/Archives/edgar/data/1341439/000156459018031113/0001564590-18-031113-index.htm,https://www.sec.gov/Archives/edgar/data/1341439/000156459018031113/orcl-10q_20181130.htm
2018-08-31,ORCL,2018-09-19,2018-09-19 16:53:42,Q1,18455000000,41639000000,60094000000,3729000000,0.0,3186000000,67009000000,5918000000,43702000000,6295000000,49997000000,41639000000,1433000000,4001000000,61349000000,0.0,128358000000,527000000,3743000000,13513000000,10349000000,4943000000,19562000000,54386000000,670000000,13513000000,1663000000,70232000000,497000000,90291000000,0.01,12022000000,-1766000000,27810999999.99,38067000000,128358000000,41639000000,58129000000,39674000000,https://www.sec.gov/Archives/edgar/data/1341439/000156459018023315/0001564590-18-023315-index.htm,https://www.sec.gov/Archives/edgar/data/1341439/000156459018023315/orcl-10q_20180831.htm
2018-05-31,ORCL,2018-06-22,2018-06-22 16:09:07,FY,21620000000,45641000000,67261000000,5279000000,0.0,3424000000,75964000000,5897000000,43755000000,6670000000,50425000000,45641000000,1491000000,3487000000,61300000000,0.0,137264000000,529000000,4491000000,5585000000,8429000000,161000000,19195000000,56128000000,625000000,13422000000,1670000000,71845000000,498000000,91538000000,0.01,18412000000,-1636000000,28949999999.99,45726000000,137264000000,45641000000,60619000000,38999000000,https://www.sec.gov/Archives/edgar/data/1341439/000119312518201034/0001193125-18-201034-index.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312518201034/d568983d10k.htm
2018-02-28,ORCL,2018-03-21,2018-03-21 16:12:09,Q3,19487000000,50968000000,70455000000,3902000000,496000000,2879000000,77732000000,5904000000,42965000000,6400000000,49365000000,50968000000,1815000000,3385000000,60469000000,0.0,138201000000,603000000,4491000000,13296000000,8003000000,4871000000,17968000000,56224000000,607000000,13296000000,1834000000,71961000000,483000000,90412000000,0.01,20037000000,-1296000000,29047999999.99,47789000000,138201000000,50968000000,60715000000,41228000000,https://www.sec.gov/Archives/edgar/data/1341439/000119312518090646/0001193125-18-090646-index.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312518090646/d548579d10q.htm
2017-11-30,ORCL,2017-12-18,2017-12-18 17:03:58,Q2,21310000000,50270000000,71580000000,3798000000,436000000,2731000000,78545000000,5868000000,42964000000,6794000000,49758000000,50270000000,1222000000,3369000000,60217000000,0.0,138762000000,554000000,2499000000,6082000000,8076000000,4365000000,15494000000,58170000000,597000000,6082000000,2119000000,66968000000,432000000,82894000000,0.01,28296000000,-902000000,28473999999.99,55868000000,138762000000,50270000000,60669000000,39359000000,https://www.sec.gov/Archives/edgar/data/1341439/000119312517372232/0001193125-17-372232-index.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312517372232/d510241d10q.htm
