date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,OXY,2020-05-06,2020-05-06 08:58:13,Q1,2021000000,5932000000,2021000000,2500000000,1436000000,2220000000,14109000000,79073000000,0.0,0.0,0.0,0.0,0.0,8461000000,87534000000,0.0,101643000000,3845000000,2464000000,0.0,9403000000,5654000000,11963000000,36058000000,0.0,9403000000,4743000000,50204000000,8181000000,70348000000,210000000,17229000000,-334000000,14190000000,31295000000,101643000000,5932000000,38522000000,36501000000,https://www.sec.gov/Archives/edgar/data/797468/000079746820000010/0000797468-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/797468/000079746820000010/oxy-20200331.htm
2019-12-31,OXY,2020-02-28,2020-02-27 21:59:03,FY,3032000000,6479000000,3032000000,6400000000,1447000000,1323000000,18681000000,80469000000,0.0,0.0,0.0,54000000,3700000000,6426000000,90649000000,90649000000,109330000000,7017000000,51000000,2200000000,280000000,5401000000,14949000000,38537000000,0.0,9717000000,3814000000,52068000000,8081000000,75098000000,209000000,20180000000,-221000000,14064000000,34232000000,109330000000,6533000000,38588000000,35556000000,https://www.sec.gov/Archives/edgar/data/797468/000079746820000004/0000797468-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/797468/000079746820000004/oxy10k12-31x2019.htm
2019-09-30,OXY,2019-11-04,2019-11-04 17:09:33,Q3,4840000000,2158000000,4840000000,5900000000,1601000000,6445000000,20944000000,90121000000,6074000000,2387000000,8461000000,55000000,0.0,5862000000,104499000000,96038000000,125443000000,6789000000,31000000,1036000000,150000000,7691000000,15697000000,47583000000,0.0,9920000000,3566000000,61069000000,12597000000,89363000000,209000000,22227000000,-332000000,13976000000,36080000000,125443000000,2213000000,47614000000,42774000000,https://www.sec.gov/Archives/edgar/data/797468/000079746819000016/0000797468-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/797468/000079746819000016/oxyform10q93019.htm
2019-06-30,OXY,2019-07-31,2019-07-31 17:04:40,Q2,1751000000,-27000000,1751000000,5300000000,1582000000,819000000,9425000000,32115000000,0.0,0.0,0.0,0.0,0.0,3230000000,35345000000,3230000000,44770000000,5445000000,116000000,0.0,950000000,2319000000,7880000000,10155000000,0.0,950000000,977000000,12082000000,3461000000,23423000000,179000000,23848000000,-184000000,0.0,21347000000,44770000000,-27000000,10271000000,8520000000,https://www.sec.gov/Archives/edgar/data/797468/000079746819000012/0000797468-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/797468/000079746819000012/oxyform10q63019.htm
2019-03-31,OXY,2019-05-06,2019-05-06 17:04:39,Q1,1752000000,1725000000,1752000000,5310000000,1484000000,724000000,9270000000,31900000000,0.0,0.0,0.0,0.0,0.0,3210000000,35110000000,3210000000,44380000000,5261000000,116000000,0.0,918000000,2160000000,7537000000,10203000000,0.0,918000000,1020000000,12141000000,3466000000,23144000000,179000000,23795000000,-168000000,0.0,21236000000,44380000000,1725000000,10319000000,8567000000,https://www.sec.gov/Archives/edgar/data/797468/000079746819000007/0000797468-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/797468/000079746819000007/oxyform10q33119.htm
2018-12-31,OXY,2019-02-21,2019-02-21 17:29:15,FY,3033000000,1680000000,3033000000,4893000000,1260000000,746000000,9932000000,31437000000,0.0,0.0,0.0,0.0,1300000000,1185000000,33922000000,0.0,43854000000,4885000000,116000000,0.0,907000000,2411000000,7412000000,10201000000,0.0,907000000,1009000000,12117000000,2995000000,22524000000,179000000,23750000000,-172000000,0.0,21330000000,43854000000,1680000000,10317000000,7284000000,https://www.sec.gov/Archives/edgar/data/797468/000079746819000004/0000797468-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/797468/000079746819000004/oxy10k12-31x2018.htm
2018-09-30,OXY,2018-11-05,2018-11-05 16:27:58,Q3,2954000000,1568000000,2954000000,6000000000,1009000000,1149000000,11112000000,31155000000,0.0,0.0,0.0,0.0,0.0,2690000000,33845000000,2690000000,44957000000,5443000000,116000000,0.0,1162000000,2813000000,8372000000,10198000000,0.0,1162000000,915000000,12275000000,2821000000,23468000000,179000000,23635000000,-154000000,0.0,21489000000,44957000000,1568000000,10314000000,7360000000,https://www.sec.gov/Archives/edgar/data/797468/000079746818000017/0000797468-18-000017-index.htm,https://www.sec.gov/Archives/edgar/data/797468/000079746818000017/oxyform10q93018.htm
2018-06-30,OXY,2018-08-08,2018-08-08 16:54:25,Q2,1362000000,1664000000,1362000000,5521000000,1347000000,1096000000,10990000000,30432000000,0.0,0.0,0.0,0.0,0.0,2645000000,33077000000,2645000000,44067000000,5412000000,0.0,0.0,738000000,2666000000,8078000000,10312000000,0.0,738000000,1023000000,12073000000,2985000000,23136000000,179000000,22361000000,-308000000,0.0,20931000000,44067000000,1664000000,10312000000,8950000000,https://www.sec.gov/Archives/edgar/data/797468/000079746818000014/0000797468-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/797468/000079746818000014/oxyform10q63018.htm
2018-03-31,OXY,2018-05-08,2018-05-08 16:25:29,Q1,1606000000,335000000,1606000000,5184000000,1057000000,712000000,8894000000,31344000000,0.0,0.0,0.0,0.0,0.0,2570000000,33914000000,2570000000,42808000000,5059000000,0.0,0.0,659000000,2011000000,7070000000,10309000000,0.0,659000000,1063000000,12031000000,2985000000,22086000000,179000000,22107000000,-312000000,0.0,20722000000,42808000000,335000000,10309000000,8703000000,https://www.sec.gov/Archives/edgar/data/797468/000079746818000008/0000797468-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/797468/000079746818000008/oxyform10q33118.htm
2017-12-31,OXY,2018-02-23,2018-02-23 17:19:51,FY,1672000000,474000000,1672000000,4145000000,1246000000,733000000,8270000000,31174000000,0.0,0.0,0.0,0.0,1825000000,757000000,33756000000,0.0,42026000000,4408000000,500000000,22000000,581000000,2470000000,7400000000,9328000000,0.0,581000000,1171000000,11080000000,2974000000,21454000000,179000000,21935000000,-258000000,0.0,20572000000,42026000000,474000000,9828000000,8156000000,https://www.sec.gov/Archives/edgar/data/797468/000079746818000005/0000797468-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/797468/000079746818000005/oxy10k12-31x2017.htm
