date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-29,PFE,2020-05-07,2020-05-07 10:42:57,Q1,2151000000,15524000000,17675000000,9881000000,8423000000,0.0,34738000000,14040000000,58502000000,34464000000,92966000000,0.0,0.0,0.0,107006000000,24592000000,166336000000,3972000000,16007000000,1150000000,0.0,13911000000,33890000000,16007000000,0.0,2207000000,6812000000,25026000000,0.0,100998000000,470000000,101000000000,-13131000000,0.0,65026000000,166336000000,15524000000,52288000000,50137000000,https://www.sec.gov/Archives/edgar/data/78003/000007800320000037/0000078003-20-000037-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800320000037/pfe-03292020x10q.htm
2019-12-31,PFE,2020-02-27,2020-02-27 14:15:12,FY,1305000000,8525000000,9830000000,8724000000,8283000000,5966000000,32803000000,13967000000,58653000000,35370000000,94023000000,3014000000,7288000000,16394000000,134686000000,26696000000,167489000000,4220000000,1462000000,980000000,0.0,30642000000,37304000000,35955000000,0.0,5578000000,6317000000,47850000000,19192000000,104346000000,468000000,97670000000,-11640000000,0.0,63143000000,167489000000,11539000000,37417000000,36112000000,https://www.sec.gov/Archives/edgar/data/78003/000007800320000014/0000078003-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800320000014/pfe-12312019x10kshell.htm
2019-09-29,PFE,2019-11-07,2019-11-07 15:55:42,Q3,2785000000,6302000000,9087000000,9439000000,8222000000,6711000000,33459000000,13701000000,58665000000,38995000000,97660000000,2723000000,0.0,22903000000,136987000000,25626000000,170446000000,3942000000,2431000000,1892000000,0.0,28709000000,36974000000,36044000000,0.0,6724000000,6381000000,49149000000,19220000000,105343000000,468000000,100113000000,-11801000000,0.0,65103000000,170446000000,9025000000,38475000000,35690000000,https://www.sec.gov/Archives/edgar/data/78003/000007800319000082/0000078003-19-000082-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800319000082/pfe-09292019x10q.htm
2019-06-30,PFE,2019-08-08,2019-08-08 16:23:48,Q2,1784000000,5027000000,6811000000,9793000000,8233000000,22236000000,47073000000,13521000000,53352000000,33024000000,86376000000,430000000,0.0,8799000000,109126000000,9229000000,156199000000,4002000000,2139000000,1536000000,0.0,24353000000,32030000000,36168000000,0.0,3180000000,6183000000,45531000000,19070000000,96631000000,468000000,94440000000,-11535000000,0.0,59568000000,156199000000,5457000000,38307000000,36523000000,https://www.sec.gov/Archives/edgar/data/78003/000007800319000064/0000078003-19-000064-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800319000064/pfe-06302019x10q.htm
2019-03-31,PFE,2019-05-09,2019-05-09 16:09:55,Q1,1937000000,9682000000,11619000000,9599000000,8029000000,16043000000,45290000000,13467000000,53487000000,34039000000,87526000000,2859000000,0.0,6279000000,110131000000,9138000000,155421000000,4156000000,4471000000,1849000000,0.0,18947000000,29423000000,35733000000,0.0,3591000000,6346000000,45670000000,21522000000,96615000000,468000000,93388000000,-10923000000,0.0,58806000000,155421000000,12541000000,40204000000,38267000000,https://www.sec.gov/Archives/edgar/data/78003/000007800319000026/0000078003-19-000026-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800319000026/pfe-03312019x10q.htm
2018-12-31,PFE,2019-02-28,2019-02-28 14:35:32,FY,1139000000,17694000000,18833000000,8025000000,7508000000,15560000000,49926000000,13385000000,53411000000,35211000000,88622000000,2767000000,6508000000,-1786000000,109496000000,7489000000,159422000000,4674000000,4776000000,1265000000,0.0,21143000000,31858000000,32909000000,0.0,3700000000,5850000000,42459000000,21698000000,96015000000,467000000,89554000000,-11275000000,0.0,63407000000,159422000000,20461000000,37685000000,36546000000,https://www.sec.gov/Archives/edgar/data/78003/000007800319000015/0000078003-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800319000015/pfe-12312018x10kshell.htm
2018-09-30,PFE,2018-11-08,2018-11-08 16:42:41,Q3,3559000000,13680000000,17239000000,10024000000,8184000000,6136000000,41583000000,14036000000,55614000000,45306000000,100920000000,6444000000,0.0,4855000000,126255000000,11299000000,167838000000,4297000000,4255000000,2781000000,0.0,17680000000,29013000000,33652000000,0.0,5512000000,6367000000,45531000000,21975000000,96519000000,466000000,91995000000,-10417000000,0.0,71319000000,167838000000,20124000000,37907000000,34348000000,https://www.sec.gov/Archives/edgar/data/78003/000007800318000091/0000078003-18-000091-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800318000091/pfe-09302018x10q.htm
2018-07-01,PFE,2018-08-09,2018-08-09 16:29:29,Q2,2704000000,10727000000,13431000000,9873000000,8074000000,5925000000,37303000000,13919000000,55836000000,46584000000,102420000000,6595000000,0.0,4743000000,127677000000,11338000000,164980000000,4196000000,4262000000,2481000000,0.0,21217000000,32156000000,28935000000,0.0,5743000000,5947000000,40625000000,22421000000,95202000000,465000000,89860000000,-10003000000,0.0,69778000000,164980000000,17322000000,33197000000,30493000000,https://www.sec.gov/Archives/edgar/data/78003/000007800318000070/0000078003-18-000070-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800318000070/pfe-07012018x10q.htm
2018-04-01,PFE,2018-05-10,2018-05-10 13:32:01,Q1,2302000000,9119000000,11421000000,9452000000,8148000000,5814000000,34835000000,13971000000,56393000000,47690000000,104083000000,6945000000,0.0,4778000000,129777000000,11723000000,164612000000,3879000000,4763000000,1614000000,0.0,17109000000,27365000000,31831000000,0.0,5967000000,5644000000,43442000000,23621000000,94428000000,465000000,89961000000,-9402000000,0.0,70184000000,164612000000,16064000000,36594000000,34292000000,https://www.sec.gov/Archives/edgar/data/78003/000007800318000045/0000078003-18-000045-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800318000045/pfe-04012018x10q.htm
2017-12-31,PFE,2018-02-22,2018-02-22 15:42:15,FY,1342000000,18650000000,19992000000,8221000000,7578000000,5350000000,41141000000,13865000000,55952000000,48741000000,104693000000,7015000000,8529000000,-3446000000,130656000000,12098000000,171797000000,4656000000,3546000000,477000000,0.0,21748000000,30427000000,33538000000,0.0,3900000000,6149000000,43587000000,26475000000,100489000000,464000000,85291000000,-9321000000,0.0,71308000000,171797000000,25665000000,37084000000,35742000000,https://www.sec.gov/Archives/edgar/data/78003/000007800318000027/0000078003-18-000027-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800318000027/pfe-12312017x10kshell.htm
