date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,PG,2020-04-20,2020-04-20 16:17:10,Q3,15393000000,0.0,15393000000,4640000000,5330000000,1777000000,27140000000,20459000000,39617000000,23834000000,63451000000,0.0,0.0,7510000000,91420000000,7510000000,118560000000,10464000000,12701000000,0.0,6309000000,9731000000,32896000000,23310000000,0.0,6309000000,10104000000,39723000000,0.0,72619000000,4009000000,99474000000,-15916000000,0.0,45941000000,118560000000,0.0,36011000000,20618000000,https://www.sec.gov/Archives/edgar/data/80424/000008042420000038/0000080424-20-000038-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042420000038/pg-20200331.htm
2019-12-31,PG,2020-01-23,2020-01-23 16:16:32,Q2,6279000000,0.0,6279000000,5196000000,5521000000,1921000000,18917000000,21250000000,39998000000,23980000000,63978000000,0.0,0.0,7578000000,92806000000,7578000000,111723000000,10781000000,9153000000,0.0,6242000000,10230000000,30164000000,18985000000,0.0,6242000000,10424000000,35651000000,0.0,65815000000,4009000000,98414000000,-14942000000,0.0,45908000000,111723000000,0.0,28138000000,21859000000,https://www.sec.gov/Archives/edgar/data/80424/000008042420000017/0000080424-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042420000017/pg-20191231.htm
2019-09-30,PG,2019-10-22,2019-10-22 16:18:13,Q1,9304000000,0.0,9304000000,5143000000,5465000000,2013000000,21925000000,20901000000,39605000000,24002000000,63607000000,0.0,0.0,7625000000,92133000000,7625000000,114058000000,10951000000,9352000000,0.0,6325000000,9950000000,30253000000,20161000000,0.0,6325000000,10335000000,36821000000,0.0,67074000000,4009000000,96625000000,-15298000000,0.0,46984000000,114058000000,0.0,29513000000,20209000000,https://www.sec.gov/Archives/edgar/data/80424/000008042419000086/0000080424-19-000086-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042419000086/fy1920q1jas10-qreport.htm
2019-06-30,PG,2019-08-06,2019-08-06 16:26:04,FY,4239000000,6048000000,10287000000,4951000000,5017000000,2218000000,22473000000,21271000000,40273000000,24215000000,64488000000,0.0,0.0,6863000000,92622000000,6863000000,115095000000,11260000000,9697000000,0.0,6899000000,9054000000,30011000000,20395000000,0.0,6899000000,10211000000,37505000000,0.0,67516000000,4009000000,94918000000,-14936000000,0.0,47579000000,115095000000,6048000000,30092000000,25853000000,https://www.sec.gov/Archives/edgar/data/80424/000008042419000050/0000080424-19-000050-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042419000050/fy181910-kreport.htm
2019-03-31,PG,2019-04-23,2019-04-23 16:17:21,Q3,2738000000,7085000000,9823000000,5198000000,5358000000,1933000000,22312000000,20993000000,46753000000,25836000000,72589000000,0.0,0.0,5779000000,99361000000,5779000000,121673000000,10207000000,8911000000,0.0,6951000000,9252000000,28370000000,21359000000,0.0,6951000000,9441000000,37751000000,0.0,66121000000,4009000000,102103000000,-14968000000,0.0,55552000000,121673000000,7085000000,30270000000,27532000000,https://www.sec.gov/Archives/edgar/data/80424/000008042419000031/0000080424-19-000031-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042419000031/fy1819q3jfm10-qreport.htm
2018-12-31,PG,2019-01-23,2019-01-23 16:19:23,Q2,3696000000,8421000000,12117000000,5055000000,5281000000,1978000000,24431000000,20822000000,46932000000,25947000000,72879000000,0.0,0.0,5555000000,99256000000,5555000000,123687000000,10266000000,12113000000,0.0,6872000000,8868000000,31247000000,21514000000,0.0,6872000000,9611000000,37997000000,0.0,69244000000,4009000000,101170000000,-15156000000,0.0,54443000000,123687000000,8421000000,33627000000,29931000000,https://www.sec.gov/Archives/edgar/data/80424/000008042419000014/0000080424-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042419000014/fy1819q2ond10-qreport.htm
2018-09-30,PG,2018-10-19,2018-10-19 16:17:31,Q1,2545000000,8708000000,11253000000,5035000000,5182000000,1876000000,23346000000,20590000000,45225000000,23919000000,69144000000,0.0,0.0,5360000000,95094000000,5360000000,118440000000,10243000000,10508000000,0.0,6179000000,8469000000,29220000000,20779000000,0.0,6179000000,9758000000,36716000000,0.0,65936000000,4009000000,99831000000,-15133000000,0.0,52504000000,118440000000,8708000000,31287000000,28742000000,https://www.sec.gov/Archives/edgar/data/80424/000008042418000100/0000080424-18-000100-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042418000100/fy1819q1jas10-qreport.htm
2018-06-30,PG,2018-08-07,2018-08-07 16:19:22,FY,2569000000,9281000000,11850000000,4686000000,4738000000,2046000000,23320000000,20600000000,45175000000,23902000000,69077000000,0.0,0.0,5313000000,94990000000,5313000000,118310000000,10344000000,10423000000,0.0,6163000000,7470000000,28237000000,20863000000,0.0,6163000000,10164000000,37190000000,0.0,65427000000,4009000000,98641000000,-14749000000,0.0,52883000000,118310000000,9281000000,31286000000,28717000000,https://www.sec.gov/Archives/edgar/data/80424/000008042418000055/0000080424-18-000055-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042418000055/fy171810-kreport.htm
2018-03-31,PG,2018-04-19,2018-04-19 16:12:04,Q3,5326000000,10208000000,15534000000,5149000000,5207000000,2070000000,27960000000,20925000000,46175000000,24129000000,70304000000,0.0,0.0,5180000000,96409000000,5180000000,124369000000,9716000000,12862000000,0.0,6083000000,8133000000,30711000000,22437000000,0.0,6083000000,10192000000,38712000000,0.0,69423000000,4009000000,98623000000,-13891000000,0.0,54946000000,124369000000,10208000000,35299000000,29973000000,https://www.sec.gov/Archives/edgar/data/80424/000008042418000034/0000080424-18-000034-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042418000034/fy1718q3jfm10-qreport.htm
2017-12-31,PG,2018-01-23,2018-01-23 16:17:22,Q2,7432000000,11326000000,18758000000,5182000000,5131000000,2143000000,31214000000,20420000000,45624000000,24224000000,69848000000,0.0,0.0,5162000000,95430000000,5162000000,126644000000,9740000000,15547000000,0.0,6145000000,7820000000,33107000000,22186000000,0.0,6145000000,10485000000,38816000000,0.0,71923000000,4009000000,97881000000,-14171000000,0.0,54721000000,126644000000,11326000000,37733000000,30301000000,https://www.sec.gov/Archives/edgar/data/80424/000008042418000013/0000080424-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042418000013/fy1718q2ond10-qreport.htm
