date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-31,PM,2020-04-28,2020-04-28 09:11:51,Q1,3746000000,549000000,3746000000,2785000000,9045000000,736000000,16861000000,6107000000,5284000000,1850000000,7134000000,0.0,1113000000,6279000000,20633000000,0.0,37494000000,2073000000,1933000000,811000000,1113000000,11767000000,16584000000,24999000000,0.0,838000000,0.0,25837000000,8017000000,50438000000,0.0,30984000000,-10774000000,0.0,-12944000000,37494000000,549000000,26932000000,23186000000,https://www.sec.gov/Archives/edgar/data/1413329/000141332920000032/0001413329-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332920000032/pm-033120x10qxdoc.htm
2019-12-31,PM,2020-02-07,2020-02-07 06:47:13,FY,6861000000,637000000,6861000000,3080000000,9235000000,701000000,20514000000,6631000000,5858000000,2113000000,7971000000,0.0,1153000000,6606000000,22361000000,14390000000,42875000000,2299000000,4051000000,796000000,1153000000,11687000000,18833000000,26656000000,0.0,908000000,0.0,27564000000,8055000000,54452000000,0.0,30987000000,-9363000000,0.0,-11577000000,42875000000,637000000,30707000000,23846000000,https://www.sec.gov/Archives/edgar/data/1413329/000141332920000007/0001413329-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332920000007/pm123119form10kwrapinc.htm
2019-09-30,PM,2019-10-24,2019-10-24 07:05:38,Q3,6507000000,656000000,6507000000,3073000000,8529000000,810000000,19575000000,6636000000,5720000000,2088000000,7808000000,0.0,968000000,6433000000,21845000000,0.0,41420000000,1704000000,5035000000,723000000,968000000,10583000000,18045000000,26426000000,0.0,905000000,0.0,27331000000,7054000000,52430000000,0.0,31197000000,-8966000000,0.0,-11010000000,41420000000,656000000,31461000000,24954000000,https://www.sec.gov/Archives/edgar/data/1413329/000141332919000071/0001413329-19-000071-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332919000071/pm-093019x10qxdoc.htm
2019-06-30,PM,2019-07-25,2019-07-25 06:40:07,Q2,4008000000,568000000,4008000000,3506000000,8255000000,826000000,17163000000,6917000000,5828000000,2130000000,7958000000,0.0,1042000000,6843000000,22760000000,268000000,39923000000,1708000000,4762000000,594000000,1042000000,10982000000,18046000000,24858000000,0.0,786000000,0.0,25644000000,7432000000,51122000000,0.0,31128000000,-9051000000,0.0,-11199000000,39923000000,568000000,29620000000,25612000000,https://www.sec.gov/Archives/edgar/data/1413329/000141332919000055/0001413329-19-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332919000055/pm-063019x10qxdoc.htm
2019-03-31,PM,2019-04-25,2019-04-25 07:17:40,Q1,3081000000,577000000,3081000000,2958000000,8318000000,807000000,15741000000,6894000000,5775000000,2129000000,7904000000,0.0,951000000,6552000000,22301000000,98000000,38042000000,1812000000,5582000000,370000000,951000000,10722000000,18486000000,23131000000,0.0,921000000,0.0,24052000000,7472000000,50010000000,0.0,30588000000,-9237000000,0.0,-11968000000,38042000000,577000000,28713000000,25632000000,https://www.sec.gov/Archives/edgar/data/1413329/000141332919000034/0001413329-19-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332919000034/pm-033119x10qxdoc.htm
2018-12-31,PM,2019-02-07,2019-02-07 15:09:20,FY,6593000000,614000000,6593000000,2950000000,8804000000,481000000,19442000000,7201000000,7189000000,2278000000,9467000000,0.0,977000000,2714000000,20359000000,10892000000,39801000000,2068000000,4054000000,576000000,977000000,10493000000,17191000000,26975000000,0.0,898000000,0.0,27873000000,7196000000,52260000000,0.0,31014000000,-10111000000,0.0,-12459000000,39801000000,614000000,31029000000,24436000000,https://www.sec.gov/Archives/edgar/data/1413329/000141332919000007/0001413329-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332919000007/pm123118form10kwrapinclfsm.htm
2018-09-30,PM,2018-10-25,2018-10-25 07:12:24,Q3,5880000000,586000000,5880000000,2936000000,8440000000,696000000,18538000000,7138000000,7271000000,2317000000,9588000000,0.0,990000000,3126000000,20842000000,0.0,39380000000,1662000000,3042000000,632000000,990000000,10263000000,15599000000,28179000000,0.0,809000000,0.0,28988000000,6513000000,51100000000,0.0,30877000000,-9199000000,0.0,-11720000000,39380000000,586000000,31221000000,25341000000,https://www.sec.gov/Archives/edgar/data/1413329/000141332918000053/0001413329-18-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332918000053/pm-093018x10qxdoc.htm
2018-06-30,PM,2018-07-26,2018-07-26 07:37:19,Q2,6587000000,836000000,6587000000,2936000000,8925000000,744000000,20028000000,7113000000,7312000000,2336000000,9648000000,0.0,909000000,3023000000,20693000000,8752000000,40721000000,1953000000,3025000000,543000000,909000000,11920000000,17441000000,28048000000,0.0,793000000,0.0,28841000000,6354000000,52636000000,0.0,30406000000,-8908000000,0.0,-11915000000,40721000000,836000000,31073000000,24486000000,https://www.sec.gov/Archives/edgar/data/1413329/000141332918000039/0001413329-18-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332918000039/pm-063018x10qxdoc.htm
2018-03-31,PM,2018-04-26,2018-04-26 07:58:37,Q1,7200000000,521000000,7200000000,3373000000,8592000000,907000000,20593000000,7459000000,7667000000,2455000000,10122000000,0.0,1150000000,3746000000,22477000000,0.0,43070000000,2156000000,4662000000,508000000,1150000000,10362000000,17688000000,29578000000,0.0,822000000,0.0,30400000000,7332000000,55420000000,0.0,29985000000,-8883000000,0.0,-12350000000,43070000000,521000000,34240000000,27040000000,https://www.sec.gov/Archives/edgar/data/1413329/000141332918000023/0001413329-18-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332918000023/pm-033118x10qxdoc.htm
2017-12-31,PM,2018-02-13,2018-02-13 08:07:16,FY,8447000000,1074000000,8447000000,3738000000,8806000000,603000000,21594000000,7271000000,7666000000,2432000000,10098000000,1074000000,1007000000,1924000000,21374000000,11276000000,42968000000,2242000000,2506000000,812000000,1007000000,10402000000,15962000000,31334000000,0.0,799000000,0.0,32133000000,6959000000,55054000000,0.0,29859000000,-8535000000,0.0,-12086000000,42968000000,1074000000,33840000000,25393000000,https://www.sec.gov/Archives/edgar/data/1413329/000141332918000007/0001413329-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332918000007/pm123117form10kwrapinclfsm.htm
