date,symbol,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-03-29,QCOM,2020-04-29,2020-04-29 16:15:43,Q2,8403000000,1543000000,9946000000,3081000000,1700000000,586000000,15313000000,3358000000,6294000000,1889000000,8183000000,1543000000,1249000000,3835000000,16625000000,3541000000,31938000000,2061000000,2499000000,1879000000,529000000,4685000000,9774000000,13449000000,968000000,1879000000,0.0,16296000000,2823000000,28893000000,0.0001,2990000000,55000000,0.0,3045000000,31938000000,1543000000,15948000000,7545000000,https://www.sec.gov/Archives/edgar/data/804328/000172894920000031/0001728949-20-000031-index.htm,https://www.sec.gov/Archives/edgar/data/804328/000172894920000031/qcom-20200329.htm
2019-12-29,QCOM,2020-02-05,2020-02-05 16:07:43,Q1,11109000000,314000000,11423000000,2737000000,1420000000,625000000,16205000000,3171000000,6297000000,2045000000,8342000000,314000000,1254000000,4139000000,16906000000,5079000000,33111000000,1718000000,2498000000,2054000000,511000000,4467000000,9194000000,13437000000,1061000000,2054000000,0.0,16552000000,2852000000,28598000000,0.0001,4376000000,137000000,0.0,4513000000,33111000000,314000000,15935000000,4826000000,https://www.sec.gov/Archives/edgar/data/804328/000172894920000011/0001728949-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/804328/000172894920000011/qcom12291910-q.htm
2019-09-29,QCOM,2019-11-06,2019-11-06 16:08:43,FY,11839000000,421000000,12260000000,2471000000,1400000000,634000000,16765000000,3081000000,6282000000,2172000000,8454000000,421000000,1196000000,3461000000,16192000000,4236000000,32957000000,1368000000,2496000000,2088000000,565000000,4506000000,8935000000,13437000000,1160000000,2088000000,0.0,16685000000,2428000000,28048000000,0.0001,4466000000,100000000,342999999.9999,4909000000,32957000000,421000000,15933000000,4094000000,https://www.sec.gov/Archives/edgar/data/804328/000172894919000072/0001728949-19-000072-index.htm,https://www.sec.gov/Archives/edgar/data/804328/000172894919000072/qcom10-k2019.htm
2019-06-30,QCOM,2019-07-31,2019-07-31 16:13:42,Q3,13923000000,435000000,14358000000,2390000000,1774000000,682000000,19204000000,3037000000,6308000000,2350000000,8658000000,435000000,1172000000,2062000000,14929000000,2799000000,34133000000,1587000000,3000000000,2114000000,527000000,5739000000,10853000000,13426000000,1251000000,2114000000,1026000000,17817000000,0.0,28670000000,0.0001,4687000000,195000000,580999999.9999,5463000000,34133000000,435000000,16426000000,2503000000,https://www.sec.gov/Archives/edgar/data/804328/000172894919000055/0001728949-19-000055-index.htm,https://www.sec.gov/Archives/edgar/data/804328/000172894919000055/qcom06301910-q.htm
2019-03-31,QCOM,2019-05-01,2019-05-01 16:11:35,Q2,10135000000,195000000,10330000000,3638000000,1725000000,631000000,16324000000,2945000000,6299000000,2510000000,8809000000,195000000,3832000000,2113000000,17699000000,5750000000,34023000000,1667000000,998000000,1849000000,478000000,7374000000,10517000000,15405000000,1330000000,1849000000,1056000000,19640000000,0.0,30157000000,0.0001,3309000000,173000000,383999999.9999,3866000000,34023000000,195000000,16403000000,6268000000,https://www.sec.gov/Archives/edgar/data/804328/000172894919000036/0001728949-19-000036-index.htm,https://www.sec.gov/Archives/edgar/data/804328/000172894919000036/qcom03311910-q.htm
2018-12-30,QCOM,2019-01-30,2019-01-30 16:08:22,Q1,10066000000,249000000,10315000000,3426000000,1698000000,855000000,16294000000,2932000000,6295000000,2746000000,9041000000,249000000,3923000000,2056000000,17952000000,5730000000,34246000000,1422000000,998000000,2174000000,484000000,7652000000,10556000000,15388000000,1420000000,2174000000,1091000000,20073000000,0.0,30629000000,0.0001,3415000000,202000000,0.0,3617000000,34246000000,249000000,16386000000,6320000000,https://www.sec.gov/Archives/edgar/data/804328/000172894919000012/0001728949-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/804328/000172894919000012/qcom12301810-q.htm
2018-09-30,QCOM,2018-11-07,2018-11-07 16:15:48,FY,11777000000,311000000,12088000000,2904000000,1693000000,699000000,17384000000,2975000000,6498000000,2955000000,9453000000,35000000,904000000,1935000000,15302000000,2563000000,32686000000,1825000000,1005000000,2312000000,500000000,7906000000,11236000000,15365000000,1620000000,2312000000,1225000000,20522000000,0.0,31758000000,0.0001,663000000,265000000,0.0,928000000,32686000000,346000000,16370000000,4593000000,https://www.sec.gov/Archives/edgar/data/804328/000172894918000095/0001728949-18-000095-index.htm,https://www.sec.gov/Archives/edgar/data/804328/000172894918000095/qcom10-k2018.htm
2018-06-24,QCOM,2018-07-25,2018-07-25 16:10:05,Q3,35619000000,291000000,35910000000,3163000000,1785000000,3460000000,44318000000,3073000000,6630000000,3174000000,9804000000,35000000,844000000,4016000000,17772000000,4604000000,62090000000,1644000000,7103000000,2659000000,507000000,6958000000,16212000000,15378000000,1708000000,2659000000,3065000000,22810000000,0.0,39022000000,0.0001,22745000000,323000000,0.0,23068000000,62090000000,326000000,22481000000,-13138000000,https://www.sec.gov/Archives/edgar/data/804328/000172894918000075/0001728949-18-000075-index.htm,https://www.sec.gov/Archives/edgar/data/804328/000172894918000075/qcom06241810-q.htm
2018-03-25,QCOM,2018-04-25,2018-04-25 16:07:36,Q2,37946000000,1625000000,39571000000,3535000000,1797000000,641000000,45544000000,3224000000,6676000000,3435000000,10111000000,35000000,1126000000,4086000000,18582000000,3622000000,64126000000,1454000000,3733000000,3277000000,502000000,6971000000,12660000000,19361000000,1803000000,3277000000,3206000000,27647000000,0.0,40307000000,0.0001,22779000000,545000000,494999999.9999,23819000000,64126000000,1660000000,23094000000,-14852000000,https://www.sec.gov/Archives/edgar/data/804328/000172894918000039/0001728949-18-000039-index.htm,https://www.sec.gov/Archives/edgar/data/804328/000172894918000039/qcom03251810-q.htm
2017-12-24,QCOM,2018-01-31,2018-01-31 16:10:12,Q1,33362000000,2041000000,35403000000,3053000000,1872000000,638000000,40966000000,3224000000,6638000000,3548000000,10186000000,4447000000,1241000000,4287000000,23385000000,7934000000,64351000000,1685000000,3465000000,3867000000,487000000,6390000000,12027000000,19381000000,1906000000,3867000000,3246000000,28400000000,0.0,40427000000,0.0001,23273000000,386000000,264999999.9999,23924000000,64351000000,6488000000,22846000000,-10516000000,https://www.sec.gov/Archives/edgar/data/804328/000172894918000011/0001728949-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/804328/000172894918000011/qcom12241710-q.htm
